symbol,date,open,high,low,close,volume
"MTS","2021-03-10","12.45","12.45","12.45","12.45","600"
"MTS","2021-06-14","13.11","13.11","13.11","13.11","100"
"MTS","2021-06-16","13.39","13.39","13.39","13.39","100"
"MTS","2021-06-18","13.39","13.39","13.11","13.11","1000"
"MTS","2021-06-21","13.3","13.3","13.3","13.3","100"
"MTS","2021-06-23","13.2","13.2","13.2","13.2","200"
"MTS","2021-06-28","13.11","13.2","13.11","13.11","3000"
"MTS","2021-07-13","11.71","11.71","11.61","11.61","200"
"MTS","2021-07-27","11.61","11.61","11.61","11.61","200"
"MTS","2021-08-16","11.61","11.61","11.61","11.61","100"
"MTS","2021-08-30","11.61","11.61","11.61","11.61","100"
"MTS","2021-09-13","11.61","13.3","11.61","13.3","800"
"MTS","2021-09-14","12.92","13.11","12.92","13.11","600"
"MTS","2021-09-22","11.14","11.14","11.14","11.14","700"
"MTS","2021-09-27","11.61","11.61","11.61","11.61","700"
"MTS","2021-09-30","13.3","13.3","13.3","13.3","200"
"MTS","2021-10-01","15.26","15.26","15.26","15.26","200"
"MTS","2021-10-04","17.51","17.51","16.95","16.95","1600"
"MTS","2021-10-05","19.48","19.48","18.26","18.26","1200"
"MTS","2021-10-06","21.35","21.35","20.6","20.6","1100"
"MTS","2021-10-12","23.79","23.79","21.54","21.54","200"
"MTS","2021-10-14","23.41","23.41","23.41","23.41","100"
"MTS","2021-10-19","25.19","25.19","25.19","25.19","100"
"MTS","2021-10-21","22.94","22.94","22.94","22.94","100"
"MTS","2021-10-27","26.03","26.03","19.57","19.57","1500"
"MTS","2021-10-28","17.23","17.23","17.23","17.23","800"
"MTS","2021-11-01","18.73","18.73","18.07","18.07","800"
"MTS","2021-11-02","17.51","17.51","17.51","17.51","400"
"MTS","2021-11-03","15.08","15.17","14.98","14.98","1000"
"MTS","2021-11-05","13.11","13.11","13.11","13.11","700"
"MTS","2021-11-08","15.08","15.08","15.08","15.08","300"
"MTS","2021-11-11","15.45","15.45","15.45","15.45","500"
"MTS","2021-11-15","15.45","17.7","15.45","17.7","1200"
"MTS","2021-11-19","16.39","16.39","16.39","16.39","800"
"MTS","2021-11-30","15.92","15.92","15.92","15.92","200"
"MTS","2021-12-01","15.92","15.92","15.92","15.92","100"
"MTS","2021-12-02","15.92","16.01","15.92","15.92","1100"
"MTS","2021-12-06","15.92","18.26","15.92","18.26","1300"
"MTS","2021-12-07","16.48","17.32","16.48","17.32","1300"
"MTS","2021-12-08","17.32","17.32","17.32","17.32","100"
"MTS","2021-12-09","19.85","19.85","14.79","14.98","500"
"MTS","2021-12-10","19.38","19.38","14.33","14.98","800"
"MTS","2021-12-13","16.95","16.95","16.95","16.95","1100"
"MTS","2021-12-14","18.54","18.54","14.42","14.51","1400"
"MTS","2021-12-15","16.29","16.29","13.67","13.67","700"
"MTS","2021-12-16","15.73","15.73","15.64","15.64","800"
"MTS","2021-12-17","13.39","13.39","13.39","13.39","200"
"MTS","2021-12-20","15.36","15.36","15.36","15.36","100"
"MTS","2021-12-21","14.89","14.89","14.89","14.89","1300"
"MTS","2021-12-22","15.82","17.04","14.23","15.73","1400"
"MTS","2021-12-23","14.23","17.98","14.23","17.79","400"
"MTS","2021-12-24","14.51","19.57","14.51","14.98","2300"
"MTS","2021-12-27","18.45","18.45","14.98","18.45","1000"
"MTS","2021-12-28","18.73","19.2","17.6","17.6","300"
"MTS","2021-12-29","20.98","20.98","15.92","15.92","600"
"MTS","2021-12-30","23.04","23.04","17.14","17.14","2300"
"MTS","2021-12-31","17.14","21.07","16.01","16.01","1200"
"MTS","2022-01-05","18.35","18.35","14.98","15.17","4100"
"MTS","2022-01-06","16.86","16.95","16.86","16.95","300"
"MTS","2022-01-07","15.92","15.92","15.92","15.92","700"
"MTS","2022-01-10","15.64","15.64","14.61","14.61","1900"
"MTS","2022-01-12","15.26","15.45","13.67","13.67","1100"
"MTS","2022-01-14","14.98","14.98","14.98","14.98","2000"
"MTS","2022-01-19","14.42","14.51","14.42","14.51","500"
"MTS","2022-02-07","12.36","16.01","12.27","16.01","2800"
"MTS","2022-02-08","14.42","14.42","14.42","14.42","100"
"MTS","2022-02-11","14.14","14.14","12.55","13.02","5300"
"MTS","2022-02-16","14.05","14.05","12.64","12.64","4800"
"MTS","2022-02-17","14.05","14.05","14.05","14.05","100"
"MTS","2022-02-18","14.05","14.05","14.05","14.05","100"
"MTS","2022-02-21","14.89","16.11","12.27","14.51","4400"
"MTS","2022-02-22","13.11","13.11","12.64","12.64","2600"
"MTS","2022-02-23","14.79","14.79","14.42","14.42","300"
"MTS","2022-02-24","14.05","14.05","13.58","13.58","2000"
"MTS","2022-02-25","13.58","13.77","13.58","13.77","2500"
"MTS","2022-02-28","13.77","14.79","13.77","14.51","1300"
"MTS","2022-03-01","13.02","14.51","13.02","14.51","200"
"MTS","2022-03-02","13.11","13.11","12.83","12.83","300"
"MTS","2022-03-03","14.51","14.51","14.51","14.51","200"
"MTS","2022-03-04","14.51","14.51","14.51","14.51","100"
"MTS","2022-03-07","14.42","14.51","14.42","14.51","400"
"MTS","2022-03-09","13.67","13.67","13.67","13.67","200"
"MTS","2022-03-10","13.2","13.67","12.83","12.83","5600"
"MTS","2022-03-11","13.58","13.58","13.11","13.3","1000"
"MTS","2022-03-14","14.05","14.05","13.95","14.05","400"
"MTS","2022-03-16","13.67","13.67","13.67","13.67","200"
"MTS","2022-03-18","13.39","13.39","13.39","13.39","900"
"MTS","2022-03-21","13.3","13.39","13.3","13.39","700"
"MTS","2022-03-22","12.92","13.58","12.92","13.58","2600"
"MTS","2022-03-23","13.48","14.05","13.48","14.05","200"
"MTS","2022-03-24","15.82","15.82","13.2","13.58","2100"
"MTS","2022-03-25","14.79","14.79","14.05","14.05","200"
"MTS","2022-03-28","14.79","14.79","12.36","14.51","3800"
"MTS","2022-03-29","13.95","13.95","13.95","13.95","100"
"MTS","2022-03-31","13.58","14.79","11.89","12.45","5700"
"MTS","2022-04-01","14.23","14.23","14.23","14.23","100"
"MTS","2022-04-04","12.55","14.05","12.55","13.95","1200"
"MTS","2022-04-05","13.39","13.39","12.83","13.39","4800"
"MTS","2022-04-06","13.48","14.79","13.48","14.05","700"
"MTS","2022-04-07","12.92","12.92","12.92","12.92","500"
"MTS","2022-04-08","12.64","14.7","12.45","12.73","5500"
"MTS","2022-04-12","12.73","12.73","12.73","12.73","600"
"MTS","2022-04-15","12.64","12.64","10.86","11.89","3400"
"MTS","2022-04-19","12.64","12.64","12.64","12.64","100"
"MTS","2022-04-20","11.8","11.8","11.71","11.71","2000"
"MTS","2022-04-21","12.64","13.3","11.24","11.24","2300"
"MTS","2022-04-22","12.45","13.3","12.45","13.3","1000"
"MTS","2022-04-27","11.33","11.33","11.24","11.24","1000"
"MTS","2022-04-28","12.64","12.64","12.64","12.64","100"
"MTS","2022-04-29","12.17","12.17","12.17","12.17","100"
"MTS","2022-05-09","11.52","11.52","11.52","11.52","100"
"MTS","2022-05-12","10.86","10.86","10.77","10.77","900"
"MTS","2022-05-17","10.3","10.3","10.3","10.3","1200"
"MTS","2022-05-18","10.3","10.3","10.3","10.3","500"
"MTS","2022-05-19","10.3","10.3","10.3","10.3","1200"
"MTS","2022-05-23","10.3","10.3","10.3","10.3","100"
"MTS","2022-05-24","10.5","10.5","10.5","10.5","1300"
"MTS","2022-05-25","11.5","11.5","10","10","500"
"MTS","2022-05-27","11.8","11.8","11.8","11.8","100"
"MTS","2022-06-06","10.5","10.5","10.5","10.5","200"
"MTS","2022-06-07","10.5","10.5","9.6","9.6","2000"
"MTS","2022-06-08","10","10","10","10","100"
"MTS","2022-06-13","10","10","10","10","100"
"MTS","2022-06-16","9.4","9.4","8.6","8.6","500"
"MTS","2022-06-17","10","10.1","10","10.1","1500"
"MTS","2022-06-21","9.6","10.7","9.2","10.7","2200"
"MTS","2022-06-24","9","9","9","9","500"
"MTS","2022-06-27","10","10","10","10","100"
"MTS","2022-06-28","10.5","10.5","10.5","10.5","100"
"MTS","2022-06-29","10","10","10","10","1400"
"MTS","2022-06-30","10.1","10.1","10.1","10.1","100"
"MTS","2022-08-19","10.5","10.5","10.5","10.5","200"
"MTS","2022-09-15","10","10.6","10","10.6","1500"
"MTS","2022-09-21","10.1","10.1","9.9","9.9","1400"
"MTS","2022-09-22","10.1","10.1","10.1","10.1","100"
"MTS","2022-10-18","9.9","9.9","9.9","9.9","900"
"MTS","2022-10-27","10.5","10.5","10.5","10.5","100"
"MTS","2022-11-01","11","11","11","11","100"
"MTS","2022-11-16","9.4","12.6","9.4","12.6","300"
"MTS","2022-11-18","11.2","12.7","9.6","9.6","1000"
"MTS","2022-11-22","11.5","12.7","9.7","9.7","500"
"MTS","2022-11-25","11.4","12.8","9.8","9.8","900"
"MTS","2022-11-29","12.7","13.2","12.7","13.1","500"
"MTS","2022-11-30","12.9","12.9","12.9","12.9","100"
"MTS","2022-12-01","12","12","12","12","800"
"MTS","2022-12-05","12.9","13","12.5","13","2300"
"MTS","2022-12-12","12.6","12.8","12.6","12.8","2000"
"MTS","2023-01-27","12.7","12.7","12.7","12.7","100"
"MTS","2023-01-30","12.6","12.6","12.6","12.6","100"
"MTS","2023-02-09","10.8","10.8","10.8","10.8","200"
"MTS","2023-02-10","10","10","9.9","9.9","1100"
"MTS","2023-02-13","9.9","9.9","9.5","9.5","1900"
