symbol,date,open,high,low,close,volume
"MVC","2017-03-22","9.49","9.49","9.49","9.49","6360"
"MVC","2017-03-23","10.91","10.91","8.81","9.49","58800"
"MVC","2017-03-24","8.81","9.49","8.13","9.42","17000"
"MVC","2017-03-27","8.13","8.47","7.32","7.45","28500"
"MVC","2017-03-28","6.78","6.84","6.57","6.84","16400"
"MVC","2017-03-29","6.71","7.59","6.71","7.59","13200"
"MVC","2017-03-30","6.91","6.91","6.91","6.91","10000"
"MVC","2017-03-31","7.66","7.93","6.98","7.93","24300"
"MVC","2017-04-03","7.79","7.79","7.18","7.45","4300"
"MVC","2017-04-04","7.79","8.13","6.64","7.86","21600"
"MVC","2017-04-05","6.44","8.13","6.44","7.66","27300"
"MVC","2017-04-07","7.18","7.79","6.64","7.79","27700"
"MVC","2017-04-10","7.66","7.93","5.9","7.93","10600"
"MVC","2017-04-11","7.79","8.81","6.91","8.61","58900"
"MVC","2017-04-12","8.74","8.74","7.79","7.79","13400"
"MVC","2017-04-13","8","8.54","8","8.54","300"
"MVC","2017-04-14","8.34","8.34","8.06","8.06","8800"
"MVC","2017-04-17","7.79","8.4","6.98","7.79","900"
"MVC","2017-04-18","7.25","8.74","7.18","8.67","1000"
"MVC","2017-04-19","7.59","7.59","7.25","7.45","8300"
"MVC","2017-04-20","7.18","7.45","7.12","7.45","4400"
"MVC","2017-04-21","8","8.2","8","8.2","500"
"MVC","2017-04-24","7.79","7.79","7.79","7.79","4100"
"MVC","2017-04-25","7.93","7.93","6.64","7.79","5700"
"MVC","2017-04-26","7.86","7.86","7.86","7.86","300"
"MVC","2017-04-27","8.2","8.2","8.2","8.2","100"
"MVC","2017-04-28","8.47","8.47","7.45","8.27","4300"
"MVC","2017-05-03","8.06","8.2","7.25","8.2","7000"
"MVC","2017-05-04","8.27","8.27","8.2","8.27","7400"
"MVC","2017-05-10","8.06","8.2","7.45","7.66","6900"
"MVC","2017-05-11","7.86","7.86","7.86","7.86","2800"
"MVC","2017-05-12","8.2","8.2","6.71","7.86","20200"
"MVC","2017-05-15","7.39","7.39","7.39","7.39","900"
"MVC","2017-05-16","8.13","8.13","7.45","7.45","7000"
"MVC","2017-05-23","7.86","7.86","7.86","7.86","100"
"MVC","2017-05-24","7.79","7.79","7.45","7.45","500"
"MVC","2017-05-25","8","8","8","8","400"
"MVC","2017-05-26","7.79","7.79","7.25","7.25","400"
"MVC","2017-05-29","6.91","7.25","6.91","7.12","5900"
"MVC","2017-05-30","7.45","7.45","7.45","7.45","3000"
"MVC","2017-05-31","7.45","7.45","7.45","7.45","3500"
"MVC","2017-06-01","7.45","7.45","7.25","7.25","7000"
"MVC","2017-06-05","7.39","7.45","7.39","7.45","1400"
"MVC","2017-06-07","7.52","7.52","7.45","7.45","200"
"MVC","2017-06-08","7.45","7.45","7.45","7.45","100"
"MVC","2017-06-09","7.72","7.72","7.72","7.72","100"
"MVC","2017-06-12","7.72","7.72","7.45","7.45","1860"
"MVC","2017-06-14","7.79","7.79","7.79","7.79","140"
"MVC","2017-06-15","7.66","7.66","7.45","7.45","4700"
"MVC","2017-06-16","7.45","7.52","7.32","7.45","3300"
"MVC","2017-06-19","7.45","7.45","7.32","7.32","2340"
"MVC","2017-06-20","7.45","7.45","7.45","7.45","700"
"MVC","2017-06-26","7.45","7.45","7.45","7.45","1000"
"MVC","2017-06-27","7.45","7.45","7.45","7.45","100"
"MVC","2017-06-28","7.45","7.45","7.45","7.45","2400"
"MVC","2017-06-29","7.59","7.59","7.59","7.59","1000"
"MVC","2017-07-03","7.59","7.72","7.59","7.59","1200"
"MVC","2017-07-05","7.59","7.59","7.59","7.59","400"
"MVC","2017-07-06","7.45","7.59","7.45","7.59","2000"
"MVC","2017-07-11","7.59","7.72","7.45","7.45","5500"
"MVC","2017-07-12","7.72","7.72","7.45","7.45","6100"
"MVC","2017-07-13","7.45","7.45","7.32","7.32","17800"
"MVC","2017-07-14","7.59","7.59","7.59","7.59","100"
"MVC","2017-07-18","7.59","7.59","7.59","7.59","9800"
"MVC","2017-07-19","7.59","7.59","7.59","7.59","600"
"MVC","2017-07-20","7.45","7.59","7.45","7.59","14000"
"MVC","2017-07-21","7.59","7.59","7.59","7.59","5900"
"MVC","2017-07-24","7.59","7.59","7.45","7.59","43100"
"MVC","2017-07-25","8.13","8.13","8.13","8.13","100"
"MVC","2017-07-26","7.45","7.79","7.45","7.79","14900"
"MVC","2017-07-28","7.59","7.79","7.52","7.79","12300"
"MVC","2017-07-31","8.13","8.13","8.13","8.13","100"
"MVC","2017-08-01","7.85","7.85","7.85","7.85","7700"
"MVC","2017-08-02","8.41","8.41","8.41","8.41","100"
"MVC","2017-08-03","8.13","8.13","8.13","8.13","100"
"MVC","2017-08-04","8.41","8.41","7.85","7.85","3100"
"MVC","2017-08-07","7.85","7.85","7.85","7.85","11600"
"MVC","2017-08-08","8.13","8.13","8.13","8.13","100"
"MVC","2017-08-09","7.92","7.92","7.85","7.85","5000"
"MVC","2017-08-10","7.78","7.78","7.78","7.78","3900"
"MVC","2017-08-15","7.78","7.78","7.64","7.64","700"
"MVC","2017-08-16","7.57","7.64","7.57","7.57","1800"
"MVC","2017-08-17","7.57","7.57","7.57","7.57","1000"
"MVC","2017-08-18","7.64","7.64","7.64","7.64","1000"
"MVC","2017-08-21","7.64","7.64","7.64","7.64","800"
"MVC","2017-08-22","7.64","7.64","7.64","7.64","1000"
"MVC","2017-08-25","8.41","8.41","8.41","8.41","100"
"MVC","2017-09-01","7.92","7.92","7.92","7.92","100"
"MVC","2017-09-06","7.78","7.78","7.78","7.78","2000"
"MVC","2017-09-07","7.78","7.78","7.78","7.78","100"
"MVC","2017-09-08","7.85","7.85","7.42","7.42","30100"
"MVC","2017-09-11","7.78","7.78","7.42","7.42","31800"
"MVC","2017-09-12","7.42","7.42","7.28","7.28","9800"
"MVC","2017-09-13","8.34","8.34","8.34","8.34","200"
"MVC","2017-09-14","7.78","7.78","7.57","7.57","400"
"MVC","2017-09-15","8.77","8.77","8.77","8.77","300"
"MVC","2017-09-18","9.9","9.9","7.64","7.64","3000"
"MVC","2017-09-19","9.19","9.19","7.64","7.64","8600"
"MVC","2017-09-20","7.5","7.5","7.5","7.5","6600"
"MVC","2017-09-21","7.42","7.42","7.42","7.42","100"
"MVC","2017-09-22","7.42","7.57","7.42","7.42","18500"
