symbol,date,open,high,low,close,volume
"MWG","2014-07-14","4.39","4.42","4.39","4.42","10660"
"MWG","2014-07-15","4.71","4.71","4.71","4.71","13480"
"MWG","2014-07-16","5.04","5.04","5.04","5.04","17290"
"MWG","2014-07-17","5.39","5.39","5.39","5.39","95120"
"MWG","2014-07-18","5.74","5.74","5.74","5.74","134460"
"MWG","2014-07-21","6.12","6.12","5.47","5.74","311030"
"MWG","2014-07-22","5.63","5.91","5.63","5.91","568890"
"MWG","2014-07-23","5.96","5.96","5.85","5.91","23330"
"MWG","2014-07-24","5.85","5.91","5.85","5.85","33590"
"MWG","2014-07-25","5.85","5.91","5.85","5.85","79630"
"MWG","2014-07-28","5.85","5.91","5.85","5.85","93810"
"MWG","2014-07-29","5.85","5.85","5.69","5.74","25300"
"MWG","2014-07-30","5.8","5.8","5.69","5.74","16160"
"MWG","2014-07-31","5.69","5.69","5.47","5.58","37400"
"MWG","2014-08-01","5.69","5.69","5.53","5.58","28290"
"MWG","2014-08-04","5.58","5.58","5.58","5.58","13350"
"MWG","2014-08-05","5.63","5.69","5.63","5.63","21340"
"MWG","2014-08-06","5.63","5.8","5.63","5.8","20800"
"MWG","2014-08-07","5.8","5.8","5.74","5.8","17250"
"MWG","2014-08-08","5.74","5.8","5.74","5.8","9190"
"MWG","2014-08-11","6.18","6.18","6.01","6.18","179250"
"MWG","2014-08-12","6.23","6.39","6.23","6.39","64140"
"MWG","2014-08-13","6.45","6.77","6.34","6.72","147010"
"MWG","2014-08-14","6.72","7.15","6.72","7.15","149800"
"MWG","2014-08-15","7.58","7.64","7.37","7.64","100130"
"MWG","2014-08-18","7.91","8.07","7.8","8.07","29910"
"MWG","2014-08-19","7.86","8.02","7.53","7.53","39150"
"MWG","2014-08-20","7.1","7.58","7.1","7.53","46550"
"MWG","2014-08-21","7.42","7.53","7.31","7.31","58570"
"MWG","2014-08-22","7.31","7.64","7.31","7.64","45860"
"MWG","2014-08-25","7.86","7.91","7.64","7.8","61190"
"MWG","2014-08-26","7.8","7.8","7.26","7.26","29880"
"MWG","2014-08-27","7.48","7.58","7.31","7.42","11450"
"MWG","2014-08-28","7.42","7.42","7.31","7.42","5070"
"MWG","2014-08-29","7.42","7.42","7.04","7.31","15750"
"MWG","2014-09-03","7.37","7.37","7.21","7.31","25120"
"MWG","2014-09-04","7.26","7.26","7.04","7.15","37750"
"MWG","2014-09-05","7.21","7.37","7.21","7.37","44760"
"MWG","2014-09-08","7.48","7.86","7.37","7.86","171700"
"MWG","2014-09-09","8.4","8.4","7.96","8.07","88810"
"MWG","2014-09-10","8.29","8.29","7.91","8.23","23640"
"MWG","2014-09-11","8.18","8.34","8.13","8.23","25860"
"MWG","2014-09-12","8.23","8.29","8.07","8.18","44670"
"MWG","2014-09-15","8.18","8.29","8.18","8.23","14500"
"MWG","2014-09-16","8.18","8.23","8.13","8.23","65900"
"MWG","2014-09-17","8.34","8.34","8.13","8.23","6430"
"MWG","2014-09-18","8.13","8.34","8.13","8.34","13030"
"MWG","2014-09-19","8.51","8.88","8.51","8.88","20120"
"MWG","2014-09-22","9.48","9.48","9.1","9.48","28590"
"MWG","2014-09-23","9.75","9.91","9.43","9.43","13620"
"MWG","2014-09-24","9.64","9.64","9.37","9.37","5790"
"MWG","2014-09-25","9.21","9.21","8.72","8.72","30100"
"MWG","2014-09-26","9.21","9.21","8.83","9.05","26080"
"MWG","2014-09-29","9.21","9.21","9.1","9.1","11420"
"MWG","2014-09-30","8.94","9.16","8.94","9.16","12510"
"MWG","2014-10-01","9.16","9.32","9.16","9.21","24590"
"MWG","2014-10-02","9.16","9.37","9.16","9.32","51070"
"MWG","2014-10-03","9.48","9.59","9.43","9.48","22400"
"MWG","2014-10-06","9.54","9.54","9.43","9.48","19250"
"MWG","2014-10-07","9.43","9.54","9.43","9.48","37960"
"MWG","2014-10-08","10.13","10.13","9.95","10.13","138900"
"MWG","2014-10-09","10.69","10.78","10.69","10.78","271340"
"MWG","2014-10-10","10.69","10.87","10.59","10.78","63600"
"MWG","2014-10-13","10.59","10.59","10.22","10.32","17150"
