symbol,date,open,high,low,close,volume,year,month,week,weekday
"NAW","2018-04-02","8.4","8.4","8.4","8.4","100","2018","04","14","Monday"
"NAW","2018-04-09","8","8","8","8","100","2018","04","15","Monday"
"NAW","2018-04-10","8","8","8","8","200","2018","04","15","Tuesday"
"NAW","2018-04-11","9.2","9.2","9.2","9.2","100","2018","04","15","Wednesday"
"NAW","2018-04-12","7.9","7.9","7.9","7.9","100","2018","04","15","Thursday"
"NAW","2018-04-16","9","9","9","9","100","2018","04","16","Monday"
"NAW","2018-04-17","10.3","10.3","10.3","10.3","100","2018","04","16","Tuesday"
"NAW","2018-04-18","11.8","11.8","11.8","11.8","100","2018","04","16","Wednesday"
"NAW","2018-04-20","15.5","15.5","15.5","15.5","100","2018","04","16","Friday"
"NAW","2018-04-23","17.8","17.8","15.1","15.1","800","2018","04","17","Monday"
"NAW","2018-04-24","17.7","17.7","15.1","15.1","600","2018","04","17","Tuesday"
"NAW","2018-04-26","15.1","15.1","15.1","15.1","2800","2018","04","17","Thursday"
"NAW","2018-04-27","12.9","12.9","12.9","12.9","600","2018","04","17","Friday"
"NAW","2018-05-02","11","14.8","11","14.8","2900","2018","05","18","Wednesday"
"NAW","2018-05-03","11.9","16.1","11.9","15.5","15500","2018","05","18","Thursday"
"NAW","2018-05-04","13.2","17.8","13.2","13.2","93900","2018","05","18","Friday"
"NAW","2018-05-07","11.6","15.6","11.6","14.2","102600","2018","05","19","Monday"
"NAW","2018-05-08","12.3","16.5","12.3","16.5","195000","2018","05","19","Tuesday"
"NAW","2018-05-09","12.4","16.6","12.4","16.6","240000","2018","05","19","Wednesday"
"NAW","2018-05-10","12.8","17.2","12.8","13.2","540000","2018","05","19","Thursday"
"NAW","2018-05-11","12.6","16.6","12.6","16.6","273400","2018","05","19","Friday"
"NAW","2018-05-14","12.8","16.5","12.6","16.5","145700","2018","05","20","Monday"
"NAW","2018-05-15","12.3","16.3","12.3","16.3","11300","2018","05","20","Tuesday"
"NAW","2018-05-16","12.8","14.7","12.8","14.7","35100","2018","05","20","Wednesday"
"NAW","2018-05-17","13.1","15","13","15","101100","2018","05","20","Thursday"
"NAW","2018-05-18","11.3","14.9","11.3","14.9","30100","2018","05","20","Friday"
"NAW","2018-05-21","15","15","15","15","15300","2018","05","21","Monday"
"NAW","2018-05-22","12.9","13","12.9","13","15700","2018","05","21","Tuesday"
"NAW","2018-05-23","11.3","11.3","11.3","11.3","15000","2018","05","21","Wednesday"
"NAW","2018-05-24","10.1","12.9","10.1","12.9","18400","2018","05","21","Thursday"
"NAW","2018-05-25","9.6","12.1","9.6","12.1","10700","2018","05","21","Friday"
"NAW","2018-05-28","9.1","9.1","9.1","9.1","10000","2018","05","22","Monday"
"NAW","2018-05-29","8.3","8.3","7.9","7.9","10800","2018","05","22","Tuesday"
"NAW","2018-05-30","7.1","7.1","7.1","7.1","10000","2018","05","22","Wednesday"
"NAW","2018-05-31","6.5","6.5","6.5","6.5","10000","2018","05","22","Thursday"
"NAW","2018-06-01","5.7","6.6","5.7","6.6","5800","2018","06","22","Friday"
"NAW","2018-06-04","5.8","5.8","5.8","5.8","5000","2018","06","23","Monday"
"NAW","2018-06-05","5.1","6.6","5.1","6.6","6400","2018","06","23","Tuesday"
"NAW","2018-06-06","6","6","6","6","3000","2018","06","23","Wednesday"
