symbol,date,open,high,low,close,volume
"NED","2017-08-24","5.11","5.11","5.11","5.11","100"
"NED","2017-08-25","5.8","5.8","5.8","5.8","100"
"NED","2017-08-28","6.66","6.66","6.66","6.66","100"
"NED","2017-08-29","7.61","7.61","7.61","7.61","100"
"NED","2017-08-30","8.74","8.74","6.58","6.58","1000"
"NED","2017-09-01","6.49","6.49","6.49","6.49","5000"
"NED","2017-09-05","7.44","7.44","7.44","7.44","100"
"NED","2017-09-06","7.53","7.53","7.53","7.53","100"
"NED","2017-09-08","7.27","7.27","7.27","7.27","500"
"NED","2017-09-11","6.58","8.31","6.58","8.31","5300"
"NED","2017-09-12","8.57","8.57","8.57","8.57","100"
"NED","2017-09-13","7.53","7.53","7.53","7.53","100"
"NED","2017-09-15","6.58","6.58","6.58","6.58","600"
"NED","2017-09-18","7.53","7.53","7.53","7.53","200"
"NED","2017-09-19","6.92","6.92","6.92","6.92","200"
"NED","2017-09-20","6.23","6.23","6.23","6.23","200"
"NED","2017-09-21","7.09","7.09","7.09","7.09","400"
"NED","2017-09-22","6.14","6.66","6.14","6.58","700"
"NED","2017-09-25","6.66","6.92","6.66","6.92","200"
"NED","2017-09-27","6.92","6.92","6.92","6.92","6500"
"NED","2017-09-28","7.61","7.61","7.61","7.61","100"
"NED","2017-09-29","8.65","8.65","8.22","8.22","25400"
"NED","2017-10-02","8.31","8.65","8.31","8.65","2100"
"NED","2017-10-04","7.44","7.79","7.44","7.79","500"
"NED","2017-10-05","7.79","7.79","7.79","7.79","500"
"NED","2017-10-06","7.79","8.65","7.79","8.65","300"
"NED","2017-10-10","8.22","8.22","8.22","8.22","300"
"NED","2017-10-17","7.87","7.87","7.87","7.87","5000"
"NED","2017-10-18","7.79","7.79","7.79","7.79","100"
"NED","2017-10-20","7.79","8.05","7.79","8.05","4800"
"NED","2017-10-23","7.79","7.79","7.79","7.79","7400"
"NED","2017-10-24","7.79","7.79","7.79","7.79","5500"
"NED","2017-10-25","7.79","7.79","7.79","7.79","6100"
"NED","2017-10-27","7.36","7.87","7.36","7.79","14100"
"NED","2017-10-30","7.87","7.87","7.79","7.79","4700"
"NED","2017-10-31","7.79","7.87","7.79","7.79","6400"
"NED","2017-11-01","7.87","8.05","7.87","8.05","11300"
"NED","2017-11-02","8.13","8.13","8.13","8.13","1200"
"NED","2017-11-03","8.22","8.22","8.22","8.22","300"
"NED","2017-11-06","8.22","8.22","8.13","8.22","6300"
"NED","2017-11-08","8.31","8.39","8.31","8.31","9200"
"NED","2017-11-09","8.57","8.57","8.57","8.57","1000"
"NED","2017-11-10","8.57","8.65","8.57","8.65","725000"
"NED","2017-11-13","8.65","8.65","8.65","8.65","5000"
"NED","2017-11-15","8.22","8.22","8.22","8.22","5000"
"NED","2017-11-16","8.65","8.65","8.65","8.65","9000"
"NED","2017-11-20","8.48","8.57","8.48","8.57","5400"
"NED","2017-11-21","8.48","8.65","8.48","8.65","8600"
"NED","2017-11-22","8.48","8.48","8.48","8.48","12000"
"NED","2017-11-23","8.57","8.57","8.57","8.57","5000"
"NED","2017-11-24","8.65","8.65","8.65","8.65","17000"
"NED","2017-11-27","8.65","8.65","8.65","8.65","1000"
"NED","2017-11-28","8.65","8.65","8.65","8.65","38600"
"NED","2017-11-29","8.22","8.22","8.22","8.22","100"
"NED","2017-11-30","8.65","8.65","8.57","8.57","9100"
"NED","2017-12-01","8.57","8.57","8.57","8.57","5000"
"NED","2017-12-04","8.65","8.65","8.57","8.57","11800"
"NED","2017-12-05","8.48","8.57","8.39","8.48","11700"
"NED","2017-12-06","8.39","8.39","8.39","8.39","5000"
"NED","2017-12-08","8.65","8.65","8.65","8.65","10400"
"NED","2017-12-12","8.22","8.22","8.22","8.22","2000"
"NED","2017-12-13","7.79","8.65","7.79","8.65","44000"
"NED","2017-12-15","8.57","8.57","8.57","8.57","2000"
"NED","2017-12-18","8.57","8.57","8.48","8.48","24900"
"NED","2017-12-19","8.57","8.57","8.57","8.57","5000"
"NED","2017-12-20","8.57","8.57","8.57","8.57","2000"
"NED","2017-12-25","8.22","8.22","8.22","8.22","12000"
"NED","2017-12-26","8.22","8.22","8.22","8.22","5000"
"NED","2017-12-27","8.22","8.22","7.79","7.96","21900"
"NED","2017-12-28","7.27","8.57","6.75","8.57","37200"
"NED","2017-12-29","7.27","7.27","7.27","7.27","5000"
"NED","2018-01-02","8.31","8.31","8.05","8.31","1500"
"NED","2018-01-03","8.57","8.65","8.57","8.65","49300"
"NED","2018-01-04","8.57","8.65","8.57","8.65","30500"
"NED","2018-01-05","8.57","8.65","8.39","8.65","45100"
"NED","2018-01-08","8.57","8.65","8.57","8.65","30500"
"NED","2018-01-09","8.65","8.65","8.31","8.31","20100"
"NED","2018-01-10","8.65","8.65","8.65","8.65","2000"
"NED","2018-01-11","8.65","8.65","8.22","8.22","40000"
"NED","2018-01-12","8.65","8.65","8.31","8.39","38100"
"NED","2018-01-17","8.57","8.65","8.57","8.65","32800"
"NED","2018-01-18","8.22","8.65","8.22","8.65","48700"
"NED","2018-01-19","8.57","8.65","8.48","8.65","53000"
"NED","2018-01-22","8.57","8.65","8.57","8.65","37300"
"NED","2018-01-23","8.31","8.31","8.31","8.31","500"
"NED","2018-01-24","7.79","8.22","7.53","8.22","3100"
"NED","2018-01-25","7.53","7.53","7.53","7.53","500"
"NED","2018-01-26","8.65","8.65","8.65","8.65","300"
"NED","2018-01-29","8.31","8.31","8.31","8.31","1000"
"NED","2018-01-30","8.39","8.39","8.39","8.39","300"
"NED","2018-01-31","8.22","8.22","7.96","7.96","7300"
"NED","2018-02-01","8.65","8.65","8.65","8.65","100"
"NED","2018-02-02","7.79","7.87","7.79","7.79","7000"
"NED","2018-02-05","7.87","7.87","7.87","7.87","3100"
"NED","2018-02-07","8.13","8.13","8.13","8.13","1000"
"NED","2018-02-08","8.31","8.31","8.31","8.31","1600"
"NED","2018-02-12","7.96","7.96","7.96","7.96","3800"
"NED","2018-02-22","7.87","7.87","7.87","7.87","300"
"NED","2018-02-26","8.13","8.22","8.13","8.22","15000"
"NED","2018-02-28","8.22","8.22","8.22","8.22","55000"
"NED","2018-03-02","8.22","8.22","8.22","8.22","2500"
"NED","2018-03-05","8.22","8.22","8.22","8.22","5400"
"NED","2018-03-07","8.48","8.48","7.36","7.36","7000"
"NED","2018-03-09","7.27","8.39","7.27","8.39","11900"
"NED","2018-03-13","8.57","8.57","8.31","8.31","32000"
"NED","2018-03-14","7.87","8.57","7.87","8.57","18300"
"NED","2018-03-15","7.79","8.57","7.79","8.57","21800"
"NED","2018-03-16","8.57","9.43","8.57","8.65","2118900"
"NED","2018-03-19","8.22","9.43","8.22","8.74","2700"
"NED","2018-03-20","7.87","7.87","7.87","7.87","1000"
"NED","2018-03-21","8.65","8.74","8.65","8.74","7700"
"NED","2018-03-22","8.74","8.74","8.74","8.74","500"
"NED","2018-03-23","8.74","8.74","8.74","8.74","9700"
"NED","2018-03-27","9.09","9.09","9.09","9.09","13400"
"NED","2018-03-28","8.65","8.65","8.65","8.65","6000"
"NED","2018-03-29","8.48","8.48","8.48","8.48","500"
"NED","2018-03-30","8.57","8.74","8.57","8.74","8200"
"NED","2018-04-02","8.65","8.65","8.57","8.57","7500"
"NED","2018-04-03","8.31","8.91","8.31","8.91","16500"
"NED","2018-04-04","8.65","8.74","8.48","8.74","14700"
"NED","2018-04-09","8.31","8.65","8.22","8.65","4000"
"NED","2018-04-11","8.48","8.57","8.48","8.57","16500"
"NED","2018-04-12","8.48","8.48","8.48","8.48","800"
"NED","2018-04-13","8.48","8.48","8.48","8.48","1000"
"NED","2018-04-17","9.43","9.43","8.65","8.65","1878400"
"NED","2018-04-18","9.35","9.35","8.57","8.57","800"
"NED","2018-04-23","8.65","8.74","8.65","8.65","12600"
"NED","2018-04-24","8.65","8.65","8.65","8.65","1800"
"NED","2018-04-26","8.65","9.35","8.65","9.35","8500"
"NED","2018-04-27","8.65","8.74","8.65","8.74","11800"
"NED","2018-05-02","8.65","8.65","8.65","8.65","5000"
"NED","2018-05-03","8.65","8.65","8.65","8.65","3100"
"NED","2018-05-04","8.65","8.83","8.65","8.83","5900"
"NED","2018-05-07","8.74","8.91","8.74","8.91","20900"
"NED","2018-05-09","8.65","8.74","8.65","8.74","3100"
"NED","2018-05-10","8.74","8.74","8.74","8.74","1000"
"NED","2018-05-11","8.74","8.74","8.74","8.74","3100"
"NED","2018-05-14","8.74","8.74","8.74","8.74","9500"
"NED","2018-05-16","8.74","8.74","8.74","8.74","500"
"NED","2018-05-17","8.74","8.74","8.74","8.74","13300"
"NED","2018-05-18","8.22","8.74","8.22","8.74","11000"
"NED","2018-05-21","8.65","8.65","8.65","8.65","7000"
"NED","2018-05-22","8.65","8.65","8.65","8.65","600"
"NED","2018-05-23","8.65","8.65","8.65","8.65","300"
"NED","2018-05-24","8.65","8.65","8.65","8.65","3300"
"NED","2018-05-25","8.57","8.57","8.57","8.57","500"
"NED","2018-05-28","8.57","8.65","8.57","8.65","20800"
"NED","2018-05-29","8.65","9.43","8.65","8.91","24500"
"NED","2018-05-30","9","9","8.91","8.91","7700"
"NED","2018-05-31","8.83","8.91","8.74","8.91","1300"
"NED","2018-06-01","8.74","8.74","8.65","8.74","20100"
"NED","2018-06-04","8.65","8.65","8.65","8.65","1200"
"NED","2018-06-05","8.65","8.65","8.65","8.65","6900"
"NED","2018-06-06","8.65","8.65","8.65","8.65","6800"
"NED","2018-06-07","8.65","8.65","8.65","8.65","5100"
"NED","2018-06-08","8.65","8.65","8.65","8.65","20000"
"NED","2018-06-11","8.65","8.65","8.65","8.65","57400"
"NED","2018-06-12","8.65","8.65","8.65","8.65","18300"
"NED","2018-06-13","8.65","8.83","8.65","8.83","2300"
"NED","2018-06-14","8.74","8.91","8.74","8.83","600"
"NED","2018-06-19","8.83","8.83","8.83","8.83","50100"
"NED","2018-06-21","8.74","8.74","8.74","8.74","2300"
"NED","2018-06-22","8.74","8.74","8.74","8.74","200"
"NED","2018-06-25","8.74","8.74","8.74","8.74","100"
"NED","2018-06-26","8.74","8.74","8.74","8.74","4000"
"NED","2018-06-27","8.74","9.17","8.74","9.17","4300"
"NED","2018-06-29","9","9","9","9","3600"
"NED","2018-07-02","9","9","9","9","100"
"NED","2018-07-03","8.83","8.83","8.83","8.83","7400"
"NED","2018-07-04","8.83","8.83","8.83","8.83","100"
"NED","2018-07-05","8.83","8.91","8.83","8.91","1000"
"NED","2018-07-09","8.91","8.91","8.83","8.83","5000"
"NED","2018-07-11","9.17","9.17","8.65","8.65","18900"
"NED","2018-07-12","9.52","9.52","9.52","9.52","200"
"NED","2018-07-13","9.43","9.43","9.43","9.43","100"
"NED","2018-07-16","8.65","8.65","8.31","8.39","15900"
"NED","2018-07-17","8.65","8.65","8.65","8.65","2000"
"NED","2018-07-19","8.65","8.65","8.65","8.65","100"
"NED","2018-07-25","9","9.35","8.65","8.65","8000"
"NED","2018-07-27","8.65","8.65","8.65","8.65","100"
"NED","2018-07-30","8.74","8.74","8.74","8.74","3500"
"NED","2018-08-01","9.26","9.35","9.26","9.35","3500"
"NED","2018-08-02","8.74","8.74","8.74","8.74","50000"
"NED","2018-08-03","8.74","8.74","8.74","8.74","10100"
"NED","2018-08-06","8.74","8.74","8.74","8.74","10000"
"NED","2018-08-08","8.74","8.74","8.74","8.74","3500"
"NED","2018-08-15","9.35","9.35","9.35","9.35","500"
"NED","2018-08-16","9.35","9.35","9.35","9.35","2800"
"NED","2018-08-20","8.83","8.83","8.83","8.83","7500"
"NED","2018-08-21","8.74","8.74","8.74","8.74","1500"
"NED","2018-08-23","8.74","8.74","8.74","8.74","100"
"NED","2018-08-27","8.74","8.74","8.74","8.74","3000"
"NED","2018-08-31","8.74","8.74","8.74","8.74","100"
"NED","2018-09-07","8.74","8.74","8.74","8.74","10000"
"NED","2018-09-10","8.74","8.74","8.74","8.74","5000"
"NED","2018-09-11","8.74","8.74","8.74","8.74","5000"
"NED","2018-09-12","8.74","8.74","8.74","8.74","3900"
"NED","2018-09-14","8.74","8.74","8.74","8.74","10500"
"NED","2018-09-17","8.74","8.74","8.74","8.74","3000"
"NED","2018-09-24","8.83","8.83","8.83","8.83","1600"
"NED","2018-09-25","8.83","9.09","8.74","8.74","3400"
"NED","2018-10-05","8.83","8.83","8.74","8.74","1600"
"NED","2018-10-11","8.83","8.83","8.65","8.83","9000"
"NED","2018-10-15","8.65","8.65","8.65","8.65","1000"
"NED","2018-10-30","8.83","8.83","8.83","8.83","16000"
"NED","2018-11-07","8.83","8.83","8.83","8.83","5000"
"NED","2018-11-12","8.83","8.83","8.83","8.83","5000"
"NED","2018-11-19","8.83","8.83","8.83","8.83","7500"
"NED","2018-11-20","8.83","8.83","8.83","8.83","1000"
"NED","2018-11-21","8.83","8.83","8.83","8.83","1200"
"NED","2018-11-23","8.83","8.83","8.83","8.83","1000"
"NED","2018-11-28","8.83","8.83","8.83","8.83","1500"
"NED","2018-12-05","8.65","8.83","8.65","8.83","10000"
"NED","2018-12-24","8.83","8.83","8.74","8.74","8100"
"NED","2018-12-25","8.74","8.83","8.74","8.83","12000"
"NED","2018-12-27","8.65","8.65","8.65","8.65","44000"
"NED","2018-12-28","8.65","8.65","8.65","8.65","3100"
"NED","2019-01-02","8.74","8.74","8.65","8.65","30000"
"NED","2019-01-04","8.74","8.74","8.65","8.65","16800"
"NED","2019-01-09","8.65","8.65","8.65","8.65","1000"
"NED","2019-01-10","8.65","8.65","8.65","8.65","1000"
