symbol,date,open,high,low,close,volume,year,month,week,weekday
"NFC","2014-03-03","7.32","7.32","7.32","7.32","1000","2014","03","10","Monday"
"NFC","2014-03-04","8.05","8.05","8.05","8.05","100","2014","03","10","Tuesday"
"NFC","2014-03-05","8.85","8.85","8.85","8.85","100","2014","03","10","Wednesday"
"NFC","2014-03-06","9.74","9.74","9.74","9.74","100","2014","03","10","Thursday"
"NFC","2014-03-07","10.7","10.7","10.7","10.7","100","2014","03","10","Friday"
"NFC","2014-03-10","11.75","11.75","11.75","11.75","15000","2014","03","11","Monday"
"NFC","2014-03-11","12.88","12.9","12.07","12.34","20300","2014","03","11","Tuesday"
"NFC","2014-03-12","12.47","12.47","12.07","12.07","3800","2014","03","11","Wednesday"
"NFC","2014-03-13","11.13","11.13","11.13","11.13","100","2014","03","11","Thursday"
"NFC","2014-03-14","11.11","11.13","11.11","11.13","9200","2014","03","11","Friday"
"NFC","2014-03-18","11.54","11.54","11.54","11.54","5500","2014","03","12","Tuesday"
"NFC","2014-03-19","11.54","11.54","11.54","11.54","1000","2014","03","12","Wednesday"
"NFC","2014-03-21","11.54","11.54","11.54","11.54","3000","2014","03","12","Friday"
"NFC","2014-03-25","11.54","11.56","11.54","11.56","2300","2014","03","13","Tuesday"
"NFC","2014-03-26","11.56","11.56","11.56","11.56","300","2014","03","13","Wednesday"
"NFC","2014-03-27","11.62","11.62","11.62","11.62","500","2014","03","13","Thursday"
"NFC","2014-03-28","11.67","11.67","11.67","11.67","400","2014","03","13","Friday"
"NFC","2014-04-02","11","11.08","11","11.08","5100","2014","04","14","Wednesday"
"NFC","2014-04-03","11.27","11.27","11.27","11.27","3000","2014","04","14","Thursday"
"NFC","2014-04-14","11.94","12.07","11.94","12.07","200","2014","04","16","Monday"
"NFC","2014-04-15","11.8","11.8","11.8","11.8","100","2014","04","16","Tuesday"
"NFC","2014-04-16","11.54","11.54","11.27","11.27","1200","2014","04","16","Wednesday"
"NFC","2014-04-29","11.54","11.54","11.54","11.54","100","2014","04","18","Tuesday"
"NFC","2014-05-08","11","11","10.46","10.46","300","2014","05","19","Thursday"
"NFC","2014-05-15","10.89","10.89","10.46","10.46","300","2014","05","20","Thursday"
"NFC","2014-05-19","11.49","11.49","11.49","11.49","1000","2014","05","21","Monday"
"NFC","2014-05-21","11.49","11.49","11.49","11.49","600","2014","05","21","Wednesday"
"NFC","2014-05-22","11.49","11.49","11.49","11.49","400","2014","05","21","Thursday"
"NFC","2014-05-27","11.49","11.49","11.49","11.49","600","2014","05","22","Tuesday"
"NFC","2014-05-28","11.46","11.61","11.46","11.61","1000","2014","05","22","Wednesday"
"NFC","2014-06-04","10.89","10.89","10.89","10.89","100","2014","06","23","Wednesday"
"NFC","2014-06-11","10.89","10.89","10.89","10.89","500","2014","06","24","Wednesday"
"NFC","2014-06-19","10.89","10.89","10.89","10.89","400","2014","06","25","Thursday"
"NFC","2014-06-23","10.89","10.89","10.89","10.89","200","2014","06","26","Monday"
"NFC","2014-06-30","10.61","10.61","10.61","10.61","400","2014","06","27","Monday"
"NFC","2014-07-04","10.61","10.61","10.61","10.61","500","2014","07","27","Friday"
"NFC","2014-07-15","10.32","10.32","10.32","10.32","500","2014","07","29","Tuesday"
"NFC","2014-07-17","10.32","10.32","10.32","10.32","100","2014","07","29","Thursday"
"NFC","2014-07-18","10.32","10.32","10.32","10.32","1200","2014","07","29","Friday"
"NFC","2014-07-23","10.32","10.32","10.32","10.32","500","2014","07","30","Wednesday"
"NFC","2014-07-24","10.32","10.32","10.32","10.32","500","2014","07","30","Thursday"
"NFC","2014-08-15","10.32","10.32","10.32","10.32","100","2014","08","33","Friday"
"NFC","2014-08-22","10.32","10.32","10.32","10.32","500","2014","08","34","Friday"
"NFC","2014-09-05","10.4","10.4","10.35","10.35","1500","2014","09","36","Friday"
"NFC","2014-09-10","9.31","10.35","9.31","10.35","200","2014","09","37","Wednesday"
"NFC","2014-09-17","10.35","10.35","10.35","10.35","1000","2014","09","38","Wednesday"
"NFC","2014-09-26","10.03","10.03","9.6","9.74","3600","2014","09","39","Friday"
"NFC","2014-10-01","10.03","10.03","10.03","10.03","100","2014","10","40","Wednesday"
"NFC","2014-10-02","9.74","9.74","9.74","9.74","1000","2014","10","40","Thursday"
"NFC","2014-10-06","9.6","9.6","9.6","9.6","300","2014","10","41","Monday"
"NFC","2014-10-09","9.74","9.74","9.74","9.74","5900","2014","10","41","Thursday"
"NFC","2014-10-10","9.74","9.74","9.74","9.74","1100","2014","10","41","Friday"
