symbol,date,open,high,low,close,volume
"NSH","2017-07-31","16.2","16.2","8.8","11.5","62100"
"NSH","2017-08-01","10.4","10.4","10.4","10.4","23200"
"NSH","2017-08-02","10","10.3","9.8","10.2","115000"
"NSH","2017-08-03","10.2","10.5","10","10.5","124200"
"NSH","2017-08-04","10.2","10.4","10","10.4","112800"
"NSH","2017-08-07","10.2","10.2","9.8","10","62600"
"NSH","2017-08-08","10.1","10.1","9.8","9.9","100500"
"NSH","2017-08-09","10","10","9.8","9.8","103300"
"NSH","2017-08-10","9.8","9.8","9.1","9.3","52600"
"NSH","2017-08-11","9.5","9.5","8.5","9.3","119800"
"NSH","2017-08-14","9.3","9.4","8.4","8.5","91800"
"NSH","2017-08-15","9","9","9","9","400"
"NSH","2017-08-16","8.9","9.5","8.9","9.5","17000"
"NSH","2017-08-17","9.5","9.5","8.6","8.6","2000"
"NSH","2017-08-18","8","8","8","8","200"
"NSH","2017-08-21","8.8","8.8","8.2","8.2","110600"
"NSH","2017-08-22","8.2","9","8.2","8.9","83000"
"NSH","2017-08-23","9","9","8.9","8.9","30600"
"NSH","2017-08-24","8.9","9.4","8.9","9.3","102300"
"NSH","2017-08-25","9.3","9.4","9.1","9.3","107500"
"NSH","2017-08-28","9","9.3","8.4","9.3","133300"
"NSH","2017-08-29","9","9.1","8.7","9","91800"
"NSH","2017-08-30","8.9","8.9","8.5","8.8","12600"
"NSH","2017-08-31","8.9","8.9","8.3","8.8","149700"
"NSH","2017-09-01","8.9","8.9","8.7","8.7","97700"
"NSH","2017-09-05","8.7","8.8","8.6","8.6","156500"
"NSH","2017-09-06","8.9","8.9","8.4","8.7","153200"
"NSH","2017-09-07","8.8","8.8","8.5","8.8","140300"
"NSH","2017-09-08","8.5","8.8","8.5","8.8","91400"
"NSH","2017-09-11","9.2","9.2","8.2","8.9","173900"
"NSH","2017-09-12","8.8","8.8","8.1","8.1","216200"
"NSH","2017-09-13","8.5","8.8","8.5","8.6","152200"
"NSH","2017-09-14","8.4","8.4","7.8","7.8","187900"
"NSH","2017-09-15","8","8","7.8","7.8","9000"
"NSH","2017-09-18","7.8","8.1","7.5","7.5","171100"
"NSH","2017-09-19","7.4","7.9","7","7.7","159300"
"NSH","2017-09-20","7.8","7.8","7","7","158400"
"NSH","2017-09-21","7.3","7.5","7.1","7.3","217500"
"NSH","2017-09-22","7.8","7.8","7.4","7.4","1400"
"NSH","2017-09-25","7.4","7.4","7","7.1","152500"
"NSH","2017-09-26","7","7.2","7","7.1","187700"
"NSH","2017-09-27","7.3","7.8","7.3","7.8","45800"
"NSH","2017-09-28","8","8","7.4","7.4","167300"
"NSH","2017-09-29","7.6","8","7","7.1","183100"
