symbol,date,open,high,low,close,volume,year,month,week,weekday
"NT2","2010-03-04","3.39","3.39","3.39","3.39","400","2010","03","10","Thursday"
"NT2","2010-03-05","3.59","3.71","3.59","3.71","1150","2010","03","10","Friday"
"NT2","2010-03-10","3.23","3.27","3.23","3.27","1020","2010","03","11","Wednesday"
"NT2","2010-03-11","3.03","3.03","2.96","2.96","1200","2010","03","11","Thursday"
"NT2","2010-03-12","2.99","2.99","2.99","2.99","500","2010","03","11","Friday"
"NT2","2010-03-15","3.27","3.27","2.99","2.99","1200","2010","03","12","Monday"
"NT2","2010-03-16","3.31","3.31","3.31","3.31","200","2010","03","12","Tuesday"
"NT2","2010-03-18","3.63","3.63","3.39","3.39","5320","2010","03","12","Thursday"
"NT2","2010-03-19","3.71","3.71","3.19","3.19","1600","2010","03","12","Friday"
"NT2","2010-03-22","3.39","3.55","3.39","3.55","3000","2010","03","13","Monday"
"NT2","2010-03-23","3.83","3.83","3.83","3.83","120","2010","03","13","Tuesday"
"NT2","2010-03-29","3.83","3.83","3.83","3.83","4000","2010","03","14","Monday"
"NT2","2010-03-31","3.47","3.47","3.47","3.47","10","2010","03","14","Wednesday"
"NT2","2010-04-01","3.79","3.79","3.79","3.79","2010","2010","04","14","Thursday"
"NT2","2010-04-02","3.43","3.43","3.43","3.43","10","2010","04","14","Friday"
"NT2","2010-04-05","3.59","3.59","3.59","3.59","20","2010","04","15","Monday"
"NT2","2010-04-06","3.79","3.95","3.79","3.95","2050","2010","04","15","Tuesday"
"NT2","2010-04-07","3.59","3.59","3.59","3.59","10","2010","04","15","Wednesday"
"NT2","2010-04-08","3.23","3.23","3.23","3.23","20","2010","04","15","Thursday"
"NT2","2010-04-13","3.55","3.55","2.96","2.96","20","2010","04","16","Tuesday"
"NT2","2010-04-16","3.31","3.31","3.31","3.31","10","2010","04","16","Friday"
"NT2","2010-04-20","3.63","3.63","3.63","3.63","280","2010","04","17","Tuesday"
"NT2","2010-04-21","3.79","3.99","3.63","3.99","8300","2010","04","17","Wednesday"
"NT2","2010-04-22","3.95","3.95","3.95","3.95","500","2010","04","17","Thursday"
"NT2","2010-04-26","3.59","3.59","3.59","3.59","10020","2010","04","18","Monday"
"NT2","2010-04-27","3.23","3.23","3.23","3.23","10","2010","04","18","Tuesday"
"NT2","2010-04-28","3.55","3.55","3.39","3.39","210","2010","04","18","Wednesday"
"NT2","2010-04-29","3.87","3.87","3.87","3.87","4550","2010","04","18","Thursday"
"NT2","2010-05-04","3.99","4.19","3.99","4.19","10000","2010","05","19","Tuesday"
"NT2","2010-05-05","4.51","4.51","4.19","4.19","1010","2010","05","19","Wednesday"
"NT2","2010-05-06","4.27","4.59","4.27","4.59","10030","2010","05","19","Thursday"
"NT2","2010-05-07","4.39","4.87","4.39","4.87","7350","2010","05","19","Friday"
"NT2","2010-05-10","5.19","5.19","4.99","5.11","13770","2010","05","20","Monday"
"NT2","2010-05-11","5.19","5.27","5.11","5.15","33020","2010","05","20","Tuesday"
"NT2","2010-05-12","4.67","4.79","4.67","4.67","3520","2010","05","20","Wednesday"
"NT2","2010-05-13","4.27","4.67","4.27","4.67","2000","2010","05","20","Thursday"
"NT2","2010-05-14","4.91","4.91","4.39","4.39","2260","2010","05","20","Friday"
"NT2","2010-05-17","4.43","4.43","4.39","4.39","7000","2010","05","21","Monday"
"NT2","2010-05-19","4.47","4.47","4.39","4.43","10710","2010","05","21","Wednesday"
"NT2","2010-05-20","4.43","4.47","4.43","4.47","7850","2010","05","21","Thursday"
"NT2","2010-05-21","4.43","4.43","4.19","4.19","4050","2010","05","21","Friday"
"NT2","2010-06-02","4.35","4.35","4.35","4.35","900","2010","06","23","Wednesday"
"NT2","2010-06-03","4.39","4.39","4.39","4.39","2200","2010","06","23","Thursday"
"NT2","2010-06-07","4.47","4.59","4.47","4.59","10400","2010","06","24","Monday"
"NT2","2010-06-08","4.19","4.19","4.19","4.19","1000","2010","06","24","Tuesday"
"NT2","2010-06-10","4.19","4.19","4.19","4.19","2000","2010","06","24","Thursday"
"NT2","2010-06-22","4.31","4.31","4.31","4.31","600","2010","06","26","Tuesday"
"NT2","2010-06-24","4.31","4.31","4.31","4.31","2350","2010","06","26","Thursday"
"NT2","2010-06-28","4.39","4.39","4.35","4.35","3000","2010","06","27","Monday"
"NT2","2010-06-30","4.39","4.39","4.39","4.39","200","2010","06","27","Wednesday"
"NT2","2010-07-01","4.39","4.39","4.39","4.39","2000","2010","07","27","Thursday"
"NT2","2010-07-02","4.39","4.83","4.39","4.83","35370","2010","07","27","Friday"
"NT2","2010-07-05","4.71","5.11","4.71","5.11","40110","2010","07","28","Monday"
"NT2","2010-07-06","5.55","5.55","5.55","5.55","71300","2010","07","28","Tuesday"
"NT2","2010-07-07","5.91","5.91","5.59","5.59","11400","2010","07","28","Wednesday"
"NT2","2010-07-08","5.59","5.59","5.11","5.19","392400","2010","07","28","Thursday"
"NT2","2010-07-09","5.71","5.71","5.39","5.39","1010","2010","07","28","Friday"
"NT2","2010-07-12","5.11","5.91","5.07","5.07","6190","2010","07","29","Monday"
"NT2","2010-07-13","4.99","6.03","4.99","5.59","158300","2010","07","29","Tuesday"
"NT2","2010-07-14","6.19","6.47","5.51","5.87","1063100","2010","07","29","Wednesday"
"NT2","2010-07-15","6.39","6.91","5.71","6.19","44300","2010","07","29","Thursday"
"NT2","2010-07-19","6.11","6.11","5.43","5.47","15100","2010","07","30","Monday"
"NT2","2010-07-20","5.19","5.19","5.15","5.15","30700","2010","07","30","Tuesday"
"NT2","2010-07-21","5.15","5.15","4.87","4.95","6100","2010","07","30","Wednesday"
"NT2","2010-07-22","4.79","4.83","4.59","4.83","22500","2010","07","30","Thursday"
"NT2","2010-07-23","5.15","5.19","4.87","4.95","17200","2010","07","30","Friday"
"NT2","2010-07-26","5.15","5.35","4.99","5.15","75000","2010","07","31","Monday"
"NT2","2010-07-27","4.79","4.79","4.79","4.79","7500","2010","07","31","Tuesday"
"NT2","2010-07-28","4.63","4.79","4.63","4.71","3200","2010","07","31","Wednesday"
"NT2","2010-07-29","5.11","5.11","4.47","4.71","10000","2010","07","31","Thursday"
"NT2","2010-08-02","5.19","5.23","4.59","4.59","12200","2010","08","32","Monday"
"NT2","2010-08-04","5.15","5.15","4.39","4.59","3300","2010","08","32","Wednesday"
"NT2","2010-08-06","4.23","4.63","4.23","4.63","2500","2010","08","32","Friday"
"NT2","2010-08-09","4.39","4.39","4.19","4.27","8300","2010","08","33","Monday"
"NT2","2010-08-10","4.39","4.39","4.19","4.19","9300","2010","08","33","Tuesday"
"NT2","2010-08-11","4.23","4.27","4.19","4.27","11400","2010","08","33","Wednesday"
"NT2","2010-08-13","4.35","4.35","4.35","4.35","1500","2010","08","33","Friday"
"NT2","2010-08-16","4.59","4.67","4.59","4.67","4200","2010","08","34","Monday"
"NT2","2010-08-17","4.39","4.39","4.19","4.19","6900","2010","08","34","Tuesday"
