symbol,date,open,high,low,close,volume,year,month,week,weekday
"NTB","2010-05-17","42","42","36.8","37","634390","2010","05","21","Monday"
"NTB","2010-05-18","35.2","36","35.2","35.2","555920","2010","05","21","Tuesday"
"NTB","2010-05-19","33.5","33.5","33.5","33.5","288140","2010","05","21","Wednesday"
"NTB","2010-05-20","31.9","31.9","31.9","31.9","614900","2010","05","21","Thursday"
"NTB","2010-05-21","30.4","30.4","30.4","30.4","11100","2010","05","21","Friday"
"NTB","2010-05-24","28.9","31","28.9","30.1","1366080","2010","05","22","Monday"
"NTB","2010-05-25","30.5","30.5","28.7","28.7","562350","2010","05","22","Tuesday"
"NTB","2010-05-26","29.5","30.1","28.7","30.1","1031040","2010","05","22","Wednesday"
"NTB","2010-05-27","31.6","31.6","31.5","31.6","744230","2010","05","22","Thursday"
"NTB","2010-05-28","33.1","33.1","33.1","33.1","63580","2010","05","22","Friday"
"NTB","2010-05-31","34.7","34.7","33.5","34","2562970","2010","05","23","Monday"
"NTB","2010-06-01","33.4","34.5","32.6","33.4","722620","2010","06","23","Tuesday"
"NTB","2010-06-02","32.8","33.5","32.3","33.4","592510","2010","06","23","Wednesday"
"NTB","2010-06-03","32.9","33.9","32.7","32.9","593700","2010","06","23","Thursday"
"NTB","2010-06-04","32.5","33","31.8","31.8","541500","2010","06","23","Friday"
"NTB","2010-06-07","30.5","30.9","30.3","30.3","924280","2010","06","24","Monday"
"NTB","2010-06-08","30.3","30.7","29.5","30.3","451590","2010","06","24","Tuesday"
"NTB","2010-06-09","29.8","30.6","29.8","29.8","326570","2010","06","24","Wednesday"
"NTB","2010-06-10","29.5","31.2","29.4","31.2","1303930","2010","06","24","Thursday"
"NTB","2010-06-11","31.8","31.8","31","31","236970","2010","06","24","Friday"
"NTB","2010-06-14","31","31.7","31","31","626550","2010","06","25","Monday"
"NTB","2010-06-15","31","31","30.5","30.9","308670","2010","06","25","Tuesday"
"NTB","2010-06-16","31","32.4","30.8","32.4","3068110","2010","06","25","Wednesday"
"NTB","2010-06-17","32","33.6","32","32.8","1224710","2010","06","25","Thursday"
"NTB","2010-06-18","32.2","33","31.7","31.7","390290","2010","06","25","Friday"
"NTB","2010-06-21","31.7","32","31.5","31.5","487530","2010","06","26","Monday"
"NTB","2010-06-22","31.2","31.4","30.5","30.5","979630","2010","06","26","Tuesday"
"NTB","2010-06-23","30","31","30","30.5","606650","2010","06","26","Wednesday"
"NTB","2010-06-24","30.8","30.8","29.8","30","737460","2010","06","26","Thursday"
"NTB","2010-06-25","29.9","30","28.9","29","604220","2010","06","26","Friday"
