symbol,date,open,high,low,close,volume
"NTH","2019-06-19","17.45","17.45","17.45","17.45","100"
"NTH","2019-06-20","17.45","17.45","17.45","17.45","100"
"NTH","2019-06-21","21.02","21.02","21.02","21.02","100"
"NTH","2019-06-24","23.11","23.11","23.11","23.11","1100"
"NTH","2019-06-25","25.42","25.42","25.42","25.42","1100"
"NTH","2019-06-26","27.96","27.96","27.96","27.96","400"
"NTH","2019-06-27","30.72","30.72","29.08","29.08","4600"
"NTH","2019-06-28","31.98","31.98","27.51","27.51","700"
"NTH","2019-07-01","26.84","26.84","26.17","26.17","2500"
"NTH","2019-07-02","24.6","25.72","24.6","25.72","2200"
"NTH","2019-07-03","24.6","24.6","24.53","24.53","500"
"NTH","2019-07-04","24.6","25.27","24.6","25.27","5727"
"NTH","2019-07-05","25.35","25.35","24.6","25.35","2500"
"NTH","2019-07-08","24.6","24.75","24.6","24.75","1200"
"NTH","2019-07-09","23.93","23.93","23.86","23.86","1100"
"NTH","2019-07-10","23.86","23.86","23.48","23.86","1400"
"NTH","2019-07-11","23.86","23.86","23.11","23.11","5300"
"NTH","2019-07-12","22.74","22.74","22.37","22.37","4500"
"NTH","2019-07-15","22.07","22.07","21.25","21.25","14000"
"NTH","2019-07-16","21.99","21.99","21.4","21.4","2000"
"NTH","2019-07-17","21.32","21.99","21.32","21.99","2700"
"NTH","2019-07-18","21.99","21.99","21.99","21.99","1000"
"NTH","2019-07-19","21.99","22.74","21.99","22.74","2500"
"NTH","2019-07-22","23.48","23.48","22.44","22.44","2700"
"NTH","2019-07-23","22.89","23.11","22.81","22.81","6500"
"NTH","2019-07-24","22.37","22.37","22.14","22.14","20000"
"NTH","2019-07-26","22.37","23.11","22.37","23.11","1500"
"NTH","2019-07-29","23.19","23.19","23.19","23.19","500"
"NTH","2019-07-30","22.37","22.96","22.37","22.96","10800"
"NTH","2019-07-31","22.37","22.74","22.37","22.74","4300"
"NTH","2019-08-01","22.37","22.74","22.37","22.74","2200"
"NTH","2019-08-02","22.74","22.74","22.37","22.37","9700"
"NTH","2019-08-05","22.37","22.37","22.37","22.37","4300"
"NTH","2019-08-07","22.74","22.74","22.37","22.37","8000"
"NTH","2019-08-08","21.99","21.99","21.99","21.99","200"
"NTH","2019-08-09","22.74","22.74","22.37","22.37","3000"
"NTH","2019-08-12","22.37","22.37","22.07","22.37","6000"
"NTH","2019-08-13","22.37","22.37","21.99","21.99","6000"
"NTH","2019-08-14","21.99","22.37","21.99","22.14","9900"
"NTH","2019-08-16","22.37","22.74","22.37","22.74","19100"
"NTH","2019-08-19","22.37","22.44","22.37","22.44","3500"
"NTH","2019-08-20","22.37","22.59","22.37","22.59","36500"
"NTH","2019-08-21","22.44","22.52","22.37","22.52","10300"
"NTH","2019-08-22","22.52","22.52","22.44","22.52","15000"
"NTH","2019-08-23","22.52","22.52","22.07","22.07","3100"
"NTH","2019-08-26","22.14","22.52","22.14","22.22","6100"
"NTH","2019-08-27","22.37","22.74","22.37","22.44","12500"
"NTH","2019-08-28","22.44","22.52","22.37","22.37","12100"
"NTH","2019-08-29","22.37","22.44","22.29","22.29","26900"
"NTH","2019-08-30","22.37","22.44","22.29","22.29","7000"
"NTH","2019-09-03","22.44","22.44","22.37","22.37","33400"
"NTH","2019-09-04","22.37","22.74","22.29","22.37","3900"
"NTH","2019-09-05","23.11","23.11","22.37","22.37","3200"
"NTH","2019-09-06","22.37","22.44","21.99","21.99","9700"
"NTH","2019-09-09","22.14","22.29","22.07","22.07","4500"
"NTH","2019-09-10","22.37","22.37","22.22","22.37","4600"
"NTH","2019-09-12","22.44","22.44","22.44","22.44","500"
"NTH","2019-09-16","22.22","22.37","22.22","22.29","3900"
"NTH","2019-09-17","22.37","22.37","22.22","22.22","5700"
"NTH","2019-09-19","22.37","22.37","22.37","22.37","47000"
"NTH","2019-09-20","22.37","22.37","22.37","22.37","4200"
"NTH","2019-09-23","22.37","22.37","20.13","20.13","9200"
"NTH","2019-09-24","22.14","22.14","22.14","22.14","3200"
"NTH","2019-09-25","22.37","22.44","22.37","22.37","4900"
"NTH","2019-09-26","22.37","22.37","20.13","20.13","6600"
"NTH","2019-09-27","22.14","22.14","20.88","20.88","1500"
"NTH","2019-09-30","22.37","22.74","22.37","22.37","57700"
"NTH","2019-10-01","22.37","22.37","21.62","22.37","1500"
"NTH","2019-10-02","22.37","22.37","22.37","22.37","5500"
"NTH","2019-10-03","22.37","22.37","22.37","22.37","6000"
"NTH","2019-10-04","22.37","22.37","22.37","22.37","3000"
"NTH","2019-10-07","22.37","22.37","22.37","22.37","100"
"NTH","2019-10-08","22.37","22.37","22.37","22.37","1500"
"NTH","2019-10-09","22.29","22.29","22.29","22.29","4000"
"NTH","2019-10-10","22.22","22.22","21.99","22.14","8600"
"NTH","2019-10-11","22.29","22.29","21.99","22.22","7200"
"NTH","2019-10-14","22.07","22.29","21.99","22.29","4900"
"NTH","2019-10-15","22.14","22.22","21.99","21.99","4100"
"NTH","2019-10-16","21.99","21.99","21.99","21.99","1000"
"NTH","2019-10-17","21.99","21.99","21.99","21.99","2000"
"NTH","2019-10-18","22.14","22.14","21.92","21.92","200"
"NTH","2019-10-21","21.92","22.29","21.92","22.29","1200"
"NTH","2019-10-22","21.99","22.29","21.99","22.29","2200"
"NTH","2019-10-23","21.62","21.62","21.62","21.62","900"
"NTH","2019-10-24","20.88","20.88","20.13","20.5","5100"
"NTH","2019-10-25","20.5","20.5","20.5","20.5","1000"
"NTH","2019-10-28","20.5","22.07","20.5","22.07","5600"
"NTH","2019-10-30","20.5","21.17","20.35","20.5","10700"
"NTH","2019-10-31","20.28","21.62","20.28","21.62","4600"
"NTH","2019-11-01","21.99","22.52","21.99","22.52","2900"
"NTH","2019-11-04","21.62","23.11","21.62","23.11","7000"
"NTH","2019-11-05","22.37","22.74","22.22","22.37","4900"
"NTH","2019-11-06","22.37","22.37","22.29","22.29","3100"
"NTH","2019-11-07","22.29","22.29","22.29","22.29","3200"
"NTH","2019-11-14","22.29","22.29","22.14","22.14","5100"
"NTH","2019-11-20","21.62","21.62","21.62","21.62","1000"
"NTH","2019-11-21","21.62","21.62","21.62","21.62","2600"
"NTH","2019-11-22","22.29","22.29","22.29","22.29","1000"
"NTH","2019-11-25","22.29","22.29","22.14","22.22","7000"
"NTH","2019-11-26","22.07","22.07","21.62","21.62","3400"
"NTH","2019-11-29","21.99","21.99","21.62","21.62","2100"
"NTH","2019-12-02","21.99","21.99","21.99","21.99","2100"
"NTH","2019-12-03","21.99","22.37","21.99","22.37","11500"
"NTH","2019-12-04","21.99","21.99","21.99","21.99","1000"
"NTH","2019-12-05","22.44","22.44","22.44","22.44","100"
"NTH","2019-12-06","21.62","22.44","21.62","22.44","2100"
"NTH","2019-12-12","21.99","21.99","21.7","21.99","11900"
"NTH","2019-12-13","21.99","21.99","21.99","21.99","5000"
"NTH","2019-12-17","21.62","21.62","21.62","21.62","2000"
"NTH","2019-12-18","21.62","21.62","21.62","21.62","1400"
"NTH","2019-12-23","21.99","21.99","21.99","21.99","100"
"NTH","2019-12-24","22.29","22.29","22.29","22.29","100"
"NTH","2019-12-27","21.99","22.37","21.62","21.62","6500"
"NTH","2019-12-30","22.37","22.37","21.62","21.62","35300"
"NTH","2019-12-31","22.29","22.37","22.29","22.37","5500"
"NTH","2020-01-02","21.99","21.99","21.99","21.99","36000"
"NTH","2020-01-03","21.99","21.99","21.99","21.99","10000"
"NTH","2020-01-06","21.99","21.99","21.99","21.99","1000"
"NTH","2020-01-07","22.22","22.22","22.22","22.22","100"
"NTH","2020-01-08","21.99","21.99","21.99","21.99","2000"
"NTH","2020-01-09","21.84","21.84","21.84","21.84","1200"
"NTH","2020-01-10","22.14","22.37","21.62","21.99","15200"
"NTH","2020-01-13","22.29","22.29","22.22","22.22","2300"
"NTH","2020-01-16","21.99","22.14","21.99","22.14","4000"
"NTH","2020-01-17","22.29","22.37","22.29","22.29","17400"
"NTH","2020-01-20","21.99","21.99","21.99","21.99","800"
"NTH","2020-01-21","23.04","23.04","23.04","23.04","5000"
"NTH","2020-02-03","22.59","22.59","22.37","22.37","10600"
"NTH","2020-02-04","22.37","22.37","22.37","22.37","3100"
"NTH","2020-02-06","24.45","24.45","24.45","24.45","100"
"NTH","2020-02-11","22.37","22.37","22.37","22.37","500"
"NTH","2020-02-12","22.37","24.3","22.37","24.3","10100"
"NTH","2020-02-13","22.52","22.52","22.52","22.52","100"
"NTH","2020-02-17","23.11","23.11","22.52","22.52","10500"
"NTH","2020-02-18","22.66","23.48","22.66","23.48","1100"
"NTH","2020-02-19","23.11","23.11","22.37","23.11","21000"
"NTH","2020-02-20","22.74","22.74","22.74","22.74","500"
"NTH","2020-02-21","22.59","22.59","22.37","22.37","4000"
"NTH","2020-02-25","22.44","22.66","22.44","22.66","3700"
"NTH","2020-03-04","23.11","23.11","23.11","23.11","1000"
"NTH","2020-03-05","23.11","23.48","23.11","23.48","7500"
"NTH","2020-03-12","22.86","23.56","22.86","23.56","1100"
"NTH","2020-03-13","24.03","24.03","23.25","23.64","700"
"NTH","2020-03-18","25.58","25.58","25.58","25.58","100"
"NTH","2020-03-25","23.1","23.1","23.1","23.1","300"
"NTH","2020-03-26","23.64","23.64","23.64","23.64","100"
"NTH","2020-03-27","23.56","23.56","23.56","23.56","200"
"NTH","2020-04-01","23.25","24.03","23.25","24.03","900"
"NTH","2020-04-03","24.8","24.8","24.8","24.8","100"
"NTH","2020-04-14","23.64","23.64","23.64","23.64","100"
"NTH","2020-04-15","23.64","23.64","23.64","23.64","200"
"NTH","2020-04-16","23.25","23.25","23.25","23.25","500"
"NTH","2020-05-06","22.25","22.25","22.25","22.25","1500"
"NTH","2020-05-07","22.25","22.25","22.25","22.25","1200"
"NTH","2020-05-08","24.03","24.03","22.32","22.32","1400"
"NTH","2020-05-11","21.7","22.32","21.7","22.32","300"
"NTH","2020-05-12","22.32","22.32","22.32","22.32","900"
"NTH","2020-05-22","22.09","22.09","22.09","22.09","200"
"NTH","2020-05-25","23.25","23.25","23.25","23.25","100"
"NTH","2020-05-26","22.86","22.86","22.86","22.86","2700"
"NTH","2020-05-27","21.7","21.7","21.7","21.7","500"
"NTH","2020-05-28","21.7","21.7","21.7","21.7","500"
"NTH","2020-05-29","21.7","21.7","21.7","21.7","1500"
"NTH","2020-06-04","22.09","22.09","22.09","22.09","100"
"NTH","2020-06-08","20.15","22.01","20.15","22.01","600"
"NTH","2020-06-11","21.93","21.93","21.7","21.93","2200"
"NTH","2020-06-12","22.01","22.01","21.93","21.93","10100"
"NTH","2020-06-15","23.25","23.25","23.25","23.25","100"
"NTH","2020-06-16","21.93","22.09","21.93","22.09","5200"
"NTH","2020-06-18","20.23","21.86","20.23","21.86","9100"
"NTH","2020-06-19","22.01","22.01","20.93","21.16","3400"
"NTH","2020-06-22","21.93","21.93","21.63","21.63","6200"
"NTH","2020-06-23","22.01","22.01","21.86","22.01","1600"
"NTH","2020-06-24","22.09","23.25","21.93","22.01","5800"
"NTH","2020-06-25","23.25","23.25","21.93","22.48","7800"
"NTH","2020-06-26","22.01","22.17","21.93","21.93","21000"
"NTH","2020-06-29","22.48","22.48","22.25","22.32","2600"
"NTH","2020-06-30","22.48","22.48","22.01","22.01","15500"
"NTH","2020-07-01","22.48","22.48","22.17","22.17","3600"
"NTH","2020-07-02","22.86","22.86","21.93","21.93","12000"
"NTH","2020-07-03","23.25","23.25","22.86","22.86","1100"
"NTH","2020-07-06","23.25","23.25","21.08","21.08","2600"
"NTH","2020-07-07","23.02","23.02","22.09","22.09","1100"
"NTH","2020-07-08","22.86","22.86","22.09","22.48","7200"
"NTH","2020-07-09","22.86","22.86","22.48","22.63","5900"
"NTH","2020-07-10","22.86","22.86","22.48","22.63","8300"
"NTH","2020-07-13","23.25","23.25","23.25","23.25","1100"
"NTH","2020-07-14","23.64","23.64","22.55","22.55","300"
"NTH","2020-07-15","23.64","23.64","22.63","23.25","2600"
"NTH","2020-07-16","23.87","23.87","23.87","23.87","200"
"NTH","2020-07-17","24.03","24.03","22.86","22.86","500"
"NTH","2020-07-20","24.03","24.03","22.63","23.25","2800"
"NTH","2020-07-21","23.87","23.87","23.87","23.87","200"
"NTH","2020-07-22","23.25","23.25","22.86","22.86","300"
"NTH","2020-07-23","22.79","23.25","22.79","23.25","200"
"NTH","2020-07-24","23.18","23.64","23.18","23.64","200"
"NTH","2020-07-27","23.25","23.25","21.93","22.63","2700"
"NTH","2020-07-28","22.86","23.25","22.86","23.25","1400"
"NTH","2020-07-30","23.18","23.18","23.18","23.18","100"
"NTH","2020-07-31","23.25","23.25","23.25","23.25","100"
"NTH","2020-08-03","22.48","22.86","22.48","22.86","400"
"NTH","2020-08-04","23.26","23.26","23.26","23.26","100"
"NTH","2020-08-07","21.29","23.26","21.29","21.45","2500"
"NTH","2020-08-10","23.26","23.26","22.47","22.47","300"
"NTH","2020-08-11","23.26","23.26","22.86","22.86","3000"
"NTH","2020-08-12","23.26","23.26","22.63","22.71","1100"
"NTH","2020-08-13","22.63","22.86","22.63","22.86","700"
"NTH","2020-08-14","22.39","22.86","22.39","22.86","200"
"NTH","2020-08-17","23.26","23.26","23.26","23.26","100"
"NTH","2020-08-20","22.31","22.86","22.23","22.79","2400"
"NTH","2020-08-21","22.31","22.47","22.31","22.31","2100"
"NTH","2020-08-24","22.86","22.86","22.23","22.86","1200"
"NTH","2020-08-25","22.08","22.86","22.08","22.47","10300"
"NTH","2020-08-26","22.86","24.68","22.47","23.65","30000"
"NTH","2020-08-27","24.44","24.44","22.47","23.42","19300"
"NTH","2020-08-28","24.44","24.44","22.47","22.86","10800"
"NTH","2020-08-31","23.57","23.57","22.31","22.47","800"
"NTH","2020-09-01","23.26","23.26","22.23","22.23","200"
"NTH","2020-09-03","22.79","22.79","22.08","22.31","5300"
"NTH","2020-09-04","22.31","22.71","21.92","21.92","16700"
"NTH","2020-09-07","23.65","23.65","22.23","22.23","26200"
"NTH","2020-09-08","23.1","23.1","22.08","22.55","22100"
"NTH","2020-09-09","23.02","23.02","22.08","22.08","200"
"NTH","2020-09-10","23.26","23.26","21.92","22.08","12700"
"NTH","2020-09-11","23.26","23.26","22.08","22.08","3200"
"NTH","2020-09-14","22.08","22.86","21.92","22.47","28500"
"NTH","2020-09-15","23.65","23.65","22.08","22.23","43400"
"NTH","2020-09-16","22.94","22.94","22.23","22.47","27100"
"NTH","2020-09-17","22.47","22.63","22.47","22.63","4900"
"NTH","2020-09-18","22.71","22.71","22.47","22.55","13000"
"NTH","2020-09-21","22.39","22.47","22.39","22.47","3600"
"NTH","2020-09-22","24.05","24.05","22.47","22.47","4800"
"NTH","2020-09-23","22.47","22.47","22.47","22.47","7500"
"NTH","2020-09-24","22.55","22.55","22.47","22.47","10200"
"NTH","2020-09-25","22.47","22.47","22.47","22.47","17000"
"NTH","2020-09-30","22.63","22.63","22.63","22.63","600"
"NTH","2020-10-01","21.92","22.08","21.92","22.08","4900"
"NTH","2020-10-02","21.52","22.47","21.52","22.47","1100"
"NTH","2020-10-06","21.92","22.08","21.92","21.92","2300"
"NTH","2020-10-07","22.08","22.08","22.08","22.08","2000"
"NTH","2020-10-09","22.47","22.47","22.08","22.15","5700"
"NTH","2020-10-12","22.15","22.47","22.08","22.23","9600"
"NTH","2020-10-13","22.23","22.55","22.23","22.55","19500"
"NTH","2020-10-15","22.86","22.86","22.71","22.71","11000"
"NTH","2020-10-19","22.86","23.18","22.86","23.18","14900"
"NTH","2020-10-20","23.65","23.65","22.23","23.26","3400"
"NTH","2020-10-28","22.15","22.15","22.15","22.15","1100"
"NTH","2020-10-30","24.36","24.36","22.08","22.08","3600"
"NTH","2020-11-03","22.23","22.23","22.23","22.23","500"
"NTH","2020-11-04","22.23","22.23","22.23","22.23","300"
"NTH","2020-11-05","22.31","22.31","22.31","22.31","2400"
"NTH","2020-11-06","22.47","22.47","22.39","22.39","10400"
"NTH","2020-11-09","22.39","22.55","22.39","22.55","1200"
"NTH","2020-11-10","22.55","22.55","22.55","22.55","1400"
"NTH","2020-11-11","22.55","22.55","22.55","22.55","2000"
"NTH","2020-11-13","22.55","22.86","22.55","22.86","4200"
"NTH","2020-11-16","22.71","22.86","22.71","22.86","7000"
"NTH","2020-11-17","22.86","22.94","22.86","22.94","7000"
"NTH","2020-11-18","23.02","23.02","23.02","23.02","2200"
"NTH","2020-11-19","23.1","23.18","23.1","23.1","3900"
"NTH","2020-11-20","23.18","23.65","23.18","23.26","15300"
"NTH","2020-11-23","23.65","23.65","23.26","23.26","10400"
"NTH","2020-11-24","23.5","23.5","23.5","23.5","100"
"NTH","2020-11-26","23.42","23.42","23.42","23.42","12500"
"NTH","2020-11-27","23.34","23.34","23.34","23.34","1000"
"NTH","2020-11-30","24.36","24.36","23.42","23.42","12000"
"NTH","2020-12-01","23.42","23.65","22.86","23.65","5100"
"NTH","2020-12-02","24.05","24.05","24.05","24.05","100"
"NTH","2020-12-03","23.18","23.81","23.18","23.81","600"
"NTH","2020-12-04","23.18","24.44","22.94","23.26","15700"
"NTH","2020-12-08","23.18","23.18","23.1","23.1","3700"
"NTH","2020-12-11","23.18","23.18","23.18","23.18","5000"
"NTH","2020-12-14","23.18","23.18","23.18","23.18","1500"
"NTH","2020-12-16","23.34","23.34","23.26","23.26","3800"
"NTH","2020-12-18","23.26","23.26","23.26","23.26","2600"
"NTH","2020-12-22","23.65","23.65","23.34","23.65","5100"
"NTH","2020-12-23","23.34","23.42","23.34","23.42","900"
"NTH","2020-12-24","22.63","24.05","22.63","22.94","4200"
"NTH","2020-12-25","23.97","24.05","23.65","23.65","4000"
"NTH","2020-12-28","23.81","24.05","23.81","24.05","7900"
"NTH","2021-01-04","23.23","23.39","23.23","23.39","200"
"NTH","2021-01-07","24.45","24.45","24.45","24.45","300"
"NTH","2021-01-08","24.45","25.27","24.45","25.19","5000"
"NTH","2021-01-12","24.62","25.68","24.62","25.68","2000"
"NTH","2021-01-13","24.37","24.54","24.37","24.45","4500"
"NTH","2021-01-14","23.96","23.96","23.96","23.96","900"
"NTH","2021-01-15","23.64","23.64","21.6","21.6","5400"
"NTH","2021-01-18","22.66","22.74","22.66","22.74","2000"
"NTH","2021-01-22","24.45","24.45","24.45","24.45","1000"
"NTH","2021-01-26","24.45","24.45","23.64","23.96","4000"
"NTH","2021-01-28","23.8","24.37","23.72","23.8","8400"
"NTH","2021-02-01","23.72","23.88","23.72","23.88","2000"
"NTH","2021-02-03","24.21","24.21","24.21","24.21","1500"
"NTH","2021-02-04","24.45","24.45","24.45","24.45","1000"
"NTH","2021-02-05","24.45","24.45","24.45","24.45","3000"
"NTH","2021-02-08","24.45","24.45","24.45","24.45","5100"
"NTH","2021-02-17","24.54","24.54","24.54","24.54","800"
"NTH","2021-02-18","24.62","24.7","24.45","24.45","16400"
"NTH","2021-02-19","24.7","24.7","24.7","24.7","100"
"NTH","2021-02-22","24.78","24.94","24.78","24.86","13800"
"NTH","2021-02-23","25.28","25.28","25.19","25.28","2200"
"NTH","2021-02-25","25.03","25.03","25.03","25.03","100"
"NTH","2021-03-01","24.86","25.36","24.86","25.36","4800"
"NTH","2021-03-02","25.36","25.36","25.28","25.28","2200"
"NTH","2021-03-03","25.36","25.36","25.36","25.36","3500"
"NTH","2021-03-08","25.28","25.28","25.28","25.28","1000"
"NTH","2021-03-09","25.03","26.11","25.03","26.11","3500"
"NTH","2021-03-15","25.44","25.44","25.36","25.36","4400"
"NTH","2021-03-17","25.28","25.44","24.86","25.44","6000"
"NTH","2021-03-18","25.44","25.52","25.44","25.44","3000"
"NTH","2021-03-19","24.86","25.28","24.86","25.28","6400"
"NTH","2021-03-23","25.69","25.69","25.69","25.69","5500"
"NTH","2021-03-24","25.28","25.28","25.28","25.28","1000"
"NTH","2021-03-26","24.86","25.61","24.86","25.61","3500"
"NTH","2021-03-29","25.36","26.02","24.45","26.02","45500"
"NTH","2021-03-30","26.27","26.27","26.27","26.27","3500"
"NTH","2021-04-01","25.69","25.69","25.69","25.69","5000"
"NTH","2021-04-02","25.77","25.94","25.77","25.94","3300"
"NTH","2021-04-05","26.11","26.11","26.11","26.11","100"
"NTH","2021-04-09","25.11","25.11","25.11","25.11","200"
"NTH","2021-04-12","26.11","26.11","26.11","26.11","200"
"NTH","2021-04-13","25.44","26.11","25.36","26.11","9800"
"NTH","2021-04-14","25.52","25.52","25.03","25.28","30000"
"NTH","2021-04-15","26.11","26.93","25.77","25.77","16800"
"NTH","2021-04-16","25.77","26.11","25.61","25.61","6700"
"NTH","2021-04-20","25.36","25.36","25.36","25.36","300"
"NTH","2021-04-22","25.36","25.52","25.36","25.52","4000"
"NTH","2021-04-26","25.69","25.69","25.52","25.52","1000"
"NTH","2021-04-27","25.52","25.52","25.44","25.44","1200"
"NTH","2021-04-29","25.52","25.52","25.52","25.52","200"
"NTH","2021-05-04","25.61","25.61","25.61","25.61","500"
"NTH","2021-05-05","25.61","25.61","25.61","25.61","200"
"NTH","2021-05-07","25.44","25.44","25.44","25.44","1000"
"NTH","2021-05-10","25.61","25.61","25.61","25.61","1000"
"NTH","2021-05-18","26.85","26.93","26.44","26.44","1100"
"NTH","2021-05-20","25.94","25.94","25.94","25.94","100"
"NTH","2021-05-26","24.86","24.86","24.86","24.86","2000"
"NTH","2021-05-28","26.17","27.04","26.17","27.04","200"
"NTH","2021-06-01","28.79","29.22","27.91","27.91","1800"
"NTH","2021-06-04","25.21","27.48","25.21","27.48","1800"
"NTH","2021-06-09","27.48","27.48","27.48","27.48","200"
"NTH","2021-06-15","26.61","26.61","26.61","26.61","300"
"NTH","2021-06-16","28.35","28.35","27.91","27.91","2000"
"NTH","2021-06-18","27.65","28","27.65","28","5000"
"NTH","2021-06-21","27.74","27.74","27.74","27.74","5000"
"NTH","2021-06-22","27.91","27.91","27.65","27.65","6400"
"NTH","2021-06-23","26","26","26","26","5000"
"NTH","2021-06-24","26.34","26.34","26","26","800"
"NTH","2021-06-25","26.69","27.04","26.69","27.04","300"
"NTH","2021-06-29","28.35","28.79","28.35","28.79","800"
"NTH","2021-06-30","28.79","28.79","28.79","28.79","4800"
"NTH","2021-07-01","27.91","27.91","27.91","27.91","25000"
"NTH","2021-07-05","28.35","28.35","28.35","28.35","2000"
"NTH","2021-07-07","28.35","28.35","27.3","28.35","8300"
"NTH","2021-07-08","28.44","28.44","28.35","28.35","5100"
"NTH","2021-07-12","27.91","27.91","27.48","27.91","1700"
"NTH","2021-07-14","27.91","27.91","27.91","27.91","100"
"NTH","2021-07-15","28.79","28.79","28.79","28.79","800"
"NTH","2021-07-16","29.66","29.66","29.66","29.66","1000"
"NTH","2021-07-19","29.66","29.66","29.14","29.22","3400"
"NTH","2021-07-20","27.48","29.22","26.96","29.22","900"
"NTH","2021-07-23","29.22","29.22","29.22","29.22","8000"
"NTH","2021-07-26","28.79","28.79","28.79","28.79","100"
"NTH","2021-07-27","31.41","31.41","31.41","31.41","100"
"NTH","2021-07-30","29.66","29.66","29.66","29.66","100"
"NTH","2021-08-02","29.66","29.66","29.66","29.66","200"
"NTH","2021-08-03","30.1","30.1","29.66","29.66","4900"
"NTH","2021-08-04","30.1","30.1","30.1","30.1","100"
"NTH","2021-08-09","30.1","32.71","29.22","32.71","13900"
"NTH","2021-08-10","32.71","34.02","32.71","34.02","5000"
"NTH","2021-08-16","32.28","32.28","32.28","32.28","100"
"NTH","2021-08-17","32.71","32.71","32.71","32.71","2500"
"NTH","2021-08-27","34.81","34.89","34.81","34.89","200"
"NTH","2021-09-01","32.28","32.28","31.41","31.41","1200"
"NTH","2021-09-06","33.15","33.15","33.15","33.15","1000"
"NTH","2021-09-13","32.71","32.71","32.71","32.71","500"
"NTH","2021-09-15","31.41","31.41","30.97","30.97","3500"
"NTH","2021-09-16","33.15","33.15","33.15","33.15","1000"
"NTH","2021-09-17","32.02","32.02","31.41","31.84","2500"
"NTH","2021-09-24","33.15","33.15","33.15","33.15","1000"
"NTH","2021-09-27","33.76","34.89","33.76","34.89","7800"
"NTH","2021-09-29","34.89","34.89","34.89","34.89","2000"
"NTH","2021-09-30","34.89","34.89","34.89","34.89","200"
"NTH","2021-10-05","34.89","34.89","34.89","34.89","1100"
"NTH","2021-10-07","34.89","34.89","34.89","34.89","600"
"NTH","2021-10-08","33.15","33.15","33.15","33.15","100"
"NTH","2021-10-13","34.89","34.89","34.89","34.89","1100"
"NTH","2021-10-15","34.89","34.89","34.89","34.89","2000"
"NTH","2021-10-18","34.89","34.89","34.89","34.89","200"
"NTH","2021-10-20","34.89","34.89","34.89","34.89","1000"
"NTH","2021-10-22","34.89","34.89","34.89","34.89","800"
"NTH","2021-10-25","34.02","34.02","34.02","34.02","1000"
"NTH","2021-10-26","34.02","34.02","34.02","34.02","2100"
