symbol,date,open,high,low,close,volume
"NTL","2007-12-21","24.75","25.31","23.16","25.31","253280"
"NTL","2007-12-24","26.53","26.53","26.44","26.53","46600"
"NTL","2007-12-25","27.84","27.84","27.19","27.84","108430"
"NTL","2007-12-26","27.94","27.94","27","27.75","118370"
"NTL","2007-12-27","27.94","28.03","26.81","27.75","109040"
"NTL","2007-12-28","27.37","27.65","27.37","27.56","50930"
"NTL","2008-01-02","27.09","27.37","27","27","27400"
"NTL","2008-01-03","26.25","26.53","26.06","26.06","92650"
"NTL","2008-01-04","26.06","26.44","26.06","26.06","42980"
"NTL","2008-01-07","26.06","26.06","25.12","25.31","58040"
"NTL","2008-01-08","25.97","26.06","25.5","25.5","47960"
"NTL","2008-01-09","25.5","25.5","24.94","25.03","44220"
"NTL","2008-01-10","24.56","24.66","24.28","24.28","109530"
"NTL","2008-01-11","24.56","24.75","24.37","24.37","49130"
"NTL","2008-01-14","24.37","24.37","23.72","23.72","38030"
"NTL","2008-01-15","23.72","23.72","22.87","22.87","120580"
"NTL","2008-01-16","24","24","23.72","24","51700"
"NTL","2008-01-17","24.19","24.47","23.91","24.19","81270"
"NTL","2008-01-18","24.37","25.31","24.37","25.31","77540"
"NTL","2008-01-21","24.94","25.87","24.94","25.59","114500"
"NTL","2008-01-22","25.12","25.31","25.03","25.03","67410"
"NTL","2008-01-23","25.03","25.03","24.28","24.28","90840"
"NTL","2008-01-25","24.84","25.59","24.84","25.59","94690"
"NTL","2008-01-28","25.97","26.72","25.59","26.72","107440"
"NTL","2008-01-29","26.62","28.03","26.44","28.03","177500"
"NTL","2008-01-30","29.15","29.34","29.15","29.34","140470"
"NTL","2008-01-31","28.22","28.97","27.94","28.87","174260"
"NTL","2008-02-01","28.97","29.25","28.12","28.12","91890"
"NTL","2008-02-12","28.12","28.12","26.91","26.91","47250"
"NTL","2008-02-13","26.91","26.91","25.87","26.16","40240"
"NTL","2008-02-14","26.25","27.19","26.25","26.34","48680"
"NTL","2008-02-15","26.72","26.72","25.97","26.34","66850"
"NTL","2008-02-18","25.78","25.78","25.31","25.78","60140"
"NTL","2008-02-19","25.69","25.87","25.12","25.59","86820"
"NTL","2008-02-20","25.31","25.5","24.37","24.37","65410"
"NTL","2008-02-21","23.16","23.16","23.16","23.16","17910"
"NTL","2008-02-22","22.03","22.03","22.03","22.03","134000"
"NTL","2008-02-25","22.5","23.06","22.5","22.87","100260"
"NTL","2008-02-26","22.22","22.22","21.75","21.75","43010"
"NTL","2008-02-27","20.72","21.84","20.72","20.72","107250"
"NTL","2008-02-28","20.72","21.09","20.16","20.53","77690"
"NTL","2008-02-29","19.59","19.69","19.59","19.59","53740"
"NTL","2008-03-03","18.66","18.66","18.66","18.66","13250"
"NTL","2008-03-04","17.81","17.81","17.81","17.81","6130"
"NTL","2008-03-05","16.97","16.97","16.97","16.97","95990"
"NTL","2008-03-06","17.81","17.81","17.34","17.81","320860"
"NTL","2008-03-07","18.66","18.66","18.37","18.66","95760"
"NTL","2008-03-10","19.5","19.5","17.91","18.37","96650"
"NTL","2008-03-11","17.53","17.53","17.53","17.53","84570"
"NTL","2008-03-12","16.69","17.62","16.69","16.69","162870"
"NTL","2008-03-13","16.69","16.78","15.94","15.94","160190"
"NTL","2008-03-14","15.28","15.56","15.28","15.28","62290"
"NTL","2008-03-17","14.62","14.72","14.53","14.53","113260"
"NTL","2008-03-18","13.87","13.87","13.87","13.87","71460"
"NTL","2008-03-19","13.22","13.78","13.22","13.22","136830"
"NTL","2008-03-20","12.56","12.65","12.56","12.56","121580"
"NTL","2008-03-21","12","12","12","12","1950"
"NTL","2008-03-24","11.53","11.53","11.44","11.44","450"
"NTL","2008-03-25","10.87","10.87","10.87","10.87","420"
"NTL","2008-03-26","10.41","10.41","10.41","10.41","6570"
"NTL","2008-03-27","10.31","10.5","10.31","10.5","122070"
"NTL","2008-03-28","10.59","10.59","10.59","10.59","26580"
