symbol,date,open,high,low,close,volume,year,month,week,weekday
"OCH","2010-10-01","19.93","19.93","17.27","17.8","245000","2010","10","40","Friday"
"OCH","2010-10-04","17.8","17.8","17.14","17.14","134900","2010","10","41","Monday"
"OCH","2010-10-05","16.81","17.14","16.67","16.81","226000","2010","10","41","Tuesday"
"OCH","2010-10-06","17.01","17.34","16.94","17.14","197300","2010","10","41","Wednesday"
"OCH","2010-10-07","17.27","17.27","16.94","16.94","209100","2010","10","41","Thursday"
"OCH","2010-10-08","17.07","17.07","16.87","16.87","278900","2010","10","41","Friday"
"OCH","2010-10-11","17.07","17.07","16.74","16.74","83200","2010","10","42","Monday"
"OCH","2010-10-12","17.27","17.27","16.67","16.94","216000","2010","10","42","Tuesday"
"OCH","2010-10-13","17.07","17.07","16.87","16.94","216300","2010","10","42","Wednesday"
"OCH","2010-10-14","17.01","17.01","16.74","17.01","205700","2010","10","42","Thursday"
"OCH","2010-10-15","16.94","17.07","16.94","17.07","175900","2010","10","42","Friday"
"OCH","2010-10-18","17.07","17.14","17.01","17.01","274000","2010","10","43","Monday"
"OCH","2010-10-19","17.07","17.14","16.94","17.01","137800","2010","10","43","Tuesday"
"OCH","2010-10-20","17.07","17.07","16.61","16.61","44400","2010","10","43","Wednesday"
"OCH","2010-10-21","16.74","16.74","16.61","16.67","103500","2010","10","43","Thursday"
"OCH","2010-10-22","16.67","16.67","16.61","16.67","138900","2010","10","43","Friday"
"OCH","2010-10-25","16.67","16.67","16.21","16.67","151100","2010","10","44","Monday"
"OCH","2010-10-26","16.67","17.07","16.41","16.41","68200","2010","10","44","Tuesday"
"OCH","2010-10-27","16.67","16.67","16.27","16.54","48800","2010","10","44","Wednesday"
"OCH","2010-10-28","16.48","16.54","16.27","16.27","23700","2010","10","44","Thursday"
"OCH","2010-10-29","16.41","16.61","16.34","16.61","104200","2010","10","44","Friday"
"OCH","2010-11-01","16.41","16.54","15.94","15.94","46400","2010","11","45","Monday"
"OCH","2010-11-02","16.41","16.41","15.94","15.94","40300","2010","11","45","Tuesday"
"OCH","2010-11-03","16.08","16.34","15.94","16.08","91900","2010","11","45","Wednesday"
"OCH","2010-11-04","16.27","16.61","15.94","16.27","47300","2010","11","45","Thursday"
"OCH","2010-11-05","16.34","16.54","16.27","16.54","112300","2010","11","45","Friday"
"OCH","2010-11-08","16.54","16.54","16.41","16.48","76000","2010","11","46","Monday"
"OCH","2010-11-09","16.54","16.54","15.94","15.94","86300","2010","11","46","Tuesday"
"OCH","2010-11-10","16.34","16.34","15.94","16.34","61000","2010","11","46","Wednesday"
"OCH","2010-11-11","16.27","16.27","16.27","16.27","62000","2010","11","46","Thursday"
"OCH","2010-11-12","16.21","16.21","15.15","15.15","195500","2010","11","46","Friday"
"OCH","2010-11-15","15.74","15.74","14.68","14.88","24900","2010","11","47","Monday"
"OCH","2010-11-16","13.95","14.62","13.95","13.95","62300","2010","11","47","Tuesday"
"OCH","2010-11-17","14.75","14.81","13.09","13.09","155400","2010","11","47","Wednesday"
"OCH","2010-11-18","14.28","15.28","14.28","14.68","65500","2010","11","47","Thursday"
"OCH","2010-11-19","14.95","15.28","14.81","14.95","81400","2010","11","47","Friday"
"OCH","2010-11-22","14.88","14.95","13.88","14.68","93000","2010","11","48","Monday"
"OCH","2010-11-23","14.88","15.08","13.95","15.01","138800","2010","11","48","Tuesday"
"OCH","2010-11-24","14.75","14.95","14.62","14.95","218800","2010","11","48","Wednesday"
"OCH","2010-11-25","14.88","14.88","14.88","14.88","105400","2010","11","48","Thursday"
"OCH","2010-11-26","14.88","14.88","14.75","14.88","56200","2010","11","48","Friday"
"OCH","2010-11-29","14.81","14.81","14.81","14.81","28500","2010","11","49","Monday"
"OCH","2010-11-30","14.75","14.88","14.62","14.88","100800","2010","11","49","Tuesday"
"OCH","2010-12-01","14.81","14.88","14.62","14.88","40300","2010","12","49","Wednesday"
"OCH","2010-12-02","14.75","14.81","14.55","14.81","104600","2010","12","49","Thursday"
"OCH","2010-12-03","14.81","15.74","14.81","15.68","271900","2010","12","49","Friday"
"OCH","2010-12-06","15.88","16.41","15.81","16.08","78000","2010","12","50","Monday"
"OCH","2010-12-07","16.61","16.61","15.54","15.94","195900","2010","12","50","Tuesday"
"OCH","2010-12-08","15.88","16.21","15.41","16.08","185300","2010","12","50","Wednesday"
"OCH","2010-12-09","16.01","16.01","15.28","15.94","105400","2010","12","50","Thursday"
"OCH","2010-12-10","15.61","16.48","15.61","16.48","319600","2010","12","50","Friday"
"OCH","2010-12-13","16.74","17.27","16.61","16.87","519000","2010","12","51","Monday"
"OCH","2010-12-14","16.94","17.14","15.94","16.21","410700","2010","12","51","Tuesday"
"OCH","2010-12-15","16.61","16.67","16.34","16.61","248400","2010","12","51","Wednesday"
"OCH","2010-12-16","16.27","16.54","15.74","15.81","185900","2010","12","51","Thursday"
"OCH","2010-12-17","16.01","16.27","15.94","16.08","109700","2010","12","51","Friday"
"OCH","2010-12-20","17.27","17.27","15.94","15.94","127900","2010","12","52","Monday"
"OCH","2010-12-21","15.94","16.54","15.94","16.48","41900","2010","12","52","Tuesday"
"OCH","2010-12-22","16.61","16.61","15.94","15.94","111700","2010","12","52","Wednesday"
"OCH","2010-12-23","15.94","16.21","15.28","15.94","168400","2010","12","52","Thursday"
"OCH","2010-12-24","16.14","16.27","15.74","15.88","284000","2010","12","52","Friday"
