symbol,date,open,high,low,close,volume,year,month,week,weekday
"ONW","2017-02-17","8.4","8.4","7.8","8.4","400","2017","02","7","Friday"
"ONW","2017-02-21","9.3","9.3","9.3","9.3","100","2017","02","8","Tuesday"
"ONW","2017-02-22","9.8","9.8","9.8","9.8","200","2017","02","8","Wednesday"
"ONW","2017-02-23","10","10","10","10","100","2017","02","8","Thursday"
"ONW","2017-02-24","10.5","10.5","10.5","10.5","100","2017","02","8","Friday"
"ONW","2017-02-27","11","11","11","11","100","2017","02","9","Monday"
"ONW","2017-02-28","11.5","11.5","11.5","11.5","100","2017","02","9","Tuesday"
"ONW","2017-03-01","12.1","12.1","11.8","11.8","200","2017","03","9","Wednesday"
"ONW","2017-03-02","12","12.7","12","12.7","300","2017","03","9","Thursday"
"ONW","2017-03-03","12.8","12.8","12.6","12.7","300","2017","03","9","Friday"
"ONW","2017-03-06","12.6","12.7","12.6","12.7","200","2017","03","10","Monday"
"ONW","2017-03-07","12.9","13","12.9","13","200","2017","03","10","Tuesday"
"ONW","2017-03-08","12.9","13.1","12.9","13.1","300","2017","03","10","Wednesday"
"ONW","2017-03-09","13","13","13","13","200","2017","03","10","Thursday"
"ONW","2017-03-10","13.2","13.2","13.2","13.2","100","2017","03","10","Friday"
"ONW","2017-03-13","13.3","13.4","13.3","13.4","200","2017","03","11","Monday"
"ONW","2017-03-14","13.5","13.6","13.5","13.6","200","2017","03","11","Tuesday"
"ONW","2017-03-15","13.7","13.8","13.7","13.8","300","2017","03","11","Wednesday"
"ONW","2017-03-16","14","14","14","14","100","2017","03","11","Thursday"
"ONW","2017-03-17","14.1","14.2","14.1","14.2","200","2017","03","11","Friday"
"ONW","2017-03-20","14.2","14.5","14.2","14.5","300","2017","03","12","Monday"
"ONW","2017-03-21","14.5","14.5","14.5","14.5","10","2017","03","12","Tuesday"
"ONW","2017-03-22","14.7","14.7","14.6","14.6","20","2017","03","12","Wednesday"
"ONW","2017-03-23","14.7","14.8","14.7","14.8","200","2017","03","12","Thursday"
"ONW","2017-03-24","14.8","14.9","14.8","14.9","200","2017","03","12","Friday"
"ONW","2017-03-27","14.9","15","14.9","15","200","2017","03","13","Monday"
