symbol,date,open,high,low,close,volume
"PBT","2019-01-23","15.06","15.06","15.06","15.06","3000"
"PBT","2019-01-25","17.29","17.29","17.29","17.29","2000"
"PBT","2019-01-30","14.73","19.86","14.73","19.86","3100"
"PBT","2019-01-31","17.13","17.13","17.13","17.13","200"
"PBT","2019-02-11","14.56","19.69","14.56","19.69","300"
"PBT","2019-02-26","15.3","15.3","15.3","15.3","1000"
"PBT","2019-02-27","17.46","17.46","15.3","15.3","300"
"PBT","2019-02-28","18.37","18.37","18.37","18.37","100"
"PBT","2019-03-28","20.68","20.68","15.64","15.64","300"
"PBT","2019-04-01","14.73","14.73","14.73","14.73","100"
"PBT","2019-04-03","16.79","16.79","16.79","16.79","300"
"PBT","2019-04-05","14.31","14.31","14.31","14.31","200"
"PBT","2019-04-08","16.3","16.3","16.3","16.3","100"
"PBT","2019-04-18","13.9","13.9","13.9","13.9","100"
"PBT","2019-04-26","15.88","15.88","15.88","15.88","100"
"PBT","2019-05-09","13.57","13.57","13.57","13.57","5000"
"PBT","2019-05-15","15.47","15.47","15.47","15.47","100"
"PBT","2019-05-16","17.7","17.7","17.7","17.7","100"
"PBT","2019-06-14","20.1","20.1","20.1","20.1","100"
"PBT","2019-07-10","17.14","17.14","17.14","17.14","100"
"PBT","2019-07-11","19.58","19.58","14.6","14.6","400"
"PBT","2019-07-12","18.15","18.15","13.51","17.64","1100"
"PBT","2019-07-15","16.8","16.8","16.8","16.8","100"
"PBT","2019-07-16","14.35","14.35","14.35","14.35","200"
"PBT","2019-07-17","12.24","12.24","12.24","12.24","100"
"PBT","2019-07-18","13.76","13.76","10.47","10.47","800"
"PBT","2019-07-19","11.23","11.31","9.29","11.31","300"
"PBT","2019-07-22","11.73","11.73","11.73","11.73","100"
"PBT","2019-07-23","13.34","13.34","13.34","13.34","100"
"PBT","2019-07-24","15.19","15.19","11.39","11.39","300"
"PBT","2019-07-26","12.32","12.32","9.2","9.2","200"
"PBT","2019-07-29","9.2","10.47","9.2","9.2","300"
"PBT","2019-07-30","10.04","10.04","10.04","10.04","100"
"PBT","2019-08-01","8.61","8.61","8.61","8.61","300"
"PBT","2019-08-02","7.34","9.79","7.34","9.79","300"
"PBT","2019-08-05","8.95","8.95","8.95","8.95","300"
"PBT","2019-08-06","9.62","9.62","7.68","9.03","300"
"PBT","2019-08-07","9.62","9.62","9.62","9.62","100"
