symbol,date,open,high,low,close,volume
"PCE","2015-07-23","8.48","8.48","7.53","8.01","59400"
"PCE","2015-07-24","8.01","8.24","8.01","8.01","8700"
"PCE","2015-07-27","7.96","8.01","7.77","7.77","15000"
"PCE","2015-07-28","7.53","7.77","7.53","7.53","33400"
"PCE","2015-07-29","7.53","7.63","7.3","7.3","29300"
"PCE","2015-07-30","7.35","7.44","7.35","7.39","16000"
"PCE","2015-07-31","7.39","7.39","7.35","7.35","11200"
"PCE","2015-08-03","7.02","7.39","7.02","7.35","26600"
"PCE","2015-08-04","7.11","7.3","7.06","7.16","18600"
"PCE","2015-08-05","7.3","7.3","7.02","7.3","17200"
"PCE","2015-08-07","7.02","7.02","7.02","7.02","500"
"PCE","2015-08-10","6.97","6.97","6.69","6.69","22600"
"PCE","2015-08-11","6.73","6.73","6.73","6.73","1900"
"PCE","2015-08-12","6.88","6.92","6.73","6.83","15600"
"PCE","2015-08-17","6.92","6.92","6.83","6.83","1300"
"PCE","2015-08-18","6.83","6.83","6.83","6.83","500"
"PCE","2015-08-19","6.73","6.83","6.73","6.83","1700"
"PCE","2015-08-20","6.73","6.78","6.73","6.78","5700"
"PCE","2015-08-21","6.73","6.78","6.73","6.78","2100"
"PCE","2015-08-24","6.69","6.69","6.69","6.69","1000"
"PCE","2015-08-28","6.83","6.83","6.83","6.83","1000"
"PCE","2015-08-31","6.69","6.73","6.69","6.73","7900"
"PCE","2015-09-07","6.64","6.92","6.64","6.92","700"
"PCE","2015-09-09","6.88","6.88","6.88","6.88","100"
"PCE","2015-09-14","6.97","6.97","6.97","6.97","400"
"PCE","2015-09-16","6.73","6.73","6.73","6.73","200"
"PCE","2015-09-17","6.97","6.97","6.97","6.97","100"
"PCE","2015-09-21","6.64","6.64","6.64","6.64","100"
"PCE","2015-09-22","6.97","7.02","6.97","7.02","300"
"PCE","2015-09-23","6.97","6.97","6.97","6.97","500"
"PCE","2015-09-24","7.02","7.02","7.02","7.02","1100"
"PCE","2015-09-25","7.02","7.02","6.97","6.97","1900"
"PCE","2015-09-29","6.88","7.06","6.88","7.06","2500"
"PCE","2015-10-02","6.73","6.73","6.73","6.73","3000"
"PCE","2015-10-05","6.73","6.73","6.73","6.73","1000"
"PCE","2015-10-07","7.16","7.16","7.16","7.16","100"
"PCE","2015-10-08","6.73","6.73","6.73","6.73","100"
"PCE","2015-10-12","7.06","7.06","7.06","7.06","100"
"PCE","2015-10-16","7.06","7.16","7.06","7.16","2000"
"PCE","2015-10-22","6.92","6.92","6.92","6.92","700"
"PCE","2015-10-26","6.88","6.88","6.88","6.88","2700"
"PCE","2015-10-28","7.06","7.06","7.06","7.06","300"
"PCE","2015-10-29","7.06","7.06","6.88","6.88","2200"
"PCE","2015-10-30","6.88","6.88","6.88","6.88","10000"
"PCE","2015-11-02","7.06","7.06","6.88","6.88","7000"
"PCE","2015-11-03","6.88","6.88","6.83","6.83","18000"
"PCE","2015-11-04","6.83","6.83","6.83","6.83","5000"
"PCE","2015-11-05","6.73","6.73","6.73","6.73","7000"
"PCE","2015-11-11","6.83","6.83","6.83","6.83","700"
"PCE","2015-11-12","6.59","6.59","6.59","6.59","7000"
"PCE","2015-11-13","6.5","6.5","6.5","6.5","14000"
"PCE","2015-11-24","6.45","6.45","6.45","6.45","3900"
"PCE","2015-11-26","6.83","6.83","6.83","6.83","100"
"PCE","2015-11-30","6.17","6.83","6.17","6.64","4400"
"PCE","2015-12-01","5.98","5.98","5.98","5.98","100"
"PCE","2015-12-03","6.21","6.21","6.21","6.21","100"
"PCE","2015-12-07","6.5","6.5","6.5","6.5","100"
"PCE","2015-12-18","7.11","7.11","7.11","7.11","100"
"PCE","2015-12-21","6.4","6.4","6.4","6.4","100"
"PCE","2015-12-23","7.02","7.02","7.02","7.02","100"
"PCE","2015-12-24","6.36","6.36","6.36","6.36","100"
"PCE","2015-12-25","6.69","6.69","6.69","6.69","200"
"PCE","2015-12-28","6.03","6.03","6.03","6.03","100"
"PCE","2015-12-29","6.36","6.36","6.36","6.36","200"
"PCE","2015-12-31","6.5","6.73","6.5","6.73","200"
"PCE","2016-01-04","6.07","6.07","6.07","6.07","100"
"PCE","2016-01-08","6.12","6.12","6.12","6.12","100"
"PCE","2016-01-12","6.4","6.4","6.4","6.4","200"
"PCE","2016-01-13","6.12","6.12","6.12","6.12","600"
"PCE","2016-01-14","6.31","6.31","6.31","6.31","100"
"PCE","2016-01-15","6.31","6.31","6.31","6.31","200"
"PCE","2016-01-18","6.07","6.07","6.07","6.07","1700"
"PCE","2016-01-19","6.03","6.03","6.03","6.03","1000"
"PCE","2016-01-21","6.12","6.12","6.12","6.12","200"
"PCE","2016-01-25","6.64","6.64","6.17","6.17","1200"
"PCE","2016-01-26","5.98","5.98","5.98","5.98","7800"
"PCE","2016-01-27","6.36","6.36","6.36","6.36","100"
"PCE","2016-01-28","5.75","6.45","5.75","6.21","500"
"PCE","2016-02-01","5.6","6.36","5.6","5.98","1500"
"PCE","2016-02-15","6.12","6.12","6.12","6.12","300"
"PCE","2016-02-16","6.12","6.12","6.12","6.12","300"
"PCE","2016-02-17","6.12","6.12","6.12","6.12","2200"
"PCE","2016-02-18","6.73","6.73","6.73","6.73","100"
"PCE","2016-02-19","6.07","6.07","6.07","6.07","100"
"PCE","2016-02-24","6.12","6.12","6.12","6.12","200"
"PCE","2016-02-26","6.69","6.69","6.69","6.69","100"
"PCE","2016-03-01","6.36","6.36","6.36","6.36","1900"
"PCE","2016-03-02","6.36","6.36","6.36","6.36","3100"
"PCE","2016-03-07","6.36","6.36","6.36","6.36","200"
"PCE","2016-03-08","6.12","6.12","6.12","6.12","10000"
"PCE","2016-03-09","6.59","6.59","6.59","6.59","100"
"PCE","2016-03-10","6.36","6.36","6.36","6.36","500"
"PCE","2016-03-14","6.54","6.54","6.54","6.54","300"
"PCE","2016-03-15","6.36","6.36","6.36","6.36","100"
"PCE","2016-03-16","6.17","6.17","6.12","6.12","5000"
"PCE","2016-03-17","6.26","6.26","6.26","6.26","900"
"PCE","2016-03-21","6.21","6.21","6.21","6.21","1900"
"PCE","2016-03-22","6.17","6.17","6.17","6.17","8400"
"PCE","2016-03-23","6.21","6.21","6.21","6.21","400"
"PCE","2016-03-24","6.21","6.21","6.17","6.17","800"
"PCE","2016-03-25","6.12","6.12","6.12","6.12","8200"
"PCE","2016-03-28","6.07","6.07","6.07","6.07","2200"
"PCE","2016-03-29","6.31","6.31","6.31","6.31","100"
"PCE","2016-03-30","6.31","6.45","6.31","6.45","8100"
"PCE","2016-03-31","6.5","6.5","6.5","6.5","1000"
"PCE","2016-04-01","6.54","6.54","6.5","6.5","2000"
"PCE","2016-04-05","6.78","6.78","6.78","6.78","100"
"PCE","2016-04-07","6.97","6.97","6.83","6.83","1100"
"PCE","2016-04-08","6.97","7.44","6.97","7.44","800"
"PCE","2016-04-11","6.83","6.83","6.73","6.83","4100"
"PCE","2016-04-12","6.83","7.16","6.83","7.16","2500"
"PCE","2016-04-13","7.02","7.02","7.02","7.02","100"
"PCE","2016-04-14","7.53","7.53","7.53","7.53","100"
"PCE","2016-04-15","6.78","6.78","6.78","6.78","100"
"PCE","2016-04-19","7.35","7.35","7.35","7.35","100"
"PCE","2016-04-20","6.64","6.64","6.64","6.64","100"
"PCE","2016-04-21","7.3","7.3","6.92","6.92","3400"
"PCE","2016-04-22","7.3","7.3","7.02","7.02","2000"
"PCE","2016-04-25","7.67","7.67","7.67","7.67","100"
"PCE","2016-04-27","6.92","7.16","6.92","7.16","200"
"PCE","2016-04-28","7.3","7.3","7.3","7.3","1000"
"PCE","2016-05-05","7.09","7.09","7.09","7.09","100"
"PCE","2016-05-09","7.25","7.25","7.25","7.25","1400"
"PCE","2016-05-11","7.14","7.14","7.14","7.14","3000"
"PCE","2016-05-13","7.5","7.5","7.5","7.5","900"
"PCE","2016-05-20","7.25","7.25","7.25","7.25","1500"
"PCE","2016-05-23","7.25","7.25","7.25","7.25","600"
"PCE","2016-05-24","7.25","7.25","7.25","7.25","900"
"PCE","2016-05-25","7.35","7.35","7.35","7.35","600"
"PCE","2016-05-31","7.35","7.35","7.35","7.35","100"
"PCE","2016-06-02","7.4","7.4","7.4","7.4","100"
"PCE","2016-06-03","7.4","7.45","7.4","7.4","7000"
"PCE","2016-06-06","7.5","7.5","7.45","7.45","3300"
"PCE","2016-06-07","7.5","7.5","7.45","7.45","3500"
"PCE","2016-06-08","7.45","7.45","7.45","7.45","1600"
"PCE","2016-06-09","7.5","8.07","7.5","8.07","300"
"PCE","2016-06-10","7.3","8.02","7.3","7.5","300"
"PCE","2016-06-13","7.76","7.76","7.76","7.76","100"
"PCE","2016-06-14","7.76","7.76","7.56","7.56","200"
"PCE","2016-06-15","7.97","7.97","7.5","7.5","200"
"PCE","2016-06-16","7.76","7.76","7.5","7.5","200"
"PCE","2016-06-17","7.76","7.76","7.5","7.5","200"
"PCE","2016-06-24","7.5","7.5","7.5","7.5","4700"
"PCE","2016-06-27","7.5","7.5","7.45","7.45","9000"
"PCE","2016-06-28","7.45","8.18","7.45","8.18","1300"
"PCE","2016-06-29","8.18","8.18","8.18","8.18","100"
"PCE","2016-06-30","7.4","7.4","7.4","7.4","100"
"PCE","2016-07-15","7.4","7.4","7.4","7.4","100"
"PCE","2016-07-19","7.4","7.4","7.4","7.4","500"
"PCE","2016-07-20","7.82","7.82","7.82","7.82","100"
"PCE","2016-07-21","7.76","7.76","7.76","7.76","200"
"PCE","2016-07-22","7.25","7.76","7.25","7.76","200"
"PCE","2016-07-25","6.99","7.71","6.99","7.71","1000"
"PCE","2016-07-27","6.99","7.71","6.99","7.71","200"
"PCE","2016-07-28","6.99","7.71","6.99","7.71","200"
"PCE","2016-08-01","7.04","7.76","7.04","7.76","200"
"PCE","2016-08-02","6.99","7.76","6.99","7.66","900"
"PCE","2016-08-03","6.94","7.66","6.94","7.66","200"
"PCE","2016-08-04","6.94","7.66","6.94","7.5","800"
"PCE","2016-08-05","7.76","7.76","7.3","7.3","600"
"PCE","2016-08-08","7.4","7.4","7.4","7.4","200"
"PCE","2016-08-09","7.71","7.71","7.71","7.71","200"
"PCE","2016-08-12","7.3","7.45","7.3","7.45","300"
"PCE","2016-08-18","7.4","7.4","7.4","7.4","1000"
"PCE","2016-08-19","7.35","7.35","7.35","7.35","200"
"PCE","2016-08-26","7.35","7.35","7.35","7.35","2000"
"PCE","2016-08-29","7.35","7.35","7.35","7.35","3100"
"PCE","2016-08-31","7.45","7.45","7.45","7.45","100"
"PCE","2016-09-01","7.3","7.97","7.3","7.97","2100"
"PCE","2016-09-05","7.2","7.87","7.2","7.87","3200"
"PCE","2016-09-06","7.09","7.87","7.09","7.87","200"
"PCE","2016-09-07","7.09","7.82","7.09","7.82","300"
"PCE","2016-09-08","7.04","7.82","7.04","7.82","200"
"PCE","2016-09-09","7.09","7.4","7.09","7.4","200"
"PCE","2016-09-12","7.4","7.66","7.4","7.66","2100"
"PCE","2016-09-13","7.45","7.56","7.35","7.4","3400"
"PCE","2016-09-14","7.4","7.4","7.4","7.4","100"
"PCE","2016-09-15","7.61","7.61","7.4","7.4","200"
"PCE","2016-09-16","7.66","8.13","7.66","8.13","400"
"PCE","2016-09-19","8.13","8.13","7.61","7.61","1200"
"PCE","2016-09-20","7.5","7.5","7.5","7.5","100"
"PCE","2016-09-21","7.56","7.56","7.5","7.56","300"
"PCE","2016-09-23","8.28","8.28","8.28","8.28","100"
"PCE","2016-09-26","7.45","7.66","7.45","7.66","200"
"PCE","2016-09-27","7.87","7.87","7.76","7.76","200"
"PCE","2016-09-28","8.54","8.54","7.5","7.76","2100"
"PCE","2016-09-29","8.54","8.54","7.76","7.76","200"
"PCE","2016-09-30","8.54","8.54","7.5","8.38","500"
"PCE","2016-10-03","7.56","8.38","7.56","7.71","800"
"PCE","2016-10-04","7.61","7.76","7.61","7.76","300"
"PCE","2016-10-05","7.56","7.76","7.56","7.76","700"
"PCE","2016-10-06","7.56","7.92","7.56","7.92","200"
"PCE","2016-10-11","7.56","7.92","7.56","7.56","700"
"PCE","2016-10-12","8.28","8.28","8.28","8.28","100"
"PCE","2016-10-13","8.18","8.18","7.56","7.56","200"
