symbol,date,open,high,low,close,volume,year,month,week,weekday
"PCG","2010-12-29","12.69","14.28","9.6","9.6","32700","2010","12","53","Wednesday"
"PCG","2010-12-30","10.95","10.95","9.52","9.52","19200","2010","12","53","Thursday"
"PCG","2010-12-31","9.2","9.2","9.12","9.12","2300","2010","12","53","Friday"
"PCG","2011-01-04","9.68","9.68","9.68","9.68","100","2011","01","1","Tuesday"
"PCG","2011-01-05","9.04","9.52","9.04","9.36","2400","2011","01","1","Wednesday"
"PCG","2011-01-06","9.52","9.52","8.49","9.36","1300","2011","01","1","Thursday"
"PCG","2011-01-07","9.04","9.04","8.25","8.88","1100","2011","01","1","Friday"
"PCG","2011-01-10","9.12","9.12","9.12","9.12","100","2011","01","2","Monday"
"PCG","2011-01-11","9.36","9.36","9.12","9.12","300","2011","01","2","Tuesday"
"PCG","2011-01-12","9.76","9.76","9.76","9.76","100","2011","01","2","Wednesday"
"PCG","2011-01-14","9.28","9.28","9.28","9.28","500","2011","01","2","Friday"
"PCG","2011-01-17","8.65","9.12","8.65","8.65","2300","2011","01","3","Monday"
"PCG","2011-01-18","8.73","8.73","8.17","8.57","1500","2011","01","3","Tuesday"
"PCG","2011-01-19","7.85","7.85","7.77","7.77","7600","2011","01","3","Wednesday"
"PCG","2011-01-20","7.77","7.93","7.38","7.38","7500","2011","01","3","Thursday"
"PCG","2011-01-21","7.7","7.93","7.54","7.54","2000","2011","01","3","Friday"
"PCG","2011-01-24","7.93","7.93","7.46","7.77","500","2011","01","4","Monday"
"PCG","2011-01-26","7.14","7.14","7.14","7.14","900","2011","01","4","Wednesday"
"PCG","2011-01-27","7.62","7.62","7.22","7.22","600","2011","01","4","Thursday"
"PCG","2011-01-28","7.85","7.85","7.77","7.77","5600","2011","01","4","Friday"
"PCG","2011-02-08","7.62","8.25","7.46","7.46","1200","2011","02","6","Tuesday"
"PCG","2011-02-09","8.09","8.09","8.09","8.09","200","2011","02","6","Wednesday"
"PCG","2011-02-10","7.54","7.54","7.54","7.54","11000","2011","02","6","Thursday"
"PCG","2011-02-11","8.01","8.01","7.54","7.54","5700","2011","02","6","Friday"
"PCG","2011-02-14","7.77","7.77","7.77","7.77","900","2011","02","7","Monday"
"PCG","2011-02-16","7.3","7.54","7.3","7.54","8000","2011","02","7","Wednesday"
"PCG","2011-02-17","7.38","7.77","6.98","6.98","800","2011","02","7","Thursday"
"PCG","2011-02-18","7.46","7.46","6.74","6.74","400","2011","02","7","Friday"
"PCG","2011-02-21","6.5","6.5","6.5","6.5","1400","2011","02","8","Monday"
"PCG","2011-02-22","6.11","6.11","6.11","6.11","5100","2011","02","8","Tuesday"
"PCG","2011-02-23","5.71","6.35","5.71","6.35","8100","2011","02","8","Wednesday"
"PCG","2011-02-24","5.32","5.63","5.32","5.63","2500","2011","02","8","Thursday"
"PCG","2011-02-25","5.55","5.55","5.16","5.55","4800","2011","02","8","Friday"
"PCG","2011-02-28","5.79","5.79","5.79","5.79","3500","2011","02","9","Monday"
"PCG","2011-03-01","6.03","6.03","6.03","6.03","1100","2011","03","9","Tuesday"
"PCG","2011-03-03","6.19","6.35","6.19","6.19","300","2011","03","9","Thursday"
"PCG","2011-03-04","6.35","6.35","6.35","6.35","900","2011","03","9","Friday"
"PCG","2011-03-07","6.58","6.58","6.35","6.58","300","2011","03","10","Monday"
"PCG","2011-03-08","6.66","6.66","6.66","6.66","100","2011","03","10","Tuesday"
"PCG","2011-03-10","6.27","6.5","6.27","6.27","2100","2011","03","10","Thursday"
"PCG","2011-03-11","5.95","6.27","5.95","5.95","3200","2011","03","10","Friday"
"PCG","2011-03-14","6.27","6.27","5.63","5.63","800","2011","03","11","Monday"
"PCG","2011-03-15","5.32","5.32","5.32","5.32","1400","2011","03","11","Tuesday"
