symbol,date,open,high,low,close,volume,year,month,week,weekday
"PDN","2011-10-26","6.04","7.81","6.04","7.81","18600","2011","10","43","Wednesday"
"PDN","2011-10-27","8","8","8","8","100","2011","10","43","Thursday"
"PDN","2011-10-28","7.61","7.61","7.61","7.61","110","2011","10","43","Friday"
"PDN","2011-10-31","7.61","7.61","7.61","7.61","100","2011","10","44","Monday"
"PDN","2011-11-03","7.24","7.24","7.24","7.24","110","2011","11","44","Thursday"
"PDN","2011-11-04","6.9","6.9","6.9","6.9","1740","2011","11","44","Friday"
"PDN","2011-11-16","6.56","6.56","6.56","6.56","10","2011","11","46","Wednesday"
"PDN","2011-12-01","6.25","6.25","6.25","6.25","10","2011","12","48","Thursday"
"PDN","2011-12-02","5.94","5.94","5.94","5.94","10","2011","12","48","Friday"
"PDN","2011-12-05","5.65","5.65","5.65","5.65","10","2011","12","49","Monday"
"PDN","2011-12-06","5.39","5.39","5.39","5.39","10","2011","12","49","Tuesday"
"PDN","2011-12-07","5.13","5.65","5.13","5.13","2120","2011","12","49","Wednesday"
"PDN","2011-12-08","5.31","5.31","5.31","5.31","1000","2011","12","49","Thursday"
"PDN","2011-12-09","5.52","5.52","5.52","5.52","2000","2011","12","49","Friday"
"PDN","2011-12-12","5.78","5.78","5.78","5.78","3000","2011","12","50","Monday"
"PDN","2011-12-13","6.07","6.07","6.07","6.07","100","2011","12","50","Tuesday"
"PDN","2011-12-14","6.33","6.36","6.33","6.36","1000","2011","12","50","Wednesday"
"PDN","2011-12-15","6.51","6.51","6.51","6.51","1500","2011","12","50","Thursday"
"PDN","2011-12-16","6.2","6.64","6.2","6.64","120","2011","12","50","Friday"
"PDN","2011-12-19","6.59","6.77","6.59","6.77","1000","2011","12","51","Monday"
"PDN","2011-12-20","6.88","6.9","6.88","6.9","600","2011","12","51","Tuesday"
"PDN","2011-12-21","6.9","7.24","6.9","7.24","4700","2011","12","51","Wednesday"
"PDN","2011-12-22","7.27","7.27","7.27","7.27","1210","2011","12","51","Thursday"
"PDN","2011-12-23","7.29","7.29","6.93","6.93","130","2011","12","51","Friday"
"PDN","2011-12-26","7.27","7.27","7.27","7.27","1060","2011","12","52","Monday"
"PDN","2011-12-28","7.29","7.61","7.29","7.61","3600","2011","12","52","Wednesday"
"PDN","2011-12-29","7.29","7.97","7.29","7.97","13290","2011","12","52","Thursday"
"PDN","2011-12-30","7.58","7.66","7.58","7.66","45400","2011","12","52","Friday"
"PDN","2012-01-03","7.32","7.32","7.32","7.32","70","2012","01","1","Tuesday"
"PDN","2012-01-10","6.95","6.95","6.95","6.95","2340","2012","01","2","Tuesday"
"PDN","2012-02-02","7.03","7.03","7.03","7.03","20","2012","02","5","Thursday"
"PDN","2012-02-07","7.37","7.37","7.37","7.37","100","2012","02","6","Tuesday"
"PDN","2012-02-08","7.74","7.74","7.74","7.74","10","2012","02","6","Wednesday"
"PDN","2012-02-14","7.94","7.94","7.94","7.94","10","2012","02","7","Tuesday"
"PDN","2012-02-20","8.07","8.07","8.07","8.07","10","2012","02","8","Monday"
"PDN","2012-02-21","7.81","7.81","7.81","7.81","100","2012","02","8","Tuesday"
"PDN","2012-02-22","8.07","8.07","8.07","8.07","10","2012","02","8","Wednesday"
"PDN","2012-02-24","8.2","8.2","8.2","8.2","10","2012","02","8","Friday"
"PDN","2012-03-02","7.81","7.81","7.81","7.81","100","2012","03","9","Friday"
"PDN","2012-03-05","8.07","8.07","7.81","7.81","710","2012","03","10","Monday"
"PDN","2012-03-06","7.55","7.55","7.55","7.55","2000","2012","03","10","Tuesday"
"PDN","2012-03-07","7.29","7.29","7.29","7.29","500","2012","03","10","Wednesday"
"PDN","2012-03-09","7.66","7.66","7.16","7.16","3010","2012","03","10","Friday"
"PDN","2012-03-12","7.5","7.5","7.5","7.5","10","2012","03","11","Monday"
"PDN","2012-03-13","7.42","7.42","7.42","7.42","10","2012","03","11","Tuesday"
"PDN","2012-03-16","7.11","7.11","7.11","7.11","10","2012","03","11","Friday"
"PDN","2012-03-23","7.29","7.29","7.29","7.29","600","2012","03","12","Friday"
"PDN","2012-03-30","7.29","7.29","7.03","7.03","3000","2012","03","13","Friday"
"PDN","2012-04-03","6.77","6.77","6.77","6.77","30","2012","04","14","Tuesday"
"PDN","2012-04-04","6.77","6.77","6.77","6.77","4000","2012","04","14","Wednesday"
"PDN","2012-04-05","6.77","6.77","6.77","6.77","2000","2012","04","14","Thursday"
"PDN","2012-04-10","6.77","6.77","6.75","6.75","5800","2012","04","15","Tuesday"
"PDN","2012-04-11","6.77","7.06","6.77","7.06","136000","2012","04","15","Wednesday"
"PDN","2012-04-12","6.77","6.77","6.72","6.72","95620","2012","04","15","Thursday"
"PDN","2012-04-13","6.9","7.01","6.72","7.01","25200","2012","04","15","Friday"
"PDN","2012-04-16","7.01","7.01","6.67","6.67","47880","2012","04","16","Monday"
"PDN","2012-04-17","6.38","6.88","6.38","6.88","24840","2012","04","16","Tuesday"
"PDN","2012-04-18","6.88","6.88","6.56","6.56","17300","2012","04","16","Wednesday"
"PDN","2012-04-19","6.56","6.56","6.25","6.25","2040","2012","04","16","Thursday"
"PDN","2012-04-20","6.07","6.51","5.96","5.96","2670","2012","04","16","Friday"
"PDN","2012-04-23","6.22","6.25","6.22","6.25","2380","2012","04","17","Monday"
"PDN","2012-04-24","6.25","6.56","6.25","6.56","20200","2012","04","17","Tuesday"
"PDN","2012-04-25","6.28","6.56","6.28","6.56","15010","2012","04","17","Wednesday"
"PDN","2012-04-26","6.25","6.25","6.25","6.25","4190","2012","04","17","Thursday"
"PDN","2012-04-27","5.99","6.49","5.99","6.49","5820","2012","04","17","Friday"
"PDN","2012-05-02","6.46","6.56","6.2","6.56","6580","2012","05","18","Wednesday"
"PDN","2012-05-03","6.51","6.51","6.51","6.51","1170","2012","05","18","Thursday"
"PDN","2012-05-04","6.51","6.82","6.51","6.51","16200","2012","05","18","Friday"
"PDN","2012-05-07","6.51","6.51","6.3","6.3","7100","2012","05","19","Monday"
"PDN","2012-05-08","6.52","6.55","6.38","6.38","5320","2012","05","19","Tuesday"
"PDN","2012-05-09","6.14","6.68","6.14","6.68","25010","2012","05","19","Wednesday"
"PDN","2012-05-10","6.49","6.49","6.49","6.49","10","2012","05","19","Thursday"
"PDN","2012-05-11","6.76","6.76","6.76","6.76","10","2012","05","19","Friday"
"PDN","2012-05-15","6.82","6.82","6.44","6.82","50","2012","05","20","Tuesday"
"PDN","2012-05-16","6.49","6.49","6.49","6.49","4960","2012","05","20","Wednesday"
"PDN","2012-05-17","6.22","6.57","6.17","6.17","73030","2012","05","20","Thursday"
"PDN","2012-05-18","5.92","5.92","5.87","5.87","94010","2012","05","20","Friday"
"PDN","2012-05-21","5.63","5.98","5.63","5.63","188340","2012","05","21","Monday"
"PDN","2012-05-22","5.9","5.9","5.44","5.52","80","2012","05","21","Tuesday"
"PDN","2012-05-23","5.28","5.28","5.28","5.28","5010","2012","05","21","Wednesday"
"PDN","2012-05-24","5.49","5.52","5.44","5.52","2200","2012","05","21","Thursday"
"PDN","2012-05-25","5.41","5.41","5.41","5.41","10","2012","05","21","Friday"
"PDN","2012-05-28","5.68","5.68","5.68","5.68","420","2012","05","22","Monday"
"PDN","2012-05-29","5.54","5.54","5.41","5.41","6940","2012","05","22","Tuesday"
"PDN","2012-05-30","5.28","5.28","5.28","5.28","10","2012","05","22","Wednesday"
"PDN","2012-05-31","5.41","5.41","5.41","5.41","120","2012","05","22","Thursday"
"PDN","2012-06-01","5.68","5.68","5.68","5.68","50","2012","06","22","Friday"
"PDN","2012-06-04","5.41","5.63","5.41","5.63","2210","2012","06","23","Monday"
"PDN","2012-06-05","5.36","5.36","5.36","5.36","100","2012","06","23","Tuesday"
"PDN","2012-06-06","5.6","5.6","5.6","5.6","1000","2012","06","23","Wednesday"
"PDN","2012-06-07","5.74","5.74","5.74","5.74","20","2012","06","23","Thursday"
"PDN","2012-06-08","5.87","5.87","5.46","5.46","20020","2012","06","23","Friday"
"PDN","2012-06-11","5.54","5.68","5.54","5.68","30","2012","06","24","Monday"
"PDN","2012-06-12","5.41","5.41","5.41","5.41","70","2012","06","24","Tuesday"
"PDN","2012-06-13","5.22","5.65","5.22","5.65","20","2012","06","24","Wednesday"
"PDN","2012-06-14","5.38","5.74","5.38","5.38","30","2012","06","24","Thursday"
"PDN","2012-06-15","5.22","5.22","5.22","5.22","10","2012","06","24","Friday"
"PDN","2012-06-18","5.03","5.03","5.03","5.03","10","2012","06","25","Monday"
"PDN","2012-06-20","5.28","5.28","5.28","5.28","100","2012","06","25","Wednesday"
"PDN","2012-06-21","5.06","5.52","5.06","5.11","310","2012","06","25","Thursday"
"PDN","2012-06-22","5.36","5.36","5.36","5.36","200","2012","06","25","Friday"
"PDN","2012-06-25","5.17","5.41","5.17","5.41","20","2012","06","26","Monday"
"PDN","2012-06-26","5.17","5.28","5.17","5.17","2410","2012","06","26","Tuesday"
"PDN","2012-06-27","4.95","5.41","4.95","5.17","130","2012","06","26","Wednesday"
"PDN","2012-06-28","5.3","5.38","5.3","5.38","810","2012","06","26","Thursday"
"PDN","2012-06-29","5.28","5.57","5.28","5.33","6430","2012","06","26","Friday"
"PDN","2012-07-02","5.41","5.54","5.09","5.54","2110","2012","07","27","Monday"
"PDN","2012-07-03","5.28","5.28","5.28","5.28","500","2012","07","27","Tuesday"
"PDN","2012-07-06","5.49","5.49","5.49","5.49","10","2012","07","27","Friday"
"PDN","2012-07-09","5.49","5.49","5.49","5.49","10","2012","07","28","Monday"
"PDN","2012-07-10","5.68","5.68","5.68","5.68","10","2012","07","28","Tuesday"
"PDN","2012-07-13","5.82","5.82","5.82","5.82","6700","2012","07","28","Friday"
"PDN","2012-07-19","6.36","6.36","6.36","6.36","10","2012","07","29","Thursday"
"PDN","2012-07-30","6.49","6.49","6.49","6.49","100","2012","07","31","Monday"
"PDN","2012-08-03","6.63","6.63","6.63","6.63","10","2012","08","31","Friday"
"PDN","2012-08-06","6.76","6.76","6.76","6.76","10","2012","08","32","Monday"
"PDN","2012-08-07","6.76","6.76","6.44","6.44","110","2012","08","32","Tuesday"
"PDN","2012-08-08","6.14","6.14","6.14","6.14","2010","2012","08","32","Wednesday"
"PDN","2012-08-09","5.84","5.84","5.84","5.84","10","2012","08","32","Thursday"
"PDN","2012-08-10","6.09","6.09","6.09","6.09","10","2012","08","32","Friday"
"PDN","2012-08-15","6.36","6.36","6.36","6.36","10","2012","08","33","Wednesday"
"PDN","2012-08-16","6.06","6.06","6.06","6.06","2000","2012","08","33","Thursday"
"PDN","2012-08-17","6.36","6.36","5.76","5.76","9220","2012","08","33","Friday"
"PDN","2012-08-20","6.03","6.03","6.03","6.03","10","2012","08","34","Monday"
"PDN","2012-08-21","6.3","6.3","6.3","6.3","10","2012","08","34","Tuesday"
"PDN","2012-08-22","6.49","6.49","6.49","6.49","10","2012","08","34","Wednesday"
"PDN","2012-08-24","6.82","6.82","6.82","6.82","10","2012","08","34","Friday"
"PDN","2012-08-29","6.49","6.49","6.49","6.49","300","2012","08","35","Wednesday"
"PDN","2012-09-14","6.17","6.17","6.17","6.17","20","2012","09","37","Friday"
"PDN","2012-09-18","6.17","6.17","6.17","6.17","200","2012","09","38","Tuesday"
"PDN","2012-10-02","6.2","6.2","6.2","6.2","10","2012","10","40","Tuesday"
"PDN","2012-10-03","6.2","6.2","6.2","6.2","10","2012","10","40","Wednesday"
"PDN","2012-10-04","6.2","6.2","6.2","6.2","10","2012","10","40","Thursday"
"PDN","2012-10-17","6.14","6.14","6.14","6.14","27180","2012","10","42","Wednesday"
"PDN","2012-10-19","6.22","6.22","6.22","6.22","10","2012","10","42","Friday"
"PDN","2012-10-24","5.92","6.06","5.92","6.03","390","2012","10","43","Wednesday"
"PDN","2012-10-25","6.22","6.22","6.22","6.22","10","2012","10","43","Thursday"
"PDN","2012-10-30","6.49","6.49","6.49","6.49","10","2012","10","44","Tuesday"
"PDN","2012-11-01","6.17","6.17","6.17","6.17","10","2012","11","44","Thursday"
"PDN","2012-11-08","5.87","5.87","5.87","5.87","10","2012","11","45","Thursday"
"PDN","2012-11-09","6","6","6","6","100","2012","11","45","Friday"
"PDN","2012-11-13","6","6","5.71","5.71","620","2012","11","46","Tuesday"
"PDN","2012-11-14","5.54","5.82","5.44","5.44","3350","2012","11","46","Wednesday"
"PDN","2012-11-15","5.17","5.22","5.17","5.22","6750","2012","11","46","Thursday"
"PDN","2012-11-19","5.14","5.14","5.14","5.14","2400","2012","11","47","Monday"
"PDN","2012-11-21","5.38","5.38","5.38","5.38","10","2012","11","47","Wednesday"
"PDN","2012-11-22","5.14","5.14","5.14","5.14","2000","2012","11","47","Thursday"
"PDN","2012-11-23","5.28","5.28","4.9","4.9","11510","2012","11","47","Friday"
"PDN","2012-11-26","5.14","5.14","5.14","5.14","10","2012","11","48","Monday"
"PDN","2012-11-27","4.92","4.92","4.9","4.9","1000","2012","11","48","Tuesday"
"PDN","2012-11-28","4.92","4.95","4.92","4.92","16420","2012","11","48","Wednesday"
"PDN","2012-11-29","4.95","4.95","4.92","4.95","7900","2012","11","48","Thursday"
"PDN","2012-11-30","5.09","5.09","5.09","5.09","100","2012","11","48","Friday"
"PDN","2012-12-03","5","5","5","5","900","2012","12","49","Monday"
"PDN","2012-12-04","5","5.03","4.92","5.03","15510","2012","12","49","Tuesday"
"PDN","2012-12-06","5.03","5.14","5.03","5.11","13030","2012","12","49","Thursday"
"PDN","2012-12-07","5.14","5.19","5.09","5.17","21880","2012","12","49","Friday"
"PDN","2012-12-10","5.17","5.19","5.14","5.19","14700","2012","12","50","Monday"
"PDN","2012-12-11","5.19","5.25","5.19","5.25","11500","2012","12","50","Tuesday"
"PDN","2012-12-12","5.25","5.28","5.22","5.25","12020","2012","12","50","Wednesday"
"PDN","2012-12-13","5.25","5.3","5.25","5.3","13180","2012","12","50","Thursday"
"PDN","2012-12-14","5.33","5.54","5.33","5.41","13570","2012","12","50","Friday"
"PDN","2012-12-17","5.49","5.68","5.49","5.68","55200","2012","12","51","Monday"
"PDN","2012-12-18","5.82","5.95","5.82","5.95","44650","2012","12","51","Tuesday"
"PDN","2012-12-19","6.2","6.25","6","6.2","24570","2012","12","51","Wednesday"
"PDN","2012-12-20","6.25","6.25","5.9","6.11","12720","2012","12","51","Thursday"
"PDN","2012-12-21","5.82","5.84","5.82","5.84","2010","2012","12","51","Friday"
"PDN","2012-12-24","5.98","5.98","5.84","5.95","550","2012","12","52","Monday"
"PDN","2012-12-25","5.74","6.25","5.65","6.06","30460","2012","12","52","Tuesday"
"PDN","2012-12-26","5.78","6.23","5.78","6.23","30","2012","12","52","Wednesday"
"PDN","2012-12-27","5.92","6.37","5.92","6.37","2040","2012","12","52","Thursday"
"PDN","2012-12-28","6.06","6.06","6.06","6.06","350","2012","12","52","Friday"
"PDN","2013-01-02","6.06","6.06","5.8","5.95","3780","2013","01","1","Wednesday"
"PDN","2013-01-03","5.8","5.95","5.66","5.66","21280","2013","01","1","Thursday"
"PDN","2013-01-04","5.41","5.89","5.41","5.86","160","2013","01","1","Friday"
"PDN","2013-01-07","5.61","5.95","5.58","5.95","8500","2013","01","2","Monday"
"PDN","2013-01-08","5.95","5.95","5.95","5.95","510","2013","01","2","Tuesday"
"PDN","2013-01-09","5.95","5.95","5.66","5.95","8610","2013","01","2","Wednesday"
"PDN","2013-01-10","5.8","5.92","5.8","5.92","3000","2013","01","2","Thursday"
"PDN","2013-01-14","5.92","5.92","5.92","5.92","100","2013","01","3","Monday"
"PDN","2013-01-15","5.69","5.89","5.69","5.89","2980","2013","01","3","Tuesday"
"PDN","2013-01-16","5.86","5.95","5.78","5.89","18830","2013","01","3","Wednesday"
"PDN","2013-01-17","5.8","5.83","5.8","5.83","2000","2013","01","3","Thursday"
"PDN","2013-01-18","5.92","5.92","5.92","5.92","10","2013","01","3","Friday"
"PDN","2013-01-21","5.95","5.95","5.95","5.95","5000","2013","01","4","Monday"
"PDN","2013-01-22","5.95","5.95","5.95","5.95","5400","2013","01","4","Tuesday"
"PDN","2013-01-23","6.12","6.12","6.12","6.12","10","2013","01","4","Wednesday"
"PDN","2013-01-24","6.17","6.51","6.17","6.48","20200","2013","01","4","Thursday"
"PDN","2013-01-25","6.17","6.48","6.17","6.48","3590","2013","01","4","Friday"
"PDN","2013-01-28","6.85","6.85","6.48","6.48","12100","2013","01","5","Monday"
"PDN","2013-01-29","6.48","6.68","6.48","6.68","7220","2013","01","5","Tuesday"
"PDN","2013-01-30","6.74","6.74","6.51","6.74","2030","2013","01","5","Wednesday"
"PDN","2013-01-31","6.77","6.77","6.77","6.77","60","2013","01","5","Thursday"
"PDN","2013-02-01","6.48","6.74","6.48","6.48","4190","2013","02","5","Friday"
"PDN","2013-02-04","6.77","6.94","6.51","6.51","18630","2013","02","6","Monday"
"PDN","2013-02-05","6.57","6.96","6.57","6.65","9000","2013","02","6","Tuesday"
"PDN","2013-02-06","7.08","7.08","6.54","6.54","40","2013","02","6","Wednesday"
"PDN","2013-02-07","6.99","6.99","6.99","6.99","5910","2013","02","6","Thursday"
"PDN","2013-02-08","6.99","7.47","6.99","7.08","2220","2013","02","6","Friday"
"PDN","2013-02-18","7.11","7.13","7.08","7.08","6220","2013","02","8","Monday"
"PDN","2013-02-19","7.16","7.19","7.16","7.16","9000","2013","02","8","Tuesday"
"PDN","2013-02-20","7.45","7.45","7.45","7.45","10","2013","02","8","Wednesday"
"PDN","2013-02-21","7.45","7.5","7.36","7.36","19960","2013","02","8","Thursday"
"PDN","2013-02-22","7.5","7.5","7.08","7.08","71340","2013","02","8","Friday"
"PDN","2013-02-25","7.36","7.45","7.08","7.08","29610","2013","02","9","Monday"
"PDN","2013-02-26","7.08","7.36","7.08","7.08","6730","2013","02","9","Tuesday"
"PDN","2013-02-27","7.36","7.36","7.36","7.36","1000","2013","02","9","Wednesday"
"PDN","2013-02-28","7.36","7.36","7.08","7.08","3330","2013","02","9","Thursday"
