symbol,date,open,high,low,close,volume,year,month,week,weekday
"PEC","2010-10-06","16.4","16.4","16.4","16.4","8000","2010","10","41","Wednesday"
"PEC","2010-12-30","13.25","13.25","13.25","13.25","100","2010","12","53","Thursday"
"PEC","2011-07-28","11.36","11.36","11.36","11.36","1800","2011","07","30","Thursday"
"PEC","2011-11-16","11.36","11.36","11.36","11.36","100","2011","11","46","Wednesday"
"PEC","2012-04-09","11.36","11.36","11.36","11.36","3000","2012","04","15","Monday"
"PEC","2012-05-10","11.36","11.36","11.36","11.36","2100","2012","05","19","Thursday"
"PEC","2012-11-07","6.94","6.94","6.94","6.94","100","2012","11","45","Wednesday"
"PEC","2013-01-25","6.94","6.94","6.94","6.94","5000","2013","01","4","Friday"
"PEC","2013-02-07","7","7","7","7","2000","2013","02","6","Thursday"
"PEC","2013-10-15","7.08","7.08","7.08","7.08","3200","2013","10","42","Tuesday"
"PEC","2013-11-05","6.37","6.37","6.37","6.37","3500","2013","11","45","Tuesday"
"PEC","2013-12-18","6.37","6.37","6.37","6.37","2700","2013","12","51","Wednesday"
"PEC","2013-12-19","6.37","6.37","6.37","6.37","3180","2013","12","51","Thursday"
"PEC","2014-01-23","6.37","6.37","6.37","6.37","2100","2014","01","4","Thursday"
"PEC","2014-01-24","6.37","6.37","6.37","6.37","2160","2014","01","4","Friday"
"PEC","2014-08-06","5.66","5.66","5.66","5.66","1500","2014","08","32","Wednesday"
"PEC","2014-09-08","5.66","5.66","5.66","5.66","700","2014","09","37","Monday"
"PEC","2014-09-26","5.66","5.66","5.66","5.66","500","2014","09","39","Friday"
"PEC","2014-12-23","5.66","5.66","5.66","5.66","1000","2014","12","52","Tuesday"
"PEC","2015-01-15","6.22","6.22","6.22","6.22","5500","2015","01","3","Thursday"
"PEC","2015-01-22","6.81","6.81","6.81","6.81","100","2015","01","4","Thursday"
"PEC","2015-04-08","6.99","6.99","6.99","6.99","500","2015","04","15","Wednesday"
"PEC","2015-05-04","7.69","7.69","7.69","7.69","8600","2015","05","19","Monday"
"PEC","2015-05-05","8.39","8.39","8.39","8.39","2000","2015","05","19","Tuesday"
"PEC","2015-05-19","8.74","8.74","8.74","8.74","1900","2015","05","21","Tuesday"
"PEC","2015-05-21","8.74","8.74","8.74","8.74","5600","2015","05","21","Thursday"
"PEC","2015-05-27","9.09","9.09","9.09","9.09","500","2015","05","22","Wednesday"
"PEC","2015-06-08","8.21","8.21","8.21","8.21","100","2015","06","24","Monday"
"PEC","2015-06-11","7.43","7.43","7.43","7.43","100","2015","06","24","Thursday"
"PEC","2015-06-17","6.73","6.73","6.73","6.73","100","2015","06","25","Wednesday"
"PEC","2015-08-12","8.91","8.91","8.91","8.91","200","2015","08","33","Wednesday"
"PEC","2015-08-20","7.86","7.86","7.86","7.86","100","2015","08","34","Thursday"
"PEC","2015-08-24","7.69","7.69","7.69","7.69","5600","2015","08","35","Monday"
"PEC","2015-09-03","8.82","8.82","8.82","8.82","460","2015","09","36","Thursday"
"PEC","2015-10-13","10.13","10.13","10.13","10.13","200","2015","10","42","Tuesday"
"PEC","2015-10-14","8.74","8.74","8.74","8.74","1120","2015","10","42","Wednesday"
"PEC","2015-11-04","9.87","9.96","9.87","9.96","200","2015","11","45","Wednesday"
"PEC","2015-11-25","9.96","9.96","9.96","9.96","100","2015","11","48","Wednesday"
"PEC","2015-11-26","8.47","8.47","8.47","8.47","900","2015","11","48","Thursday"
"PEC","2015-11-27","7.25","7.25","7.25","7.25","100","2015","11","48","Friday"
"PEC","2015-12-02","8.04","8.04","8.04","8.04","300","2015","12","49","Wednesday"
"PEC","2015-12-04","9.17","9.17","9.17","9.17","544000","2015","12","49","Friday"
"PEC","2015-12-07","10.48","10.48","10.48","10.48","598700","2015","12","50","Monday"
"PEC","2015-12-09","8.91","8.91","8.91","8.91","200","2015","12","50","Wednesday"
"PEC","2015-12-11","8.3","8.3","8.3","8.3","7840","2015","12","50","Friday"
"PEC","2015-12-14","8.3","8.3","8.3","8.3","300","2015","12","51","Monday"
"PEC","2015-12-15","8.3","8.3","8.3","8.3","200","2015","12","51","Tuesday"
"PEC","2016-01-04","8.3","8.3","8.3","8.3","80000","2016","01","2","Monday"
