symbol,date,open,high,low,close,volume,year,month,week,weekday
"PGC","2006-11-24","10.31","10.31","10.31","10.31","101830","2006","11","47","Friday"
"PGC","2006-11-27","9.86","9.86","9.86","9.86","202800","2006","11","48","Monday"
"PGC","2006-11-28","9.4","9.4","9.4","9.4","17980","2006","11","48","Tuesday"
"PGC","2006-11-29","8.95","8.95","8.95","8.95","9060","2006","11","48","Wednesday"
"PGC","2006-11-30","8.57","8.57","8.57","8.57","22990","2006","11","48","Thursday"
"PGC","2006-12-01","8.19","8.19","8.19","8.19","34370","2006","12","48","Friday"
"PGC","2006-12-04","7.81","7.81","7.81","7.81","55880","2006","12","49","Monday"
"PGC","2006-12-05","7.43","7.43","7.43","7.43","90520","2006","12","49","Tuesday"
"PGC","2006-12-06","7.74","7.74","7.74","7.74","410980","2006","12","49","Wednesday"
"PGC","2006-12-07","8.11","8.11","8.11","8.11","56360","2006","12","49","Thursday"
"PGC","2006-12-08","8.49","8.49","8.49","8.49","92260","2006","12","49","Friday"
"PGC","2006-12-11","8.87","8.87","8.87","8.87","188000","2006","12","50","Monday"
"PGC","2006-12-12","8.49","8.49","8.49","8.49","455880","2006","12","50","Tuesday"
"PGC","2006-12-13","8.87","8.87","8.87","8.87","226890","2006","12","50","Wednesday"
"PGC","2006-12-14","9.25","9.25","9.1","9.1","306060","2006","12","50","Thursday"
"PGC","2006-12-15","9.33","9.33","9.1","9.1","216350","2006","12","50","Friday"
"PGC","2006-12-18","8.64","9.1","8.64","8.8","196460","2006","12","51","Monday"
"PGC","2006-12-19","8.8","8.8","8.8","8.8","70710","2006","12","51","Tuesday"
"PGC","2006-12-20","9.1","9.1","8.64","8.64","109560","2006","12","51","Wednesday"
"PGC","2006-12-21","8.27","9.02","8.27","8.34","105590","2006","12","51","Thursday"
"PGC","2006-12-22","8.11","8.11","8.11","8.11","67120","2006","12","51","Friday"
"PGC","2006-12-25","7.96","8.34","7.96","8.34","31790","2006","12","52","Monday"
"PGC","2006-12-26","8.49","8.64","8.34","8.64","41060","2006","12","52","Tuesday"
"PGC","2006-12-27","8.8","8.95","8.8","8.95","74000","2006","12","52","Wednesday"
"PGC","2006-12-28","9.1","9.1","9.1","9.1","259820","2006","12","52","Thursday"
"PGC","2006-12-29","8.8","8.95","8.8","8.8","23210","2006","12","52","Friday"
"PGC","2007-01-02","8.8","9.02","8.8","9.02","45720","2007","01","1","Tuesday"
"PGC","2007-01-03","9.02","9.02","8.87","8.87","17260","2007","01","1","Wednesday"
"PGC","2007-01-04","8.95","8.95","8.87","8.95","244040","2007","01","1","Thursday"
"PGC","2007-01-05","9.1","9.1","8.95","9.02","220680","2007","01","1","Friday"
"PGC","2007-01-08","9.1","9.1","9.02","9.02","201050","2007","01","2","Monday"
"PGC","2007-01-09","9.02","9.1","9.02","9.1","218980","2007","01","2","Tuesday"
"PGC","2007-01-10","9.18","9.4","9.18","9.4","173960","2007","01","2","Wednesday"
"PGC","2007-01-11","9.4","9.4","9.4","9.4","138530","2007","01","2","Thursday"
"PGC","2007-01-12","9.4","9.86","9.4","9.86","181360","2007","01","2","Friday"
"PGC","2007-01-15","10.09","10.09","10.01","10.01","131730","2007","01","3","Monday"
"PGC","2007-01-16","10.01","10.16","9.86","9.86","106900","2007","01","3","Tuesday"
"PGC","2007-01-17","9.4","9.86","9.4","9.4","105510","2007","01","3","Wednesday"
"PGC","2007-01-18","9.86","9.86","9.86","9.86","99910","2007","01","3","Thursday"
"PGC","2007-01-19","10.31","10.31","10.31","10.31","155590","2007","01","3","Friday"
"PGC","2007-01-22","10.77","10.77","10.31","10.31","149280","2007","01","4","Monday"
"PGC","2007-01-23","10.31","10.46","10.16","10.16","89510","2007","01","4","Tuesday"
"PGC","2007-01-24","10.31","10.31","10.01","10.16","47290","2007","01","4","Wednesday"
"PGC","2007-01-25","10.31","10.31","10.01","10.09","55150","2007","01","4","Thursday"
"PGC","2007-01-26","9.78","9.78","9.63","9.71","39760","2007","01","4","Friday"
"PGC","2007-01-29","9.71","10.16","9.71","10.16","39420","2007","01","5","Monday"
"PGC","2007-01-30","10.62","10.62","10.62","10.62","81760","2007","01","5","Tuesday"
"PGC","2007-01-31","11.15","11.15","11.15","11.15","110720","2007","01","5","Wednesday"
"PGC","2007-02-01","11.68","11.68","11.68","11.68","177580","2007","02","5","Thursday"
"PGC","2007-02-02","11.68","11.68","11.68","11.68","54360","2007","02","5","Friday"
"PGC","2007-02-05","11.68","11.68","11.22","11.22","79940","2007","02","6","Monday"
"PGC","2007-02-06","10.77","10.92","10.77","10.92","60710","2007","02","6","Tuesday"
"PGC","2007-02-07","11.38","11.45","11.38","11.45","114370","2007","02","6","Wednesday"
"PGC","2007-02-08","11.22","11.22","10.92","10.92","138190","2007","02","6","Thursday"
"PGC","2007-02-09","9.25","9.25","9.25","9.25","66180","2007","02","6","Friday"
"PGC","2007-02-12","9.63","9.71","9.63","9.71","119420","2007","02","7","Monday"
"PGC","2007-02-13","10.16","10.16","10.01","10.16","102250","2007","02","7","Tuesday"
"PGC","2007-02-14","10.39","10.62","10.39","10.46","120430","2007","02","7","Wednesday"
"PGC","2007-02-15","10.62","10.77","10.62","10.77","75430","2007","02","7","Thursday"
"PGC","2007-02-26","11.3","11.3","11.3","11.3","156010","2007","02","9","Monday"
"PGC","2007-02-27","11.83","11.83","11.83","11.83","139570","2007","02","9","Tuesday"
"PGC","2007-02-28","12.36","12.36","12.13","12.13","222610","2007","02","9","Wednesday"
"PGC","2007-03-01","11.98","11.98","11.68","11.68","109310","2007","03","9","Thursday"
"PGC","2007-03-02","12.21","12.21","12.21","12.21","209570","2007","03","9","Friday"
"PGC","2007-03-05","12.82","12.82","12.82","12.82","187650","2007","03","10","Monday"
"PGC","2007-03-06","13.42","13.42","13.42","13.42","114240","2007","03","10","Tuesday"
"PGC","2007-03-07","14.03","14.03","13.65","13.65","153170","2007","03","10","Wednesday"
"PGC","2007-03-08","13.65","13.65","13.27","13.27","93410","2007","03","10","Thursday"
"PGC","2007-03-09","12.89","13.04","12.89","12.89","135920","2007","03","10","Friday"
"PGC","2007-03-12","13.5","13.5","13.2","13.2","204370","2007","03","11","Monday"
"PGC","2007-03-13","13.2","13.2","12.89","12.89","110500","2007","03","11","Tuesday"
"PGC","2007-03-14","12.89","12.89","12.29","12.29","71980","2007","03","11","Wednesday"
"PGC","2007-03-15","11.68","11.68","11.68","11.68","21970","2007","03","11","Thursday"
"PGC","2007-03-16","11.15","11.68","11.15","11.68","85100","2007","03","11","Friday"
"PGC","2007-03-19","12.21","12.21","12.21","12.21","148290","2007","03","12","Monday"
"PGC","2007-03-20","12.21","12.21","12.13","12.13","87290","2007","03","12","Tuesday"
"PGC","2007-03-21","11.53","11.53","11.53","11.53","75580","2007","03","12","Wednesday"
"PGC","2007-03-22","11.38","11.53","11.07","11.07","64590","2007","03","12","Thursday"
"PGC","2007-03-23","11.07","11.07","11.07","11.07","42760","2007","03","12","Friday"
"PGC","2007-03-26","11.07","11.07","10.54","10.54","65300","2007","03","13","Monday"
"PGC","2007-03-27","10.09","10.09","10.09","10.09","76160","2007","03","13","Tuesday"
"PGC","2007-03-28","9.63","9.63","9.63","9.63","63970","2007","03","13","Wednesday"
"PGC","2007-03-29","10.09","10.09","10.09","10.09","141280","2007","03","13","Thursday"
"PGC","2007-03-30","10.46","10.54","10.46","10.54","170280","2007","03","13","Friday"
"PGC","2007-04-02","10.46","10.46","10.16","10.16","55960","2007","04","14","Monday"
"PGC","2007-04-03","9.71","9.71","9.71","9.71","42770","2007","04","14","Tuesday"
"PGC","2007-04-04","9.71","10.16","9.71","10.16","18820","2007","04","14","Wednesday"
"PGC","2007-04-05","10.16","10.16","10.16","10.16","105800","2007","04","14","Thursday"
"PGC","2007-04-06","9.86","10.01","9.86","9.86","21760","2007","04","14","Friday"
"PGC","2007-04-09","10.31","10.31","10.09","10.09","37520","2007","04","15","Monday"
"PGC","2007-04-10","10.09","10.09","10.09","10.09","31990","2007","04","15","Tuesday"
"PGC","2007-04-11","10.09","10.09","9.86","9.86","17770","2007","04","15","Wednesday"
"PGC","2007-04-12","9.78","9.78","9.63","9.63","38990","2007","04","15","Thursday"
"PGC","2007-04-13","9.25","9.25","9.18","9.25","54400","2007","04","15","Friday"
"PGC","2007-04-16","8.8","8.95","8.8","8.8","126390","2007","04","16","Monday"
"PGC","2007-04-17","8.8","8.8","8.8","8.8","68800","2007","04","16","Tuesday"
"PGC","2007-04-18","8.8","9.18","8.8","9.18","12950","2007","04","16","Wednesday"
"PGC","2007-04-19","9.55","9.55","9.33","9.33","73810","2007","04","16","Thursday"
"PGC","2007-04-20","9.33","9.33","9.18","9.18","27560","2007","04","16","Friday"
"PGC","2007-04-23","9.1","9.1","8.8","8.8","21840","2007","04","17","Monday"
"PGC","2007-04-24","8.42","8.49","8.42","8.49","23480","2007","04","17","Tuesday"
"PGC","2007-04-25","8.49","8.57","8.49","8.57","27730","2007","04","17","Wednesday"
"PGC","2007-05-02","8.57","8.72","8.34","8.34","28580","2007","05","18","Wednesday"
"PGC","2007-05-03","8.49","8.49","8.49","8.49","26360","2007","05","18","Thursday"
"PGC","2007-05-04","8.49","8.57","8.49","8.57","18940","2007","05","18","Friday"
"PGC","2007-05-07","8.49","8.57","8.49","8.49","27390","2007","05","19","Monday"
"PGC","2007-05-08","8.8","8.87","8.8","8.87","70840","2007","05","19","Tuesday"
"PGC","2007-05-09","9.25","9.25","9.25","9.25","75720","2007","05","19","Wednesday"
"PGC","2007-05-10","9.25","9.25","8.95","8.95","44820","2007","05","19","Thursday"
"PGC","2007-05-11","8.95","8.95","8.87","8.95","27640","2007","05","19","Friday"
"PGC","2007-05-14","8.95","8.95","8.87","8.87","24080","2007","05","20","Monday"
"PGC","2007-05-15","8.64","8.64","8.49","8.49","143730","2007","05","20","Tuesday"
"PGC","2007-05-16","8.64","8.64","8.64","8.64","33310","2007","05","20","Wednesday"
"PGC","2007-05-17","8.64","8.64","8.42","8.42","89230","2007","05","20","Thursday"
"PGC","2007-05-18","8.42","8.49","8.42","8.49","119610","2007","05","20","Friday"
"PGC","2007-05-21","8.64","8.72","8.64","8.72","39100","2007","05","21","Monday"
"PGC","2007-05-22","8.8","8.95","8.8","8.95","138620","2007","05","21","Tuesday"
"PGC","2007-05-23","9.33","9.33","9.1","9.1","108090","2007","05","21","Wednesday"
"PGC","2007-05-24","9.1","9.1","8.64","8.64","60410","2007","05","21","Thursday"
"PGC","2007-05-25","8.64","8.64","8.42","8.42","163980","2007","05","21","Friday"
"PGC","2007-05-28","8.8","8.8","8.8","8.8","43050","2007","05","22","Monday"
"PGC","2007-05-29","8.8","8.8","8.64","8.64","93230","2007","05","22","Tuesday"
"PGC","2007-05-30","8.64","8.8","8.57","8.8","71220","2007","05","22","Wednesday"
"PGC","2007-05-31","8.8","8.8","8.64","8.72","65930","2007","05","22","Thursday"
"PGC","2007-06-01","8.8","8.8","8.72","8.72","72810","2007","06","22","Friday"
"PGC","2007-06-04","8.8","8.8","8.64","8.64","64700","2007","06","23","Monday"
"PGC","2007-06-05","8.49","8.49","8.34","8.42","83100","2007","06","23","Tuesday"
"PGC","2007-06-06","8.42","8.64","8.42","8.64","57280","2007","06","23","Wednesday"
"PGC","2007-06-07","8.64","8.64","8.49","8.57","23250","2007","06","23","Thursday"
"PGC","2007-06-08","8.49","8.49","8.34","8.34","63960","2007","06","23","Friday"
"PGC","2007-06-11","8.34","8.34","8.34","8.34","30420","2007","06","24","Monday"
"PGC","2007-06-12","8.27","8.34","8.27","8.34","47500","2007","06","24","Tuesday"
"PGC","2007-06-13","8.34","8.34","8.34","8.34","47210","2007","06","24","Wednesday"
"PGC","2007-06-14","8.34","8.49","8.34","8.34","46770","2007","06","24","Thursday"
"PGC","2007-06-15","8.42","8.49","8.42","8.49","56460","2007","06","24","Friday"
"PGC","2007-06-18","8.57","8.57","8.34","8.34","47760","2007","06","25","Monday"
"PGC","2007-06-19","8.49","8.57","8.49","8.57","97950","2007","06","25","Tuesday"
"PGC","2007-06-20","8.57","8.57","8.49","8.57","710","2007","06","25","Wednesday"
"PGC","2007-06-21","8.49","8.49","8.49","8.49","49300","2007","06","25","Thursday"
"PGC","2007-06-22","8.49","8.49","8.49","8.49","42120","2007","06","25","Friday"
"PGC","2007-06-25","8.49","8.49","8.34","8.34","45640","2007","06","26","Monday"
"PGC","2007-06-26","8.49","8.49","8.34","8.42","51720","2007","06","26","Tuesday"
"PGC","2007-06-27","8.34","8.34","8.27","8.27","36360","2007","06","26","Wednesday"
"PGC","2007-06-28","8.11","8.19","8.11","8.19","49900","2007","06","26","Thursday"
"PGC","2007-06-29","7.89","8.04","7.89","7.96","31150","2007","06","26","Friday"
"PGC","2007-07-02","8.27","8.27","7.81","7.81","43680","2007","07","27","Monday"
"PGC","2007-07-03","8.04","8.04","7.74","7.74","55160","2007","07","27","Tuesday"
"PGC","2007-07-04","8.04","8.04","7.89","7.96","69420","2007","07","27","Wednesday"
"PGC","2007-07-05","8.27","8.27","7.96","7.96","59120","2007","07","27","Thursday"
"PGC","2007-07-06","8.19","8.19","8.04","8.04","59760","2007","07","27","Friday"
"PGC","2007-07-09","8.27","8.27","8.04","8.04","63440","2007","07","28","Monday"
"PGC","2007-07-10","8.27","8.27","8.19","8.19","54660","2007","07","28","Tuesday"
"PGC","2007-07-11","8.57","8.57","8.57","8.57","114510","2007","07","28","Wednesday"
"PGC","2007-07-12","8.95","8.95","8.49","8.49","131290","2007","07","28","Thursday"
"PGC","2007-07-13","8.64","8.64","8.57","8.57","60520","2007","07","28","Friday"
"PGC","2007-07-16","8.72","8.72","8.42","8.42","63850","2007","07","29","Monday"
"PGC","2007-07-17","8.64","8.64","8.49","8.49","83570","2007","07","29","Tuesday"
"PGC","2007-07-18","8.64","8.64","8.49","8.49","65200","2007","07","29","Wednesday"
"PGC","2007-07-19","8.72","8.72","8.57","8.57","57080","2007","07","29","Thursday"
"PGC","2007-07-20","8.64","8.64","8.57","8.57","57030","2007","07","29","Friday"
"PGC","2007-07-23","8.64","8.64","8.49","8.49","55960","2007","07","30","Monday"
"PGC","2007-07-24","8.42","8.42","8.27","8.27","43200","2007","07","30","Tuesday"
"PGC","2007-07-25","8.19","8.34","8.19","8.34","37970","2007","07","30","Wednesday"
"PGC","2007-07-26","8.27","8.27","8.19","8.19","23570","2007","07","30","Thursday"
"PGC","2007-07-27","8.04","8.04","7.96","8.04","37320","2007","07","30","Friday"
"PGC","2007-07-30","7.74","7.89","7.74","7.74","18200","2007","07","31","Monday"
"PGC","2007-07-31","7.74","7.81","7.36","7.66","76350","2007","07","31","Tuesday"
"PGC","2007-08-01","7.74","8.04","7.74","8.04","29150","2007","08","31","Wednesday"
"PGC","2007-08-02","7.74","7.96","7.66","7.66","119660","2007","08","31","Thursday"
"PGC","2007-08-03","7.51","7.74","7.43","7.51","34960","2007","08","31","Friday"
"PGC","2007-08-06","7.43","7.51","7.43","7.45","20720","2007","08","32","Monday"
"PGC","2007-08-07","7.43","7.49","7.37","7.45","33370","2007","08","32","Tuesday"
"PGC","2007-08-08","7.66","7.74","7.66","7.66","37460","2007","08","32","Wednesday"
"PGC","2007-08-09","7.51","7.81","7.51","7.81","62160","2007","08","32","Thursday"
"PGC","2007-08-10","7.74","7.74","7.51","7.58","18320","2007","08","32","Friday"
"PGC","2007-08-13","7.43","7.58","7.43","7.51","12840","2007","08","33","Monday"
"PGC","2007-08-14","7.43","7.58","7.43","7.54","18000","2007","08","33","Tuesday"
"PGC","2007-08-15","7.43","7.51","7.43","7.43","13420","2007","08","33","Wednesday"
"PGC","2007-08-16","7.39","7.49","7.39","7.43","6480","2007","08","33","Thursday"
"PGC","2007-08-17","7.43","7.43","7.36","7.4","4220","2007","08","33","Friday"
"PGC","2007-08-20","7.28","7.36","7.28","7.28","7630","2007","08","34","Monday"
"PGC","2007-08-21","7.28","7.58","7.28","7.58","67810","2007","08","34","Tuesday"
"PGC","2007-08-22","7.58","7.58","7.43","7.43","9490","2007","08","34","Wednesday"
"PGC","2007-08-23","7.43","7.54","7.43","7.51","14860","2007","08","34","Thursday"
"PGC","2007-08-24","7.66","7.66","7.43","7.66","66900","2007","08","34","Friday"
"PGC","2007-08-27","7.66","7.66","7.54","7.58","11450","2007","08","35","Monday"
"PGC","2007-08-28","7.55","7.55","7.51","7.51","10510","2007","08","35","Tuesday"
"PGC","2007-08-29","7.43","7.51","7.43","7.48","10030","2007","08","35","Wednesday"
"PGC","2007-08-30","7.46","7.46","7.36","7.46","9920","2007","08","35","Thursday"
"PGC","2007-08-31","7.43","7.43","7.29","7.31","86250","2007","08","35","Friday"
"PGC","2007-09-04","7.48","7.49","7.36","7.48","17860","2007","09","36","Tuesday"
"PGC","2007-09-05","7.54","7.54","7.39","7.43","20120","2007","09","36","Wednesday"
"PGC","2007-09-06","7.4","7.43","7.4","7.43","12950","2007","09","36","Thursday"
"PGC","2007-09-07","7.43","7.43","7.4","7.43","27170","2007","09","36","Friday"
"PGC","2007-09-10","7.51","7.55","7.48","7.55","28550","2007","09","37","Monday"
"PGC","2007-09-11","7.58","7.74","7.57","7.74","70300","2007","09","37","Tuesday"
"PGC","2007-09-12","7.89","7.89","7.74","7.74","59060","2007","09","37","Wednesday"
"PGC","2007-09-13","7.58","7.66","7.58","7.58","10690","2007","09","37","Thursday"
"PGC","2007-09-14","7.51","7.58","7.51","7.52","10710","2007","09","37","Friday"
"PGC","2007-09-17","7.58","7.58","7.51","7.51","19060","2007","09","38","Monday"
"PGC","2007-09-18","7.51","7.51","7.43","7.49","19090","2007","09","38","Tuesday"
"PGC","2007-09-19","7.49","7.49","7.43","7.49","35480","2007","09","38","Wednesday"
"PGC","2007-09-20","7.58","7.58","7.55","7.58","29290","2007","09","38","Thursday"
"PGC","2007-09-21","7.58","7.58","7.51","7.52","27970","2007","09","38","Friday"
"PGC","2007-09-24","7.51","7.55","7.49","7.51","36440","2007","09","39","Monday"
"PGC","2007-09-25","7.58","7.81","7.58","7.81","96320","2007","09","39","Tuesday"
"PGC","2007-09-26","8.19","8.19","8.04","8.11","113160","2007","09","39","Wednesday"
"PGC","2007-09-27","8.19","8.34","8.04","8.34","202650","2007","09","39","Thursday"
"PGC","2007-09-28","8.72","8.72","8.57","8.72","160820","2007","09","39","Friday"
"PGC","2007-10-01","9.1","9.1","9.1","9.1","69090","2007","10","40","Monday"
"PGC","2007-10-02","9.55","9.55","9.1","9.55","183520","2007","10","40","Tuesday"
"PGC","2007-10-03","9.25","10.01","9.1","10.01","223380","2007","10","40","Wednesday"
"PGC","2007-10-04","10.01","10.01","9.55","9.55","123330","2007","10","40","Thursday"
"PGC","2007-10-05","9.55","10.01","9.4","10.01","150670","2007","10","40","Friday"
"PGC","2007-10-08","9.71","10.01","9.55","9.55","53820","2007","10","41","Monday"
"PGC","2007-10-09","9.86","9.86","9.25","9.86","133590","2007","10","41","Tuesday"
"PGC","2007-10-10","10.31","10.31","9.93","10.31","178470","2007","10","41","Wednesday"
"PGC","2007-10-11","9.78","10.01","9.71","10.16","64670","2007","10","41","Thursday"
"PGC","2007-10-15","9.78","9.86","9.71","9.71","35950","2007","10","42","Monday"
"PGC","2007-10-16","9.78","10.01","9.71","9.78","61240","2007","10","42","Tuesday"
"PGC","2007-10-17","9.71","9.86","9.71","9.71","27200","2007","10","42","Wednesday"
