symbol,date,open,high,low,close,volume,year,month,week,weekday
"PGI","2011-07-29","3.59","3.59","3.59","3.59","3630","2011","07","30","Friday"
"PGI","2011-08-01","3.41","3.41","3.41","3.41","25980","2011","08","31","Monday"
"PGI","2011-08-02","3.27","3.27","3.27","3.27","10","2011","08","31","Tuesday"
"PGI","2011-08-03","3.14","3.14","3.14","3.14","10","2011","08","31","Wednesday"
"PGI","2011-08-04","3","3","3","3","10100","2011","08","31","Thursday"
"PGI","2011-08-05","2.86","2.86","2.86","2.86","2010","2011","08","31","Friday"
"PGI","2011-08-08","2.72","2.72","2.72","2.72","1010","2011","08","32","Monday"
"PGI","2011-08-09","2.61","2.61","2.61","2.61","3020","2011","08","32","Tuesday"
"PGI","2011-08-10","2.51","2.58","2.51","2.51","53900","2011","08","32","Wednesday"
"PGI","2011-08-11","2.4","2.4","2.4","2.4","21450","2011","08","32","Thursday"
"PGI","2011-08-12","2.3","2.51","2.3","2.44","61350","2011","08","32","Friday"
"PGI","2011-08-15","2.44","2.44","2.33","2.37","54560","2011","08","33","Monday"
"PGI","2011-08-16","2.37","2.37","2.27","2.33","37120","2011","08","33","Tuesday"
"PGI","2011-08-17","2.3","2.44","2.3","2.4","58370","2011","08","33","Wednesday"
"PGI","2011-08-18","2.47","2.51","2.47","2.51","83530","2011","08","33","Thursday"
"PGI","2011-08-19","2.47","2.54","2.44","2.51","17230","2011","08","33","Friday"
"PGI","2011-08-22","2.51","2.61","2.51","2.61","180830","2011","08","34","Monday"
"PGI","2011-08-23","2.65","2.65","2.51","2.51","95500","2011","08","34","Tuesday"
"PGI","2011-08-24","2.58","2.58","2.47","2.47","61500","2011","08","34","Wednesday"
"PGI","2011-08-25","2.54","2.54","2.47","2.54","69830","2011","08","34","Thursday"
"PGI","2011-08-26","2.51","2.65","2.51","2.65","93540","2011","08","34","Friday"
"PGI","2011-08-29","2.75","2.75","2.75","2.75","88220","2011","08","35","Monday"
"PGI","2011-08-30","2.86","2.86","2.86","2.86","16840","2011","08","35","Tuesday"
"PGI","2011-08-31","3","3","2.96","3","119870","2011","08","35","Wednesday"
"PGI","2011-09-01","3.14","3.14","3.07","3.14","97290","2011","09","35","Thursday"
"PGI","2011-09-05","3.03","3.1","3","3","57550","2011","09","36","Monday"
"PGI","2011-09-06","2.89","3.03","2.89","2.93","42890","2011","09","36","Tuesday"
"PGI","2011-09-07","3.03","3.07","3.03","3.07","91660","2011","09","36","Wednesday"
"PGI","2011-09-08","3","3.17","3","3.07","25680","2011","09","36","Thursday"
"PGI","2011-09-09","2.96","3.14","2.96","3.14","36320","2011","09","36","Friday"
"PGI","2011-09-12","3.21","3.27","3.17","3.27","50840","2011","09","37","Monday"
"PGI","2011-09-13","3.14","3.31","3.14","3.27","46500","2011","09","37","Tuesday"
"PGI","2011-09-14","3.24","3.31","3.14","3.14","54130","2011","09","37","Wednesday"
"PGI","2011-09-15","3.14","3.21","3.03","3.21","80180","2011","09","37","Thursday"
"PGI","2011-09-16","3.24","3.24","3.1","3.21","63020","2011","09","37","Friday"
"PGI","2011-09-19","3.14","3.21","3.1","3.14","106450","2011","09","38","Monday"
"PGI","2011-09-20","3.07","3.14","3.07","3.07","15520","2011","09","38","Tuesday"
"PGI","2011-09-21","3.1","3.21","3.07","3.17","136540","2011","09","38","Wednesday"
"PGI","2011-09-22","3.17","3.27","3.14","3.21","174240","2011","09","38","Thursday"
"PGI","2011-09-23","3.21","3.21","3.07","3.07","139100","2011","09","38","Friday"
"PGI","2011-09-26","3","3","3","3","9030","2011","09","39","Monday"
"PGI","2011-09-27","3.03","3.1","3.03","3.1","38750","2011","09","39","Tuesday"
"PGI","2011-09-28","3.14","3.14","3.1","3.14","27300","2011","09","39","Wednesday"
"PGI","2011-09-29","3.14","3.21","3.1","3.14","137620","2011","09","39","Thursday"
"PGI","2011-09-30","3.14","3.14","3.07","3.07","53690","2011","09","39","Friday"
"PGI","2011-10-03","3.07","3.14","3.03","3.14","42270","2011","10","40","Monday"
"PGI","2011-10-04","3.14","3.17","3.03","3.03","44100","2011","10","40","Tuesday"
"PGI","2011-10-05","3.14","3.17","3.1","3.14","38270","2011","10","40","Wednesday"
"PGI","2011-10-06","3.14","3.17","3.14","3.17","75740","2011","10","40","Thursday"
"PGI","2011-10-07","3.14","3.14","3.1","3.14","26170","2011","10","40","Friday"
"PGI","2011-10-10","3.1","3.14","3.1","3.14","53300","2011","10","41","Monday"
"PGI","2011-10-11","3.1","3.21","3.07","3.07","126930","2011","10","41","Tuesday"
"PGI","2011-10-12","3.1","3.1","3.07","3.1","40750","2011","10","41","Wednesday"
"PGI","2011-10-13","3.1","3.14","3.1","3.14","20360","2011","10","41","Thursday"
"PGI","2011-10-14","3.14","3.24","3.14","3.17","119410","2011","10","41","Friday"
"PGI","2011-10-17","3.14","3.17","3.1","3.17","16600","2011","10","42","Monday"
"PGI","2011-10-18","3.14","3.21","3.14","3.17","91400","2011","10","42","Tuesday"
"PGI","2011-10-19","3.1","3.21","3.1","3.14","92170","2011","10","42","Wednesday"
"PGI","2011-10-20","3.14","3.14","3.1","3.1","4300","2011","10","42","Thursday"
"PGI","2011-10-21","3.1","3.17","3.1","3.1","29500","2011","10","42","Friday"
"PGI","2011-10-24","3.17","3.17","3.1","3.1","6190","2011","10","43","Monday"
"PGI","2011-10-25","3.07","3.14","3.07","3.14","14260","2011","10","43","Tuesday"
"PGI","2011-10-26","3.14","3.14","3.07","3.14","23280","2011","10","43","Wednesday"
"PGI","2011-10-27","3.14","3.14","3.14","3.14","12870","2011","10","43","Thursday"
"PGI","2011-10-28","3.14","3.17","3.14","3.17","35830","2011","10","43","Friday"
"PGI","2011-10-31","3.1","3.14","3.1","3.1","15310","2011","10","44","Monday"
"PGI","2011-11-01","3.14","3.14","3.14","3.14","10","2011","11","44","Tuesday"
"PGI","2011-11-02","3.1","3.1","3.03","3.03","1230","2011","11","44","Wednesday"
"PGI","2011-11-03","3","3.07","3","3.03","2690","2011","11","44","Thursday"
"PGI","2011-11-04","3","3.14","2.96","3.1","6240","2011","11","44","Friday"
"PGI","2011-11-07","3","3.03","2.96","3.03","9210","2011","11","45","Monday"
"PGI","2011-11-08","3.1","3.1","3.03","3.03","3930","2011","11","45","Tuesday"
"PGI","2011-11-09","3.03","3.03","2.89","2.89","2260","2011","11","45","Wednesday"
"PGI","2011-11-10","2.96","2.96","2.89","2.89","14280","2011","11","45","Thursday"
"PGI","2011-11-11","2.89","2.89","2.82","2.86","8130","2011","11","45","Friday"
"PGI","2011-11-14","2.82","2.89","2.75","2.79","21460","2011","11","46","Monday"
"PGI","2011-11-15","2.75","2.79","2.65","2.75","16030","2011","11","46","Tuesday"
"PGI","2011-11-16","2.72","2.75","2.72","2.72","10950","2011","11","46","Wednesday"
"PGI","2011-11-17","2.65","2.65","2.65","2.65","10","2011","11","46","Thursday"
"PGI","2011-11-18","2.61","2.61","2.61","2.61","3000","2011","11","46","Friday"
"PGI","2011-11-21","2.61","2.61","2.54","2.54","6240","2011","11","47","Monday"
"PGI","2011-11-22","2.58","2.58","2.54","2.54","6000","2011","11","47","Tuesday"
"PGI","2011-11-23","2.54","2.58","2.54","2.58","1260","2011","11","47","Wednesday"
"PGI","2011-11-24","2.61","2.61","2.58","2.61","6410","2011","11","47","Thursday"
"PGI","2011-11-28","2.72","2.72","2.72","2.72","1010","2011","11","48","Monday"
"PGI","2011-11-29","2.72","2.72","2.72","2.72","1400","2011","11","48","Tuesday"
"PGI","2011-11-30","2.65","2.65","2.65","2.65","210","2011","11","48","Wednesday"
"PGI","2011-12-01","2.58","2.72","2.58","2.58","120","2011","12","48","Thursday"
"PGI","2011-12-02","2.68","2.68","2.54","2.54","30","2011","12","48","Friday"
"PGI","2011-12-05","2.65","2.65","2.65","2.65","10","2011","12","49","Monday"
"PGI","2011-12-06","2.58","2.58","2.54","2.54","10920","2011","12","49","Tuesday"
"PGI","2011-12-07","2.47","2.54","2.47","2.54","4460","2011","12","49","Wednesday"
"PGI","2011-12-08","2.44","2.65","2.44","2.44","31020","2011","12","49","Thursday"
"PGI","2011-12-09","2.47","2.54","2.47","2.54","8910","2011","12","49","Friday"
"PGI","2011-12-12","2.51","2.51","2.51","2.51","130","2011","12","50","Monday"
"PGI","2011-12-13","2.51","2.61","2.51","2.61","2020","2011","12","50","Tuesday"
"PGI","2011-12-14","2.61","2.61","2.51","2.58","12550","2011","12","50","Wednesday"
"PGI","2011-12-15","2.47","2.51","2.47","2.47","3700","2011","12","50","Thursday"
"PGI","2011-12-16","2.51","2.58","2.4","2.58","2140","2011","12","50","Friday"
"PGI","2011-12-19","2.47","2.61","2.47","2.61","16580","2011","12","51","Monday"
"PGI","2011-12-20","2.51","2.51","2.51","2.51","2090","2011","12","51","Tuesday"
"PGI","2011-12-21","2.47","2.51","2.47","2.51","7820","2011","12","51","Wednesday"
