symbol,date,open,high,low,close,volume
"PHH","2010-03-17","36.19","39.81","35.29","36.19","262800"
"PHH","2010-03-18","39.81","39.81","35.56","35.56","263500"
"PHH","2010-03-19","36.64","36.64","34.38","35.38","167400"
"PHH","2010-03-22","35.29","35.29","33.3","33.39","82400"
"PHH","2010-03-23","32.57","33.57","31.31","32.3","268400"
"PHH","2010-03-24","33.02","33.93","33.02","33.93","146200"
"PHH","2010-03-25","36.28","36.28","34.11","36.28","670900"
"PHH","2010-03-26","37.73","37.82","37.1","37.82","805800"
"PHH","2010-03-29","38.45","40.35","37.64","40.35","587300"
"PHH","2010-03-30","42.07","42.07","38.09","38.18","234400"
"PHH","2010-03-31","38.45","40.26","36.92","37.1","272800"
"PHH","2010-04-01","36.19","38.09","35.47","37.1","381000"
"PHH","2010-04-02","38.09","38.45","37.82","38.45","367800"
"PHH","2010-04-05","40.72","40.99","38.36","40.99","607600"
"PHH","2010-04-06","43.43","43.7","40.72","41.17","356300"
"PHH","2010-04-07","41.17","44.34","39.81","43.88","500700"
"PHH","2010-04-08","43.61","45.51","43.43","45.51","130700"
"PHH","2010-04-09","48.59","48.59","47.05","48.23","793900"
"PHH","2010-04-12","50.67","51.57","45.06","46.6","435400"
"PHH","2010-04-13","46.05","47.95","44.52","47.05","386800"
"PHH","2010-04-14","44.79","50.03","44.79","50.03","491000"
"PHH","2010-04-15","52.48","52.93","52.48","52.93","95100"
"PHH","2010-04-16","56.55","56.55","54.29","56.1","684600"
"PHH","2010-04-19","54.29","58.81","54.29","57.91","527200"
"PHH","2010-04-20","60.17","60.62","56.1","57.55","417200"
"PHH","2010-04-21","57.91","60.62","56.55","57","370400"
"PHH","2010-04-22","57.45","57.45","53.29","53.29","523200"
"PHH","2010-04-26","50.22","52.3","49.95","49.95","282400"
"PHH","2010-04-27","49.76","53.38","49.76","51.57","258300"
"PHH","2010-04-28","53.38","53.38","51.12","51.21","188600"
"PHH","2010-04-29","52.93","52.93","50.22","50.85","207600"
"PHH","2010-05-04","52.03","52.03","49.31","49.67","258800"
"PHH","2010-05-05","50.13","50.13","47.32","47.86","225200"
"PHH","2010-05-06","47.5","50.67","47.05","48.41","282700"
"PHH","2010-05-07","47.95","47.95","45.42","45.51","247400"
"PHH","2010-05-10","45.24","46.6","43.52","44.34","205700"
"PHH","2010-05-11","46.42","47.59","46.42","47.59","523900"
"PHH","2010-05-12","31.22","31.22","31.22","31.22","16300"
"PHH","2010-05-13","33.39","33.39","32.57","33.39","588100"
"PHH","2010-05-14","35.02","35.29","31.04","31.22","249400"
"PHH","2010-05-17","31.04","31.67","30.13","30.13","282100"
"PHH","2010-05-18","30.31","30.31","28.32","28.68","181700"
