symbol,date,open,high,low,close,volume
"PIA","2017-02-22","5.81","5.81","5.81","5.81","1000"
"PIA","2017-02-24","6.64","6.64","6.64","6.64","500"
"PIA","2017-02-27","7.46","7.63","5.64","5.64","1700"
"PIA","2017-02-28","7.46","7.46","6.84","6.84","700"
"PIA","2017-03-01","6.84","6.84","6.22","6.22","7300"
"PIA","2017-03-02","6.26","6.39","6.26","6.39","300"
"PIA","2017-03-03","5.39","5.39","5.39","5.39","100"
"PIA","2017-03-06","4.98","4.98","4.6","4.6","900"
"PIA","2017-03-07","4.69","4.69","4.69","4.69","200"
"PIA","2017-03-08","4.73","4.73","4.73","4.73","100"
"PIA","2017-03-10","4.27","4.27","4.27","4.27","500"
"PIA","2017-03-15","4.89","4.89","4.4","4.4","800"
"PIA","2017-03-16","5.27","5.27","5.27","5.27","100"
"PIA","2017-03-17","6.05","6.05","6.05","6.05","100"
"PIA","2017-03-20","6.93","6.93","6.93","6.93","100"
"PIA","2017-03-21","7.96","7.96","7.96","7.96","120"
"PIA","2017-03-22","9.08","9.12","8","8","1080"
"PIA","2017-03-23","8.13","10.33","8.13","8.29","500"
"PIA","2017-03-24","8.34","10.37","8.34","10.37","18600"
"PIA","2017-03-27","10.78","11.28","10.78","11.28","12600"
"PIA","2017-03-28","9.58","12.86","9.58","12.81","9000"
"PIA","2017-03-29","11.24","14.1","11.24","11.7","1008"
"PIA","2017-03-30","12.03","12.03","11.45","11.45","600"
"PIA","2017-03-31","10.2","10.78","10.2","10.78","6603"
"PIA","2017-04-03","11.78","11.9","10.99","10.99","1800"
"PIA","2017-04-04","10.41","10.78","10.41","10.78","200"
"PIA","2017-04-05","11.4","12.03","11.4","12.03","1800"
"PIA","2017-04-07","11.49","11.61","11.49","11.61","1000"
"PIA","2017-04-10","11.82","13.23","11.82","12.86","7200"
"PIA","2017-04-11","14.52","14.52","12.48","12.48","20430"
"PIA","2017-04-12","11.78","12.44","11.78","12.44","1042"
"PIA","2017-04-13","11.61","12.03","10.53","10.53","29343"
"PIA","2017-04-14","10.7","12.28","9.54","12.28","435530"
"PIA","2017-04-17","12.44","12.44","12.44","12.44","920"
"PIA","2017-04-18","14.31","14.31","12.65","13.69","22800"
"PIA","2017-04-19","12.86","13.31","11.61","12.28","87430"
"PIA","2017-04-20","12.32","12.65","12.28","12.44","21821"
"PIA","2017-04-21","12.4","12.65","12.03","12.32","17900"
"PIA","2017-04-24","12.65","13.69","12.65","13.27","31400"
"PIA","2017-04-25","13.69","13.69","12.86","13.06","11056"
"PIA","2017-04-26","12.65","13.02","12.44","13.02","11220"
"PIA","2017-04-27","12.44","13.06","12.44","12.86","9100"
"PIA","2017-04-28","12.86","13.02","12.86","12.86","13200"
"PIA","2017-05-03","12.9","13.06","12.86","12.94","11400"
"PIA","2017-05-04","13.02","13.19","13.02","13.19","16700"
"PIA","2017-05-05","13.27","13.69","13.15","13.69","50600"
"PIA","2017-05-08","13.69","13.69","13.06","13.23","19230"
