symbol,date,open,high,low,close,volume
"PIS","2016-06-22","7.81","7.81","7.81","7.81","4000"
"PIS","2016-06-24","8.93","8.93","8.93","8.93","100"
"PIS","2016-06-30","9.34","9.34","9.34","9.34","1000"
"PIS","2016-07-01","9.4","9.4","9.4","9.4","700"
"PIS","2016-07-06","9.99","9.99","9.99","9.99","3300"
"PIS","2016-07-13","9.99","9.99","9.99","9.99","3500"
"PIS","2016-07-14","9.99","10.28","9.99","10.28","4500"
"PIS","2016-07-18","10.46","11.16","10.46","11.16","3800"
"PIS","2016-07-19","9.99","11.46","9.99","11.46","2600"
"PIS","2016-07-20","10.75","10.75","10.75","10.75","100"
"PIS","2016-07-21","11.75","11.75","10.57","10.57","400"
"PIS","2016-07-22","10.57","10.57","10.57","10.57","100"
"PIS","2016-07-26","8.99","10.46","8.99","10.46","700"
"PIS","2016-07-29","8.22","8.22","7.87","7.87","2100"
"PIS","2016-08-01","6.7","6.7","6.7","6.7","400"
"PIS","2016-08-08","5.7","5.7","5.7","5.7","600"
"PIS","2016-08-10","5.7","5.7","5.7","5.7","100"
"PIS","2016-08-16","4.88","4.88","4.88","4.88","100"
"PIS","2016-08-22","4.17","4.17","4.17","4.17","100"
"PIS","2016-08-23","4.7","4.76","3.58","3.58","300"
"PIS","2016-08-24","3.82","4.11","3.82","3.88","2500"
"PIS","2016-08-25","4.29","4.29","4.29","4.29","100"
"PIS","2016-08-29","3.94","3.94","3.94","3.94","100"
"PIS","2016-08-30","4.11","4.11","4.11","4.11","100"
"PIS","2016-08-31","3.52","3.52","3.52","3.52","100"
"PIS","2016-09-09","3","3","3","3","100"
"PIS","2016-09-23","3.41","3.41","3.41","3.41","100"
"PIS","2016-09-26","3.88","3.88","3.88","3.88","100"
"PIS","2016-10-06","3.41","3.41","3.41","3.88","200"
"PIS","2016-10-19","3.88","3.88","3.88","3.88","100"
"PIS","2016-11-21","3.88","3.88","3.88","3.88","300"
"PIS","2017-05-12","5.4","5.4","5.4","5.4","500"
"PIS","2017-05-15","6.17","6.17","6.17","6.17","500"
"PIS","2017-05-16","7.06","7.06","7.06","7.06","300"
"PIS","2017-05-17","8.07","8.07","8.07","8.07","4100"
"PIS","2017-05-18","9.28","9.28","9.28","9.28","500"
"PIS","2017-05-19","9.28","9.28","9.28","9.28","100"
"PIS","2017-05-24","8.97","8.97","8.65","8.65","3000"
"PIS","2017-05-29","8.33","8.33","8.33","8.33","1000"
"PIS","2017-05-30","8.01","9.55","8.01","9.55","600"
"PIS","2017-05-31","9.55","9.55","9.55","9.55","1000"
"PIS","2017-06-02","10.96","10.96","10.96","10.96","100"
"PIS","2017-06-06","9.61","11.54","9.61","11.54","300"
"PIS","2017-06-13","10.83","11.54","10.83","11.22","1100"
"PIS","2017-06-26","11.47","11.47","11.47","11.47","100"
"PIS","2017-07-28","9.94","9.94","9.94","9.94","1000"
"PIS","2017-08-04","9.94","9.94","9.94","9.94","1000"
"PIS","2017-10-02","8.97","8.97","8.97","8.97","100"
"PIS","2017-10-24","9.29","9.29","9.29","9.29","100"
"PIS","2017-12-05","9.29","9.29","9.29","9.29","3300"
"PIS","2018-01-04","8.97","8.97","8.97","8.97","100"
"PIS","2018-01-11","8.97","8.97","8.97","8.97","5000"
"PIS","2018-01-12","8.97","8.97","8.97","8.97","5000"
"PIS","2018-01-16","7.63","7.63","7.63","7.63","2000"
"PIS","2018-02-07","7.05","7.05","7.05","7.05","400"
"PIS","2018-02-09","6.09","6.09","6.09","6.09","1000"
"PIS","2018-02-12","6.41","6.41","6.41","6.41","100"
"PIS","2018-02-26","7.37","7.37","7.37","7.37","100"
"PIS","2018-04-11","7.17","7.17","7.17","7.17","400"
"PIS","2018-05-03","7.17","7.17","7.17","7.17","400"
"PIS","2018-05-18","8.2","8.2","8.2","8.2","600"
"PIS","2018-06-20","7.58","7.58","7.58","7.58","3200"
"PIS","2018-06-25","7.58","7.58","7.58","7.58","300"
"PIS","2018-09-24","5.51","5.51","5.51","5.51","28800"
"PIS","2018-11-07","7.72","7.72","7.72","7.72","100"
"PIS","2019-06-12","4.84","4.84","4.84","4.84","300"
"PIS","2019-06-17","4.84","4.84","4.84","4.84","300"
"PIS","2019-06-18","5.51","5.51","5.51","5.51","100"
"PIS","2019-06-19","6.33","6.33","5.58","5.58","200"
"PIS","2019-06-24","6.85","6.85","6.85","6.85","1100"
"PIS","2019-07-02","5.95","7.81","5.95","7.81","200"
"PIS","2019-07-03","7.74","7.74","7.74","7.74","100"
"PIS","2019-07-05","6.7","6.7","6.7","6.7","100"
"PIS","2019-07-11","7.67","7.67","7.67","7.67","100"
"PIS","2019-07-16","8.56","8.56","8.56","8.56","100"
"PIS","2019-07-24","7.29","9.82","7.29","9.82","200"
"PIS","2019-08-30","5.28","5.28","5.28","5.28","100"
"PIS","2019-09-05","6.03","6.03","6.03","6.03","100"
"PIS","2019-10-16","3.72","3.72","3.72","3.72","100"
"PIS","2019-11-22","5.21","5.21","5.21","5.21","100"
"PIS","2020-04-03","4.62","4.62","4.62","4.62","100"
"PIS","2020-05-07","5.29","5.29","5.29","5.29","100"
"PIS","2020-08-24","7.39","7.39","7.39","7.39","100"
"PIS","2020-10-05","10.32","10.32","10.32","10.32","100"
"PIS","2020-10-12","11.87","11.87","11.87","11.87","100"
"PIS","2020-10-15","13.58","13.58","13.58","13.58","100"
"PIS","2020-12-02","18.05","18.05","18.05","18.05","100"
"PIS","2021-03-22","10.92","10.92","10.83","10.83","2500"
"PIS","2021-03-25","12.38","12.38","12.38","12.38","100"
"PIS","2021-03-30","12.38","12.38","12.38","12.38","500"
"PIS","2021-03-31","12.04","12.04","12.04","12.04","1000"
"PIS","2021-04-01","11.87","11.87","11.87","11.87","500"
"PIS","2021-04-02","12.04","12.04","12.04","12.04","4100"
"PIS","2021-04-05","11.87","11.87","11.78","11.78","200"
"PIS","2021-04-06","10.23","11.01","10.23","11.01","1200"
"PIS","2021-04-07","11.87","11.95","10.66","10.66","600"
"PIS","2021-04-09","11.69","11.69","10.06","11.18","1200"
