symbol,date,open,high,low,close,volume
"PJT","2006-12-29","9.41","9.45","9.41","9.45","49130"
"PJT","2007-01-02","9.41","9.41","9.01","9.01","26320"
"PJT","2007-01-03","8.81","8.81","8.57","8.57","16550"
"PJT","2007-01-04","8.41","8.99","8.41","8.81","9130"
"PJT","2007-01-05","9.11","9.11","8.61","8.61","25750"
"PJT","2007-01-08","8.31","8.31","8.19","8.19","29870"
"PJT","2007-01-09","8.21","8.59","8.21","8.59","30150"
"PJT","2007-01-10","8.17","8.41","8.17","8.41","27600"
"PJT","2007-01-11","8.41","8.41","8.21","8.21","23500"
"PJT","2007-01-12","8.21","8.21","8.01","8.01","31600"
"PJT","2007-01-15","7.97","8.01","7.81","8.01","30030"
"PJT","2007-01-16","8.01","8.01","8.01","8.01","31400"
"PJT","2007-01-17","8.41","8.41","8.41","8.41","51370"
"PJT","2007-01-18","8.81","8.83","8.81","8.83","21800"
"PJT","2007-01-19","9.21","9.25","9.21","9.21","67130"
"PJT","2007-01-22","8.75","8.75","8.75","8.75","46490"
"PJT","2007-01-23","8.35","8.75","8.35","8.75","38860"
"PJT","2007-01-24","9.17","9.17","9.17","9.17","64890"
"PJT","2007-01-25","9.21","9.21","8.81","8.81","53740"
"PJT","2007-01-26","8.81","8.81","8.43","8.43","21460"
"PJT","2007-01-29","8.51","8.55","8.51","8.55","4670"
"PJT","2007-01-30","8.97","8.97","8.97","8.97","12090"
"PJT","2007-01-31","9.17","9.17","8.97","8.97","10870"
"PJT","2007-02-01","8.97","8.97","8.59","8.59","8510"
"PJT","2007-02-02","8.81","8.81","8.81","8.81","16830"
"PJT","2007-02-05","8.81","8.81","8.41","8.41","30620"
"PJT","2007-02-06","8.83","8.83","8.83","8.83","33250"
"PJT","2007-02-07","9.27","9.27","9.27","9.27","123100"
"PJT","2007-02-08","9.73","9.73","9.41","9.41","79940"
"PJT","2007-02-09","9.51","9.51","9.41","9.41","52850"
"PJT","2007-02-12","9.81","9.87","9.81","9.87","38460"
"PJT","2007-02-13","10.31","10.31","10.31","10.31","14940"
"PJT","2007-02-14","10.81","10.81","10.81","10.81","19670"
"PJT","2007-02-15","11.31","11.31","11.31","11.31","36960"
"PJT","2007-02-26","11.81","11.81","11.81","11.81","15100"
"PJT","2007-02-27","12.31","12.31","12.31","12.31","6570"
"PJT","2007-02-28","12.91","12.91","12.21","12.31","48100"
"PJT","2007-03-01","12.91","12.91","12.91","12.91","52400"
"PJT","2007-03-02","13.51","13.51","13.51","13.51","30940"
"PJT","2007-03-05","14.11","14.11","14.11","14.11","42970"
"PJT","2007-03-06","14.81","14.81","14.81","14.81","34240"
"PJT","2007-03-07","15.52","15.52","15.52","15.52","77200"
"PJT","2007-03-08","15.42","15.42","15.42","15.42","91110"
"PJT","2007-03-09","15.02","15.02","14.71","14.71","54390"
"PJT","2007-03-12","14.71","14.71","14.71","14.71","47380"
"PJT","2007-03-13","14.71","15.02","14.71","14.71","37750"
"PJT","2007-03-14","15.42","15.42","14.71","14.71","43640"
"PJT","2007-03-15","14.71","15.42","14.71","14.71","116960"
"PJT","2007-03-16","14.01","15.21","14.01","15.21","101640"
"PJT","2007-03-19","15.92","15.92","15.92","15.92","54740"
"PJT","2007-03-20","15.92","15.92","15.82","15.82","62680"
"PJT","2007-03-21","15.12","15.12","15.12","15.12","33510"
"PJT","2007-03-22","14.62","14.62","14.41","14.41","14150"
"PJT","2007-03-23","13.71","13.71","13.71","13.71","27950"
"PJT","2007-03-26","13.41","13.41","13.11","13.11","18090"
"PJT","2007-03-27","12.51","12.51","12.51","12.51","3880"
"PJT","2007-03-28","11.91","11.91","11.91","11.91","5330"
"PJT","2007-03-29","11.61","12.41","11.61","12.41","42210"
"PJT","2007-03-30","12.91","12.91","12.41","12.41","86330"
