symbol,date,open,high,low,close,volume,year,month,week,weekday
"PMP","2015-09-22","11.03","11.03","8.5","9.02","33200","2015","09","39","Tuesday"
"PMP","2015-09-23","9.02","9.89","9.02","9.89","3500","2015","09","39","Wednesday"
"PMP","2015-09-24","8.97","10.05","8.97","10.05","600","2015","09","39","Thursday"
"PMP","2015-09-25","9.07","9.07","9.07","9.07","8300","2015","09","39","Friday"
"PMP","2015-09-28","8.5","8.55","8.5","8.55","1500","2015","09","40","Monday"
"PMP","2015-09-29","8.24","8.76","8.24","8.76","1600","2015","09","40","Tuesday"
"PMP","2015-10-05","8.09","8.09","8.09","8.09","700","2015","10","41","Monday"
"PMP","2015-10-06","8.66","8.66","8.66","8.66","100","2015","10","41","Tuesday"
"PMP","2015-10-07","8.24","8.24","8.24","8.24","2000","2015","10","41","Wednesday"
"PMP","2015-10-12","8.24","8.24","8.24","8.24","200","2015","10","42","Monday"
"PMP","2015-10-13","7.99","7.99","7.99","7.99","6600","2015","10","42","Tuesday"
"PMP","2015-10-14","7.83","7.83","7.83","7.83","4100","2015","10","42","Wednesday"
"PMP","2015-10-15","7.88","7.88","7.83","7.83","3400","2015","10","42","Thursday"
"PMP","2015-10-19","7.83","7.83","7.47","7.47","9000","2015","10","43","Monday"
"PMP","2015-10-20","7.78","7.78","7.21","7.21","7300","2015","10","43","Tuesday"
"PMP","2015-10-21","7.52","7.52","7.52","7.52","1000","2015","10","43","Wednesday"
"PMP","2015-10-22","7.83","7.83","7.83","7.83","600","2015","10","43","Thursday"
"PMP","2015-10-26","7.52","7.52","7.47","7.52","12800","2015","10","44","Monday"
"PMP","2015-11-04","7.47","7.47","7.37","7.37","1800","2015","11","45","Wednesday"
"PMP","2015-11-05","7.37","7.37","7.37","7.37","2000","2015","11","45","Thursday"
"PMP","2015-11-06","7.47","7.47","7.47","7.47","1000","2015","11","45","Friday"
"PMP","2015-11-09","7.52","7.58","7.37","7.37","4200","2015","11","46","Monday"
"PMP","2015-11-10","7.37","7.37","7.37","7.37","2000","2015","11","46","Tuesday"
"PMP","2015-11-11","7.37","7.37","7.37","7.37","3500","2015","11","46","Wednesday"
"PMP","2015-11-13","7.32","7.37","7.32","7.37","2700","2015","11","46","Friday"
"PMP","2015-11-17","7.42","7.42","7.42","7.42","500","2015","11","47","Tuesday"
"PMP","2015-11-23","7.37","7.37","7.37","7.37","300","2015","11","48","Monday"
"PMP","2015-11-25","7.32","7.32","7.32","7.32","300","2015","11","48","Wednesday"
"PMP","2015-12-02","7.27","7.27","7.27","7.27","1500","2015","12","49","Wednesday"
"PMP","2015-12-08","7.27","7.27","7.27","7.27","500","2015","12","50","Tuesday"
"PMP","2015-12-30","7.21","7.21","7.21","7.21","300","2015","12","53","Wednesday"
"PMP","2016-01-13","7.94","7.94","7.94","7.94","500","2016","01","3","Wednesday"
"PMP","2016-01-26","7.73","7.73","7.47","7.47","8000","2016","01","5","Tuesday"
"PMP","2016-01-27","7.21","7.21","7.21","7.21","1200","2016","01","5","Wednesday"
"PMP","2016-01-28","7.21","7.21","7.21","7.21","500","2016","01","5","Thursday"
"PMP","2016-02-01","7.52","7.52","7.52","7.52","1000","2016","02","6","Monday"
"PMP","2016-02-19","7.21","7.21","7.21","7.21","400","2016","02","8","Friday"
"PMP","2016-02-24","7.42","7.42","7.42","7.42","1000","2016","02","9","Wednesday"
"PMP","2016-03-09","7.42","7.42","7.42","7.42","700","2016","03","11","Wednesday"
"PMP","2016-03-10","7.42","7.52","7.42","7.52","1800","2016","03","11","Thursday"
"PMP","2016-03-15","7.47","7.47","7.47","7.47","100","2016","03","12","Tuesday"
"PMP","2016-03-18","7.37","7.37","7.37","7.37","1100","2016","03","12","Friday"
"PMP","2016-03-21","7.42","7.42","7.42","7.42","300","2016","03","13","Monday"
"PMP","2016-03-22","7.42","7.42","7.42","7.42","100","2016","03","13","Tuesday"
"PMP","2016-03-25","7.47","7.47","7.47","7.47","200","2016","03","13","Friday"
"PMP","2016-03-29","7.47","7.47","7.47","7.47","900","2016","03","14","Tuesday"
"PMP","2016-03-31","7.47","7.47","7.47","7.47","2500","2016","03","14","Thursday"
"PMP","2016-04-01","7.47","7.47","7.47","7.47","1000","2016","04","14","Friday"
"PMP","2016-04-11","7.73","7.73","7.73","7.73","1800","2016","04","16","Monday"
"PMP","2016-04-13","7.99","7.99","7.78","7.78","2000","2016","04","16","Wednesday"
"PMP","2016-04-15","7.83","7.83","7.83","7.83","500","2016","04","16","Friday"
"PMP","2016-04-25","7.47","7.47","7.47","7.47","400","2016","04","18","Monday"
"PMP","2016-04-27","8.14","8.19","8.14","8.19","1400","2016","04","18","Wednesday"
"PMP","2016-04-28","8.24","8.24","8.24","8.24","1000","2016","04","18","Thursday"
"PMP","2016-05-04","8.14","8.14","8.14","8.14","500","2016","05","19","Wednesday"
"PMP","2016-05-05","8.24","8.24","8.24","8.24","100","2016","05","19","Thursday"
"PMP","2016-05-06","8.24","8.4","8.24","8.4","1300","2016","05","19","Friday"
"PMP","2016-05-09","8.24","8.24","8.24","8.24","200","2016","05","20","Monday"
"PMP","2016-05-20","7.42","7.42","7.42","7.42","100","2016","05","21","Friday"
"PMP","2016-05-23","8.14","8.14","8.14","8.14","100","2016","05","22","Monday"
"PMP","2016-05-24","8.66","8.66","8.35","8.66","800","2016","05","22","Tuesday"
"PMP","2016-05-26","8.66","8.66","8.66","8.66","800","2016","05","22","Thursday"
"PMP","2016-05-30","8.66","8.66","8.66","8.66","1000","2016","05","23","Monday"
"PMP","2016-05-31","8.5","8.66","8.4","8.66","2900","2016","05","23","Tuesday"
"PMP","2016-06-01","8.81","8.81","8.81","8.81","1600","2016","06","23","Wednesday"
"PMP","2016-06-02","9.02","9.02","9.02","9.02","3000","2016","06","23","Thursday"
"PMP","2016-06-03","9.07","9.17","9.07","9.17","1400","2016","06","23","Friday"
"PMP","2016-06-06","9.28","9.28","9.28","9.28","900","2016","06","24","Monday"
"PMP","2016-06-09","8.86","8.86","8.86","8.86","2500","2016","06","24","Thursday"
"PMP","2016-06-13","9.28","9.28","9.12","9.17","4500","2016","06","25","Monday"
"PMP","2016-06-14","9.22","9.22","9.22","9.22","200","2016","06","25","Tuesday"
"PMP","2016-06-15","9.45","9.45","9.28","9.4","7100","2016","06","25","Wednesday"
