symbol,date,open,high,low,close,volume,year,month,week,weekday
"PMW","2019-07-17","12.82","12.82","12.82","12.82","1000","2019","07","29","Wednesday"
"PMW","2019-07-22","14.73","14.73","14.73","14.73","100","2019","07","30","Monday"
"PMW","2019-07-23","16.93","16.93","16.93","16.93","100","2019","07","30","Tuesday"
"PMW","2019-07-24","19.42","19.42","19.42","19.42","400","2019","07","30","Wednesday"
"PMW","2019-07-25","22.27","22.27","22.27","22.27","200","2019","07","30","Thursday"
"PMW","2019-07-26","25.57","25.57","25.57","25.57","100","2019","07","30","Friday"
"PMW","2019-07-29","29.38","29.38","29.38","29.38","100","2019","07","31","Monday"
"PMW","2019-07-30","30.41","33.71","30.04","33.71","2200","2019","07","31","Tuesday"
"PMW","2019-07-31","32.97","33.34","32.97","33.34","2500","2019","07","31","Wednesday"
"PMW","2019-08-01","28.06","28.06","28.06","28.06","300","2019","08","31","Thursday"
"PMW","2019-08-02","23.96","23.96","23.96","23.96","100","2019","08","31","Friday"
"PMW","2019-08-05","20.44","23.96","20.44","23.96","300","2019","08","32","Monday"
"PMW","2019-08-06","21.98","21.98","21.98","21.98","200","2019","08","32","Tuesday"
"PMW","2019-08-07","18.68","18.68","18.68","18.68","100","2019","08","32","Wednesday"
"PMW","2019-08-12","15.89","15.89","15.89","15.89","100","2019","08","33","Monday"
"PMW","2019-08-13","18.23","18.23","18.23","18.23","100","2019","08","33","Tuesday"
"PMW","2019-10-04","20.95","20.95","20.95","20.95","30000","2019","10","40","Friday"
"PMW","2019-10-07","21.94","24.06","21.94","24.06","1400","2019","10","41","Monday"
"PMW","2019-10-08","26.4","26.4","26.4","26.4","100","2019","10","41","Tuesday"
"PMW","2019-10-10","26.48","26.48","26.48","26.48","100","2019","10","41","Thursday"
"PMW","2019-10-11","22.54","24.96","22.54","24.96","500","2019","10","41","Friday"
"PMW","2019-10-14","26.86","26.86","24.96","24.96","1200","2019","10","42","Monday"
"PMW","2019-10-15","21.64","27.23","21.64","27.23","400","2019","10","42","Tuesday"
"PMW","2019-10-16","24.96","24.96","24.96","24.96","500","2019","10","42","Wednesday"
"PMW","2019-10-17","22.16","24.96","22.16","24.96","600","2019","10","42","Thursday"
"PMW","2019-10-18","25.34","25.72","25.34","25.72","600","2019","10","42","Friday"
"PMW","2019-10-21","26.48","26.48","26.48","26.48","300","2019","10","43","Monday"
"PMW","2019-10-23","22.77","22.77","22.77","22.77","100","2019","10","43","Wednesday"
"PMW","2019-10-24","26.18","26.18","26.18","26.18","200","2019","10","43","Thursday"
"PMW","2019-10-25","27.61","27.61","27.61","27.61","700","2019","10","43","Friday"
"PMW","2019-11-01","27.61","27.99","27.61","27.99","800","2019","11","44","Friday"
"PMW","2019-11-06","23.6","23.6","23.6","23.6","200","2019","11","45","Wednesday"
"PMW","2019-11-11","27.08","27.08","27.08","27.08","200","2019","11","46","Monday"
"PMW","2019-11-12","23.07","23.07","23.07","23.07","200","2019","11","46","Tuesday"
"PMW","2019-11-13","26.48","26.48","26.48","26.48","200","2019","11","46","Wednesday"
"PMW","2019-11-14","22.54","22.54","22.54","22.54","200","2019","11","46","Thursday"
"PMW","2019-11-25","19.75","19.75","19.75","19.75","200","2019","11","48","Monday"
"PMW","2019-11-26","18.31","18.31","18.31","18.31","100","2019","11","48","Tuesday"
"PMW","2020-02-27","25.57","25.57","11.5","25.57","500","2020","02","9","Thursday"
"PMW","2020-02-28","18.16","18.16","18.16","18.16","200","2020","02","9","Friday"
"PMW","2020-03-16","15.51","15.51","15.51","15.51","1000","2020","03","12","Monday"
"PMW","2020-03-17","13.32","13.32","13.32","13.32","800","2020","03","12","Tuesday"
"PMW","2020-03-24","15.27","15.27","15.27","15.27","200","2020","03","13","Tuesday"
"PMW","2020-03-26","17.53","17.53","17.53","17.53","200","2020","03","13","Thursday"
"PMW","2020-05-06","20.11","20.11","20.11","20.11","1000","2020","05","19","Wednesday"
"PMW","2020-06-30","13.25","13.25","13.25","13.25","100","2020","06","27","Tuesday"
"PMW","2020-09-15","13.33","13.33","13.33","13.33","100","2020","09","38","Tuesday"
"PMW","2020-09-24","15.32","15.32","15.32","15.32","100","2020","09","39","Thursday"
"PMW","2020-10-06","17.55","17.55","17.55","17.55","100","2020","10","41","Tuesday"
"PMW","2020-10-08","20.12","20.12","20.12","20.12","100","2020","10","41","Thursday"
"PMW","2020-10-09","23.1","23.1","23.1","23.1","100","2020","10","41","Friday"
"PMW","2020-10-12","26.49","26.49","26.49","26.49","100","2020","10","42","Monday"
"PMW","2020-10-13","26.91","26.91","26.91","26.91","200","2020","10","42","Tuesday"
"PMW","2020-10-15","23.18","23.18","23.18","23.18","100","2020","10","42","Thursday"
"PMW","2020-10-22","19.7","19.7","19.7","19.7","100","2020","10","43","Thursday"
"PMW","2020-10-23","16.81","22.6","16.81","22.6","200","2020","10","43","Friday"
"PMW","2020-10-29","22.6","22.6","22.6","22.6","200","2020","10","44","Thursday"
"PMW","2020-12-08","22.6","22.6","22.6","22.6","100","2020","12","50","Tuesday"
"PMW","2020-12-23","19.29","19.29","19.29","19.29","100","2020","12","52","Wednesday"
"PMW","2021-01-19","22.11","22.11","16.48","16.48","200","2021","01","4","Tuesday"
"PMW","2021-01-25","16.48","16.48","16.48","16.48","100","2021","01","5","Monday"
"PMW","2021-02-02","14.07","14.07","14.07","14.07","100","2021","02","6","Tuesday"
"PMW","2021-03-01","16.14","16.14","16.14","16.14","100","2021","03","10","Monday"
"PMW","2021-03-25","18.55","18.55","18.55","18.55","100","2021","03","13","Thursday"
"PMW","2021-04-27","21.28","21.28","21.28","21.28","17200","2021","04","18","Tuesday"
"PMW","2021-04-28","24.42","24.42","24.42","24.42","300","2021","04","18","Wednesday"
"PMW","2021-05-04","28.07","28.07","28.07","28.07","300","2021","05","19","Tuesday"
"PMW","2021-05-05","32.21","32.21","32.21","32.21","100","2021","05","19","Wednesday"
"PMW","2021-05-07","36.93","36.93","36.93","36.93","100","2021","05","19","Friday"
"PMW","2021-05-10","42.14","42.14","42.14","42.14","900","2021","05","20","Monday"
"PMW","2021-05-14","48.27","48.27","35.85","35.85","2700","2021","05","20","Friday"
"PMW","2021-06-15","38.09","38.09","38.09","38.09","100","2021","06","25","Tuesday"
"PMW","2021-06-24","32.37","35.6","32.37","35.6","2500","2021","06","26","Thursday"
"PMW","2021-06-28","28.15","28.15","28.15","28.15","400","2021","06","27","Monday"
"PMW","2021-06-30","32.37","32.37","32.37","32.37","100","2021","06","27","Wednesday"
"PMW","2021-08-16","30.16","30.16","30.16","30.16","2000","2021","08","34","Monday"
"PMW","2021-09-06","30.08","30.08","30.08","30.08","1000","2021","09","37","Monday"
"PMW","2021-09-13","29.99","29.99","29.99","29.99","1000","2021","09","38","Monday"
"PMW","2021-10-08","34.41","34.41","34.41","34.41","100","2021","10","41","Friday"
"PMW","2021-10-20","30.59","30.59","30.59","30.59","3100","2021","10","43","Wednesday"
"PMW","2021-10-22","26","26","26","26","100","2021","10","43","Friday"
"PMW","2021-11-01","29.74","29.74","29.74","29.74","2400","2021","11","45","Monday"
"PMW","2021-11-04","25.32","25.32","25.32","25.32","400","2021","11","45","Thursday"
"PMW","2021-11-05","29.06","29.06","29.06","29.06","500","2021","11","45","Friday"
"PMW","2021-11-09","24.73","33.39","24.73","33.39","200","2021","11","46","Tuesday"
"PMW","2021-11-11","24.73","24.73","24.73","24.73","2400","2021","11","46","Thursday"
"PMW","2021-11-12","28.38","28.38","28.38","28.38","400","2021","11","46","Friday"
"PMW","2021-11-18","32.63","32.63","32.63","32.63","100","2021","11","47","Thursday"
"PMW","2021-12-15","27.79","37.39","27.79","37.39","200","2021","12","51","Wednesday"
"PMW","2021-12-23","27.79","27.79","27.79","27.79","100","2021","12","52","Thursday"
"PMW","2021-12-24","23.62","23.62","23.62","23.62","100","2021","12","52","Friday"
"PMW","2022-02-23","33.05","33.05","33.05","33.05","100","2022","02","8","Wednesday"
"PMW","2022-03-02","33.99","33.99","33.99","33.99","100","2022","03","9","Wednesday"
"PMW","2022-03-14","28.89","28.89","28.89","28.89","100","2022","03","11","Monday"
"PMW","2022-03-15","24.56","24.56","24.56","24.56","100","2022","03","11","Tuesday"
"PMW","2022-03-21","28.21","28.21","28.21","28.21","100","2022","03","12","Monday"
"PMW","2022-03-22","32.37","32.37","32.37","32.37","100","2022","03","12","Tuesday"
"PMW","2022-03-24","32.37","32.37","32.37","32.37","38075","2022","03","12","Thursday"
"PMW","2022-03-25","27.53","27.53","27.53","27.53","100","2022","03","12","Friday"
"PMW","2022-03-28","31.61","31.61","31.61","31.61","4638","2022","03","13","Monday"
"PMW","2022-03-31","26.93","26.93","26.93","26.93","200","2022","03","13","Thursday"
"PMW","2022-04-04","30.93","30.93","30.93","30.93","31379","2022","04","14","Monday"
"PMW","2022-04-07","26.34","26.34","26.34","26.34","100","2022","04","14","Thursday"
"PMW","2022-04-29","26.34","26.34","26.34","26.34","1000","2022","04","17","Friday"
"PMW","2022-05-04","26.34","26.34","26.34","26.34","4500","2022","05","18","Wednesday"
"PMW","2022-05-05","26.34","26.34","26.34","26.34","4500","2022","05","18","Thursday"
"PMW","2022-05-06","22.43","22.43","22.43","22.43","4900","2022","05","18","Friday"
"PMW","2022-05-09","22.43","22.43","22.43","22.43","4900","2022","05","19","Monday"
"PMW","2022-05-10","25.75","25.75","25.75","25.75","100","2022","05","19","Tuesday"
"PMW","2022-05-11","29.57","29.57","29.57","29.57","100","2022","05","19","Wednesday"
"PMW","2022-06-15","32.29","32.29","32.29","32.29","1000","2022","06","24","Wednesday"
"PMW","2022-06-16","32.29","32.29","32.29","32.29","24479","2022","06","24","Thursday"
"PMW","2022-06-17","29.74","29.74","29.74","29.74","1000","2022","06","24","Friday"
