symbol,date,open,high,low,close,volume,year,month,week,weekday
"PNP","2019-09-12","11.3","11.3","4.91","4.91","300","2019","09","37","Thursday"
"PNP","2020-01-06","9.89","9.89","9.89","9.89","100","2020","01","2","Monday"
"PNP","2020-02-11","11.15","11.15","11.15","11.15","1600","2020","02","7","Tuesday"
"PNP","2020-02-17","12.79","12.79","12.72","12.72","300","2020","02","8","Monday"
"PNP","2020-02-18","14.5","14.5","14.5","14.5","100","2020","02","8","Tuesday"
"PNP","2020-02-26","12.35","12.35","12.35","12.35","1800","2020","02","9","Wednesday"
"PNP","2020-03-23","14.13","14.13","14.13","14.13","100","2020","03","13","Monday"
"PNP","2020-04-08","12.64","12.64","12.64","12.64","100","2020","04","15","Wednesday"
"PNP","2020-04-13","10.78","10.78","10.78","10.78","100","2020","04","16","Monday"
"PNP","2020-04-17","12.35","12.35","9.3","9.3","200","2020","04","16","Friday"
"PNP","2020-04-21","9.67","9.67","9.67","9.67","1600","2020","04","17","Tuesday"
"PNP","2020-09-14","13.53","13.53","13.53","13.53","100","2020","09","38","Monday"
"PNP","2020-09-18","13.62","13.62","13.62","13.62","8700","2020","09","38","Friday"
"PNP","2020-10-06","15.64","15.64","15.64","15.64","100","2020","10","41","Tuesday"
"PNP","2020-10-14","17.93","17.93","17.93","17.93","100","2020","10","42","Wednesday"
"PNP","2020-11-11","15.29","15.29","15.29","15.29","400","2020","11","46","Wednesday"
"PNP","2020-11-18","15.29","15.29","15.29","15.29","2000","2020","11","47","Wednesday"
"PNP","2020-11-30","13.36","13.36","13.36","13.36","100","2020","11","49","Monday"
"PNP","2020-12-01","11.95","11.95","11.95","11.95","100","2020","12","49","Tuesday"
"PNP","2020-12-03","10.28","10.28","10.28","10.28","1900","2020","12","49","Thursday"
"PNP","2020-12-15","11.78","11.78","11.78","11.78","100","2020","12","51","Tuesday"
"PNP","2020-12-16","12.39","12.39","12.39","12.39","100","2020","12","51","Wednesday"
"PNP","2020-12-21","13.27","13.27","13.27","13.27","100","2020","12","52","Monday"
"PNP","2020-12-23","15.2","15.2","15.2","15.2","100","2020","12","52","Wednesday"
"PNP","2020-12-31","16.26","16.26","16.26","16.26","100","2020","12","53","Thursday"
"PNP","2021-01-04","13.88","13.88","13.88","13.88","2200","2021","01","2","Monday"
"PNP","2021-01-18","11.95","11.95","11.95","11.95","2900","2021","01","4","Monday"
"PNP","2021-02-03","11.78","11.78","11.78","11.78","100","2021","02","6","Wednesday"
"PNP","2021-02-17","13.53","13.53","13.53","13.53","100","2021","02","8","Wednesday"
"PNP","2021-03-22","14.06","14.06","14.06","14.06","300","2021","03","13","Monday"
"PNP","2021-04-06","16.17","16.17","16.17","16.17","100","2021","04","15","Tuesday"
"PNP","2021-05-06","17.58","17.58","17.58","17.58","100","2021","05","19","Thursday"
"PNP","2021-05-19","18.45","18.45","18.45","18.45","100","2021","05","21","Wednesday"
"PNP","2021-05-20","18.02","18.02","18.02","18.02","100","2021","05","21","Thursday"
"PNP","2021-06-10","20.65","20.65","20.65","20.65","100","2021","06","24","Thursday"
"PNP","2021-06-22","23.73","23.73","23.73","23.73","100","2021","06","26","Tuesday"
"PNP","2021-07-27","27.14","27.14","27.14","27.14","100","2021","07","31","Tuesday"
"PNP","2021-07-28","23.12","23.12","23.12","23.12","500","2021","07","31","Wednesday"
"PNP","2021-08-19","26.21","26.21","26.21","26.21","100","2021","08","34","Thursday"
"PNP","2021-08-31","26.21","26.21","26.21","26.21","1300","2021","08","36","Tuesday"
"PNP","2021-09-01","26.11","26.11","26.11","26.11","1300","2021","09","36","Wednesday"
"PNP","2021-09-08","26.11","26.11","26.11","26.11","1300","2021","09","37","Wednesday"
"PNP","2021-09-10","26.11","26.11","26.11","26.11","2200","2021","09","37","Friday"
"PNP","2021-09-20","27.61","29.95","27.61","29.95","3400","2021","09","39","Monday"
"PNP","2021-09-21","33.79","33.79","33.79","33.79","100","2021","09","39","Tuesday"
"PNP","2021-09-22","33.79","33.79","33.79","33.79","1400","2021","09","39","Wednesday"
"PNP","2021-09-24","33.6","33.6","33.6","33.6","1000","2021","09","39","Friday"
"PNP","2021-10-15","33.51","33.51","33.51","33.51","1000","2021","10","42","Friday"
"PNP","2021-11-01","32.67","32.67","32.67","32.67","1000","2021","11","45","Monday"
"PNP","2021-11-18","32.39","32.57","27.8","27.8","10100","2021","11","47","Thursday"
"PNP","2021-11-19","32.85","32.85","32.85","32.85","100","2021","11","47","Friday"
"PNP","2021-12-17","32.67","32.67","32.67","32.67","1000","2021","12","51","Friday"
"PNP","2021-12-20","32.67","32.67","32.67","32.67","200","2021","12","52","Monday"
"PNP","2021-12-23","27.8","27.8","27.8","27.8","100","2021","12","52","Thursday"
"PNP","2021-12-28","27.8","27.8","27.8","27.8","100","2021","12","53","Tuesday"
"PNP","2022-01-04","27.71","27.71","27.71","27.71","100","2022","01","1","Tuesday"
"PNP","2022-01-05","23.59","23.59","23.59","23.59","3100","2022","01","1","Wednesday"
"PNP","2022-01-10","20.12","27.05","20.12","27.05","1500","2022","01","2","Monday"
"PNP","2022-01-20","20.59","23.68","20.59","23.68","1700","2022","01","3","Thursday"
"PNP","2022-02-07","23.4","23.4","23.4","23.4","100","2022","02","6","Monday"
"PNP","2022-02-08","26.68","26.68","26.68","26.68","100","2022","02","6","Tuesday"
"PNP","2022-02-09","30.42","30.42","30.42","30.42","100","2022","02","6","Wednesday"
"PNP","2022-02-10","34.63","34.63","34.63","34.63","100","2022","02","6","Thursday"
"PNP","2022-02-14","34.63","34.63","34.63","34.63","6","2022","02","7","Monday"
"PNP","2022-02-16","29.48","29.48","29.48","29.48","100","2022","02","7","Wednesday"
"PNP","2022-03-01","25.09","25.09","25.09","25.09","401","2022","03","9","Tuesday"
"PNP","2022-03-29","27.33","27.33","21.34","21.34","400","2022","03","13","Tuesday"
"PNP","2022-04-06","25.27","25.27","25.27","25.27","300","2022","04","14","Wednesday"
"PNP","2022-05-13","23.4","23.4","23.4","23.4","1600","2022","05","19","Friday"
"PNP","2022-05-18","23.4","23.4","23.4","23.4","27","2022","05","20","Wednesday"
"PNP","2022-05-30","23.4","23.4","23.4","23.4","25","2022","05","22","Monday"
"PNP","2022-06-03","23.4","23.4","23.4","23.4","2","2022","06","22","Friday"
"PNP","2022-06-06","23.4","23.4","23.4","23.4","20","2022","06","23","Monday"
"PNP","2022-06-08","23.4","23.4","23.4","23.4","1000","2022","06","23","Wednesday"
"PNP","2022-06-15","23.4","23.4","23.4","23.4","3","2022","06","24","Wednesday"
"PNP","2022-06-17","23.4","23.4","23.4","23.4","1","2022","06","24","Friday"
"PNP","2022-06-24","23.4","23.4","23.4","23.4","9","2022","06","25","Friday"
"PNP","2022-07-01","23.4","23.4","23.4","23.4","3","2022","07","26","Friday"
"PNP","2022-07-07","23.4","23.4","23.4","23.4","5101","2022","07","27","Thursday"
"PNP","2022-07-15","23.4","23.4","23.4","23.4","100","2022","07","28","Friday"
"PNP","2022-07-19","23.4","23.4","23.4","23.4","100","2022","07","29","Tuesday"
"PNP","2022-07-25","23.4","23.4","23.4","23.4","300","2022","07","30","Monday"
"PNP","2022-08-09","25","25","25","25","100","2022","08","32","Tuesday"
"PNP","2022-08-11","25","25","25","25","200","2022","08","32","Thursday"
"PNP","2022-08-12","25","25","25","25","171","2022","08","32","Friday"
"PNP","2022-08-23","25","25","25","25","9754","2022","08","34","Tuesday"
"PNP","2022-09-20","21.3","21.3","21.3","21.3","300","2022","09","38","Tuesday"
"PNP","2022-10-12","21","21","21","21","100","2022","10","41","Wednesday"
"PNP","2022-11-01","19","19","19","19","2000","2022","11","44","Tuesday"
"PNP","2022-11-29","18","18","18","18","200","2022","11","48","Tuesday"
"PNP","2022-11-30","17.4","17.4","17","17","600","2022","11","48","Wednesday"
"PNP","2022-12-05","15","15","15","15","700","2022","12","49","Monday"
"PNP","2022-12-06","15","15","14","14","1400","2022","12","49","Tuesday"
"PNP","2022-12-07","12.3","12.3","12.3","12.3","600","2022","12","49","Wednesday"
"PNP","2022-12-14","14.1","14.1","14.1","14.1","100","2022","12","50","Wednesday"
"PNP","2022-12-15","16.2","16.2","16.2","16.2","100","2022","12","50","Thursday"
"PNP","2022-12-23","18.6","18.6","18.6","18.6","100","2022","12","51","Friday"
"PNP","2023-01-06","18.5","18.5","18.5","18.5","500","2023","01","1","Friday"
