symbol,date,open,high,low,close,volume,year,month,week,weekday
"POM","2010-04-20","32.1","32.1","32.1","32.1","23510","2010","04","17","Tuesday"
"POM","2010-04-21","33.44","33.44","33.44","33.44","21200","2010","04","17","Wednesday"
"POM","2010-04-22","35.11","35.11","35.11","35.11","22090","2010","04","17","Thursday"
"POM","2010-04-26","34.78","36.12","34.78","34.78","663650","2010","04","18","Monday"
"POM","2010-04-27","34.11","36.12","34.11","35.11","204680","2010","04","18","Tuesday"
"POM","2010-04-28","35.11","35.45","34.78","35.11","215540","2010","04","18","Wednesday"
"POM","2010-04-29","35.11","35.11","34.44","35.11","154290","2010","04","18","Thursday"
"POM","2010-05-04","35.11","35.11","34.78","34.78","180130","2010","05","19","Tuesday"
"POM","2010-05-05","33.44","34.78","33.44","34.11","107890","2010","05","19","Wednesday"
"POM","2010-05-06","34.78","34.78","34.11","34.44","89170","2010","05","19","Thursday"
"POM","2010-05-07","34.44","34.44","33.44","33.44","120110","2010","05","19","Friday"
"POM","2010-05-10","34.44","34.44","33.37","33.44","50420","2010","05","20","Monday"
"POM","2010-05-11","34.11","34.11","33.44","33.77","103630","2010","05","20","Tuesday"
"POM","2010-05-12","32.7","33.77","32.64","32.84","63120","2010","05","20","Wednesday"
"POM","2010-05-13","33.44","33.44","32.7","32.77","28290","2010","05","20","Thursday"
"POM","2010-05-14","33.37","33.37","32.77","33.11","41700","2010","05","20","Friday"
"POM","2010-05-17","33.44","33.44","32.44","33.11","31640","2010","05","21","Monday"
"POM","2010-05-18","32.77","33.11","32.44","32.44","5150","2010","05","21","Tuesday"
"POM","2010-05-19","32.1","32.44","30.83","32.44","98650","2010","05","21","Wednesday"
"POM","2010-05-20","31.1","32.44","31.1","32.1","102340","2010","05","21","Thursday"
"POM","2010-05-21","30.57","30.57","30.5","30.57","35460","2010","05","21","Friday"
"POM","2010-05-24","30.43","30.77","30.16","30.43","25300","2010","05","22","Monday"
"POM","2010-05-25","29.09","30.43","29.03","29.43","22570","2010","05","22","Tuesday"
"POM","2010-05-26","30.1","30.9","30.1","30.1","8470","2010","05","22","Wednesday"
"POM","2010-05-27","30.1","30.7","29.43","29.43","42260","2010","05","22","Thursday"
"POM","2010-05-28","30.1","30.9","29.83","30.9","58270","2010","05","22","Friday"
"POM","2010-05-31","31.97","31.97","30.9","30.9","17640","2010","05","23","Monday"
"POM","2010-06-01","30.1","30.1","29.83","30.1","11900","2010","06","23","Tuesday"
"POM","2010-06-02","30.1","30.1","28.63","29.16","18900","2010","06","23","Wednesday"
"POM","2010-06-03","29.43","30.43","29.43","29.43","22300","2010","06","23","Thursday"
"POM","2010-06-04","30.1","30.1","29.09","30.1","23710","2010","06","23","Friday"
"POM","2010-06-07","28.76","30.03","28.76","28.76","178360","2010","06","24","Monday"
"POM","2010-06-08","29.09","29.29","28.76","29.29","19030","2010","06","24","Tuesday"
"POM","2010-06-09","28.89","29.43","28.89","29.43","9640","2010","06","24","Wednesday"
"POM","2010-06-10","29.29","29.76","29.29","29.29","8310","2010","06","24","Thursday"
"POM","2010-06-11","29.63","29.63","29.29","29.09","3700","2010","06","24","Friday"
"POM","2010-06-14","29.09","29.36","29.09","29.29","16330","2010","06","25","Monday"
"POM","2010-06-15","29.43","29.43","29.16","29.29","25520","2010","06","25","Tuesday"
"POM","2010-06-16","29.36","29.5","29.23","29.36","66770","2010","06","25","Wednesday"
"POM","2010-06-17","29.16","29.16","28.22","28.69","21520","2010","06","25","Thursday"
"POM","2010-06-18","28.76","28.76","28.63","28.69","56270","2010","06","25","Friday"
"POM","2010-06-21","28.49","30.1","28.43","28.76","62240","2010","06","26","Monday"
"POM","2010-06-22","28.76","28.76","28.49","28.63","47220","2010","06","26","Tuesday"
"POM","2010-06-23","28.63","28.76","28.63","28.63","14860","2010","06","26","Wednesday"
"POM","2010-06-24","28.63","28.63","28.09","28.09","35260","2010","06","26","Thursday"
"POM","2010-06-25","28.22","28.56","27.49","28.09","55120","2010","06","26","Friday"
"POM","2010-06-28","27.22","28.76","27.22","28.56","21280","2010","06","27","Monday"
"POM","2010-06-29","28.16","28.63","28.16","28.16","65040","2010","06","27","Tuesday"
"POM","2010-06-30","26.95","28.69","26.95","27.62","34680","2010","06","27","Wednesday"
"POM","2010-07-01","27.76","27.76","27.02","27.02","21710","2010","07","27","Thursday"
"POM","2010-07-02","26.89","27.09","26.82","27.09","75900","2010","07","27","Friday"
"POM","2010-07-05","26.82","28.09","26.75","28.09","57160","2010","07","28","Monday"
"POM","2010-07-06","28.09","28.09","27.02","27.09","47270","2010","07","28","Tuesday"
"POM","2010-07-07","27.09","27.09","26.75","26.75","10100","2010","07","28","Wednesday"
"POM","2010-07-08","27.09","27.42","27.09","27.42","73320","2010","07","28","Thursday"
"POM","2010-07-09","27.42","27.69","27.22","27.69","29230","2010","07","28","Friday"
"POM","2010-07-12","26.82","27.76","26.48","27.55","22910","2010","07","29","Monday"
"POM","2010-07-13","27.42","28.29","26.95","28.29","22200","2010","07","29","Tuesday"
"POM","2010-07-14","27.55","28.29","27.55","28.29","57240","2010","07","29","Wednesday"
"POM","2010-07-15","27.76","28.43","27.76","28.29","43320","2010","07","29","Thursday"
"POM","2010-07-16","27.69","28.43","27.69","28.43","62430","2010","07","29","Friday"
"POM","2010-07-19","28.83","29.43","28.76","28.76","59510","2010","07","30","Monday"
"POM","2010-07-20","29.29","29.29","28.16","28.83","41890","2010","07","30","Tuesday"
"POM","2010-07-21","28.63","29.09","28.56","28.56","21930","2010","07","30","Wednesday"
"POM","2010-07-22","23.94","25.75","23.94","25.35","22510","2010","07","30","Thursday"
"POM","2010-07-23","24.95","25.28","24.95","25.01","20260","2010","07","30","Friday"
"POM","2010-07-26","25.01","25.01","24.88","25.01","24910","2010","07","31","Monday"
"POM","2010-07-27","24.95","25.01","24.95","25.01","29960","2010","07","31","Tuesday"
"POM","2010-07-28","24.28","24.28","23.88","23.88","12190","2010","07","31","Wednesday"
"POM","2010-07-29","24.81","24.81","24.34","24.34","21230","2010","07","31","Thursday"
