symbol,date,open,high,low,close,volume,year,month,week,weekday
"PPS","2011-01-07","3.6","3.6","3.35","3.35","240000","2011","01","1","Friday"
"PPS","2011-01-10","3.37","3.45","3.24","3.29","93000","2011","01","2","Monday"
"PPS","2011-01-11","3.29","3.29","3.17","3.19","91800","2011","01","2","Tuesday"
"PPS","2011-01-12","3.17","3.22","3.06","3.11","53300","2011","01","2","Wednesday"
"PPS","2011-01-13","3.14","3.14","3.06","3.09","130000","2011","01","2","Thursday"
"PPS","2011-01-14","3.09","3.09","3.06","3.09","115300","2011","01","2","Friday"
"PPS","2011-01-17","3.06","3.09","3.04","3.09","62100","2011","01","3","Monday"
"PPS","2011-01-18","3.09","3.09","2.99","3.06","95500","2011","01","3","Tuesday"
"PPS","2011-01-19","2.99","3.01","2.96","2.99","72600","2011","01","3","Wednesday"
"PPS","2011-01-20","3.04","3.19","2.96","2.99","108500","2011","01","3","Thursday"
"PPS","2011-01-21","2.96","3.01","2.88","2.88","88400","2011","01","3","Friday"
"PPS","2011-01-24","2.91","2.91","2.75","2.75","86800","2011","01","4","Monday"
"PPS","2011-01-25","2.75","2.83","2.75","2.83","70200","2011","01","4","Tuesday"
"PPS","2011-01-26","2.75","2.86","2.75","2.83","30600","2011","01","4","Wednesday"
"PPS","2011-01-27","2.78","2.96","2.78","2.96","38200","2011","01","4","Thursday"
"PPS","2011-01-28","3.04","3.04","2.88","3.04","53400","2011","01","4","Friday"
"PPS","2011-02-08","2.86","2.96","2.86","2.86","8400","2011","02","6","Tuesday"
"PPS","2011-02-09","2.86","2.93","2.86","2.86","41800","2011","02","6","Wednesday"
"PPS","2011-02-10","2.83","2.83","2.81","2.81","21100","2011","02","6","Thursday"
"PPS","2011-02-11","2.75","2.78","2.75","2.78","23800","2011","02","6","Friday"
"PPS","2011-02-14","2.78","2.93","2.78","2.78","14800","2011","02","7","Monday"
"PPS","2011-02-15","2.73","2.78","2.7","2.75","28800","2011","02","7","Tuesday"
"PPS","2011-02-16","2.68","2.81","2.68","2.81","23000","2011","02","7","Wednesday"
"PPS","2011-02-17","2.7","2.73","2.7","2.7","17800","2011","02","7","Thursday"
"PPS","2011-02-18","2.63","2.81","2.63","2.7","31700","2011","02","7","Friday"
"PPS","2011-02-21","2.57","2.6","2.52","2.52","51300","2011","02","8","Monday"
"PPS","2011-02-22","2.44","2.57","2.42","2.47","35000","2011","02","8","Tuesday"
"PPS","2011-02-23","2.42","2.52","2.42","2.5","21400","2011","02","8","Wednesday"
"PPS","2011-02-24","2.39","2.44","2.39","2.42","15200","2011","02","8","Thursday"
"PPS","2011-02-25","2.37","2.57","2.37","2.57","75300","2011","02","8","Friday"
"PPS","2011-02-28","2.57","2.65","2.57","2.65","46700","2011","02","9","Monday"
"PPS","2011-03-01","2.81","2.81","2.81","2.81","121600","2011","03","9","Tuesday"
