symbol,date,open,high,low,close,volume,year,month,week,weekday
"PRO","2014-10-10","10","10","10","10","12600","2014","10","41","Friday"
"PRO","2014-10-13","11","11","11","11","1800","2014","10","42","Monday"
"PRO","2014-10-14","9.9","9.9","9.9","9.9","1000","2014","10","42","Tuesday"
"PRO","2014-10-15","9","9","9","9","1000","2014","10","42","Wednesday"
"PRO","2014-10-16","8.5","8.5","8.1","8.1","3000","2014","10","42","Thursday"
"PRO","2014-10-17","8","8","8","8","1000","2014","10","42","Friday"
"PRO","2014-10-20","7.8","7.8","7.8","7.8","1500","2014","10","43","Monday"
"PRO","2014-10-21","8.5","8.5","8.5","8.5","100","2014","10","43","Tuesday"
"PRO","2014-10-24","8","8","8","8","1000","2014","10","43","Friday"
"PRO","2014-10-28","7.5","8.8","7.5","8.8","1100","2014","10","44","Tuesday"
"PRO","2014-11-07","7.5","7.5","7","7","1000","2014","11","45","Friday"
"PRO","2014-11-10","7","7","6.6","6.6","1200","2014","11","46","Monday"
"PRO","2014-11-13","7","7.4","7","7.4","1200","2014","11","46","Thursday"
"PRO","2014-11-14","7.8","7.8","7.8","7.8","700","2014","11","46","Friday"
"PRO","2014-11-21","7.8","7.8","7.8","7.8","1000","2014","11","47","Friday"
"PRO","2014-11-24","7.9","7.9","7.8","7.8","2500","2014","11","48","Monday"
"PRO","2014-11-28","7.8","7.8","7.8","7.8","300","2014","11","48","Friday"
"PRO","2014-12-24","8","8","8","8","100","2014","12","52","Wednesday"
"PRO","2014-12-31","7.2","7.2","7.2","7.2","500","2014","12","1","Wednesday"
"PRO","2015-01-06","7.5","7.5","7.5","7.5","100","2015","01","2","Tuesday"
"PRO","2015-01-09","6.8","6.8","6.8","6.8","1000","2015","01","2","Friday"
"PRO","2015-01-12","6.2","6.2","6.2","6.2","5400","2015","01","3","Monday"
"PRO","2015-01-13","6.2","6.2","6.2","6.2","1000","2015","01","3","Tuesday"
"PRO","2015-01-20","6.8","6.8","6.8","6.8","100","2015","01","4","Tuesday"
"PRO","2015-01-22","7.3","7.3","7.3","7.3","100","2015","01","4","Thursday"
"PRO","2015-01-23","7.9","7.9","7.9","7.9","100","2015","01","4","Friday"
"PRO","2015-01-29","8.4","8.4","8.4","8.4","100","2015","01","5","Thursday"
"PRO","2015-02-12","7.6","7.6","7.6","7.6","3500","2015","02","7","Thursday"
"PRO","2015-02-13","7","7","7","7","100","2015","02","7","Friday"
"PRO","2015-02-24","7.3","7.3","7.3","7.3","500","2015","02","9","Tuesday"
"PRO","2015-02-25","7.7","7.7","6.6","6.6","2500","2015","02","9","Wednesday"
"PRO","2015-02-26","7","7","7","7","1000","2015","02","9","Thursday"
"PRO","2015-02-27","6.3","6.3","6.3","6.3","100","2015","02","9","Friday"
"PRO","2015-03-03","6.3","6.4","6.3","6.4","6100","2015","03","10","Tuesday"
"PRO","2015-03-04","6.9","6.9","6.9","6.9","2000","2015","03","10","Wednesday"
"PRO","2015-03-06","7.5","7.5","7.5","7.5","2000","2015","03","10","Friday"
"PRO","2015-03-09","7.4","7.4","6.8","6.8","6000","2015","03","11","Monday"
"PRO","2015-03-10","7","7","7","7","1000","2015","03","11","Tuesday"
"PRO","2015-03-11","7.3","7.3","7.3","7.3","3000","2015","03","11","Wednesday"
"PRO","2015-03-17","6.9","6.9","6.9","6.9","100","2015","03","12","Tuesday"
"PRO","2015-03-18","6.9","6.9","6.9","6.9","3000","2015","03","12","Wednesday"
"PRO","2015-03-20","7.3","7.3","7.3","7.3","1000","2015","03","12","Friday"
"PRO","2015-03-24","6.9","6.9","6.9","6.9","100","2015","03","13","Tuesday"
"PRO","2015-03-30","6.9","6.9","6.9","6.9","2000","2015","03","14","Monday"
"PRO","2015-04-01","6.9","6.9","6.9","6.9","100","2015","04","14","Wednesday"
"PRO","2015-04-02","6.9","6.9","6.9","6.9","2000","2015","04","14","Thursday"
"PRO","2015-04-03","6.9","6.9","6.9","6.9","1500","2015","04","14","Friday"
"PRO","2015-04-08","6.9","6.9","6.9","6.9","2000","2015","04","15","Wednesday"
"PRO","2015-04-21","7","7","7","7","2000","2015","04","17","Tuesday"
"PRO","2015-05-11","6.5","6.5","6.5","6.5","200","2015","05","20","Monday"
"PRO","2015-06-02","6","6","6","6","300","2015","06","23","Tuesday"
"PRO","2015-06-08","5.5","5.5","5.5","5.5","300","2015","06","24","Monday"
"PRO","2015-06-12","5.7","5.7","5.7","5.7","100","2015","06","24","Friday"
"PRO","2015-06-23","5.3","5.3","5.3","5.3","200","2015","06","26","Tuesday"
"PRO","2015-07-14","6","6","6","6","100","2015","07","29","Tuesday"
"PRO","2015-07-17","5.7","5.7","5.7","5.7","200","2015","07","29","Friday"
"PRO","2015-07-22","5.5","5.5","5.5","5.5","100","2015","07","30","Wednesday"
"PRO","2015-07-27","6.3","6.3","6.3","6.3","100","2015","07","31","Monday"
"PRO","2015-08-06","7","7","7","7","1000","2015","08","32","Thursday"
"PRO","2015-08-10","6.1","7","6.1","7","2700","2015","08","33","Monday"
"PRO","2015-08-13","7","7","7","7","5900","2015","08","33","Thursday"
"PRO","2015-08-17","6","6","6","6","100","2015","08","34","Monday"
"PRO","2015-08-21","6","6","6","6","1400","2015","08","34","Friday"
"PRO","2015-08-24","6","6","6","6","500","2015","08","35","Monday"
"PRO","2015-08-26","6.2","6.2","6.2","6.2","100","2015","08","35","Wednesday"
"PRO","2015-08-27","7","7","7","7","5000","2015","08","35","Thursday"
"PRO","2015-08-28","6.2","6.2","6.2","6.2","100","2015","08","35","Friday"
"PRO","2015-08-31","6.2","6.2","6.2","6.2","100","2015","08","36","Monday"
"PRO","2015-09-01","6.8","6.8","6.8","6.8","100","2015","09","36","Tuesday"
"PRO","2015-09-09","6.2","6.2","6.2","6.2","100","2015","09","37","Wednesday"
"PRO","2015-09-11","7","7","7","7","10000","2015","09","37","Friday"
"PRO","2015-09-14","6.2","6.2","6.2","6.2","100","2015","09","38","Monday"
"PRO","2015-09-17","5.5","5.5","5.5","5.5","100","2015","09","38","Thursday"
"PRO","2015-09-23","6.3","6.3","6.3","6.3","100","2015","09","39","Wednesday"
"PRO","2015-10-01","6","6","6","6","100","2015","10","40","Thursday"
"PRO","2015-10-02","6.9","6.9","6.9","6.9","100","2015","10","40","Friday"
"PRO","2015-10-07","6.1","6.1","6.1","6.1","100","2015","10","41","Wednesday"
"PRO","2015-10-16","5.8","5.8","5.8","5.8","700","2015","10","42","Friday"
"PRO","2015-10-26","6","6.6","6","6.6","600","2015","10","44","Monday"
"PRO","2015-11-03","6.1","6.1","6.1","6.1","100","2015","11","45","Tuesday"
"PRO","2015-11-04","6.2","6.2","6.2","6.2","100","2015","11","45","Wednesday"
"PRO","2015-11-06","5.8","5.8","5.8","5.8","500","2015","11","45","Friday"
"PRO","2015-11-09","6","6","6","6","100","2015","11","46","Monday"
"PRO","2015-11-10","6.1","6.1","6.1","6.1","100","2015","11","46","Tuesday"
"PRO","2015-11-12","6.1","6.1","6.1","6.1","2000","2015","11","46","Thursday"
"PRO","2015-11-16","6.2","6.2","6.2","6.2","100","2015","11","47","Monday"
"PRO","2015-11-25","6","6","6","6","300","2015","11","48","Wednesday"
"PRO","2015-11-27","5.1","5.1","5.1","5.1","100","2015","11","48","Friday"
"PRO","2015-12-01","5.8","5.8","5.8","5.8","3100","2015","12","49","Tuesday"
"PRO","2015-12-02","6.1","6.1","6.1","6.1","100","2015","12","49","Wednesday"
"PRO","2015-12-11","6.1","6.1","6.1","6.1","100","2015","12","50","Friday"
"PRO","2015-12-21","6.1","6.1","6.1","6.1","1000","2015","12","52","Monday"
"PRO","2015-12-25","6.5","7","6.5","7","1651100","2015","12","52","Friday"
"PRO","2015-12-28","5.8","5.8","5.8","5.8","100","2015","12","53","Monday"
"PRO","2015-12-30","6.6","6.6","6.6","6.6","100","2015","12","53","Wednesday"
"PRO","2015-12-31","5.7","6.5","5.7","6.5","1200","2015","12","53","Thursday"
"PRO","2016-01-05","5.5","5.5","5.5","5.5","100","2016","01","2","Tuesday"
"PRO","2016-01-06","6.3","6.3","6.3","6.3","200","2016","01","2","Wednesday"
"PRO","2016-01-08","5.4","5.4","5.4","5.4","100","2016","01","2","Friday"
"PRO","2016-01-14","6.2","6.2","6.2","6.2","100","2016","01","3","Thursday"
"PRO","2016-02-04","6.8","6.8","6.8","6.8","1000","2016","02","6","Thursday"
"PRO","2016-02-05","7","7","7","7","4100","2016","02","6","Friday"
"PRO","2016-03-21","7","7","7","7","100","2016","03","13","Monday"
"PRO","2016-03-28","8","8","8","8","30000","2016","03","14","Monday"
"PRO","2016-03-29","6.8","6.8","6.8","6.8","100","2016","03","14","Tuesday"
"PRO","2016-03-30","6.8","7.8","6.8","7.8","23000","2016","03","14","Wednesday"
"PRO","2016-04-04","8.1","8.1","8.1","8.1","1000","2016","04","15","Monday"
"PRO","2016-04-05","6.9","6.9","6.9","6.9","2300","2016","04","15","Tuesday"
"PRO","2016-04-06","6.9","7","6.9","7","6800","2016","04","15","Wednesday"
"PRO","2016-04-07","5.9","5.9","5.9","5.9","1000","2016","04","15","Thursday"
