symbol,date,open,high,low,close,volume,year,month,week,weekday
"PRT","2018-05-07","18.63","19.12","17.16","19.12","31200","2018","05","19","Monday"
"PRT","2018-05-08","20.5","20.5","18.63","18.63","4800","2018","05","19","Tuesday"
"PRT","2018-05-09","20.01","20.01","17.65","17.65","23300","2018","05","19","Wednesday"
"PRT","2018-05-10","17.65","17.65","17.26","17.26","22000","2018","05","19","Thursday"
"PRT","2018-05-11","17.95","17.95","17.16","17.65","10200","2018","05","19","Friday"
"PRT","2018-05-14","17.16","17.16","17.06","17.06","33000","2018","05","20","Monday"
"PRT","2018-05-15","17.16","17.65","17.16","17.65","4800","2018","05","20","Tuesday"
"PRT","2018-05-16","17.65","17.65","17.65","17.65","5700","2018","05","20","Wednesday"
"PRT","2018-05-17","17.16","17.16","17.06","17.16","34500","2018","05","20","Thursday"
"PRT","2018-05-21","16.97","17.06","16.67","16.67","55600","2018","05","21","Monday"
"PRT","2018-05-22","16.67","16.97","16.67","16.97","1500","2018","05","21","Tuesday"
"PRT","2018-05-23","17.16","17.16","17.16","17.16","300","2018","05","21","Wednesday"
"PRT","2018-05-28","16.67","16.97","16.18","16.97","7200","2018","05","22","Monday"
"PRT","2018-05-29","16.48","16.48","16.48","16.48","800","2018","05","22","Tuesday"
"PRT","2018-05-30","16.87","16.87","16.87","16.87","20000","2018","05","22","Wednesday"
"PRT","2018-05-31","17.16","17.16","17.16","17.16","2000","2018","05","22","Thursday"
"PRT","2018-06-04","16.87","16.87","16.87","16.87","3800","2018","06","23","Monday"
"PRT","2018-06-06","16.28","16.87","16.28","16.87","200","2018","06","23","Wednesday"
"PRT","2018-06-07","17.16","17.16","17.16","17.16","900","2018","06","23","Thursday"
"PRT","2018-06-12","16.08","16.08","16.08","16.08","400","2018","06","24","Tuesday"
"PRT","2018-06-14","16.87","16.87","16.87","16.87","100","2018","06","24","Thursday"
"PRT","2018-06-15","16.77","16.77","16.67","16.67","4300","2018","06","24","Friday"
"PRT","2018-06-18","16.57","16.67","15.79","16.67","14400","2018","06","25","Monday"
"PRT","2018-06-19","15.98","16.57","15.69","15.69","23660","2018","06","25","Tuesday"
"PRT","2018-06-20","15.89","15.89","15.59","15.59","15310","2018","06","25","Wednesday"
"PRT","2018-06-21","15.69","15.89","15.2","15.59","15300","2018","06","25","Thursday"
"PRT","2018-06-22","15.79","15.79","15.2","15.49","28300","2018","06","25","Friday"
"PRT","2018-06-25","15.3","15.3","15.3","15.3","200","2018","06","26","Monday"
"PRT","2018-06-26","15.3","15.3","15.2","15.2","7000","2018","06","26","Tuesday"
"PRT","2018-06-27","15.69","15.69","15.49","15.49","2000","2018","06","26","Wednesday"
"PRT","2018-06-29","14.81","15.1","14.71","14.81","17400","2018","06","26","Friday"
"PRT","2018-07-02","15.69","16.18","14.71","15.2","15210","2018","07","27","Monday"
"PRT","2018-07-03","15.4","15.4","15.2","15.2","11500","2018","07","27","Tuesday"
