symbol,date,open,high,low,close,volume,year,month,week,weekday
"PTH","2010-03-24","9.17","9.17","9.17","9.17","800","2010","03","13","Wednesday"
"PTH","2010-04-28","10","10","10","10","1000","2010","04","18","Wednesday"
"PTH","2010-05-07","10","10","10","10","500","2010","05","19","Friday"
"PTH","2010-05-10","10.16","10.16","10.16","10.16","500","2010","05","20","Monday"
"PTH","2010-05-13","11.16","11.16","11.16","11.16","100","2010","05","20","Thursday"
"PTH","2010-05-19","12.28","12.28","12.28","12.28","100","2010","05","21","Wednesday"
"PTH","2010-05-21","13.47","13.47","13.47","13.47","150","2010","05","21","Friday"
"PTH","2010-07-02","13.47","13.47","13.47","13.47","350","2010","07","27","Friday"
"PTH","2010-07-14","14.79","14.79","14.79","14.79","500","2010","07","29","Wednesday"
"PTH","2010-07-15","15.14","15.14","15.14","15.14","500","2010","07","29","Thursday"
"PTH","2010-07-20","16.66","16.66","16.66","16.66","100","2010","07","30","Tuesday"
"PTH","2010-07-28","18.29","18.29","18.29","18.29","100","2010","07","31","Wednesday"
"PTH","2010-08-02","20.09","20.09","20.09","20.09","100","2010","08","32","Monday"
"PTH","2010-08-19","19.93","19.93","19.93","19.93","300","2010","08","34","Thursday"
"PTH","2010-09-28","21.92","21.92","21.92","21.92","200","2010","09","40","Tuesday"
"PTH","2010-12-30","5.98","5.98","5.98","5.98","200","2010","12","53","Thursday"
"PTH","2011-03-10","1.2","1.2","1.2","1.2","15000","2011","03","10","Thursday"
"PTH","2011-05-25","1.67","1.67","1.67","1.67","4700","2011","05","21","Wednesday"
"PTH","2011-06-03","1.67","1.67","1.67","1.67","100","2011","06","22","Friday"
"PTH","2011-06-10","1.83","1.83","1.83","1.83","100","2011","06","23","Friday"
"PTH","2011-06-15","1.99","1.99","1.99","1.99","100","2011","06","24","Wednesday"
"PTH","2011-06-17","2.19","2.19","2.19","2.19","100","2011","06","24","Friday"
"PTH","2011-06-20","2.39","2.39","2.39","2.39","100","2011","06","25","Monday"
"PTH","2012-01-03","1.44","1.44","1.44","1.44","100","2012","01","1","Tuesday"
"PTH","2012-02-24","0.88","0.88","0.88","0.88","100","2012","02","8","Friday"
"PTH","2012-03-30","0.96","0.96","0.96","0.96","100","2012","03","13","Friday"
"PTH","2012-04-04","1.04","1.04","1.04","1.04","100","2012","04","14","Wednesday"
"PTH","2012-05-30","0.52","0.52","0.52","0.52","100","2012","05","22","Wednesday"
"PTH","2012-08-09","0.52","0.52","0.52","0.52","200","2012","08","32","Thursday"
"PTH","2013-01-11","0.72","0.72","0.72","0.72","100","2013","01","2","Friday"
"PTH","2013-02-26","0.76","0.76","0.76","0.76","200","2013","02","9","Tuesday"
"PTH","2014-01-21","0.56","0.56","0.56","0.56","100","2014","01","4","Tuesday"
"PTH","2014-03-11","0.76","0.76","0.76","0.76","100","2014","03","11","Tuesday"
"PTH","2014-04-07","0.8","0.8","0.8","0.8","100","2014","04","15","Monday"
"PTH","2014-04-22","0.88","0.88","0.88","0.8","100","2014","04","17","Tuesday"
"PTH","2014-06-04","0.76","0.76","0.76","0.76","100","2014","06","23","Wednesday"
"PTH","2014-06-09","0.8","0.8","0.8","0.8","100","2014","06","24","Monday"
"PTH","2014-07-18","1.12","1.12","1.12","1.12","100","2014","07","29","Friday"
"PTH","2014-08-29","1.55","1.55","1.55","1.55","100","2014","08","35","Friday"
"PTH","2014-10-30","2.15","2.15","2.15","2.15","100","2014","10","44","Thursday"
"PTH","2014-11-26","2.35","2.35","2.35","2.35","100","2014","11","48","Wednesday"
"PTH","2014-11-27","2.55","2.55","2.55","2.55","100","2014","11","48","Thursday"
"PTH","2014-11-28","2.79","2.79","2.79","2.79","100","2014","11","48","Friday"
"PTH","2014-12-02","3.07","3.07","3.07","3.07","100","2014","12","49","Tuesday"
"PTH","2014-12-03","3.35","3.35","3.35","3.35","100","2014","12","49","Wednesday"
