symbol,date,open,high,low,close,volume,year,month,week,weekday
"PTL","2010-09-22","20","20","20","20","405890","2010","09","39","Wednesday"
"PTL","2010-09-23","19","19","19","19","65320","2010","09","39","Thursday"
"PTL","2010-09-24","18.1","18.1","18.1","18.1","54320","2010","09","39","Friday"
"PTL","2010-09-27","17.2","18.1","17.2","17.9","1810210","2010","09","40","Monday"
"PTL","2010-09-28","18","18.7","18","18.4","1222650","2010","09","40","Tuesday"
"PTL","2010-09-29","18.4","18.4","17.6","17.6","272750","2010","09","40","Wednesday"
"PTL","2010-09-30","17.5","17.9","17.2","17.5","293220","2010","09","40","Thursday"
"PTL","2010-10-01","17.4","17.4","16.7","16.7","647910","2010","10","40","Friday"
"PTL","2010-10-04","16.3","16.3","15.9","15.9","632910","2010","10","41","Monday"
"PTL","2010-10-05","15.2","15.7","15.2","15.7","607200","2010","10","41","Tuesday"
"PTL","2010-10-06","15.5","16","15.2","15.8","579300","2010","10","41","Wednesday"
"PTL","2010-10-07","15.8","15.8","15.1","15.1","536770","2010","10","41","Thursday"
"PTL","2010-10-08","14.8","15.3","14.7","14.8","194510","2010","10","41","Friday"
"PTL","2010-10-11","14.5","14.8","14.3","14.3","173030","2010","10","42","Monday"
"PTL","2010-10-12","14.1","14.3","13.7","13.8","217150","2010","10","42","Tuesday"
"PTL","2010-10-13","13.6","13.9","13.5","13.8","182630","2010","10","42","Wednesday"
"PTL","2010-10-14","14.2","14.2","13.8","13.8","156320","2010","10","42","Thursday"
"PTL","2010-10-15","14","14","13.8","13.8","143280","2010","10","42","Friday"
"PTL","2010-10-18","13.5","13.8","13.5","13.6","152750","2010","10","43","Monday"
"PTL","2010-10-19","13.5","13.8","13","13.2","285220","2010","10","43","Tuesday"
"PTL","2010-10-20","12.9","13","12.6","12.6","359760","2010","10","43","Wednesday"
"PTL","2010-10-21","13","13","12.3","12.3","227740","2010","10","43","Thursday"
"PTL","2010-10-22","12.3","12.6","11.9","12.1","337850","2010","10","43","Friday"
"PTL","2010-10-25","12.7","12.7","12.7","12.7","52500","2010","10","44","Monday"
"PTL","2010-10-26","13.3","13.3","13.3","13.3","48770","2010","10","44","Tuesday"
"PTL","2010-10-27","13.9","13.9","13.5","13.7","874660","2010","10","44","Wednesday"
