symbol,date,open,high,low,close,volume
"PTX","2018-12-26","0.84","0.84","0.84","0.84","100"
"PTX","2018-12-27","0.84","0.84","0.84","0.84","100"
"PTX","2019-05-28","1.18","1.18","1.18","1.18","100"
"PTX","2019-08-20","1.18","1.65","1.18","1.65","200"
"PTX","2019-10-01","0.85","0.85","0.85","0.85","100"
"PTX","2020-03-10","0.52","0.52","0.52","0.52","100"
"PTX","2020-04-23","0.32","0.32","0.32","0.32","100"
"PTX","2020-07-27","0.2","0.2","0.2","0.2","100"
"PTX","2021-10-25","0.3","0.3","0.3","0.3","100"
"PTX","2022-06-02","0.4","0.4","0.4","0.4","100"
"PTX","2022-06-10","0.4","0.4","0.4","0.4","25594"
"PTX","2022-06-13","0.4","0.4","0.4","0.4","2260"
"PTX","2022-06-14","0.4","0.4","0.4","0.4","7441"
"PTX","2022-07-15","0.5","0.5","0.5","0.5","100"
