symbol,date,open,high,low,close,volume
"PVG","2009-01-07","6.12","6.51","5.73","6.29","104200"
"PVG","2009-01-08","6.23","6.23","6.12","6.12","6600"
"PVG","2009-01-09","6.01","6.23","5.84","6.18","16000"
"PVG","2009-01-12","6.12","6.4","6.12","6.23","38200"
"PVG","2009-01-13","6.57","6.57","6.01","6.12","19500"
"PVG","2009-01-14","6.12","6.12","5.96","5.96","7900"
"PVG","2009-01-15","5.96","6.01","5.79","5.79","20100"
"PVG","2009-01-16","5.84","5.84","5.51","5.62","21500"
"PVG","2009-01-19","5.79","5.84","5.57","5.57","35000"
"PVG","2009-01-20","5.57","5.62","5.4","5.4","8900"
"PVG","2009-01-21","5.57","5.68","5.29","5.34","11100"
"PVG","2009-01-22","5.4","5.51","5.4","5.51","8000"
"PVG","2009-01-23","5.57","5.57","5.23","5.23","15000"
"PVG","2009-02-02","5.34","5.57","5.34","5.34","7600"
"PVG","2009-02-03","5.29","5.51","5.18","5.18","5500"
"PVG","2009-02-04","4.95","5.07","4.95","4.95","15100"
"PVG","2009-02-05","4.95","4.95","4.68","4.68","18700"
"PVG","2009-02-06","4.84","4.84","4.84","4.84","1500"
"PVG","2009-02-09","4.68","4.95","4.51","4.62","2600"
"PVG","2009-02-10","4.79","4.9","4.56","4.56","5500"
"PVG","2009-02-11","4.45","4.45","4.4","4.4","2400"
"PVG","2009-02-12","4.34","4.34","4.23","4.23","5500"
"PVG","2009-02-13","4.06","4.34","4.06","4.29","4000"
"PVG","2009-02-16","4.34","4.34","4.17","4.17","4900"
"PVG","2009-02-17","4.01","4.01","4.01","4.01","4700"
"PVG","2009-02-18","3.79","3.79","3.73","3.73","8100"
"PVG","2009-02-19","3.9","3.9","3.73","3.9","16300"
"PVG","2009-02-20","3.9","4.01","3.9","3.9","9900"
"PVG","2009-02-23","3.79","3.79","3.79","3.79","2600"
"PVG","2009-02-24","3.67","3.67","3.62","3.62","5700"
"PVG","2009-02-25","3.62","3.9","3.62","3.9","11000"
"PVG","2009-02-26","3.79","4.01","3.67","4.01","3300"
"PVG","2009-02-27","3.67","3.67","3.62","3.67","5500"
