symbol,date,open,high,low,close,volume
"PVH","2017-05-23","4","6.6","4","6.6","18200"
"PVH","2017-05-24","3.4","3.4","3.4","3.4","1300"
"PVH","2017-05-25","2.9","2.9","2.9","2.9","6500"
"PVH","2017-05-26","2.5","2.5","2.5","2.5","6900"
"PVH","2017-05-29","2.2","2.6","2.2","2.6","39200"
"PVH","2017-05-30","2.6","2.6","2.6","2.6","33800"
"PVH","2017-05-31","2.9","2.9","2.9","2.9","11100"
"PVH","2017-06-01","3.3","3.3","3.3","3.3","10800"
"PVH","2017-06-02","3.7","3.7","3","3","44200"
"PVH","2017-06-05","3","3.5","3","3","20100"
"PVH","2017-06-06","2.7","3","2.6","2.9","16600"
"PVH","2017-06-07","2.7","3","2.3","3","28200"
"PVH","2017-06-08","2.7","2.7","2.4","2.7","2000"
"PVH","2017-06-09","2.7","2.7","2.3","2.6","42000"
"PVH","2017-06-12","2.4","2.4","2.1","2.3","19700"
"PVH","2017-06-13","2.5","2.5","2.5","2.5","1000"
"PVH","2017-06-14","2.2","2.4","2.2","2.3","33900"
"PVH","2017-06-15","2.4","2.4","2.3","2.3","700"
"PVH","2017-06-16","2.2","2.3","2.2","2.3","19200"
"PVH","2017-06-19","2.3","2.4","2.2","2.4","17300"
"PVH","2017-06-20","2.2","2.4","2.2","2.2","22200"
"PVH","2017-06-21","2.2","2.3","2.2","2.3","4800"
"PVH","2017-06-22","2.2","2.2","2.2","2.2","19100"
"PVH","2017-06-26","2.2","2.2","1.9","2.2","28400"
"PVH","2017-06-27","2.2","2.2","2","2","900"
"PVH","2017-06-28","2.1","2.1","2.1","2.1","1100"
"PVH","2017-06-29","2","2.1","2","2.1","5100"
"PVH","2017-06-30","2","2.1","1.9","1.9","18300"
"PVH","2017-07-03","2","2","2","2","6300"
"PVH","2017-07-04","2.1","2.1","2.1","2.1","2200"
"PVH","2017-07-05","2.1","2.1","2","2.1","5500"
"PVH","2017-07-06","2.3","2.3","2.1","2.1","9400"
"PVH","2017-07-07","2.1","2.1","2.1","2.1","100"
"PVH","2017-07-10","2.2","2.2","2.1","2.1","5100"
"PVH","2017-07-11","2.1","2.1","2.1","2.1","5000"
"PVH","2017-07-12","2","2","2","2","2100"
"PVH","2017-07-13","2.1","2.1","1.9","2","9200"
"PVH","2017-07-14","2","2","2","2","6700"
"PVH","2017-07-17","2","2","1.8","1.9","27000"
"PVH","2017-07-18","1.9","1.9","1.8","1.9","4710"
"PVH","2017-07-19","1.9","2","1.8","1.8","6400"
"PVH","2017-07-20","1.9","1.9","1.9","1.9","3000"
"PVH","2017-07-21","1.9","1.9","1.9","1.9","2600"
"PVH","2017-07-24","2","2","1.9","1.9","3200"
"PVH","2017-07-25","1.9","1.9","1.8","1.8","14500"
"PVH","2017-07-26","1.7","1.9","1.7","1.8","13900"
"PVH","2017-07-27","1.8","1.9","1.8","1.8","6600"
"PVH","2017-07-28","1.8","1.9","1.8","1.8","7600"
"PVH","2017-07-31","1.8","1.8","1.7","1.8","5800"
"PVH","2017-08-01","1.8","1.8","1.7","1.8","12300"
"PVH","2017-08-02","1.8","1.8","1.8","1.8","1100"
"PVH","2017-08-03","1.8","1.8","1.8","1.8","2400"
"PVH","2017-08-04","1.8","1.8","1.7","1.8","5500"
"PVH","2017-08-07","1.8","1.9","1.8","1.9","34700"
"PVH","2017-08-08","2","2.1","2","2.1","19700"
"PVH","2017-08-09","2.3","2.4","2.2","2.4","75010"
"PVH","2017-08-10","2.3","2.3","2.2","2.3","12200"
"PVH","2017-08-11","2.1","2.3","2","2.3","3700"
"PVH","2017-08-14","2.3","2.3","2.1","2.1","10000"
"PVH","2017-08-15","2.2","2.2","2","2.2","1600"
"PVH","2017-08-16","2","2.1","1.9","2.1","1200"
"PVH","2017-08-17","1.9","2.2","1.9","2","25500"
"PVH","2017-08-22","2.1","2.3","1.9","1.9","5000"
"PVH","2017-08-23","2","2","2","2","1000"
"PVH","2017-08-24","2","2","2","2","1100"
"PVH","2017-08-25","2","2","2","2","100"
"PVH","2017-08-28","2","2","2","2","2200"
"PVH","2017-08-29","2.1","2.1","2.1","2.1","100"
"PVH","2017-08-30","2","2","2","2","510"
"PVH","2017-08-31","2.1","2.1","2.1","2.1","100"
"PVH","2017-09-05","2","2","2","2","1700"
"PVH","2017-09-06","2","2","1.9","1.9","1200"
"PVH","2017-09-07","2","2","1.9","1.9","2100"
"PVH","2017-09-08","1.9","1.9","1.9","1.9","1000"
"PVH","2017-09-12","1.8","1.8","1.8","1.8","3500"
"PVH","2017-09-14","2","2","2","2","100"
"PVH","2017-09-19","1.8","2","1.8","2","9600"
"PVH","2017-09-20","2","2","2","2","3000"
"PVH","2017-09-25","2","2","2","2","2300"
"PVH","2017-09-26","2","2","2","2","2000"
"PVH","2017-10-02","1.8","2","1.8","2","2000"
"PVH","2017-10-03","1.8","1.8","1.8","1.8","5100"
"PVH","2017-10-09","2","2","2","2","100"
"PVH","2017-10-10","1.8","1.8","1.8","1.8","20600"
"PVH","2017-10-11","1.7","1.8","1.7","1.8","1400"
"PVH","2017-10-13","1.8","1.8","1.8","1.8","6600"
"PVH","2017-10-16","1.7","1.7","1.7","1.7","5600"
"PVH","2017-10-17","1.8","1.8","1.8","1.8","100"
"PVH","2017-10-18","1.7","1.7","1.7","1.7","13900"
"PVH","2017-10-19","1.7","1.7","1.7","1.7","2000"
"PVH","2017-10-20","1.6","1.7","1.6","1.7","4200"
"PVH","2017-10-23","1.5","1.8","1.5","1.8","6300"
"PVH","2017-10-26","1.6","1.6","1.6","1.6","100"
"PVH","2017-10-27","1.4","1.7","1.4","1.7","15300"
"PVH","2017-10-30","1.6","1.6","1.6","1.6","600"
"PVH","2017-11-02","1.5","1.7","1.4","1.7","3500"
"PVH","2017-11-03","1.5","1.6","1.5","1.6","5400"
"PVH","2017-11-06","1.7","1.7","1.7","1.7","300"
"PVH","2017-11-08","1.8","1.8","1.8","1.8","100"
"PVH","2017-11-15","1.6","1.7","1.6","1.7","1700"
"PVH","2017-11-16","1.8","1.8","1.8","1.8","100"
"PVH","2017-11-17","2","2","1.8","1.8","2200"
"PVH","2017-11-22","1.7","1.7","1.7","1.7","200"
"PVH","2017-11-23","1.8","1.8","1.8","1.8","100"
"PVH","2017-11-24","1.7","1.7","1.7","1.7","400"
"PVH","2017-11-27","1.8","1.8","1.6","1.6","2600"
"PVH","2017-11-28","1.8","1.8","1.8","1.8","100"
"PVH","2017-11-29","1.7","1.7","1.7","1.7","300"
"PVH","2017-11-30","1.8","1.8","1.8","1.8","100"
"PVH","2017-12-04","1.7","1.7","1.7","1.7","200"
"PVH","2017-12-05","1.6","1.8","1.6","1.8","200"
"PVH","2017-12-06","1.6","1.6","1.6","1.6","1000"
"PVH","2017-12-07","1.7","1.7","1.4","1.4","4500"
"PVH","2017-12-08","1.5","1.5","1.5","1.5","500"
"PVH","2017-12-11","1.7","1.7","1.7","1.7","100"
"PVH","2017-12-12","1.5","1.5","1.5","1.5","100"
"PVH","2017-12-13","1.3","1.4","1.3","1.4","23310"
"PVH","2017-12-14","1.4","1.4","1.4","1.4","1000"
"PVH","2017-12-15","1.6","1.6","1.6","1.6","100"
"PVH","2017-12-18","1.6","1.6","1.6","1.6","110"
"PVH","2017-12-20","1.4","1.5","1.4","1.5","2700"
"PVH","2017-12-21","1.5","1.5","1.5","1.5","100"
"PVH","2017-12-25","1.3","1.3","1.3","1.3","100"
"PVH","2017-12-26","1.2","1.4","1.2","1.4","4500"
"PVH","2017-12-27","1.3","1.3","1.3","1.3","300"
"PVH","2017-12-28","1.4","1.4","1.4","1.4","1900"
"PVH","2018-01-02","1.4","1.6","1.4","1.6","1100"
"PVH","2018-01-05","1.4","1.6","1.4","1.6","200"
"PVH","2018-01-08","1.6","1.6","1.6","1.6","100"
"PVH","2018-01-12","1.4","1.4","1.4","1.4","1500"
"PVH","2018-01-15","1.6","1.6","1.6","1.6","100"
"PVH","2018-01-16","1.4","1.4","1.4","1.4","610"
"PVH","2018-01-17","1.6","1.6","1.4","1.4","3300"
"PVH","2018-01-19","1.4","1.6","1.4","1.6","4800"
"PVH","2018-01-22","1.4","1.4","1.4","1.4","2700"
"PVH","2018-01-25","1.5","1.5","1.5","1.5","100"
"PVH","2018-01-26","1.5","1.6","1.5","1.6","11400"
"PVH","2018-01-29","1.6","1.6","1.6","1.6","200"
"PVH","2018-01-30","1.6","1.6","1.6","1.6","3700"
"PVH","2018-01-31","1.6","1.6","1.6","1.6","2800"
"PVH","2018-02-05","1.4","1.4","1.4","1.4","100"
"PVH","2018-02-06","1.4","1.4","1.2","1.2","1400"
"PVH","2018-02-07","1.4","1.4","1.4","1.4","100"
"PVH","2018-02-08","1.5","1.5","1.5","1.5","100"
"PVH","2018-02-12","1.5","1.5","1.5","1.5","100"
"PVH","2018-02-26","1.4","1.4","1.4","1.4","1300"
"PVH","2018-02-27","1.6","1.6","1.4","1.4","5100"
"PVH","2018-02-28","1.4","1.5","1.4","1.4","17100"
"PVH","2018-03-01","1.4","1.4","1.4","1.4","1500"
"PVH","2018-03-02","1.4","1.4","1.3","1.4","400"
"PVH","2018-03-05","1.5","1.5","1.5","1.5","100"
"PVH","2018-03-08","1.3","1.6","1.3","1.6","700"
"PVH","2018-03-09","1.3","1.5","1.3","1.5","400"
"PVH","2018-03-12","1.6","1.6","1.6","1.6","200"
"PVH","2018-03-13","1.4","1.4","1.4","1.4","200"
"PVH","2018-03-14","1.3","1.3","1.2","1.2","24000"
"PVH","2018-03-15","1.3","1.3","1.3","1.3","300"
"PVH","2018-03-16","1.4","1.4","1.4","1.4","200"
"PVH","2018-03-19","1.5","1.5","1.5","1.5","100"
"PVH","2018-03-20","1.4","1.4","1.3","1.3","12700"
"PVH","2018-03-22","1.3","1.3","1.3","1.3","200"
"PVH","2018-03-23","1.2","1.2","1.2","1.2","7100"
"PVH","2018-03-26","1.1","1.3","1.1","1.2","3900"
"PVH","2018-03-27","1.3","1.3","1.3","1.3","100"
"PVH","2018-03-28","1.2","1.2","1.2","1.2","7700"
"PVH","2018-03-30","1.2","1.2","1.2","1.2","1200"
"PVH","2018-04-02","1.2","1.2","1.2","1.2","3700"
"PVH","2018-04-05","1.1","1.1","1.1","1.1","12400"
"PVH","2018-04-06","1.2","1.2","1.1","1.1","3500"
"PVH","2018-04-10","1.1","1.1","1.1","1.1","3100"
"PVH","2018-04-16","1","1","1","1","100"
"PVH","2018-04-17","1.1","1.1","1.1","1.1","100"
"PVH","2018-04-18","1.1","1.2","1.1","1.2","2100"
"PVH","2018-04-20","1.2","1.2","1.2","1.2","500"
"PVH","2018-04-27","1.2","1.2","1.2","1.2","200"
"PVH","2018-05-07","1.2","1.2","1.2","1.2","200"
"PVH","2018-05-11","1.2","1.3","1.2","1.3","24700"
"PVH","2018-05-14","1.4","1.4","1.4","1.4","100"
"PVH","2018-05-17","1.4","1.6","1.4","1.6","25000"
"PVH","2018-05-18","1.6","1.7","1.4","1.4","27000"
"PVH","2018-05-22","1.7","1.7","1.7","1.7","4200"
"PVH","2018-05-23","1.7","1.7","1.6","1.6","60600"
"PVH","2018-05-24","1.8","1.8","1.5","1.5","700"
"PVH","2018-05-25","1.7","1.7","1.7","1.7","100"
"PVH","2018-05-28","1.6","1.6","1.6","1.6","4000"
"PVH","2018-05-29","1.8","1.8","1.5","1.5","300"
"PVH","2018-05-30","1.8","1.8","1.5","1.5","300"
"PVH","2018-05-31","1.7","1.7","1.5","1.5","16100"
"PVH","2018-06-01","1.9","1.9","1.9","1.9","300"
"PVH","2018-06-04","2.1","2.1","1.7","1.7","1100"
"PVH","2018-06-05","1.9","1.9","1.8","1.9","25000"
"PVH","2018-06-15","2.1","2.1","1.9","1.9","10100"
"PVH","2018-06-18","2.1","2.1","2.1","2.1","100"
"PVH","2018-06-22","2.4","2.4","2.4","2.4","100"
"PVH","2018-06-27","2.1","2.1","2.1","2.1","1000"
"PVH","2018-07-19","1.8","1.8","1.8","1.8","400"
"PVH","2018-07-25","2","2","2","2","100"
"PVH","2018-07-31","2.3","2.3","2.3","2.3","100"
"PVH","2018-08-02","2.5","2.6","2.5","2.5","400"
"PVH","2018-09-14","2.1","2.1","2.1","2.1","100"
