symbol,date,open,high,low,close,volume,year,month,week,weekday
"PVS","2007-09-20","36.35","43.33","34.61","36.64","340000","2007","09","38","Thursday"
"PVS","2007-09-21","37.52","37.81","36.35","36.93","163700","2007","09","38","Friday"
"PVS","2007-09-24","37.81","37.81","36.64","36.93","147400","2007","09","39","Monday"
"PVS","2007-09-25","36.93","37.23","36.64","37.23","277300","2007","09","39","Tuesday"
"PVS","2007-09-26","37.23","37.52","36.93","36.93","252500","2007","09","39","Wednesday"
"PVS","2007-09-27","37.23","37.52","36.93","37.52","278900","2007","09","39","Thursday"
"PVS","2007-09-28","37.81","41.01","37.23","41.01","128200","2007","09","39","Friday"
"PVS","2007-10-01","44.38","44.38","44.38","44.38","52900","2007","10","40","Monday"
"PVS","2007-10-02","48.8","48.8","48.57","44.38","523100","2007","10","40","Tuesday"
"PVS","2007-10-03","53.22","53.22","47.98","48.51","96500","2007","10","40","Wednesday"
"PVS","2007-10-04","49.44","50.89","49.44","50.55","363000","2007","10","40","Thursday"
"PVS","2007-10-05","55.37","55.37","47.11","48.86","191800","2007","10","40","Friday"
"PVS","2007-10-08","48.28","51.18","47.11","47.69","212500","2007","10","41","Monday"
"PVS","2007-10-09","47.11","47.43","46.24","47.11","296400","2007","10","41","Tuesday"
"PVS","2007-10-10","46.82","49.21","46.82","46.62","290900","2007","10","41","Wednesday"
"PVS","2007-10-11","49.44","49.88","49.38","48.45","30600","2007","10","41","Thursday"
"PVS","2007-10-12","49.44","49.44","47.78","48.51","134000","2007","10","41","Friday"
"PVS","2007-10-15","49.44","49.44","47.96","48.86","285100","2007","10","42","Monday"
"PVS","2007-10-16","48.86","49.15","48.13","48.42","520600","2007","10","42","Tuesday"
"PVS","2007-10-17","49.7","50.89","47.98","48.57","326800","2007","10","42","Wednesday"
"PVS","2007-10-18","48.57","48.57","46.85","47.38","196100","2007","10","42","Thursday"
"PVS","2007-10-19","46.82","48.57","46.82","48.28","275500","2007","10","42","Friday"
"PVS","2007-10-22","48.42","48.42","47.29","47.29","194800","2007","10","43","Monday"
"PVS","2007-10-23","47.69","47.93","46.53","46.53","263000","2007","10","43","Tuesday"
"PVS","2007-10-24","47.64","47.64","45.95","46.53","341300","2007","10","43","Wednesday"
"PVS","2007-10-25","46.82","47.11","46.53","46.68","418200","2007","10","43","Thursday"
"PVS","2007-10-26","47.38","51.42","46.39","46.82","294600","2007","10","43","Friday"
"PVS","2007-10-29","47.46","47.46","43.91","43.91","151000","2007","10","44","Monday"
"PVS","2007-10-30","43.62","45.22","43.62","44.49","227300","2007","10","44","Tuesday"
"PVS","2007-10-31","44.55","44.76","42.6","43.19","193400","2007","10","44","Wednesday"
"PVS","2007-11-01","43.48","46.53","42.78","46.24","213600","2007","11","44","Thursday"
"PVS","2007-11-02","48.28","48.51","44.64","45.22","196500","2007","11","44","Friday"
"PVS","2007-11-05","44.79","45.08","43.19","43.77","213100","2007","11","45","Monday"
"PVS","2007-11-06","43.62","43.91","42.9","43.62","179600","2007","11","45","Tuesday"
"PVS","2007-11-07","43.62","44.49","43.19","43.62","150500","2007","11","45","Wednesday"
"PVS","2007-11-08","43.62","43.62","41.82","42.52","163700","2007","11","45","Thursday"
"PVS","2007-11-09","42.17","42.75","40.42","41.27","215400","2007","11","45","Friday"
"PVS","2007-11-12","40.72","42.17","40.13","40.28","123100","2007","11","46","Monday"
"PVS","2007-11-13","40.4","40.4","36.64","37.81","191900","2007","11","46","Tuesday"
"PVS","2007-11-14","37.87","41.33","37.87","41.33","121800","2007","11","46","Wednesday"
"PVS","2007-11-15","44.9","44.9","41.73","42.6","368000","2007","11","46","Thursday"
"PVS","2007-11-16","43.59","43.59","41.3","42.28","199100","2007","11","46","Friday"
"PVS","2007-11-19","41.82","41.82","40.45","40.95","143000","2007","11","47","Monday"
"PVS","2007-11-20","41.01","41.01","40.13","40.92","9500","2007","11","47","Tuesday"
"PVS","2007-11-21","39.49","40.42","38.97","39.64","155200","2007","11","47","Wednesday"
"PVS","2007-11-22","39.84","40.72","39.52","39.99","186600","2007","11","47","Thursday"
"PVS","2007-11-23","40.72","40.72","39.87","40.08","108600","2007","11","47","Friday"
"PVS","2007-11-26","40.13","40.42","39.99","40.42","117300","2007","11","48","Monday"
"PVS","2007-11-27","40.72","41.01","39.99","40.1","133800","2007","11","48","Tuesday"
"PVS","2007-11-28","40.37","40.57","39.84","40.02","103100","2007","11","48","Wednesday"
"PVS","2007-11-29","40.13","40.28","39.99","40.08","70800","2007","11","48","Thursday"
"PVS","2007-11-30","40.13","40.13","39.55","39.99","71700","2007","11","48","Friday"
"PVS","2007-12-03","39.55","40.37","39.55","40.13","60300","2007","12","49","Monday"
"PVS","2007-12-04","40.42","40.42","39.99","40.13","141400","2007","12","49","Tuesday"
"PVS","2007-12-05","40.13","40.28","39.41","39.55","100300","2007","12","49","Wednesday"
"PVS","2007-12-06","39.84","39.84","38.97","39","95200","2007","12","49","Thursday"
"PVS","2007-12-07","39.12","39.67","38.39","39.2","97500","2007","12","49","Friday"
"PVS","2007-12-11","37.37","37.66","36.06","37.14","96500","2007","12","50","Tuesday"
"PVS","2007-12-12","37.52","38.1","36.09","37.23","92000","2007","12","50","Wednesday"
"PVS","2007-12-13","37.34","37.4","36.38","36.79","68800","2007","12","50","Thursday"
"PVS","2007-12-14","36.64","36.79","36.09","36.38","85100","2007","12","50","Friday"
"PVS","2007-12-17","36.64","36.64","34.9","34.99","74300","2007","12","51","Monday"
"PVS","2007-12-18","34.9","35.19","34.03","35.19","172300","2007","12","51","Tuesday"
"PVS","2007-12-19","34.9","37.55","34.9","36.93","145200","2007","12","51","Wednesday"
"PVS","2007-12-20","37.23","37.23","34.32","35.63","39600","2007","12","51","Thursday"
"PVS","2007-12-21","34.9","36.93","34.9","35.83","74900","2007","12","51","Friday"
"PVS","2007-12-24","36.06","36.21","34.9","34.9","140700","2007","12","52","Monday"
"PVS","2007-12-25","35.19","35.48","34.32","34.61","146200","2007","12","52","Tuesday"
"PVS","2007-12-26","34.61","35.77","34.55","34.93","94200","2007","12","52","Wednesday"
"PVS","2007-12-27","35.48","35.48","35.02","35.19","55700","2007","12","52","Thursday"
"PVS","2007-12-28","35.25","35.48","35.13","35.28","60700","2007","12","52","Friday"
"PVS","2008-01-02","35.28","35.48","34.61","34.61","63400","2008","01","1","Wednesday"
"PVS","2008-01-03","34.61","34.61","34.17","34.35","70900","2008","01","1","Thursday"
"PVS","2008-01-04","33.91","34.26","33.3","33.44","104400","2008","01","1","Friday"
"PVS","2008-01-07","33.62","33.62","30.48","31.26","175000","2008","01","2","Monday"
"PVS","2008-01-08","31.84","32.86","31.12","31.41","163200","2008","01","2","Tuesday"
"PVS","2008-01-09","31.84","31.99","30.25","30.54","86900","2008","01","2","Wednesday"
"PVS","2008-01-10","30.25","30.54","28.79","29.95","180800","2008","01","2","Thursday"
"PVS","2008-01-11","29.66","30.54","29.26","29.37","109200","2008","01","2","Friday"
"PVS","2008-01-14","29.52","29.66","27.05","27.13","131000","2008","01","3","Monday"
"PVS","2008-01-15","27.34","27.34","25.13","25.88","242700","2008","01","3","Tuesday"
"PVS","2008-01-16","26.06","27.89","26.06","27.89","181300","2008","01","3","Wednesday"
"PVS","2008-01-17","29.66","30.45","26.17","27.77","289300","2008","01","3","Thursday"
"PVS","2008-01-18","27.63","29.66","27.05","28.38","172300","2008","01","3","Friday"
"PVS","2008-01-21","27.92","28.06","27.05","27.45","144900","2008","01","4","Monday"
"PVS","2008-01-22","27.05","28.5","25.91","26.96","195500","2008","01","4","Tuesday"
"PVS","2008-01-23","27.05","27.34","25.01","25.74","211500","2008","01","4","Wednesday"
"PVS","2008-01-24","26.17","26.99","25.36","25.59","162300","2008","01","4","Thursday"
"PVS","2008-01-25","25.59","26.14","25.3","25.82","177300","2008","01","4","Friday"
"PVS","2008-01-28","25.88","25.88","25.3","25.48","137800","2008","01","5","Monday"
"PVS","2008-01-29","25.3","26.73","25.16","25.88","202500","2008","01","5","Tuesday"
"PVS","2008-01-30","26.75","28.5","26.32","28.5","391500","2008","01","5","Wednesday"
"PVS","2008-01-31","29.37","29.78","26.61","28.15","300600","2008","01","5","Thursday"
"PVS","2008-02-01","28.79","28.79","28.04","28.47","288100","2008","02","5","Friday"
"PVS","2008-02-12","29.08","29.08","27.34","27.66","149200","2008","02","7","Tuesday"
"PVS","2008-02-13","27.66","27.66","27.1","27.63","159800","2008","02","7","Wednesday"
"PVS","2008-02-14","27.34","28.5","27.34","27.66","245400","2008","02","7","Thursday"
"PVS","2008-02-15","27.92","27.92","27.19","27.34","116000","2008","02","7","Friday"
"PVS","2008-02-18","26.75","26.75","24.63","25.88","422400","2008","02","8","Monday"
"PVS","2008-02-19","25.01","25.85","24.72","25.3","324900","2008","02","8","Tuesday"
"PVS","2008-02-20","25.59","25.74","23.56","23.91","304000","2008","02","8","Wednesday"
"PVS","2008-02-21","23.21","23.21","22.1","22.1","206700","2008","02","8","Thursday"
"PVS","2008-02-22","21.84","22.39","19.95","21.67","439700","2008","02","8","Friday"
"PVS","2008-02-25","21.52","22.66","21.52","22.66","359900","2008","02","9","Monday"
"PVS","2008-02-26","22.36","23.27","20.71","20.73","284200","2008","02","9","Tuesday"
"PVS","2008-02-27","20.68","22.1","20.07","20.94","273600","2008","02","9","Wednesday"
"PVS","2008-02-28","21.52","21.81","20.88","21.11","340400","2008","02","9","Thursday"
"PVS","2008-02-29","21.23","21.23","20.39","20.53","253600","2008","02","9","Friday"
"PVS","2008-03-03","20.65","20.94","18.58","18.61","430200","2008","03","10","Monday"
"PVS","2008-03-04","18.79","18.79","17.36","17.36","323800","2008","03","10","Tuesday"
"PVS","2008-03-05","16.29","16.58","15.68","16.17","579500","2008","03","10","Wednesday"
"PVS","2008-03-06","16.58","17.36","16.58","17.36","29400","2008","03","10","Thursday"
"PVS","2008-03-07","19.05","19.05","19.05","19.05","43500","2008","03","10","Friday"
"PVS","2008-03-10","20.94","20.94","18.93","20.36","1131700","2008","03","11","Monday"
"PVS","2008-03-11","19.78","20.27","18.58","18.58","698200","2008","03","11","Tuesday"
"PVS","2008-03-12","18.32","20.21","18.32","19.78","372800","2008","03","11","Wednesday"
"PVS","2008-03-13","20.36","20.47","19.34","19.83","296300","2008","03","11","Thursday"
"PVS","2008-03-14","19.48","19.78","19.25","19.54","314700","2008","03","11","Friday"
"PVS","2008-03-17","18.61","19.19","17.74","17.74","584900","2008","03","12","Monday"
"PVS","2008-03-18","17.45","17.45","16.4","16.4","787200","2008","03","12","Tuesday"
"PVS","2008-03-19","17.45","17.89","15.7","16.58","563500","2008","03","12","Wednesday"
"PVS","2008-03-20","16.87","17.16","16.32","16.64","290700","2008","03","12","Thursday"
"PVS","2008-03-21","15.99","16.93","15.76","15.99","371100","2008","03","12","Friday"
"PVS","2008-03-24","16.29","16.29","14.54","14.54","498600","2008","03","13","Monday"
"PVS","2008-03-25","14.25","14.25","13.23","13.23","437600","2008","03","13","Tuesday"
"PVS","2008-03-26","13.26","14.54","12.48","13.87","473600","2008","03","13","Wednesday"
"PVS","2008-03-27","14.08","14.08","13.81","14.08","21200","2008","03","13","Thursday"
"PVS","2008-03-28","14.34","14.34","14.34","14.34","11100","2008","03","13","Friday"
"PVS","2008-03-31","14.6","14.6","14.6","14.6","17200","2008","03","14","Monday"
"PVS","2008-04-01","14.89","14.89","14.89","14.89","4600","2008","04","14","Tuesday"
"PVS","2008-04-02","15.18","15.18","15.18","15.18","2700","2008","04","14","Wednesday"
"PVS","2008-04-03","15.47","15.47","15.47","15.47","1100","2008","04","14","Thursday"
"PVS","2008-04-04","15.76","15.76","15.76","15.76","11200","2008","04","14","Friday"
"PVS","2008-04-07","16.23","16.23","16.23","16.23","3000","2008","04","15","Monday"
"PVS","2008-04-08","16.69","16.69","15.76","16.34","893100","2008","04","15","Tuesday"
