symbol,date,open,high,low,close,volume
"PXM","2010-06-21","21.6","25","21.6","22.3","197170"
"PXM","2010-06-22","22.3","23.4","22.3","23.4","553640"
"PXM","2010-06-23","23.4","23.6","23","23.4","133870"
"PXM","2010-06-24","23.4","24.1","23","24.1","252720"
"PXM","2010-06-25","23.6","23.9","23.1","23.4","118200"
"PXM","2010-06-28","23","23.3","22.8","22.8","123560"
"PXM","2010-06-29","23","23.6","22.8","23","235260"
"PXM","2010-06-30","22.1","22.3","21.9","22.3","147620"
"PXM","2010-07-01","21.9","22.6","21.5","21.5","75050"
"PXM","2010-07-02","21.6","22","21.5","21.7","90370"
"PXM","2010-07-05","22.7","22.7","22","22.7","297600"
"PXM","2010-07-06","23.4","23.4","22","22","163870"
"PXM","2010-07-07","22","22.6","21.5","21.8","58880"
"PXM","2010-07-08","21","21.9","21","21","110040"
"PXM","2010-07-09","21","21.2","20.7","20.9","119600"
"PXM","2010-07-12","21.7","21.8","20.6","21.6","111000"
"PXM","2010-07-13","22.4","22.4","21.6","22.1","105030"
"PXM","2010-07-14","21.3","22.9","21.3","21.3","88980"
"PXM","2010-07-15","21.3","22.2","21.3","21.4","175130"
"PXM","2010-07-16","21.4","21.7","21.2","21.7","135320"
"PXM","2010-07-19","21.8","21.8","21","21.2","94500"
"PXM","2010-07-20","21","21.1","20.4","20.5","103960"
"PXM","2010-07-21","20.5","20.7","20.3","20.7","115370"
"PXM","2010-07-22","20.7","20.7","20.2","20.2","36620"
"PXM","2010-07-23","19.5","20.8","19.5","19.5","142760"
"PXM","2010-07-26","19.8","20.4","19.8","20.1","160060"
"PXM","2010-07-27","20.5","20.5","19.8","20.1","64300"
"PXM","2010-07-28","20","20.9","19.1","19.3","37270"
"PXM","2010-07-29","19","19.1","18.4","18.8","140410"
"PXM","2010-07-30","18.8","18.9","18.6","18.6","74990"
"PXM","2010-08-02","19.1","19.1","18.3","18.3","102160"
"PXM","2010-08-03","18.7","19","18.5","18.5","87650"
"PXM","2010-08-04","18.5","18.6","18.3","18.4","65670"
"PXM","2010-08-05","18.9","18.9","18.3","18.4","54120"
"PXM","2010-08-06","18.3","18.5","18","18","72340"
"PXM","2010-08-09","18","18","17.1","17.1","58630"
"PXM","2010-08-10","16.4","16.4","16.3","16.3","86830"
"PXM","2010-08-11","16.7","16.8","15.7","16.4","48300"
"PXM","2010-08-12","15.7","16.4","15.6","15.6","55990"
"PXM","2010-08-13","15","15.6","14.9","15.4","67050"
"PXM","2010-08-16","15.4","16.1","15.4","16.1","69040"
"PXM","2010-08-17","15.8","15.8","15.5","15.7","40140"
"PXM","2010-08-18","15.7","15.7","15","15","93760"
"PXM","2010-08-19","14.7","15.1","14.7","14.9","35380"
"PXM","2010-08-20","14.3","14.7","14.2","14.7","17510"
"PXM","2010-08-23","14.5","15","14.5","14.7","22230"
"PXM","2010-08-24","14.2","14.2","14","14","34570"
"PXM","2010-08-25","13.3","13.4","13.3","13.3","16520"
"PXM","2010-08-26","13","13.5","12.7","12.7","108930"
"PXM","2010-08-27","12.4","13.3","12.1","12.4","65420"
"PXM","2010-08-30","13","13","13","13","37320"
"PXM","2010-08-31","13.6","13.6","13.1","13.6","82710"
"PXM","2010-09-01","13.8","14","13","13.8","67400"
"PXM","2010-09-06","14.4","14.4","14.4","14.4","149380"
"PXM","2010-09-07","14.4","15.1","13.8","15.1","213380"
"PXM","2010-09-08","14.7","15.8","14.7","15.8","303010"
"PXM","2010-09-09","16.5","16.5","16.4","16.5","120560"
"PXM","2010-09-10","17","17.3","15.8","15.8","279630"
"PXM","2010-09-13","15.4","15.8","15.1","15.2","101560"
"PXM","2010-09-14","15.8","15.9","15.2","15.9","77890"
"PXM","2010-09-15","16.5","16.5","15.3","15.3","39820"
"PXM","2010-09-16","15.3","15.6","14.9","15.3","39230"
"PXM","2010-09-17","15.9","16","15.3","16","257800"
"PXM","2010-09-20","16.8","16.8","16.3","16.7","159110"
"PXM","2010-09-21","16","17.2","15.9","16.7","117380"
"PXM","2010-09-22","16.2","16.3","15.9","15.9","171130"
"PXM","2010-09-23","15.4","15.9","15.2","15.4","167270"
"PXM","2010-09-24","15.4","15.7","15","15.2","39720"
"PXM","2010-09-27","15.2","15.3","15","15","24410"
"PXM","2010-09-28","15.6","15.6","14.7","14.9","57360"
"PXM","2010-09-29","15","15","14.2","14.4","134040"
"PXM","2010-09-30","14.4","14.4","14.2","14.3","28140"
"PXM","2010-10-01","14.7","14.7","14.2","14.2","21350"
"PXM","2010-10-04","13.9","13.9","13.5","13.6","129910"
"PXM","2010-10-05","13.7","14","13.4","14","24990"
"PXM","2010-10-06","14.3","14.6","13.9","14","72800"
"PXM","2010-10-07","14.5","14.5","13.9","14.2","27870"
"PXM","2010-10-08","13.8","14.5","13.6","13.6","25770"
"PXM","2010-10-11","14.1","14.1","13.4","13.4","36470"
"PXM","2010-10-12","13.8","13.8","13.3","13.4","27410"
"PXM","2010-10-13","13.4","13.6","13.2","13.5","50120"
"PXM","2010-10-14","13.5","13.6","13.3","13.4","29670"
"PXM","2010-10-15","13.1","13.4","12.8","13.1","69640"
"PXM","2010-10-18","13.5","13.5","12.8","13","9000"
"PXM","2010-10-19","13","13","12.4","12.5","74600"
"PXM","2010-10-20","12.5","12.5","11.9","11.9","41020"
"PXM","2010-10-21","11.9","12.2","11.5","11.6","31560"
"PXM","2010-10-22","12","12","11.5","11.8","27290"
"PXM","2010-10-25","12.1","12.3","11.8","12.3","66800"
"PXM","2010-10-26","12.9","12.9","12.8","12.9","52610"
"PXM","2010-10-27","12.9","13.1","12.3","12.4","63370"
"PXM","2010-10-28","12.9","12.9","12.3","12.3","18890"
"PXM","2010-10-29","12.3","12.4","12","12.3","15620"
"PXM","2010-11-01","12.4","12.4","11.8","12.4","38040"
"PXM","2010-11-02","11.8","11.8","11.4","11.4","21650"
"PXM","2010-11-03","11.5","11.5","11.3","11.3","31030"
"PXM","2010-11-04","11.4","11.4","11.3","11.3","20870"
"PXM","2010-11-05","11.3","11.8","11.3","11.8","26740"
"PXM","2010-11-08","11.8","11.9","11.4","11.4","11270"
"PXM","2010-11-09","11","11.6","10.9","10.9","30320"
"PXM","2010-11-10","10.9","10.9","10.6","10.6","19500"
"PXM","2010-11-11","11","11","10.3","10.3","10070"
"PXM","2010-11-12","10.3","10.3","9.9","9.9","41980"
"PXM","2010-11-15","10.2","10.3","9.9","10","41950"
"PXM","2010-11-16","10.2","10.2","9.9","10","38630"
"PXM","2010-11-17","10","10.2","10","10","12930"
"PXM","2010-11-18","10.3","10.5","10.3","10.5","59930"
"PXM","2010-11-19","10.8","10.8","10.3","10.3","7230"
"PXM","2010-11-22","9.9","10","9.8","9.8","8420"
"PXM","2010-11-23","9.8","10.2","9.8","10.2","4720"
"PXM","2010-11-24","9.9","10.3","9.9","10.1","6830"
"PXM","2010-11-25","10.3","10.6","10.2","10.6","25440"
"PXM","2010-11-26","11","11","10.3","10.6","23640"
"PXM","2010-11-29","10.2","10.7","10.2","10.7","25300"
"PXM","2010-11-30","11.2","11.2","11.1","11.2","67090"
"PXM","2010-12-01","11","11.4","10.8","10.8","23750"
"PXM","2010-12-02","10.9","11.3","10.7","11.1","74830"
"PXM","2010-12-03","11.6","11.6","11.6","11.6","125500"
"PXM","2010-12-06","12","12.1","11.9","12.1","123500"
"PXM","2010-12-07","12","12.3","11.5","11.5","108430"
"PXM","2010-12-08","11.8","11.8","11","11","97630"
"PXM","2010-12-09","11.5","11.5","10.8","11.5","17710"
"PXM","2010-12-10","11.9","12","11.5","12","138450"
"PXM","2010-12-13","12.6","12.6","12.6","12.6","33320"
"PXM","2010-12-14","13.1","13.2","12.6","13.2","547940"
"PXM","2010-12-15","13.8","13.8","13.7","13.8","399550"
"PXM","2010-12-16","13.2","13.8","13.2","13.2","154710"
"PXM","2010-12-17","13.5","13.8","12.8","13.8","83710"
"PXM","2010-12-20","14.1","14.1","13.2","13.2","106080"
"PXM","2010-12-21","13.4","13.4","12.6","12.7","128930"
"PXM","2010-12-22","13.1","13.1","12.3","12.4","73560"
"PXM","2010-12-23","13","13","12","12.6","43780"
"PXM","2010-12-24","12.1","12.6","12.1","12.1","72310"
"PXM","2010-12-27","12.1","12.7","12","12.5","61940"
"PXM","2010-12-28","12.9","13.1","12.6","13.1","100560"
"PXM","2010-12-29","13.6","13.6","12.6","12.6","85610"
"PXM","2010-12-30","12.2","13.1","12.2","13.1","62330"
"PXM","2010-12-31","13.2","13.5","12.8","13.5","87300"
"PXM","2011-01-04","13.9","13.9","13.3","13.3","51330"
"PXM","2011-01-05","13.3","13.3","12.8","12.8","30530"
"PXM","2011-01-06","12.8","13","12.2","12.8","44630"
"PXM","2011-01-07","13","13","12.5","12.8","5630"
"PXM","2011-01-10","13.1","13.1","12.2","12.2","150730"
"PXM","2011-01-11","11.8","12.3","11.8","11.8","66500"
"PXM","2011-01-12","12","12","11.8","12","22640"
"PXM","2011-01-13","12.3","12.3","11.8","12.1","12230"
"PXM","2011-01-14","12.3","12.3","11.9","12.1","62540"
"PXM","2011-01-17","12.5","12.6","11.8","12.6","53510"
"PXM","2011-01-18","12.6","12.8","12.3","12.4","45850"
"PXM","2011-01-19","12.1","12.9","12.1","12.5","10380"
"PXM","2011-01-20","12.5","12.5","12","12","20590"
"PXM","2011-01-21","12","12.2","11.8","11.9","21850"
"PXM","2011-01-24","12","12.2","11.4","11.4","66090"
"PXM","2011-01-25","11.4","11.4","11","11","29850"
"PXM","2011-01-26","11.4","11.4","11","11.3","18780"
"PXM","2011-01-27","11.8","11.8","11.5","11.6","59260"
"PXM","2011-01-28","11.8","11.8","11.3","11.3","16710"
"PXM","2011-02-08","11.1","11.5","11.1","11.3","7630"
"PXM","2011-02-09","11.1","11.5","11.1","11.2","4850"
"PXM","2011-02-10","11.1","11.6","11.1","11.3","14960"
"PXM","2011-02-11","11.2","11.4","11","11","15170"
"PXM","2011-02-14","11.2","11.2","11","11","22970"
"PXM","2011-02-15","10.8","11","10.7","10.9","17340"
"PXM","2011-02-16","10.9","10.9","10.7","10.7","18460"
"PXM","2011-02-17","11.1","11.1","10.3","10.7","6050"
"PXM","2011-02-18","10.7","10.7","10.2","10.2","43840"
"PXM","2011-02-21","10","10","9.7","9.7","41410"
"PXM","2011-02-22","9.3","9.7","9.3","9.3","39890"
"PXM","2011-02-23","9.2","9.5","9.1","9.1","32300"
"PXM","2011-02-24","9.1","9.1","8.7","8.7","204500"
"PXM","2011-02-25","9.1","9.1","8.7","9.1","81560"
"PXM","2011-02-28","9.1","9.4","9.1","9.1","28150"
"PXM","2011-03-01","9.3","9.3","8.9","8.9","6070"
"PXM","2011-03-02","9","9","8.5","8.5","86710"
"PXM","2011-03-03","8.1","8.4","8.1","8.1","46010"
"PXM","2011-03-04","8.4","8.5","8.4","8.5","70480"
"PXM","2011-03-07","8.3","8.7","8.2","8.7","19480"
"PXM","2011-03-08","8.9","8.9","8.4","8.6","31290"
"PXM","2011-03-09","8.3","8.4","8.2","8.2","62100"
"PXM","2011-03-10","8.3","8.6","8.3","8.6","48110"
"PXM","2011-03-11","8.9","9","8.9","9","93710"
"PXM","2011-03-14","9","9","8.6","8.6","17740"
"PXM","2011-03-15","8.3","8.9","8.3","8.3","29490"
"PXM","2011-03-16","8.5","8.5","8.1","8.4","24740"
"PXM","2011-03-17","8.5","8.7","8.4","8.5","24280"
"PXM","2011-03-18","8.4","8.7","8.3","8.7","9590"
"PXM","2011-03-21","8.8","9","8.6","8.6","33450"
"PXM","2011-03-22","8.8","8.8","8.5","8.6","23100"
"PXM","2011-03-23","8.6","8.9","8.6","8.9","25040"
"PXM","2011-03-24","8.9","8.9","8.6","8.9","22130"
"PXM","2011-03-25","8.7","9","8.7","8.9","3520"
"PXM","2011-03-28","8.9","8.9","8.5","8.7","42060"
"PXM","2011-03-29","8.7","8.8","8.6","8.8","14370"
"PXM","2011-03-30","8.5","8.7","8.5","8.7","15760"
"PXM","2011-03-31","8.3","8.3","7.8","7.8","17600"
"PXM","2011-04-01","7.9","8","7.7","7.9","11090"
"PXM","2011-04-04","8","8","7.7","7.7","9530"
"PXM","2011-04-05","7.7","7.8","7.7","7.8","4380"
"PXM","2011-04-06","7.9","8","7.8","8","13840"
"PXM","2011-04-07","7.8","8.1","7.8","7.8","11710"
"PXM","2011-04-08","7.9","7.9","7.6","7.6","5020"
"PXM","2011-04-13","7.5","7.8","7.4","7.5","2010"
"PXM","2011-04-14","7.7","7.7","7.4","7.6","550"
"PXM","2011-04-15","7.6","7.6","7.4","7.6","14650"
"PXM","2011-04-18","7.3","7.4","7.3","7.3","12320"
"PXM","2011-04-19","7.1","7.4","7","7.4","21080"
"PXM","2011-04-20","7.3","7.4","7.3","7.4","8150"
"PXM","2011-04-21","7.2","7.2","7.1","7.2","5060"
"PXM","2011-04-22","7.1","7.1","6.9","7","22470"
"PXM","2011-04-25","7","7.2","7","7.2","11550"
"PXM","2011-04-26","7.2","7.2","6.9","6.9","16330"
"PXM","2011-04-27","6.7","6.8","6.7","6.8","19980"
"PXM","2011-04-28","6.7","6.9","6.5","6.5","8280"
"PXM","2011-04-29","6.7","6.7","6.5","6.6","10740"
"PXM","2011-05-04","6.9","6.9","6.5","6.7","8940"
"PXM","2011-05-05","6.6","6.7","6.5","6.6","10100"
"PXM","2011-05-06","6.6","6.7","6.6","6.7","11460"
"PXM","2011-05-09","6.7","6.8","6.7","6.7","4350"
"PXM","2011-05-10","6.8","7","6.7","7","2110"
"PXM","2011-05-11","6.9","6.9","6.7","6.7","15460"
"PXM","2011-05-12","6.8","6.8","6.7","6.8","13400"
"PXM","2011-05-13","6.7","6.8","6.7","6.8","2010"
"PXM","2011-05-16","6.7","6.8","6.6","6.6","5100"
"PXM","2011-05-17","6.7","6.7","6.5","6.5","17550"
"PXM","2011-05-18","6.5","6.6","6.2","6.6","21490"
"PXM","2011-05-19","6.5","6.6","6.4","6.4","8130"
"PXM","2011-05-20","6.2","6.6","6.1","6.2","24600"
"PXM","2011-05-23","5.9","6.4","5.9","5.9","53960"
"PXM","2011-05-24","6","6","5.7","5.7","19670"
"PXM","2011-05-25","5.5","5.5","5.5","5.5","27550"
"PXM","2011-05-26","5.3","5.7","5.3","5.7","27760"
"PXM","2011-05-27","5.5","5.7","5.5","5.7","12220"
"PXM","2011-05-30","5.7","5.7","5.6","5.6","2450"
