symbol,date,open,high,low,close,volume,year,month,week,weekday
"QSP","2016-09-30","7.94","7.94","7.94","7.94","100","2016","09","40","Friday"
"QSP","2016-10-14","6.76","6.76","6.76","6.76","100","2016","10","42","Friday"
"QSP","2016-10-21","5.77","5.77","5.77","5.77","200","2016","10","43","Friday"
"QSP","2017-01-05","3.5","3.5","3.5","3.5","1000","2017","01","1","Thursday"
"QSP","2017-01-11","4.02","4.02","4.02","4.02","100","2017","01","2","Wednesday"
"QSP","2017-02-02","4.59","4.59","4.59","4.59","100","2017","02","5","Thursday"
"QSP","2017-02-15","4.59","4.59","4.59","4.59","100","2017","02","7","Wednesday"
"QSP","2017-02-22","4.73","4.73","4.73","4.73","100","2017","02","8","Wednesday"
"QSP","2017-03-02","4.73","4.96","4.73","4.96","1100","2017","03","9","Thursday"
"QSP","2017-03-06","5.44","5.58","5.44","5.58","2300","2017","03","10","Monday"
"QSP","2017-03-09","5.49","5.49","5.44","5.44","1000","2017","03","10","Thursday"
"QSP","2017-03-13","6.24","6.24","6.24","6.24","600","2017","03","11","Monday"
"QSP","2017-03-16","7.09","7.09","7.09","7.09","100","2017","03","11","Thursday"
"QSP","2017-03-20","6.05","6.05","6.05","6.05","100","2017","03","12","Monday"
"QSP","2017-03-23","6.95","6.95","6.95","6.95","100","2017","03","12","Thursday"
"QSP","2017-05-08","6.38","6.38","6.38","6.38","1000","2017","05","19","Monday"
"QSP","2017-05-16","6.42","6.42","6.42","6.42","600","2017","05","20","Tuesday"
"QSP","2017-05-17","6.42","6.42","6.42","6.42","100","2017","05","20","Wednesday"
"QSP","2017-05-24","6.42","6.42","6.42","6.42","100","2017","05","21","Wednesday"
"QSP","2017-07-31","6.42","6.42","6.42","6.42","100","2017","07","31","Monday"
"QSP","2017-08-02","6.68","6.68","6.68","6.68","300","2017","08","31","Wednesday"
"QSP","2017-08-08","6.42","6.42","6.42","6.42","100","2017","08","32","Tuesday"
"QSP","2017-08-17","6.68","6.68","6.68","6.68","700","2017","08","33","Thursday"
"QSP","2017-08-18","6.84","6.84","6.84","6.84","300","2017","08","33","Friday"
"QSP","2017-08-21","6.84","6.84","6.84","6.84","1379504","2017","08","34","Monday"
"QSP","2017-08-24","6.84","6.9","6.84","6.9","400","2017","08","34","Thursday"
"QSP","2017-08-28","6.9","6.9","6.9","6.9","300","2017","08","35","Monday"
"QSP","2017-08-29","6.9","6.9","6.9","6.9","200","2017","08","35","Tuesday"
"QSP","2017-08-30","6.9","6.9","6.9","6.9","200","2017","08","35","Wednesday"
"QSP","2017-09-12","6.9","6.9","6.9","6.9","500","2017","09","37","Tuesday"
"QSP","2017-09-13","6.9","6.9","6.9","6.9","100","2017","09","37","Wednesday"
"QSP","2017-09-14","6.9","6.9","6.9","6.9","200","2017","09","37","Thursday"
"QSP","2017-09-15","6.9","6.9","6.9","6.9","200","2017","09","37","Friday"
"QSP","2017-09-18","6.9","6.9","6.9","6.9","100","2017","09","38","Monday"
"QSP","2017-09-22","6.9","6.9","6.9","6.9","400","2017","09","38","Friday"
"QSP","2017-10-02","6.52","6.52","6.52","6.52","3600","2017","10","40","Monday"
"QSP","2017-10-09","6.63","6.63","6.63","6.63","500","2017","10","41","Monday"
"QSP","2017-10-11","6.84","6.84","6.84","6.84","100","2017","10","41","Wednesday"
"QSP","2017-10-13","6.84","6.84","6.84","6.84","200","2017","10","41","Friday"
"QSP","2017-10-25","6.84","6.84","6.84","6.84","4000","2017","10","43","Wednesday"
"QSP","2017-10-26","6.84","6.84","6.84","6.84","2200","2017","10","43","Thursday"
"QSP","2017-11-13","6.68","6.68","6.68","6.68","3000","2017","11","46","Monday"
"QSP","2017-11-16","6.68","6.68","6.68","6.68","4600","2017","11","46","Thursday"
"QSP","2017-11-30","5.88","5.88","5.88","5.88","300","2017","11","48","Thursday"
"QSP","2017-12-15","5.62","5.62","5.62","5.62","100","2017","12","50","Friday"
"QSP","2017-12-25","5.4","5.4","5.4","5.4","100","2017","12","52","Monday"
"QSP","2018-01-15","5.19","5.19","5.19","5.19","100","2018","01","3","Monday"
"QSP","2018-01-22","4.54","4.54","4.54","4.54","100","2018","01","4","Monday"
"QSP","2018-01-26","3.9","3.9","3.9","3.9","100","2018","01","4","Friday"
"QSP","2018-01-31","4.12","4.12","4.12","4.12","100","2018","01","5","Wednesday"
"QSP","2018-02-08","4.22","4.22","4.22","4.22","100","2018","02","6","Thursday"
"QSP","2018-02-09","3.8","4.81","3.8","4.81","700","2018","02","6","Friday"
"QSP","2018-02-12","5.08","5.08","4.22","5.08","600","2018","02","7","Monday"
"QSP","2018-02-13","5.56","5.56","4.65","4.65","800","2018","02","7","Tuesday"
"QSP","2018-02-21","4.81","5.62","4.81","5.62","1800","2018","02","8","Wednesday"
"QSP","2018-02-22","4.92","5.62","4.92","5.19","761","2018","02","8","Thursday"
"QSP","2018-02-23","4.81","4.81","4.81","4.81","100","2018","02","8","Friday"
"QSP","2018-02-26","4.12","5.51","4.12","5.51","1100","2018","02","9","Monday"
"QSP","2018-02-27","4.81","4.81","4.81","4.81","100","2018","02","9","Tuesday"
"QSP","2018-02-28","4.22","5.51","4.22","4.28","6800","2018","02","9","Wednesday"
"QSP","2018-03-01","5.19","5.19","5.19","5.19","110","2018","03","9","Thursday"
"QSP","2018-03-02","4.97","4.97","4.97","4.97","100","2018","03","9","Friday"
"QSP","2018-03-05","4.44","4.44","4.44","4.44","100","2018","03","10","Monday"
"QSP","2018-03-06","4.33","4.33","4.33","4.33","100","2018","03","10","Tuesday"
"QSP","2018-03-21","3.74","3.74","3.74","3.74","100","2018","03","12","Wednesday"
"QSP","2018-04-20","3.26","3.26","3.26","3.26","100","2018","04","16","Friday"
"QSP","2018-05-14","3.74","3.74","3.74","3.74","100","2018","05","20","Monday"
"QSP","2018-06-13","4.3","4.3","4.3","4.3","100","2018","06","24","Wednesday"
"QSP","2018-06-15","4.92","4.92","4.92","4.92","100","2018","06","24","Friday"
"QSP","2018-06-20","5.62","5.62","5.62","5.62","100","2018","06","25","Wednesday"
"QSP","2018-06-27","6.45","6.45","6.45","6.45","100","2018","06","26","Wednesday"
"QSP","2018-06-28","7.35","7.35","7.35","7.35","2847","2018","06","26","Thursday"
"QSP","2018-07-02","7.35","7.35","7.35","7.35","200","2018","07","27","Monday"
"QSP","2018-07-03","6.79","6.79","6.45","6.45","1000","2018","07","27","Tuesday"
"QSP","2018-07-04","7","7","7","7","100","2018","07","27","Wednesday"
"QSP","2018-07-05","7.28","7.35","7.28","7.35","400","2018","07","27","Thursday"
"QSP","2018-07-06","7.14","7.35","7.14","7.35","600","2018","07","27","Friday"
"QSP","2018-07-09","7.28","7.28","7.28","7.28","600","2018","07","28","Monday"
"QSP","2018-07-11","7.28","7.42","7.28","7.42","700","2018","07","28","Wednesday"
"QSP","2018-07-12","8.18","8.39","8.18","8.39","500","2018","07","28","Thursday"
"QSP","2018-07-16","9.5","9.5","9.5","9.5","100","2018","07","29","Monday"
"QSP","2018-07-17","10.26","10.26","10.26","10.26","300","2018","07","29","Tuesday"
"QSP","2018-07-20","10.26","10.74","10.26","10.4","2000","2018","07","29","Friday"
"QSP","2018-07-24","10.33","10.33","8.32","8.32","200","2018","07","30","Tuesday"
"QSP","2018-08-02","9.71","9.71","9.71","9.71","240","2018","08","31","Thursday"
"QSP","2018-08-16","8.25","8.25","8.25","8.25","100","2018","08","33","Thursday"
"QSP","2018-08-20","8.32","8.32","8.32","8.32","400","2018","08","34","Monday"
"QSP","2018-08-21","8.53","8.53","8.39","8.39","300","2018","08","34","Tuesday"
"QSP","2018-08-28","8.66","8.66","8.66","8.66","20000","2018","08","35","Tuesday"
"QSP","2018-08-29","8.66","8.66","8.66","8.66","1000","2018","08","35","Wednesday"
"QSP","2018-09-06","8.32","8.32","8.32","8.32","200","2018","09","36","Thursday"
"QSP","2018-09-10","8.32","8.32","8.32","8.32","200","2018","09","37","Monday"
"QSP","2018-09-24","7.07","8.94","7.07","8.94","200","2018","09","39","Monday"
"QSP","2018-09-28","9.08","9.08","9.08","9.08","100","2018","09","39","Friday"
"QSP","2018-10-16","7.76","7.76","7.76","7.76","100","2018","10","42","Tuesday"
"QSP","2018-10-17","8.87","8.87","8.87","8.87","1200","2018","10","42","Wednesday"
"QSP","2018-10-31","8.04","8.04","8.04","8.04","100","2018","10","44","Wednesday"
"QSP","2018-11-01","8.04","8.04","8.04","8.04","100","2018","11","44","Thursday"
"QSP","2018-11-15","6.86","8.32","6.86","8.32","600","2018","11","46","Thursday"
"QSP","2018-11-30","8.18","8.46","8.18","8.46","400","2018","11","48","Friday"
"QSP","2018-12-11","8.11","8.46","8.11","8.46","200","2018","12","50","Tuesday"
"QSP","2018-12-13","8.18","8.18","8.18","8.18","100","2018","12","50","Thursday"
"QSP","2019-01-08","8.66","9.36","8.66","9.36","2700","2019","01","2","Tuesday"
"QSP","2019-01-17","9.36","9.36","9.36","9.36","1000","2019","01","3","Thursday"
"QSP","2019-01-24","9.36","9.36","9.36","9.36","1000","2019","01","4","Thursday"
"QSP","2019-02-18","9.36","9.36","9.36","9.36","2400","2019","02","8","Monday"
"QSP","2019-02-21","9.36","9.36","9.36","9.36","1738","2019","02","8","Thursday"
"QSP","2019-03-12","9.36","9.36","9.36","9.36","2100","2019","03","11","Tuesday"
"QSP","2019-03-27","9.64","9.64","9.64","9.64","200","2019","03","13","Wednesday"
"QSP","2019-04-09","9.64","9.64","9.64","9.64","100","2019","04","15","Tuesday"
"QSP","2019-04-23","9.84","9.84","9.84","9.84","300","2019","04","17","Tuesday"
"QSP","2019-05-02","9.84","9.84","9.84","9.84","900","2019","05","18","Thursday"
"QSP","2019-05-08","9.84","9.84","9.84","9.84","1700","2019","05","19","Wednesday"
"QSP","2019-05-09","9.84","9.84","9.84","9.84","1600","2019","05","19","Thursday"
"QSP","2019-05-13","9.98","9.98","9.98","9.98","100","2019","05","20","Monday"
"QSP","2019-05-17","10.53","10.53","10.53","10.53","100","2019","05","20","Friday"
