symbol,date,open,high,low,close,volume
"QST","2009-02-16","3.16","3.38","3.16","3.38","1200"
"QST","2009-02-17","3.31","3.31","3.31","3.31","200"
"QST","2009-02-18","3.33","3.33","3.33","3.33","100"
"QST","2009-02-23","3.33","3.33","3.33","3.33","100"
"QST","2009-02-26","3.5","3.5","3.5","3.5","100"
"QST","2009-03-02","3.58","3.58","3.58","3.58","100"
"QST","2009-03-05","3.58","3.58","3.58","3.58","100"
"QST","2009-03-10","3.5","3.5","3.5","3.5","100"
"QST","2009-03-16","3.33","3.33","3.33","3.33","100"
"QST","2009-03-18","3.25","3.25","3.25","3.25","100"
"QST","2009-03-20","3.16","3.16","3.16","3.16","100"
"QST","2009-03-23","3","3","3","3","100"
"QST","2009-03-31","2.83","2.83","2.83","2.83","100"
"QST","2009-04-03","2.66","2.66","2.66","2.66","100"
"QST","2009-04-10","2.85","2.85","2.85","2.85","100"
"QST","2009-04-13","2.66","3","2.66","3","1200"
"QST","2009-04-14","3.15","3.15","3.15","3.15","100"
"QST","2009-05-07","3.25","3.25","3.25","3.25","100"
"QST","2009-05-18","3.25","3.25","3.25","3.25","200"
"QST","2009-05-21","3.08","3.08","3.08","3.08","100"
"QST","2009-05-22","2.91","2.91","2.91","2.91","100"
"QST","2009-05-26","2.71","2.71","2.71","2.71","5600"
"QST","2009-05-27","2.66","2.66","2.63","2.63","4200"
"QST","2009-05-28","2.81","2.81","2.75","2.75","1100"
"QST","2009-05-29","2.66","2.66","2.66","2.66","100"
"QST","2009-06-01","2.66","2.66","2.66","2.66","200"
"QST","2009-06-03","2.65","2.65","2.63","2.63","700"
"QST","2009-06-05","2.63","2.75","2.63","2.75","9000"
"QST","2009-06-08","2.8","2.88","2.8","2.88","5500"
"QST","2009-06-10","2.66","2.66","2.66","2.66","500"
"QST","2009-06-11","2.81","2.83","2.81","2.83","200"
"QST","2009-06-12","3","3","2.65","2.66","9300"
"QST","2009-06-15","2.5","2.5","2.5","2.5","100"
"QST","2009-06-16","2.5","2.5","2.5","2.5","1000"
"QST","2009-06-17","2.5","2.5","2.5","2.5","1000"
"QST","2009-06-18","2.58","2.61","2.58","2.61","2000"
"QST","2009-06-19","2.55","2.55","2.55","2.55","200"
"QST","2009-06-22","2.66","2.66","2.66","2.66","100"
"QST","2009-06-24","2.71","2.71","2.71","2.71","600"
"QST","2009-07-01","2.56","2.58","2.56","2.58","2500"
"QST","2009-07-03","2.66","2.66","2.66","2.66","100"
"QST","2009-07-06","2.7","2.7","2.66","2.66","700"
"QST","2009-07-07","2.66","2.66","2.66","2.66","100"
"QST","2009-07-09","2.66","2.66","2.66","2.66","100"
"QST","2009-07-10","2.53","2.53","2.53","2.53","500"
"QST","2009-07-13","2.66","2.66","2.66","2.66","100"
"QST","2009-07-17","2.48","2.48","2.48","2.48","900"
"QST","2009-07-22","2.48","2.48","2.48","2.48","100"
"QST","2009-07-23","2.65","2.65","2.65","2.65","900"
"QST","2009-07-24","2.76","2.83","2.76","2.81","2200"
"QST","2009-07-27","2.98","2.98","2.98","2.98","100"
"QST","2009-07-29","3","3","3","3","100"
"QST","2009-07-31","2.8","3.08","2.8","2.8","3700"
"QST","2009-08-06","3.08","3.08","2.91","2.91","2200"
"QST","2009-08-07","2.83","2.83","2.83","2.83","900"
"QST","2009-08-10","2.65","2.66","2.65","2.66","1300"
"QST","2009-08-11","2.46","2.46","2.46","2.46","1600"
"QST","2009-08-13","2.35","2.35","2.33","2.35","1600"
"QST","2009-08-14","2.35","2.35","2.35","2.35","500"
"QST","2009-08-18","2.36","2.36","2.36","2.36","200"
"QST","2009-08-20","2.5","2.5","2.33","2.33","1900"
"QST","2009-08-21","2.38","2.38","2.31","2.31","400"
"QST","2009-08-25","2.25","2.33","2.2","2.33","700"
"QST","2009-08-26","2.4","2.4","2.4","2.4","1500"
"QST","2009-08-27","2.56","2.56","2.48","2.56","4000"
"QST","2009-08-28","2.61","2.61","2.61","2.61","100"
"QST","2009-09-03","2.45","2.45","2.45","2.45","400"
"QST","2009-09-04","2.3","2.3","2.3","2.3","700"
"QST","2009-09-07","2.25","2.25","2.21","2.21","6300"
"QST","2009-09-09","2.25","2.3","2.25","2.3","1200"
"QST","2009-09-10","2.21","2.21","2.21","2.21","2700"
"QST","2009-09-11","2.33","2.33","2.33","2.33","100"
"QST","2009-09-14","2.21","2.21","2.21","2.21","2000"
"QST","2009-09-15","2.25","2.26","2.25","2.26","1100"
"QST","2009-09-16","2.25","2.4","2.25","2.4","3200"
"QST","2009-09-17","2.25","2.3","2.25","2.3","2500"
"QST","2009-09-18","2.21","2.21","2.21","2.21","1400"
"QST","2009-09-21","2.25","2.25","2.25","2.25","1400"
"QST","2009-09-22","2.21","2.23","2.21","2.23","1000"
"QST","2009-09-23","2.25","2.25","2.25","2.25","8600"
"QST","2009-09-24","2.21","2.21","2.21","2.21","2000"
"QST","2009-09-25","2.18","2.18","2.16","2.16","3000"
"QST","2009-09-29","2.26","2.26","2.16","2.23","1300"
"QST","2009-09-30","2.25","2.25","2.25","2.25","1000"
"QST","2009-10-01","2.18","2.25","2.16","2.25","1700"
"QST","2009-10-05","2.21","2.23","2.21","2.23","1200"
"QST","2009-10-06","2.25","2.25","2.25","2.25","1000"
"QST","2009-10-07","2.36","2.36","2.36","2.36","100"
"QST","2009-10-08","2.36","2.36","2.25","2.35","2200"
"QST","2009-10-13","2.33","2.33","2.33","2.33","200"
"QST","2009-10-14","2.25","2.38","2.25","2.38","3400"
