symbol,date,open,high,low,close,volume,year,month,week,weekday
"RCC","2016-12-02","8.31","8.31","5.87","5.87","33300","2016","12","49","Friday"
"RCC","2016-12-05","7.79","8","7.26","7.92","42500","2016","12","50","Monday"
"RCC","2016-12-06","7.66","7.66","7.61","7.61","2800","2016","12","50","Tuesday"
"RCC","2016-12-07","7.31","7.39","7.22","7.31","19000","2016","12","50","Wednesday"
"RCC","2016-12-08","7.39","7.53","7.39","7.39","25700","2016","12","50","Thursday"
"RCC","2016-12-09","7.39","7.79","7.39","7.53","45200","2016","12","50","Friday"
"RCC","2016-12-12","7.26","7.83","7.26","7.61","34561","2016","12","51","Monday"
"RCC","2016-12-13","6.61","7.39","6.61","7.39","4500","2016","12","51","Tuesday"
"RCC","2016-12-14","6.57","7.18","6.57","7.18","13000","2016","12","51","Wednesday"
"RCC","2016-12-15","7.39","7.39","7.22","7.22","5000","2016","12","51","Thursday"
"RCC","2016-12-16","7.26","7.39","7.18","7.39","5500","2016","12","51","Friday"
"RCC","2016-12-19","7.39","7.92","7.39","7.61","42300","2016","12","52","Monday"
"RCC","2016-12-20","7.83","9","7.83","9","47120","2016","12","52","Tuesday"
"RCC","2016-12-21","8.48","9.27","8.39","8.7","25052","2016","12","52","Wednesday"
"RCC","2016-12-22","8.26","8.66","8.13","8.39","9793","2016","12","52","Thursday"
"RCC","2016-12-23","8.26","8.7","8.26","8.48","46474","2016","12","52","Friday"
"RCC","2016-12-26","8.26","8.7","8.26","8.7","37152","2016","12","53","Monday"
"RCC","2016-12-27","8.31","8.48","8.31","8.48","3069","2016","12","53","Tuesday"
"RCC","2016-12-28","8.26","8.26","7.22","7.79","41400","2016","12","53","Wednesday"
"RCC","2016-12-29","8.26","8.26","8.26","8.26","5000","2016","12","53","Thursday"
"RCC","2016-12-30","8.18","8.18","7.61","7.83","9800","2016","12","53","Friday"
"RCC","2017-01-03","7.39","7.39","6.66","7.39","15562","2017","01","1","Tuesday"
"RCC","2017-01-05","8.18","8.22","8.18","8.22","232","2017","01","1","Thursday"
"RCC","2017-01-06","7.64","7.64","7.64","7.64","10000","2017","01","1","Friday"
"RCC","2017-01-09","7.51","7.64","7.51","7.64","13030","2017","01","2","Monday"
"RCC","2017-01-12","6.75","6.75","6.75","6.75","9000","2017","01","2","Thursday"
"RCC","2017-01-13","7.6","7.6","7.37","7.37","1215","2017","01","2","Friday"
"RCC","2017-01-16","7.46","7.6","7.46","7.6","8200","2017","01","3","Monday"
"RCC","2017-01-17","8.04","8.04","7.6","7.6","2100","2017","01","3","Tuesday"
"RCC","2017-01-19","6.75","7.95","6.75","7.95","17500","2017","01","3","Thursday"
"RCC","2017-01-20","6.75","6.84","6.66","6.84","19000","2017","01","3","Friday"
"RCC","2017-01-23","7.6","7.64","7.6","7.64","2900","2017","01","4","Monday"
"RCC","2017-01-24","6.97","8.71","6.97","8.71","25000","2017","01","4","Tuesday"
