symbol,date,open,high,low,close,volume,year,month,week,weekday
"RGC","2017-07-13","12.7","12.7","12.7","12.7","1000","2017","07","28","Thursday"
"RGC","2017-07-18","14.5","14.5","14.5","14.5","100","2017","07","29","Tuesday"
"RGC","2017-07-19","16.5","16.5","16.5","16.5","100","2017","07","29","Wednesday"
"RGC","2017-07-24","18.7","18.7","18.7","18.7","100","2017","07","30","Monday"
"RGC","2017-07-27","18.7","18.7","15.9","15.9","22100","2017","07","30","Thursday"
"RGC","2017-08-08","15.9","15.9","15.9","15.9","100","2017","08","32","Tuesday"
"RGC","2017-08-09","13.6","13.6","13.6","13.6","100","2017","08","32","Wednesday"
"RGC","2017-08-11","11.6","11.6","11.6","11.6","100","2017","08","32","Friday"
"RGC","2017-08-14","9.9","9.9","9.9","9.9","100","2017","08","33","Monday"
"RGC","2017-08-15","8.5","8.5","8.5","8.5","100","2017","08","33","Tuesday"
"RGC","2017-08-16","7.3","7.3","7.3","7.3","100","2017","08","33","Wednesday"
"RGC","2017-08-17","6.3","6.3","6.3","6.3","100","2017","08","33","Thursday"
"RGC","2017-08-18","5.4","5.4","5.4","5.4","100","2017","08","33","Friday"
"RGC","2017-08-21","4.6","4.6","4.6","4.6","100","2017","08","34","Monday"
"RGC","2017-08-22","4","4","4","4","100","2017","08","34","Tuesday"
"RGC","2017-08-23","3.4","3.4","3.4","3.4","3000","2017","08","34","Wednesday"
"RGC","2017-08-24","3.9","3.9","3","3","200","2017","08","34","Thursday"
"RGC","2017-08-25","3.1","3.1","3.1","3.1","22000","2017","08","34","Friday"
"RGC","2017-08-28","2.9","2.9","2.9","2.9","100","2017","08","35","Monday"
"RGC","2017-08-30","3.2","3.3","3.2","3.3","200","2017","08","35","Wednesday"
"RGC","2017-08-31","3.7","3.7","3.4","3.4","2048","2017","08","35","Thursday"
"RGC","2017-09-01","3.4","3.4","3.4","3.4","487","2017","09","35","Friday"
"RGC","2017-09-05","3","3.9","3","3.9","600","2017","09","36","Tuesday"
"RGC","2017-09-06","4.3","4.3","4.3","4.3","200","2017","09","36","Wednesday"
"RGC","2017-09-07","4.9","4.9","4.9","4.9","200","2017","09","36","Thursday"
"RGC","2017-09-08","5.6","5.6","5.6","5.6","100","2017","09","36","Friday"
"RGC","2017-09-11","6.4","6.4","6.4","6.4","200","2017","09","37","Monday"
"RGC","2017-09-12","7.2","7.3","7.2","7.3","1200","2017","09","37","Tuesday"
"RGC","2017-09-13","8.3","8.3","8.3","8.3","200","2017","09","37","Wednesday"
"RGC","2017-09-14","9.4","9.4","9.4","9.4","800","2017","09","37","Thursday"
"RGC","2017-09-15","10.7","10.7","10.7","10.7","100","2017","09","37","Friday"
"RGC","2017-09-18","12.1","12.1","12.1","12.1","100","2017","09","38","Monday"
"RGC","2017-09-19","12","12","12","12","6000","2017","09","38","Tuesday"
"RGC","2017-09-20","10.2","10.2","10.2","10.2","100","2017","09","38","Wednesday"
"RGC","2017-09-21","8.7","8.7","8.7","8.7","100","2017","09","38","Thursday"
"RGC","2017-09-26","7.4","7.4","7.4","7.4","100","2017","09","39","Tuesday"
"RGC","2017-09-27","6.4","6.4","6.4","6.4","100","2017","09","39","Wednesday"
"RGC","2017-09-28","5.5","5.5","5.5","5.5","100","2017","09","39","Thursday"
"RGC","2017-09-29","4.7","4.7","4.7","4.7","100","2017","09","39","Friday"
"RGC","2017-10-02","4.1","4.1","4","4","200","2017","10","40","Monday"
"RGC","2017-10-03","3.6","3.6","3.6","3.6","100","2017","10","40","Tuesday"
"RGC","2017-10-04","3.2","3.2","3.2","3.2","6000","2017","10","40","Wednesday"
"RGC","2017-10-06","3.6","3.6","3.6","3.6","100","2017","10","40","Friday"
"RGC","2017-10-09","4.1","4.1","4.1","4.1","100","2017","10","41","Monday"
"RGC","2017-10-10","4.7","4.7","4.7","4.7","100","2017","10","41","Tuesday"
"RGC","2017-10-11","5.4","5.4","5.4","5.4","300","2017","10","41","Wednesday"
"RGC","2017-10-12","6.2","6.2","6.2","6.2","4500","2017","10","41","Thursday"
"RGC","2017-10-13","7","7","7","7","100","2017","10","41","Friday"
"RGC","2017-10-16","7.8","7.8","7.8","7.8","100","2017","10","42","Monday"
"RGC","2017-10-19","7.8","7.8","7.8","7.8","10","2017","10","42","Thursday"
"RGC","2017-10-25","8.5","8.5","8.5","8.5","100","2017","10","43","Wednesday"
"RGC","2017-10-30","8.3","8.3","8.3","8.3","2800","2017","10","44","Monday"
"RGC","2017-11-03","7.1","7.1","7.1","7.1","100","2017","11","44","Friday"
"RGC","2017-11-08","6.1","6.1","6.1","6.1","100","2017","11","45","Wednesday"
"RGC","2017-11-09","5.2","5.2","5.2","5.2","100","2017","11","45","Thursday"
"RGC","2017-11-10","4.6","4.6","4.6","4.6","400","2017","11","45","Friday"
"RGC","2017-11-13","4.1","4.1","4.1","4.1","100","2017","11","46","Monday"
"RGC","2017-11-14","3.7","3.7","3.5","3.5","2400","2017","11","46","Tuesday"
"RGC","2017-11-15","4.2","4.2","4.2","4.2","100","2017","11","46","Wednesday"
"RGC","2017-11-16","4.8","4.8","4.8","4.8","100","2017","11","46","Thursday"
"RGC","2017-11-17","5.4","5.4","5.4","5.4","100","2017","11","46","Friday"
"RGC","2017-11-20","6.1","6.1","6.1","6.1","100","2017","11","47","Monday"
