symbol,date,open,high,low,close,volume
"RIC","2007-07-31","150","150","150","174","29170"
"RIC","2007-08-01","143.1","150.86","143.1","170","45140"
"RIC","2007-08-02","146.55","146.55","143.1","166","4420"
"RIC","2007-08-03","136.21","136.21","136.21","158","12670"
"RIC","2007-08-06","130.17","130.17","130.17","151","6460"
"RIC","2007-08-07","124.14","124.14","124.14","144","850"
"RIC","2007-08-08","118.1","118.1","118.1","137","12870"
"RIC","2007-08-09","112.93","112.93","112.93","131","44980"
"RIC","2007-08-10","118.1","118.1","118.1","137","132870"
"RIC","2007-08-13","116.38","122.41","114.66","139","147830"
"RIC","2007-08-14","120.69","122.41","120.69","141","164610"
"RIC","2007-08-15","121.55","122.41","121.55","141","95960"
"RIC","2007-08-16","118.97","120.69","117.24","136","112970"
"RIC","2007-08-17","116.38","117.24","114.66","133","90630"
"RIC","2007-08-20","112","114","112","112","59450"
"RIC","2007-08-21","111","112","110","112","47220"
"RIC","2007-08-22","113","115","113","114","45140"
"RIC","2007-08-23","113","114","113","113","14830"
"RIC","2007-08-24","113","113","112","113","28320"
"RIC","2007-08-27","113","114","112","112","33780"
"RIC","2007-08-28","111","112","110","110","29160"
"RIC","2007-08-29","111","111","108","109","64040"
"RIC","2007-08-30","109","110","109","109","27600"
"RIC","2007-08-31","107","109","107","109","36850"
"RIC","2007-09-04","105","109","105","108","51880"
"RIC","2007-09-05","107","107","106","106","75950"
"RIC","2007-09-06","105","111","105","111","86650"
"RIC","2007-09-07","116","116","113","116","154420"
"RIC","2007-09-10","121","121","116","120","162560"
"RIC","2007-09-11","116","118","115","115","101710"
"RIC","2007-09-12","110","114","110","112","34700"
"RIC","2007-09-13","112","114","112","113","29010"
"RIC","2007-09-14","115","115","114","114","33910"
"RIC","2007-09-17","115","115","113","113","22140"
"RIC","2007-09-18","112","113","112","112","34120"
"RIC","2007-09-19","109","112","109","112","73340"
"RIC","2007-09-20","115","115","113","115","72700"
"RIC","2007-09-21","115","116","113","113","110070"
"RIC","2007-09-24","111","114","111","114","49690"
"RIC","2007-09-25","114","115","113","114","118430"
"RIC","2007-09-26","119","119","116","116","96060"
"RIC","2007-09-27","116","116","114","114","83800"
"RIC","2007-09-28","114","118","114","118","192590"
"RIC","2007-10-01","122","123","120","123","265680"
"RIC","2007-10-02","129","129","125","127","205140"
"RIC","2007-10-03","128","128","125","126","136380"
"RIC","2007-10-04","124","125","122","122","143360"
"RIC","2007-10-05","124","125","123","125","128960"
"RIC","2007-10-08","125","126","122","123","111460"
"RIC","2007-10-09","121","123","119","121","105510"
"RIC","2007-10-10","122","123","121","122","77640"
"RIC","2007-10-11","121","122","120","121","73380"
"RIC","2007-10-12","121","121","121","121","67750"
"RIC","2007-10-15","121","124","121","122","95550"
"RIC","2007-10-16","124","124","121","121","73660"
"RIC","2007-10-17","120","121","120","120","83200"
"RIC","2007-10-18","119","119","118","118","63490"
"RIC","2007-10-19","117","118","116","117","52050"
"RIC","2007-10-22","117","116","116","116","56080"
"RIC","2007-10-23","115","114","114","114","84880"
"RIC","2007-10-24","115","115","115","115","88830"
"RIC","2007-10-25","116","115","115","115","56380"
"RIC","2007-10-26","114","115","113","115","91740"
"RIC","2007-10-29","112","112","112","112","42800"
"RIC","2007-10-30","111","110","110","110","50510"
"RIC","2007-10-31","109","110","109","109","43810"
"RIC","2007-11-01","104","106","104","105","246480"
"RIC","2007-11-02","100","102","100","100","149720"
"RIC","2007-11-05","95","95","95","95","52500"
"RIC","2007-11-06","90.5","99.5","90.5","99.5","131620"
"RIC","2007-11-07","98","98","95","95","52700"
"RIC","2007-11-08","95","95","93","93","26380"
"RIC","2007-11-09","90","91.5","90","90","44050"
"RIC","2007-11-12","91.5","93","90","90","71510"
"RIC","2007-11-13","90","90","87","87","54160"
"RIC","2007-11-14","91","91","85","91","48990"
"RIC","2007-11-15","90.5","90.5","88","88","39970"
"RIC","2007-11-16","88.5","90","88","90","35380"
"RIC","2007-11-19","88","90","88","89.5","15440"
"RIC","2007-11-20","87.5","88","87","87","17620"
"RIC","2007-11-21","84","85","83.5","84","41060"
"RIC","2007-11-22","84","85","83.5","84","28480"
"RIC","2007-11-23","84","84","83.5","84","15180"
"RIC","2007-11-26","84.5","84.5","83","84","31250"
"RIC","2007-11-27","85.5","86","84.5","85","25300"
"RIC","2007-11-28","85","86","84.5","85","31810"
"RIC","2007-11-29","85","85","84.5","84.5","22630"
"RIC","2007-11-30","84.5","84.5","84","84","27410"
"RIC","2007-12-03","84","85","84","85","11220"
"RIC","2007-12-04","87.5","87.5","86","87","41190"
"RIC","2007-12-05","86","87","85.5","86","20770"
