symbol,date,open,high,low,close,volume,year,month,week,weekday
"S96","2008-01-09","170","170","48","70","57200","2008","01","2","Wednesday"
"S96","2008-01-10","73","73","63.8","69","72000","2008","01","2","Thursday"
"S96","2008-01-11","73","73.1","72.5","73.1","68000","2008","01","2","Friday"
"S96","2008-01-14","80.4","80.4","73","78","94500","2008","01","3","Monday"
"S96","2008-01-15","78","78","72.8","75.5","74300","2008","01","3","Tuesday"
"S96","2008-01-16","75","81.7","75","81.7","111400","2008","01","3","Wednesday"
"S96","2008-01-17","89.3","89.3","78.5","84.5","92300","2008","01","3","Thursday"
"S96","2008-01-18","84.5","92.7","81","92.7","140300","2008","01","3","Friday"
"S96","2008-01-21","98.4","98.4","97","98.4","66200","2008","01","4","Monday"
"S96","2008-01-22","107.9","107.9","107","107.9","54900","2008","01","4","Tuesday"
"S96","2008-01-23","118.6","118.6","100.1","110","146200","2008","01","4","Wednesday"
"S96","2008-01-24","118","118","101.4","101.4","58600","2008","01","4","Thursday"
"S96","2008-01-25","94.9","105","94.9","96","98800","2008","01","4","Friday"
"S96","2008-01-28","100","100","88.5","91.9","63700","2008","01","5","Monday"
"S96","2008-01-29","87","100.9","87","96","106400","2008","01","5","Tuesday"
"S96","2008-01-30","101.9","104.1","101.9","104.1","102700","2008","01","5","Wednesday"
"S96","2008-01-31","111","111","98","103.9","38800","2008","01","5","Thursday"
"S96","2008-02-01","100","105","97.2","100.9","100500","2008","02","5","Friday"
"S96","2008-02-12","101.6","102","91.5","91.5","57900","2008","02","7","Tuesday"
"S96","2008-02-13","88","92.3","86","88","40100","2008","02","7","Wednesday"
"S96","2008-02-14","90","92","86.7","89","32100","2008","02","7","Thursday"
"S96","2008-02-15","89","89","84","85.1","31100","2008","02","7","Friday"
"S96","2008-02-18","82.1","82.5","78","79.1","52100","2008","02","8","Monday"
"S96","2008-02-19","80","85","78","80","48600","2008","02","8","Tuesday"
"S96","2008-02-20","82.4","82.4","73.7","74","26300","2008","02","8","Wednesday"
"S96","2008-02-21","72","73.5","69.3","69.3","37200","2008","02","8","Thursday"
"S96","2008-02-22","70.3","74","62.8","67","83500","2008","02","8","Friday"
"S96","2008-02-25","68","71","68","71","19200","2008","02","9","Monday"
"S96","2008-02-26","77","77.8","65","68","68100","2008","02","9","Tuesday"
"S96","2008-02-27","71","73","67","71","19700","2008","02","9","Wednesday"
"S96","2008-02-28","73.9","75","68","72","48500","2008","02","9","Thursday"
"S96","2008-02-29","70","70","67","70","26300","2008","02","9","Friday"
"S96","2008-03-03","68.5","68.5","61.4","61.4","34400","2008","03","10","Monday"
"S96","2008-03-04","57","57","56.5","56.5","14000","2008","03","10","Tuesday"
"S96","2008-03-05","50.9","53.8","50.9","53.1","59200","2008","03","10","Wednesday"
"S96","2008-03-06","56","56.7","56","56.7","4600","2008","03","10","Thursday"
"S96","2008-03-07","62.3","62.3","62.3","62.3","3100","2008","03","10","Friday"
"S96","2008-03-10","68.5","68.5","61.5","63","68500","2008","03","11","Monday"
"S96","2008-03-11","60.5","61.5","59","59","40800","2008","03","11","Tuesday"
"S96","2008-03-12","55","65.3","53.6","61","54400","2008","03","11","Wednesday"
"S96","2008-03-13","63","63","60","61.5","19700","2008","03","11","Thursday"
"S96","2008-03-14","60","60","58","58.4","26600","2008","03","11","Friday"
"S96","2008-03-17","56","56","53.1","53.1","21900","2008","03","12","Monday"
"S96","2008-03-18","48.7","48.7","48.2","48.2","32000","2008","03","12","Tuesday"
"S96","2008-03-19","52","53","44.6","48","45500","2008","03","12","Wednesday"
"S96","2008-03-20","49","52","45.5","45.5","32700","2008","03","12","Thursday"
"S96","2008-03-21","47","47","44","44","16100","2008","03","12","Friday"
"S96","2008-03-24","40.3","40.3","40.2","40.2","3800","2008","03","13","Monday"
"S96","2008-03-25","36.2","36.2","36.2","36.2","10200","2008","03","13","Tuesday"
"S96","2008-03-26","32.6","38.8","32.6","36","25800","2008","03","13","Wednesday"
"S96","2008-03-27","36","36.7","36","36.7","6800","2008","03","13","Thursday"
"S96","2008-03-28","36.8","36.8","36.8","36.8","1300","2008","03","13","Friday"
"S96","2008-03-31","37.5","37.5","37.5","37.5","7600","2008","03","14","Monday"
"S96","2008-04-01","38.2","38.2","38.2","38.2","9500","2008","04","14","Tuesday"
"S96","2008-04-02","38.9","38.9","38.9","38.9","200","2008","04","14","Wednesday"
"S96","2008-04-03","39.6","39.6","39.6","39.6","100","2008","04","14","Thursday"
"S96","2008-04-04","40.3","40.3","40.3","40.3","100","2008","04","14","Friday"
"S96","2008-04-07","41.5","41.5","41.5","41.5","13700","2008","04","15","Monday"
"S96","2008-04-08","42.7","42.7","40.3","42.5","46700","2008","04","15","Tuesday"
"S96","2008-04-09","41","41","40.8","40.8","3400","2008","04","15","Wednesday"
"S96","2008-04-11","39.7","39.7","39.7","39.7","3000","2008","04","15","Friday"
"S96","2008-04-16","38.6","38.6","38.6","38.6","500","2008","04","16","Wednesday"
"S96","2008-04-17","37.5","39.7","37.5","39","69400","2008","04","16","Thursday"
"S96","2008-04-18","38.9","38.9","36.9","36.9","27000","2008","04","16","Friday"
"S96","2008-04-21","35.9","37.8","35.9","35.9","14600","2008","04","17","Monday"
"S96","2008-04-22","34.9","34.9","34.9","34.9","5600","2008","04","17","Tuesday"
"S96","2008-04-23","33.9","33.9","33.9","33.9","300","2008","04","17","Wednesday"
"S96","2008-04-24","32.9","32.9","32.9","32.9","7800","2008","04","17","Thursday"
"S96","2008-04-25","32","32","32","32","1900","2008","04","17","Friday"
"S96","2008-04-28","31.1","31.1","31.1","31.1","1000","2008","04","18","Monday"
"S96","2008-04-29","30.2","30.2","30.2","30.2","800","2008","04","18","Tuesday"
"S96","2008-05-05","29.3","29.3","29.3","29.3","200","2008","05","19","Monday"
"S96","2008-05-06","28.5","28.5","28.5","28.5","10000","2008","05","19","Tuesday"
"S96","2008-05-07","27.7","27.7","27.7","27.7","100","2008","05","19","Wednesday"
"S96","2008-05-09","26.9","26.9","26.9","26.9","200","2008","05","19","Friday"
"S96","2008-05-13","26.1","26.1","26.1","26.1","100","2008","05","20","Tuesday"
"S96","2008-05-15","25.4","25.4","25.4","25.4","100","2008","05","20","Thursday"
"S96","2008-05-16","24.7","24.7","24.7","24.7","1100","2008","05","20","Friday"
"S96","2008-05-19","24","24","24","24","100","2008","05","21","Monday"
"S96","2008-05-20","23.3","23.3","23.3","23.3","100","2008","05","21","Tuesday"
"S96","2008-05-23","23.9","23.9","22.7","22.7","200","2008","05","21","Friday"
"S96","2008-05-26","22.7","22.7","22.7","22.7","100","2008","05","22","Monday"
"S96","2008-05-28","22.1","22.1","22.1","22.1","600","2008","05","22","Wednesday"
"S96","2008-05-29","20","20","20","20","100","2008","05","22","Thursday"
"S96","2008-05-30","19.4","19.4","19.4","19.4","100","2008","05","22","Friday"
"S96","2008-06-05","18.9","18.9","18.9","18.9","100","2008","06","23","Thursday"
"S96","2008-06-06","18.4","18.4","18.4","18.4","100","2008","06","23","Friday"
"S96","2008-06-10","17.9","17.9","17.9","17.9","100","2008","06","24","Tuesday"
"S96","2008-06-11","17.4","18.1","17.4","17.4","80800","2008","06","24","Wednesday"
"S96","2008-06-12","17","17.5","17","17.5","73400","2008","06","24","Thursday"
"S96","2008-06-13","17.5","17.6","17.3","17.6","31400","2008","06","24","Friday"
"S96","2008-06-16","18.1","18.1","18.1","18.1","11800","2008","06","25","Monday"
"S96","2008-06-17","18.6","18.6","18.6","18.6","34700","2008","06","25","Tuesday"
"S96","2008-06-18","19.1","19.1","18.1","18.1","18300","2008","06","25","Wednesday"
"S96","2008-06-19","18.2","18.2","18.2","18.2","200","2008","06","25","Thursday"
"S96","2008-06-20","17.5","17.5","17.5","17.5","1000","2008","06","25","Friday"
"S96","2008-06-23","16.8","16.8","16.8","16.8","22100","2008","06","26","Monday"
"S96","2008-06-24","16.2","16.9","16.2","16.5","62300","2008","06","26","Tuesday"
"S96","2008-06-25","16","16.7","15.9","16.7","19200","2008","06","26","Wednesday"
"S96","2008-06-26","17","17","15.9","15.9","16600","2008","06","26","Thursday"
"S96","2008-06-27","16.1","16.1","15.5","15.8","10600","2008","06","26","Friday"
"S96","2008-06-30","15.1","16","15.1","15.7","28800","2008","06","27","Monday"
"S96","2008-07-01","15.4","16","15.4","16","22700","2008","07","27","Tuesday"
"S96","2008-07-02","16.6","16.6","16","16.6","56200","2008","07","27","Wednesday"
"S96","2008-07-03","17.1","17.1","17","17.1","18500","2008","07","27","Thursday"
