symbol,date,open,high,low,close,volume
"SBL","2017-01-23","15.01","15.01","15.01","15.01","100"
"SBL","2017-01-24","17.21","17.21","17.21","17.21","100"
"SBL","2017-01-25","19.73","19.73","19.73","19.73","1100"
"SBL","2017-02-02","22.07","22.07","22.07","22.07","2100"
"SBL","2017-02-03","22.07","23.33","22.07","23.33","7400"
"SBL","2017-02-06","22.13","22.13","22.07","22.07","3300"
"SBL","2017-02-08","18.92","20.81","18.92","20.81","700"
"SBL","2017-02-09","21.44","21.44","17.34","20.49","900"
"SBL","2017-02-10","20.81","20.81","17.21","17.21","700"
"SBL","2017-02-13","19.86","20.49","19.86","20.49","2500"
"SBL","2017-02-14","19.55","19.55","18.03","18.03","200"
"SBL","2017-02-15","16.71","19.42","16.71","19.42","200"
"SBL","2017-02-16","18.35","18.35","18.35","18.35","5000"
"SBL","2017-02-17","18.35","18.35","18.35","18.35","1600"
"SBL","2017-02-21","17.97","17.97","17.97","17.97","4000"
"SBL","2017-03-01","19.6","19.6","19.6","19.6","2000"
"SBL","2017-03-02","21.57","21.57","21.57","21.57","500"
"SBL","2017-03-03","18.63","21.57","18.63","21.57","2200"
"SBL","2017-03-06","21.24","21.24","21.24","21.24","200"
"SBL","2017-03-07","21.24","21.24","21.24","21.24","200"
"SBL","2017-03-08","21.24","21.24","21.24","21.24","100"
"SBL","2017-03-16","21.83","21.83","18.36","18.36","1300"
"SBL","2017-03-20","19.15","19.15","18.17","18.17","8400"
"SBL","2017-03-22","18.93","18.93","18.93","18.93","100"
"SBL","2017-03-27","17.71","17.71","17.71","17.71","400"
"SBL","2017-04-26","17.97","17.97","17.97","17.97","5000"
"SBL","2017-04-27","17.97","17.97","17.97","17.97","2000"
"SBL","2017-05-03","16.66","16.66","16.66","16.66","2000"
"SBL","2017-05-04","16.66","16.73","16.66","16.66","3000"
"SBL","2017-05-05","16.34","16.34","16.34","16.34","7500"
"SBL","2017-05-11","15.36","16.34","15.36","16.34","3000"
