symbol,date,open,high,low,close,volume
"SBV","2017-05-16","22.11","22.11","22.11","22.11","421800"
"SBV","2017-05-17","23.64","23.64","22.11","23.5","45330"
"SBV","2017-05-18","23.5","23.5","22.11","23.27","9120"
"SBV","2017-05-19","21.65","21.88","21.65","21.65","129870"
"SBV","2017-05-22","20.27","20.73","20.16","20.16","99560"
"SBV","2017-05-23","18.93","18.93","18.75","18.75","230970"
"SBV","2017-05-24","18.2","20.04","18.2","20.04","23270"
"SBV","2017-05-25","21.38","21.38","20.13","20.13","28490"
"SBV","2017-05-26","19.81","20.13","19.12","19.17","47220"
"SBV","2017-05-29","19.17","19.35","18.43","19.17","50040"
"SBV","2017-05-30","18.52","19.17","18.48","19.07","15360"
"SBV","2017-05-31","19.12","19.3","19.12","19.26","17350"
"SBV","2017-06-01","19.12","19.21","18.93","18.98","16340"
"SBV","2017-06-02","19.77","19.77","18.93","18.98","13830"
"SBV","2017-06-05","18.93","19.03","18.43","18.89","7770"
"SBV","2017-06-06","18.52","18.75","18.43","18.75","35700"
"SBV","2017-06-07","18.8","18.8","18.48","18.8","24920"
"SBV","2017-06-08","18.48","18.66","18.48","18.48","7550"
"SBV","2017-06-09","18.89","18.89","18.43","18.61","6330"
"SBV","2017-06-12","18.61","18.61","18.43","18.43","14610"
"SBV","2017-06-13","18.84","18.84","18.43","18.66","27010"
"SBV","2017-06-14","18.43","19.81","18.43","19.4","33130"
"SBV","2017-06-15","19.77","19.77","19.26","19.67","30530"
"SBV","2017-06-16","19.58","20.27","19.49","19.95","31930"
"SBV","2017-06-19","19.95","20.5","19.95","20.5","49890"
"SBV","2017-06-20","20.73","21.42","20.73","21.15","15370"
"SBV","2017-06-21","21.19","21.19","20.64","20.64","14860"
"SBV","2017-06-22","20.96","20.96","20.64","20.73","34930"
"SBV","2017-06-23","20.73","21.19","20.39","20.46","36590"
"SBV","2017-06-26","20.41","20.87","20.41","20.73","33950"
"SBV","2017-06-27","20.55","20.87","20.5","20.69","30210"
"SBV","2017-06-28","20.46","20.73","20.27","20.69","43400"
"SBV","2017-06-29","19.86","20.78","19.86","20.23","23440"
"SBV","2017-06-30","20.32","20.32","20.09","20.27","30990"
"SBV","2017-07-03","21.1","21.1","20.36","20.73","54760"
"SBV","2017-07-04","21.45","21.65","20.97","21.45","30310"
"SBV","2017-07-05","21.7","21.7","20.78","21.16","30120"
"SBV","2017-07-06","21.16","21.45","21.16","21.45","31140"
"SBV","2017-07-07","21.21","21.5","21.21","21.5","1110"
"SBV","2017-07-10","21.41","21.45","20.97","21.02","28590"
"SBV","2017-07-11","21.12","21.12","20.78","20.92","20470"
"SBV","2017-07-12","20.92","21.02","20.73","20.83","26490"
"SBV","2017-07-13","20.83","20.88","20.01","20.71","20620"
"SBV","2017-07-14","20.97","20.97","20.15","20.71","19180"
"SBV","2017-07-17","20.68","20.71","20.49","20.71","24010"
"SBV","2017-07-18","20.71","20.71","20.2","20.59","22010"
"SBV","2017-07-19","20.59","20.73","19.29","20.47","20050"
"SBV","2017-07-20","20.47","20.47","19.19","20.01","21140"
"SBV","2017-07-21","20.01","20.73","19.57","20.73","26940"
"SBV","2017-07-24","20.64","20.64","19.77","19.94","19990"
"SBV","2017-07-25","20.49","20.49","20.1","20.25","25250"
"SBV","2017-07-26","20.25","20.59","19.91","20.25","31030"
"SBV","2017-07-27","20.01","20.25","20.01","20.01","29650"
"SBV","2017-07-28","20.01","20.35","20.01","20.35","33950"
"SBV","2017-07-31","20.3","20.44","20.03","20.35","19950"
"SBV","2017-08-01","20.44","20.49","20.25","20.25","48950"
"SBV","2017-08-02","20.25","20.35","20.15","20.25","55060"
"SBV","2017-08-03","20.25","20.25","20.2","20.2","21600"
"SBV","2017-08-04","20.35","20.35","20.06","20.15","98450"
"SBV","2017-08-07","20.13","20.15","18.85","18.85","41840"
"SBV","2017-08-08","19.53","20.01","19.53","19.72","19250"
"SBV","2017-08-09","19.7","19.7","19.29","19.7","19920"
"SBV","2017-08-10","19.7","19.7","19.29","19.67","21340"
"SBV","2017-08-11","19.67","19.67","19.29","19.43","25560"
"SBV","2017-08-14","19.77","20.2","19.43","19.77","25620"
"SBV","2017-08-15","20.2","20.2","19.67","20.08","29540"
"SBV","2017-08-16","20.2","20.2","20.08","20.08","29550"
"SBV","2017-08-17","20.08","20.1","19.86","19.94","22580"
"SBV","2017-08-18","19.94","19.96","19.89","19.89","21690"
"SBV","2017-08-21","20.2","20.2","19.82","20.01","30570"
"SBV","2017-08-22","20.2","20.25","19.98","20.06","37020"
"SBV","2017-08-23","20.2","20.2","20.01","20.1","38880"
"SBV","2017-08-24","20.18","20.18","20.1","20.18","35190"
"SBV","2017-08-25","20.23","20.25","19.77","20.15","26190"
"SBV","2017-08-28","20.25","20.25","20.06","20.2","38810"
"SBV","2017-08-29","20.1","20.73","20.06","20.73","156560"
"SBV","2017-08-30","21.19","21.19","20.73","20.73","31260"
"SBV","2017-08-31","21.05","21.16","20.95","20.97","32370"
"SBV","2017-09-01","21.26","21.26","20.59","21.02","30120"
"SBV","2017-09-05","20.25","20.92","20.2","20.66","29750"
"SBV","2017-09-06","20.73","20.73","20.25","20.49","29040"
"SBV","2017-09-07","20.3","20.66","20.3","20.56","51000"
"SBV","2017-09-08","20.64","20.68","20.59","20.66","50500"
"SBV","2017-09-11","20.66","20.66","20.25","20.25","32690"
"SBV","2017-09-12","20.3","20.64","20.25","20.64","40910"
"SBV","2017-09-13","20.64","20.64","20.39","20.64","38850"
"SBV","2017-09-14","20.56","21.16","20.56","21.07","48990"
"SBV","2017-09-15","21.12","22.54","21.12","22.54","55840"
"SBV","2017-09-18","22.66","22.66","22.37","22.61","30570"
"SBV","2017-09-19","22.61","22.8","22.42","22.66","39740"
"SBV","2017-09-20","22.47","22.66","22.18","22.18","39380"
"SBV","2017-09-21","21.84","22.32","21.55","22.03","35980"
"SBV","2017-09-22","22.18","22.59","21.94","21.94","31150"
"SBV","2017-09-25","22.06","22.56","21.45","22.47","31520"
"SBV","2017-09-26","21.84","22.56","21.84","22.37","33640"
"SBV","2017-09-27","22.64","22.64","21.84","22.35","30170"
"SBV","2017-09-28","22.08","22.35","21.98","22.15","30190"
"SBV","2017-09-29","22.03","22.42","21.5","22.42","32460"
"SBV","2017-10-02","22.08","22.47","21.94","22.27","30260"
"SBV","2017-10-03","22.27","22.42","22.18","22.18","30810"
"SBV","2017-10-04","22.23","22.66","21.7","22.56","60120"
"SBV","2017-10-05","22.56","22.61","22.52","22.52","36980"
"SBV","2017-10-06","22.52","23.91","22.52","23.72","130940"
"SBV","2017-10-09","23.72","23.86","22.9","23.5","56540"
"SBV","2017-10-10","22.9","23.86","22.9","23.72","57790"
"SBV","2017-10-11","23.72","23.72","23.24","23.43","50290"
"SBV","2017-10-12","23.38","23.58","23.19","23.48","49740"
"SBV","2017-10-13","23.29","23.62","23.29","23.43","49770"
"SBV","2017-10-16","23.24","23.43","23.09","23.09","49380"
"SBV","2017-10-17","23.14","23.38","23.14","23.29","50740"
"SBV","2017-10-18","23.24","23.53","23.14","23.43","66380"
"SBV","2017-10-19","23.29","23.58","23.29","23.55","45090"
"SBV","2017-10-20","23.38","23.62","23.38","23.58","47830"
"SBV","2017-10-23","23.43","23.55","23.05","23.14","46890"
"SBV","2017-10-24","23.05","23.17","22.9","23.09","48460"
"SBV","2017-10-25","23.14","23.24","23","23.09","49370"
"SBV","2017-10-26","23.05","23.09","22.9","23","46530"
"SBV","2017-10-27","23","23.14","23","23.12","44990"
"SBV","2017-10-30","23.12","23.12","22.52","22.66","59970"
"SBV","2017-10-31","22.85","22.85","21.98","22.08","51210"
"SBV","2017-11-01","22.13","22.23","22.08","22.18","42490"
"SBV","2017-11-02","22.18","22.27","22.03","22.18","42130"
"SBV","2017-11-03","22.08","22.15","21.7","21.89","40830"
"SBV","2017-11-06","21.89","21.89","21.55","21.7","43730"
"SBV","2017-11-07","21.65","21.79","21.55","21.74","54070"
"SBV","2017-11-08","21.65","22.37","21.65","22.2","40030"
"SBV","2017-11-09","22.2","22.61","22.2","22.42","52690"
"SBV","2017-11-10","22.27","22.47","22.23","22.47","403600"
"SBV","2017-11-13","21.98","22.61","21.98","22.27","46370"
"SBV","2017-11-14","22.23","22.37","22.15","22.18","47950"
"SBV","2017-11-15","22.18","22.27","21.98","22.27","50170"
"SBV","2017-11-16","22.18","22.23","22.03","22.08","24750"
"SBV","2017-11-17","22.18","22.18","21.91","22.01","21300"
"SBV","2017-11-20","21.89","22.08","21.89","21.98","17610"
"SBV","2017-11-21","21.98","22.08","21.94","22.01","18450"
"SBV","2017-11-22","22.01","22.15","21.94","22.15","20140"
"SBV","2017-11-23","22.18","22.23","21.6","21.89","29610"
"SBV","2017-11-24","21.84","21.98","21.55","21.89","20090"
"SBV","2017-11-27","21.84","22.13","21.55","22.13","34710"
"SBV","2017-11-28","22.43","22.73","22.23","22.73","23360"
"SBV","2017-11-29","22.73","23.43","22.63","23.43","100900"
"SBV","2017-11-30","23.38","23.97","23.23","23.97","65750"
"SBV","2017-12-01","23.68","23.92","23.43","23.57","20810"
"SBV","2017-12-04","23.63","23.68","23.43","23.68","14750"
"SBV","2017-12-05","23.48","23.87","23.43","23.87","21170"
"SBV","2017-12-06","23.92","23.92","23.68","23.82","12850"
"SBV","2017-12-07","23.82","23.82","23.77","23.82","10470"
"SBV","2017-12-08","24.02","24.17","23.68","24.17","32570"
"SBV","2017-12-11","24.02","24.07","23.92","23.97","10060"
"SBV","2017-12-12","24.07","24.07","23.68","23.87","18490"
"SBV","2017-12-13","24.02","24.02","23.18","23.18","25820"
"SBV","2017-12-14","23.82","23.92","23.82","23.92","2170"
"SBV","2017-12-15","23.92","24.02","23.92","23.97","9810"
"SBV","2017-12-18","24.02","24.07","23.92","23.92","6830"
"SBV","2017-12-19","23.97","23.97","23.92","23.92","14620"
"SBV","2017-12-20","24.39","24.39","23.92","23.92","25730"
"SBV","2017-12-21","24.12","24.12","23.92","23.92","15130"
"SBV","2017-12-22","23.33","23.92","23.33","23.92","1910"
"SBV","2017-12-25","23.92","23.92","23.86","23.86","5000"
"SBV","2017-12-26","23.92","23.92","23.43","23.86","2430"
"SBV","2017-12-27","23.86","23.86","23.46","23.46","3520"
"SBV","2017-12-28","23.43","23.46","23.43","23.46","5980"
"SBV","2017-12-29","23.66","23.86","23.46","23.59","3160"
"SBV","2018-01-02","23.59","23.59","23.43","23.43","19900"
"SBV","2018-01-03","23.43","23.56","23.26","23.43","33910"
"SBV","2018-01-04","23.43","23.46","23.19","23.33","32920"
"SBV","2018-01-05","23.26","23.33","23.06","23.33","37810"
"SBV","2018-01-08","23.19","23.59","22.59","22.66","50830"
"SBV","2018-01-09","22.79","22.79","22.59","22.66","50580"
"SBV","2018-01-10","22.79","23.26","22.66","23.26","86060"
"SBV","2018-01-11","23.26","23.52","23.26","23.52","84040"
