symbol,date,open,high,low,close,volume
"SC5","2007-10-18","63.2","63.2","63.2","63.2","5100"
"SC5","2007-10-19","66.17","66.17","66.17","66.17","16630"
"SC5","2007-10-26","83.94","83.94","83.94","83.94","169820"
"SC5","2007-10-31","77.03","79","77.03","78.34","110460"
"SC5","2007-11-01","78.34","79.33","78.34","79","150260"
"SC5","2007-11-02","79.99","79.99","78.02","78.02","65440"
"SC5","2007-11-06","71.43","73.08","71.1","71.1","250620"
"SC5","2007-11-07","69.79","70.77","68.14","68.14","335550"
"SC5","2007-11-08","70.77","71.43","70.44","71.43","157790"
"SC5","2007-11-09","74.72","74.72","72.42","74.72","449940"
"SC5","2007-11-12","72.42","74.06","71.43","72.09","106590"
"SC5","2007-11-13","69.46","70.11","68.8","68.8","135850"
"SC5","2007-11-14","71.76","72.09","70.11","71.76","190580"
"SC5","2007-11-15","69.46","70.11","68.8","70.11","143400"
"SC5","2007-11-16","69.46","70.11","69.46","69.79","105200"
"SC5","2007-11-19","70.44","70.44","69.13","69.46","95140"
"SC5","2007-11-20","69.46","69.46","68.47","68.47","154120"
"SC5","2007-11-21","67.81","68.14","67.15","68.14","92000"
"SC5","2007-11-22","68.47","69.13","68.14","68.14","73380"
"SC5","2007-11-23","67.48","68.14","66.82","67.15","133090"
"SC5","2007-11-26","68.8","68.8","67.81","68.47","197140"
"SC5","2007-11-27","68.8","69.46","67.81","67.81","202790"
"SC5","2007-11-28","67.81","68.8","67.81","68.8","125810"
"SC5","2007-11-29","69.13","69.46","68.47","68.8","75880"
"SC5","2007-11-30","68.14","68.47","68.14","68.14","42320"
"SC5","2007-12-03","68.14","68.47","67.81","68.14","102960"
"SC5","2007-12-04","68.8","68.8","68.14","68.14","123690"
"SC5","2007-12-05","68.14","68.14","67.48","67.48","89100"
"SC5","2007-12-06","67.48","67.48","67.15","67.15","82150"
"SC5","2007-12-07","66.82","67.15","66.49","66.82","126950"
"SC5","2007-12-10","65.84","66.17","64.19","64.52","132200"
"SC5","2007-12-11","64.52","64.52","61.89","62.54","272030"
"SC5","2007-12-12","61.89","64.52","61.89","63.2","130440"
"SC5","2007-12-13","62.54","63.2","61.89","61.89","122680"
"SC5","2007-12-14","61.56","61.56","60.9","60.9","89880"
"SC5","2007-12-17","58.27","58.92","57.94","57.94","278070"
"SC5","2007-12-18","55.96","56.29","55.3","55.96","222860"
"SC5","2007-12-19","58.59","58.59","58.59","58.59","48580"
"SC5","2007-12-20","61.23","61.23","58.59","59.58","230990"
"SC5","2007-12-21","59.25","60.9","59.25","60.57","82260"
"SC5","2007-12-24","60.24","60.24","59.25","59.58","80700"
"SC5","2007-12-25","57.94","59.25","57.94","58.59","55660"
"SC5","2007-12-26","59.58","59.58","58.59","59.58","78380"
"SC5","2007-12-27","59.25","59.91","58.92","58.92","77300"
"SC5","2007-12-28","58.92","59.25","58.92","59.25","63000"
"SC5","2008-01-02","59.25","60.24","59.25","59.25","29850"
"SC5","2008-01-03","57.94","59.25","57.94","58.27","38990"
"SC5","2008-01-04","57.94","58.27","57.61","57.61","45910"
"SC5","2008-01-07","57.28","57.28","55.3","56.62","53550"
"SC5","2008-01-08","57.94","58.27","57.28","57.28","53200"
"SC5","2008-01-09","57.28","57.28","56.29","56.29","58360"
"SC5","2008-01-10","54.64","54.97","53.98","54.97","98610"
"SC5","2008-01-11","54.64","55.96","54.31","55.3","76270"
"SC5","2008-01-14","55.3","55.63","53.66","53.66","73010"
"SC5","2008-01-15","51.35","51.68","51.02","51.35","95990"
"SC5","2008-01-16","53.66","53.66","53.33","53.66","139920"
"SC5","2008-01-17","54.31","54.31","51.68","52.67","91190"
"SC5","2008-01-18","52.01","54.64","52.01","54.31","44130"
"SC5","2008-01-21","54.64","54.64","53.66","53.66","93710"
"SC5","2008-01-22","52.01","52.67","52.01","52.34","66030"
"SC5","2008-01-23","51.02","51.35","50.03","50.03","116680"
"SC5","2008-01-25","48.06","50.03","48.06","49.38","64820"
"SC5","2008-01-28","49.38","49.38","48.72","49.05","30710"
"SC5","2008-01-29","49.38","51.35","49.05","51.35","102150"
"SC5","2008-01-30","53.66","53.66","53.66","53.66","81540"
"SC5","2008-01-31","52.67","55.3","52.67","55.3","130090"
"SC5","2008-02-01","56.95","56.95","55.63","56.62","94830"
"SC5","2008-02-12","55.96","55.96","53.98","53.98","34480"
"SC5","2008-02-13","53.98","53.98","52.34","52.34","62000"
"SC5","2008-02-14","52.67","53.66","52.67","53","62550"
"SC5","2008-02-15","52.34","53","52.01","52.67","60590"
"SC5","2008-02-18","50.36","51.02","50.03","50.36","127060"
"SC5","2008-02-19","50.36","50.69","50.03","50.36","54770"
"SC5","2008-02-20","49.38","49.38","48.06","48.06","112780"
"SC5","2008-02-21","45.76","45.76","45.76","45.76","10710"
"SC5","2008-02-22","43.78","43.78","43.78","43.78","77790"
"SC5","2008-02-25","45.76","45.76","45.1","45.76","70060"
"SC5","2008-02-26","43.78","45.76","43.78","43.78","56270"
"SC5","2008-02-27","41.81","43.78","41.81","41.81","58700"
"SC5","2008-02-28","40.49","40.82","39.83","39.83","68000"
"SC5","2008-02-29","37.86","37.86","37.86","37.86","10840"
"SC5","2008-03-03","36.21","36.21","36.21","36.21","5990"
"SC5","2008-03-04","34.56","34.56","34.56","34.56","690"
"SC5","2008-03-05","32.92","32.92","32.92","32.92","2570"
"SC5","2008-03-06","34.56","34.56","34.56","34.56","184990"
"SC5","2008-03-07","36.21","36.21","34.56","36.21","275950"
"SC5","2008-03-10","37.86","37.86","34.56","34.56","133280"
"SC5","2008-03-11","32.92","33.25","32.92","32.92","68640"
"SC5","2008-03-12","32.26","34.23","31.6","32.26","81150"
"SC5","2008-03-13","32.42","32.92","31.11","31.77","68140"
"SC5","2008-03-14","30.61","31.44","30.28","30.94","114790"
"SC5","2008-03-17","29.46","29.46","29.46","29.46","22490"
"SC5","2008-03-18","28.14","28.14","28.14","28.14","2780"
"SC5","2008-03-19","26.83","27.82","26.83","26.83","143720"
"SC5","2008-03-20","25.51","25.51","25.51","25.51","4440"
"SC5","2008-03-21","24.36","24.36","24.36","24.36","1780"
