symbol,date,open,high,low,close,volume,year,month,week,weekday
"SCD","2006-12-25","41.88","41.88","41.88","41.88","10","2006","12","52","Monday"
"SCD","2006-12-26","39.79","39.79","39.79","39.79","3050","2006","12","52","Tuesday"
"SCD","2006-12-27","39.79","39.79","39.79","39.79","60","2006","12","52","Wednesday"
"SCD","2006-12-28","39.79","39.79","38.04","38.04","20","2006","12","52","Thursday"
"SCD","2006-12-29","38.04","38.04","36.3","36.3","70","2006","12","52","Friday"
"SCD","2007-01-02","36.3","36.3","34.48","34.48","10","2007","01","1","Tuesday"
"SCD","2007-01-03","34.48","34.48","32.81","32.81","170","2007","01","1","Wednesday"
"SCD","2007-01-04","31.2","31.2","31.2","31.2","5520","2007","01","1","Thursday"
"SCD","2007-01-05","30.36","30.36","29.67","29.67","7500","2007","01","1","Friday"
"SCD","2007-01-08","28.2","28.2","28.2","28.2","16640","2007","01","2","Monday"
"SCD","2007-01-09","26.8","29.6","26.8","29.6","61640","2007","01","2","Tuesday"
"SCD","2007-01-10","31.06","31.06","31.06","31.06","4000","2007","01","2","Wednesday"
"SCD","2007-01-11","32.6","32.6","31.34","31.34","58010","2007","01","2","Thursday"
"SCD","2007-01-12","31.34","31.34","29.81","29.81","40960","2007","01","2","Friday"
"SCD","2007-01-15","29.88","29.88","29.39","29.39","40400","2007","01","3","Monday"
"SCD","2007-01-16","28.62","29.32","27.92","27.92","29900","2007","01","3","Tuesday"
"SCD","2007-01-17","27.92","27.92","26.52","26.52","47950","2007","01","3","Wednesday"
"SCD","2007-01-18","26.52","26.52","25.2","25.83","49260","2007","01","3","Thursday"
"SCD","2007-01-19","26.87","27.08","26.87","27.08","37160","2007","01","3","Friday"
"SCD","2007-01-22","28.41","28.41","28.41","28.41","22250","2007","01","4","Monday"
"SCD","2007-01-23","28.83","28.83","27.08","27.08","19890","2007","01","4","Tuesday"
"SCD","2007-01-24","27.08","27.08","26.52","26.52","25850","2007","01","4","Wednesday"
"SCD","2007-01-25","26.52","26.52","26.46","26.52","27010","2007","01","4","Thursday"
"SCD","2007-01-26","26.52","26.52","25.9","25.9","7830","2007","01","4","Friday"
"SCD","2007-01-29","26.18","27.15","26.18","27.15","7160","2007","01","5","Monday"
"SCD","2007-01-30","28.2","28.48","28.2","28.2","12400","2007","01","5","Tuesday"
"SCD","2007-01-31","27.22","27.92","27.22","27.92","10950","2007","01","5","Wednesday"
"SCD","2007-02-01","28.62","28.62","28.62","28.62","9880","2007","02","5","Thursday"
"SCD","2007-02-02","28.76","28.76","28.76","28.76","8160","2007","02","5","Friday"
"SCD","2007-02-05","29.67","30.16","29.67","30.16","34910","2007","02","6","Monday"
"SCD","2007-02-06","31.62","31.62","31.62","31.62","18430","2007","02","6","Tuesday"
"SCD","2007-02-07","33.16","33.16","33.16","33.16","8100","2007","02","6","Wednesday"
"SCD","2007-02-08","34.55","34.76","34.55","34.76","115710","2007","02","6","Thursday"
"SCD","2007-02-09","34.76","34.76","33.16","33.16","85960","2007","02","6","Friday"
"SCD","2007-02-12","34.76","34.76","33.51","33.51","75220","2007","02","7","Monday"
"SCD","2007-02-13","34.9","34.9","34.9","34.9","18730","2007","02","7","Tuesday"
"SCD","2007-02-14","36.3","36.65","36.3","36.65","6250","2007","02","7","Wednesday"
"SCD","2007-02-15","38.39","38.39","38.39","38.39","14600","2007","02","7","Thursday"
"SCD","2007-02-26","38.39","40.14","38.39","40.14","2000","2007","02","9","Monday"
"SCD","2007-02-27","41.88","41.88","41.88","41.88","7400","2007","02","9","Tuesday"
"SCD","2007-02-28","43.28","43.28","43.28","43.28","9450","2007","02","9","Wednesday"
"SCD","2007-03-01","45.37","45.37","45.37","45.37","15670","2007","03","9","Thursday"
"SCD","2007-03-02","47.47","47.47","47.47","47.47","57470","2007","03","9","Friday"
"SCD","2007-03-05","49.56","49.56","49.56","49.56","11030","2007","03","10","Monday"
"SCD","2007-03-06","52","52","52","52","28400","2007","03","10","Tuesday"
"SCD","2007-03-07","54.45","54.45","53.75","53.75","50900","2007","03","10","Wednesday"
"SCD","2007-03-08","53.75","53.75","51.31","51.31","41500","2007","03","10","Thursday"
"SCD","2007-03-09","48.86","51.31","48.86","51.31","54480","2007","03","10","Friday"
"SCD","2007-03-12","53.75","53.75","53.75","53.75","29840","2007","03","11","Monday"
"SCD","2007-03-13","56.19","56.19","56.19","56.19","15540","2007","03","11","Tuesday"
"SCD","2007-03-14","58.98","58.98","58.98","58.98","64790","2007","03","11","Wednesday"
"SCD","2007-03-15","56.19","56.19","56.19","56.19","1990","2007","03","11","Thursday"
"SCD","2007-03-16","53.75","56.19","53.75","56.19","37510","2007","03","11","Friday"
"SCD","2007-03-19","58.63","58.63","56.54","56.54","20490","2007","03","12","Monday"
"SCD","2007-03-20","53.75","53.75","53.75","53.75","14220","2007","03","12","Tuesday"
"SCD","2007-03-21","53.75","53.75","51.31","51.31","16740","2007","03","12","Wednesday"
"SCD","2007-03-22","51.31","51.31","48.86","48.86","7940","2007","03","12","Thursday"
"SCD","2007-03-23","46.42","46.42","46.42","46.42","13950","2007","03","12","Friday"
"SCD","2007-03-26","44.33","44.33","44.33","44.33","23280","2007","03","13","Monday"
"SCD","2007-03-27","43.28","43.28","42.23","42.23","9570","2007","03","13","Tuesday"
"SCD","2007-03-28","40.14","40.14","40.14","40.14","20970","2007","03","13","Wednesday"
"SCD","2007-03-29","40.14","41.88","40.14","41.88","40230","2007","03","13","Thursday"
"SCD","2007-03-30","43.98","43.98","43.98","43.98","19200","2007","03","13","Friday"
"SCD","2007-04-02","46.07","46.07","44.67","44.67","65320","2007","04","14","Monday"
"SCD","2007-04-03","42.58","45.37","42.58","45.37","28640","2007","04","14","Tuesday"
"SCD","2007-04-04","43.63","43.63","43.28","43.28","11260","2007","04","14","Wednesday"
"SCD","2007-04-05","44.67","44.67","43.28","43.28","29140","2007","04","14","Thursday"
"SCD","2007-04-06","41.18","41.18","41.18","41.18","16910","2007","04","14","Friday"
"SCD","2007-04-09","39.44","39.44","39.44","39.44","17600","2007","04","15","Monday"
"SCD","2007-04-10","37.69","38.04","37.69","38.04","15740","2007","04","15","Tuesday"
"SCD","2007-04-11","38.04","39.79","38.04","39.79","10110","2007","04","15","Wednesday"
"SCD","2007-04-12","39.79","39.79","38.39","38.39","8250","2007","04","15","Thursday"
"SCD","2007-04-13","38.39","38.39","36.65","36.65","8680","2007","04","15","Friday"
"SCD","2007-04-16","36.3","36.3","34.9","34.9","2880","2007","04","16","Monday"
"SCD","2007-04-17","33.16","33.16","33.16","33.16","6500","2007","04","16","Tuesday"
"SCD","2007-04-18","31.76","34.76","31.76","34.76","21030","2007","04","16","Wednesday"
"SCD","2007-04-19","35.6","35.6","34.9","34.9","33050","2007","04","16","Thursday"
"SCD","2007-04-20","33.16","33.16","33.16","33.16","10850","2007","04","16","Friday"
"SCD","2007-04-23","32.11","32.11","31.76","31.76","17900","2007","04","17","Monday"
"SCD","2007-04-24","30.5","31.41","30.5","31.41","10200","2007","04","17","Tuesday"
"SCD","2007-04-25","30.57","32.11","30.57","32.11","10190","2007","04","17","Wednesday"
"SCD","2007-05-02","32.81","32.81","32.81","32.81","3010","2007","05","18","Wednesday"
"SCD","2007-05-03","33.16","33.16","31.41","32.74","4180","2007","05","18","Thursday"
"SCD","2007-05-04","32.74","32.74","32.11","32.11","3100","2007","05","18","Friday"
"SCD","2007-05-07","33.72","33.72","32.81","32.81","5050","2007","05","19","Monday"
"SCD","2007-05-08","33.16","33.16","33.16","33.16","16240","2007","05","19","Tuesday"
"SCD","2007-05-09","33.51","33.51","32.81","32.81","4860","2007","05","19","Wednesday"
"SCD","2007-05-10","31.76","32.74","31.76","32.11","4200","2007","05","19","Thursday"
"SCD","2007-05-11","32.11","32.11","32.11","32.11","10900","2007","05","19","Friday"
"SCD","2007-05-14","33.72","33.72","33.72","33.72","12850","2007","05","20","Monday"
"SCD","2007-05-15","35.25","35.25","35.25","35.25","22060","2007","05","20","Tuesday"
"SCD","2007-05-16","35.6","35.6","35.25","35.25","8450","2007","05","20","Wednesday"
"SCD","2007-05-17","33.51","34.9","33.51","34.9","4610","2007","05","20","Thursday"
"SCD","2007-05-18","34.2","34.2","33.85","33.85","6900","2007","05","20","Friday"
"SCD","2007-05-21","33.16","33.85","33.16","33.85","7000","2007","05","21","Monday"
"SCD","2007-05-22","33.85","34.9","33.85","34.9","11230","2007","05","21","Tuesday"
"SCD","2007-05-23","36.65","36.65","36.65","36.65","30950","2007","05","21","Wednesday"
"SCD","2007-05-24","36.65","36.65","34.9","34.9","12810","2007","05","21","Thursday"
"SCD","2007-05-25","34.9","35.6","34.9","35.6","7470","2007","05","21","Friday"
"SCD","2007-05-28","35.6","35.95","35.6","35.95","13830","2007","05","22","Monday"
"SCD","2007-05-29","35.6","35.6","35.6","35.6","8160","2007","05","22","Tuesday"
"SCD","2007-05-30","34.9","34.9","34.9","34.9","9180","2007","05","22","Wednesday"
"SCD","2007-05-31","34.9","34.9","34.9","34.9","4820","2007","05","22","Thursday"
"SCD","2007-06-01","35.25","35.25","34.9","34.9","18420","2007","06","22","Friday"
"SCD","2007-06-04","34.9","34.9","34.2","34.2","2400","2007","06","23","Monday"
"SCD","2007-06-05","34.2","34.2","33.85","33.85","2400","2007","06","23","Tuesday"
"SCD","2007-06-06","32.81","33.51","32.81","33.51","6010","2007","06","23","Wednesday"
"SCD","2007-06-07","33.51","34.9","33.51","34.9","20000","2007","06","23","Thursday"
"SCD","2007-06-08","36.65","36.65","34.9","34.9","32900","2007","06","23","Friday"
"SCD","2007-06-11","34.9","34.9","34.2","34.2","4610","2007","06","24","Monday"
"SCD","2007-06-12","34.9","34.9","32.53","33.51","18430","2007","06","24","Tuesday"
"SCD","2007-06-13","34.06","34.06","33.51","34.06","9870","2007","06","24","Wednesday"
"SCD","2007-06-14","34.62","34.62","33.92","33.92","13000","2007","06","24","Thursday"
"SCD","2007-06-15","34.55","34.55","33.99","33.99","17690","2007","06","24","Friday"
"SCD","2007-06-18","35.25","35.25","33.99","33.99","37180","2007","06","25","Monday"
"SCD","2007-06-19","34.41","34.41","34.2","34.2","11000","2007","06","25","Tuesday"
"SCD","2007-06-20","34.9","34.9","34.2","34.55","16800","2007","06","25","Wednesday"
"SCD","2007-06-21","34.55","34.55","33.16","33.16","32420","2007","06","25","Thursday"
"SCD","2007-06-22","34.2","34.2","33.16","33.51","11750","2007","06","25","Friday"
"SCD","2007-06-25","33.51","33.78","33.16","33.16","25900","2007","06","26","Monday"
"SCD","2007-06-26","33.51","33.51","32.81","32.81","19650","2007","06","26","Tuesday"
"SCD","2007-06-27","32.81","32.81","32.11","32.11","11410","2007","06","26","Wednesday"
"SCD","2007-06-28","32.81","32.81","32.46","32.46","10810","2007","06","26","Thursday"
"SCD","2007-06-29","32.11","32.46","32.11","32.46","15860","2007","06","26","Friday"
"SCD","2007-07-02","31.41","31.41","31.41","31.41","13600","2007","07","27","Monday"
"SCD","2007-07-03","29.88","30.02","29.88","30.02","11100","2007","07","27","Tuesday"
