symbol,date,open,high,low,close,volume,year,month,week,weekday
"SCI","2014-06-30","4.36","4.36","3.79","3.79","5000","2014","06","27","Monday"
"SCI","2014-07-01","3.98","3.98","3.71","3.71","17000","2014","07","27","Tuesday"
"SCI","2014-07-02","3.41","3.41","3.37","3.37","16900","2014","07","27","Wednesday"
"SCI","2014-07-03","3.45","3.67","3.41","3.67","15100","2014","07","27","Thursday"
"SCI","2014-07-04","3.37","3.37","3.33","3.33","4900","2014","07","27","Friday"
"SCI","2014-07-07","3.67","3.67","3.67","3.67","2000","2014","07","28","Monday"
"SCI","2014-07-09","3.67","3.67","3.67","3.67","2000","2014","07","28","Wednesday"
"SCI","2014-07-10","3.67","3.67","3.67","3.67","500","2014","07","28","Thursday"
"SCI","2014-07-11","3.79","3.79","3.79","3.79","600","2014","07","28","Friday"
"SCI","2014-07-14","3.75","3.75","3.67","3.71","9500","2014","07","29","Monday"
"SCI","2014-07-15","3.9","3.9","3.9","3.9","1500","2014","07","29","Tuesday"
"SCI","2014-07-16","3.79","3.79","3.79","3.79","3000","2014","07","29","Wednesday"
"SCI","2014-07-18","3.6","3.6","3.6","3.6","500","2014","07","29","Friday"
"SCI","2014-07-21","3.64","3.64","3.6","3.6","3000","2014","07","30","Monday"
"SCI","2014-07-23","3.6","3.6","3.6","3.6","1000","2014","07","30","Wednesday"
"SCI","2014-07-25","3.45","3.45","3.45","3.45","200","2014","07","30","Friday"
"SCI","2014-07-29","3.75","3.75","3.75","3.75","400","2014","07","31","Tuesday"
"SCI","2014-08-11","3.48","3.48","3.48","3.48","4000","2014","08","33","Monday"
"SCI","2014-08-13","3.48","3.56","3.48","3.56","5000","2014","08","33","Wednesday"
"SCI","2014-08-15","3.52","3.52","3.52","3.52","500","2014","08","33","Friday"
"SCI","2014-08-19","3.52","3.52","3.52","3.52","10100","2014","08","34","Tuesday"
"SCI","2014-08-20","3.52","3.52","3.48","3.52","27900","2014","08","34","Wednesday"
"SCI","2014-08-21","3.41","3.41","3.41","3.41","7000","2014","08","34","Thursday"
"SCI","2014-08-22","3.6","3.6","3.6","3.6","1000","2014","08","34","Friday"
"SCI","2014-08-29","3.83","3.83","3.83","3.83","100","2014","08","35","Friday"
"SCI","2014-09-03","3.52","3.52","3.48","3.48","5000","2014","09","36","Wednesday"
"SCI","2014-09-04","3.6","3.6","3.48","3.52","6700","2014","09","36","Thursday"
"SCI","2014-09-09","3.56","3.56","3.56","3.56","4000","2014","09","37","Tuesday"
"SCI","2014-09-11","3.48","3.48","3.48","3.48","100","2014","09","37","Thursday"
"SCI","2014-09-15","3.48","3.48","3.48","3.48","1100","2014","09","38","Monday"
"SCI","2014-09-19","3.79","3.79","3.79","3.79","6000","2014","09","38","Friday"
"SCI","2014-09-23","3.52","3.52","3.52","3.52","300","2014","09","39","Tuesday"
"SCI","2014-09-25","3.52","3.52","3.52","3.52","2100","2014","09","39","Thursday"
"SCI","2014-09-26","3.71","3.71","3.71","3.71","2000","2014","09","39","Friday"
"SCI","2014-09-29","3.67","3.75","3.67","3.71","8000","2014","09","40","Monday"
"SCI","2014-09-30","3.71","3.71","3.56","3.56","1000","2014","09","40","Tuesday"
"SCI","2014-10-01","3.71","3.75","3.6","3.6","2200","2014","10","40","Wednesday"
"SCI","2014-10-02","3.56","3.56","3.56","3.56","200","2014","10","40","Thursday"
"SCI","2014-10-03","3.71","3.71","3.71","3.71","1000","2014","10","40","Friday"
"SCI","2014-10-07","3.6","3.6","3.6","3.6","4000","2014","10","41","Tuesday"
"SCI","2014-10-09","3.41","3.79","3.33","3.79","3200","2014","10","41","Thursday"
"SCI","2014-10-10","3.75","3.75","3.75","3.75","3800","2014","10","41","Friday"
"SCI","2014-10-13","3.75","3.75","3.75","3.75","1000","2014","10","42","Monday"
"SCI","2014-10-15","3.79","3.79","3.79","3.79","2600","2014","10","42","Wednesday"
"SCI","2014-10-16","3.75","3.75","3.75","3.75","400","2014","10","42","Thursday"
"SCI","2014-10-20","3.98","3.98","3.98","3.98","6000","2014","10","43","Monday"
"SCI","2014-10-21","3.94","3.94","3.71","3.71","7000","2014","10","43","Tuesday"
"SCI","2014-10-23","3.94","3.94","3.94","3.94","2000","2014","10","43","Thursday"
"SCI","2014-10-24","3.56","3.9","3.56","3.6","4400","2014","10","43","Friday"
"SCI","2014-10-27","3.6","3.6","3.56","3.56","1000","2014","10","44","Monday"
"SCI","2014-10-29","3.9","3.9","3.9","3.9","100","2014","10","44","Wednesday"
"SCI","2014-10-30","3.79","3.79","3.64","3.79","5500","2014","10","44","Thursday"
"SCI","2014-11-03","3.41","3.86","3.41","3.86","600","2014","11","45","Monday"
"SCI","2014-11-04","3.41","3.86","3.41","3.86","1300","2014","11","45","Tuesday"
"SCI","2014-11-05","3.86","3.86","3.86","3.86","3000","2014","11","45","Wednesday"
"SCI","2014-11-06","3.86","3.86","3.86","3.86","1100","2014","11","45","Thursday"
"SCI","2014-11-07","3.67","3.67","3.64","3.64","1000","2014","11","45","Friday"
"SCI","2014-11-10","3.9","3.9","3.9","3.9","800","2014","11","46","Monday"
"SCI","2014-11-11","3.79","3.9","3.79","3.9","5200","2014","11","46","Tuesday"
"SCI","2014-11-13","3.9","3.9","3.9","3.9","4000","2014","11","46","Thursday"
"SCI","2014-11-14","3.79","3.79","3.79","3.79","600","2014","11","46","Friday"
"SCI","2014-11-18","3.83","3.83","3.83","3.83","12000","2014","11","47","Tuesday"
"SCI","2014-11-19","3.83","3.83","3.83","3.83","3000","2014","11","47","Wednesday"
"SCI","2014-11-20","3.83","3.83","3.83","3.83","100","2014","11","47","Thursday"
"SCI","2014-11-24","3.86","3.86","3.86","3.86","2000","2014","11","48","Monday"
"SCI","2014-11-26","3.86","3.86","3.86","3.86","6100","2014","11","48","Wednesday"
"SCI","2014-11-27","3.86","3.86","3.86","3.86","1000","2014","11","48","Thursday"
"SCI","2014-12-05","3.86","3.86","3.86","3.86","4100","2014","12","49","Friday"
"SCI","2014-12-11","3.86","3.86","3.86","3.86","5000","2014","12","50","Thursday"
"SCI","2014-12-12","3.98","3.98","3.9","3.9","9600","2014","12","50","Friday"
"SCI","2014-12-15","3.9","3.94","3.9","3.94","13000","2014","12","51","Monday"
"SCI","2014-12-16","3.94","4.28","3.94","4.28","11000","2014","12","51","Tuesday"
"SCI","2014-12-17","4.28","4.28","3.98","3.98","11800","2014","12","51","Wednesday"
"SCI","2014-12-18","4.05","4.47","4.01","4.47","49000","2014","12","51","Thursday"
"SCI","2014-12-19","4.17","4.17","4.17","4.17","1100","2014","12","51","Friday"
"SCI","2014-12-22","4.17","4.17","4.17","4.17","200","2014","12","52","Monday"
"SCI","2014-12-23","4.58","4.58","4.58","4.58","199200","2014","12","52","Tuesday"
"SCI","2014-12-24","5.04","5.04","5","5.04","515600","2014","12","52","Wednesday"
"SCI","2014-12-26","4.54","4.54","4.54","4.54","20000","2014","12","52","Friday"
"SCI","2014-12-29","4.09","4.17","4.09","4.13","4500","2014","12","1","Monday"
"SCI","2014-12-30","4.17","4.17","4.17","4.17","12100","2014","12","1","Tuesday"
"SCI","2014-12-31","4.09","4.54","4.05","4.54","12500","2014","12","1","Wednesday"
"SCI","2015-01-06","4.17","4.28","4.17","4.28","6000","2015","01","2","Tuesday"
"SCI","2015-01-07","4.17","4.17","4.09","4.09","2000","2015","01","2","Wednesday"
"SCI","2015-01-08","4.13","4.2","4.13","4.2","13700","2015","01","2","Thursday"
"SCI","2015-01-09","4.09","4.24","4.09","4.2","11000","2015","01","2","Friday"
"SCI","2015-01-12","3.86","4.17","3.86","4.17","6000","2015","01","3","Monday"
"SCI","2015-01-13","4.17","4.17","4.17","4.17","10800","2015","01","3","Tuesday"
"SCI","2015-01-14","4.17","4.17","4.17","4.17","10000","2015","01","3","Wednesday"
"SCI","2015-01-15","4.28","4.36","4.28","4.36","10000","2015","01","3","Thursday"
"SCI","2015-01-19","4.17","4.36","4.17","4.36","18300","2015","01","4","Monday"
"SCI","2015-01-20","4.32","4.32","4.28","4.32","16000","2015","01","4","Tuesday"
"SCI","2015-01-21","4.28","4.28","4.28","4.28","5000","2015","01","4","Wednesday"
"SCI","2015-02-02","4.28","4.28","4.28","4.28","800","2015","02","6","Monday"
"SCI","2015-02-03","4.36","4.36","4.36","4.36","200","2015","02","6","Tuesday"
"SCI","2015-02-26","4.36","4.36","4.36","4.36","100","2015","02","9","Thursday"
"SCI","2015-03-02","4.36","4.36","4.36","4.36","100","2015","03","10","Monday"
"SCI","2015-03-05","4.28","4.28","4.17","4.17","600","2015","03","10","Thursday"
"SCI","2015-03-06","4.17","4.2","4.17","4.2","6000","2015","03","10","Friday"
"SCI","2015-03-09","4.05","4.05","4.05","4.05","1000","2015","03","11","Monday"
"SCI","2015-03-10","4.09","4.09","4.09","4.09","70000","2015","03","11","Tuesday"
"SCI","2015-03-12","4.09","4.09","4.09","4.09","2400","2015","03","11","Thursday"
"SCI","2015-03-13","4.13","4.13","4.09","4.09","73100","2015","03","11","Friday"
"SCI","2015-03-16","4.17","4.17","4.17","4.17","10000","2015","03","12","Monday"
"SCI","2015-03-17","4.17","4.54","4.17","4.54","25000","2015","03","12","Tuesday"
"SCI","2015-03-19","4.36","4.54","4.32","4.54","9000","2015","03","12","Thursday"
"SCI","2015-03-20","4.32","4.77","4.28","4.77","48400","2015","03","12","Friday"
"SCI","2015-03-23","4.81","4.81","4.7","4.81","39100","2015","03","13","Monday"
"SCI","2015-03-24","4.81","4.85","4.77","4.81","33500","2015","03","13","Tuesday"
"SCI","2015-03-25","4.85","4.85","4.81","4.81","19500","2015","03","13","Wednesday"
"SCI","2015-03-26","4.81","4.81","4.81","4.81","29000","2015","03","13","Thursday"
"SCI","2015-03-27","4.81","4.85","4.81","4.85","20000","2015","03","13","Friday"
"SCI","2015-03-30","4.77","4.77","4.43","4.43","1200","2015","03","14","Monday"
"SCI","2015-04-01","4.85","4.85","4.85","4.85","100","2015","04","14","Wednesday"
"SCI","2015-04-07","4.43","4.43","4.43","4.43","100","2015","04","15","Tuesday"
"SCI","2015-04-08","4.24","4.32","4.24","4.32","600","2015","04","15","Wednesday"
"SCI","2015-04-13","3.98","4.36","3.98","4.36","15500","2015","04","16","Monday"
"SCI","2015-04-14","3.64","4.01","3.64","4.01","5200","2015","04","16","Tuesday"
"SCI","2015-04-15","3.98","3.98","3.98","3.98","100","2015","04","16","Wednesday"
"SCI","2015-04-21","3.94","3.94","3.94","3.94","1300","2015","04","17","Tuesday"
"SCI","2015-04-23","4.17","4.17","4.17","4.17","100","2015","04","17","Thursday"
"SCI","2015-05-05","4.58","4.58","4.58","4.58","100","2015","05","19","Tuesday"
"SCI","2015-05-07","4.58","4.58","4.58","4.58","100","2015","05","19","Thursday"
"SCI","2015-05-11","4.13","4.13","4.13","4.13","2000","2015","05","20","Monday"
"SCI","2015-05-26","3.94","3.94","3.9","3.9","7200","2015","05","22","Tuesday"
"SCI","2015-05-29","4.09","4.09","4.09","4.09","3000","2015","05","22","Friday"
"SCI","2015-06-01","4.09","4.09","4.09","4.09","2000","2015","06","23","Monday"
"SCI","2015-06-02","4.09","4.09","4.09","4.09","1200","2015","06","23","Tuesday"
"SCI","2015-06-04","4.09","4.17","4.09","4.17","900","2015","06","23","Thursday"
"SCI","2015-06-05","4.09","4.17","4.09","4.17","4000","2015","06","23","Friday"
"SCI","2015-06-09","4.32","4.32","4.17","4.17","9000","2015","06","24","Tuesday"
"SCI","2015-06-10","4.01","4.01","4.01","4.01","2000","2015","06","24","Wednesday"
"SCI","2015-06-12","4.01","4.01","3.64","3.64","900","2015","06","24","Friday"
"SCI","2015-06-15","3.9","3.98","3.9","3.98","4000","2015","06","25","Monday"
"SCI","2015-06-16","3.98","3.98","3.94","3.94","17000","2015","06","25","Tuesday"
"SCI","2015-06-18","3.94","4.17","3.94","4.17","14700","2015","06","25","Thursday"
"SCI","2015-06-23","3.9","3.94","3.9","3.94","10000","2015","06","26","Tuesday"
"SCI","2015-06-29","3.9","3.9","3.9","3.9","500","2015","06","27","Monday"
"SCI","2015-07-02","3.56","4.36","3.33","3.98","217200","2015","07","27","Thursday"
"SCI","2015-07-03","3.83","3.83","3.83","3.83","200","2015","07","27","Friday"
"SCI","2015-07-06","3.9","3.9","3.9","3.9","400","2015","07","28","Monday"
"SCI","2015-07-08","3.98","3.98","3.9","3.9","4500","2015","07","28","Wednesday"
"SCI","2015-07-09","3.83","3.83","3.83","3.83","200","2015","07","28","Thursday"
"SCI","2015-07-10","3.79","3.79","3.79","3.79","2000","2015","07","28","Friday"
"SCI","2015-07-16","3.98","3.98","3.79","3.79","3100","2015","07","29","Thursday"
"SCI","2015-07-29","3.71","3.75","3.71","3.75","3800","2015","07","31","Wednesday"
"SCI","2015-07-30","3.71","3.75","3.71","3.75","8100","2015","07","31","Thursday"
"SCI","2015-08-03","3.79","4.17","3.79","4.17","17800","2015","08","32","Monday"
"SCI","2015-08-04","3.83","4.05","3.83","4.01","10200","2015","08","32","Tuesday"
"SCI","2015-08-05","3.98","3.98","3.98","3.98","3800","2015","08","32","Wednesday"
"SCI","2015-08-06","3.98","4.17","3.98","4.17","37200","2015","08","32","Thursday"
"SCI","2015-08-07","4.36","4.36","4.28","4.36","51300","2015","08","32","Friday"
"SCI","2015-08-10","4.39","4.54","4.39","4.39","21900","2015","08","33","Monday"
"SCI","2015-08-11","4.54","4.54","4.47","4.54","37900","2015","08","33","Tuesday"
"SCI","2015-08-12","4.54","4.54","4.36","4.43","32100","2015","08","33","Wednesday"
"SCI","2015-08-13","4.32","4.47","4.32","4.36","21900","2015","08","33","Thursday"
"SCI","2015-08-17","4.47","4.54","4.47","4.47","9900","2015","08","34","Monday"
"SCI","2015-08-18","4.36","4.74","4.36","4.54","68000","2015","08","34","Tuesday"
"SCI","2015-08-19","4.54","4.74","4.47","4.47","227300","2015","08","34","Wednesday"
"SCI","2015-08-20","4.54","4.54","4.54","4.54","4000","2015","08","34","Thursday"
"SCI","2015-08-21","4.47","4.47","4.47","4.47","5500","2015","08","34","Friday"
"SCI","2015-08-25","4.28","4.28","4.24","4.24","1300","2015","08","35","Tuesday"
"SCI","2015-08-26","4.24","4.24","4.24","4.24","2100","2015","08","35","Wednesday"
"SCI","2015-08-27","4.24","4.24","4.24","4.24","1000","2015","08","35","Thursday"
"SCI","2015-08-28","4.7","4.7","4.7","4.7","100","2015","08","35","Friday"
"SCI","2015-08-31","4.51","4.7","4.51","4.54","150500","2015","08","36","Monday"
"SCI","2015-09-03","4.58","4.62","4.01","4.62","64100","2015","09","36","Thursday"
"SCI","2015-09-04","4.51","4.51","4.51","4.51","100","2015","09","36","Friday"
"SCI","2015-09-10","4.54","4.54","4.47","4.47","98700","2015","09","37","Thursday"
