symbol,date,open,high,low,close,volume,year,month,week,weekday
"SCJ","2007-09-19","31.14","41.95","30.28","35.64","208200","2007","09","38","Wednesday"
"SCJ","2007-09-20","39.36","39.36","39.36","39.19","12200","2007","09","38","Thursday"
"SCJ","2007-09-21","43.25","43.25","43.25","43.08","100300","2007","09","38","Friday"
"SCJ","2007-09-24","47.58","47.58","47.58","47.36","39300","2007","09","39","Monday"
"SCJ","2007-09-25","51.9","51.9","51.9","52.08","110600","2007","09","39","Tuesday"
"SCJ","2007-09-26","57.09","57.09","57.09","57.27","32600","2007","09","39","Wednesday"
"SCJ","2007-09-27","63.15","63.15","63.15","62.98","80200","2007","09","39","Thursday"
"SCJ","2007-09-28","69.2","69.2","57.96","69.2","392700","2007","09","39","Friday"
"SCJ","2007-10-01","74.39","74.39","69.64","72.88","101600","2007","10","40","Monday"
"SCJ","2007-10-02","77.85","79.37","67.69","68.34","43500","2007","10","40","Tuesday"
"SCJ","2007-10-03","67.04","67.04","64.66","67.04","4600","2007","10","40","Wednesday"
"SCJ","2007-10-04","67.47","69.2","63.58","65.31","123700","2007","10","40","Thursday"
"SCJ","2007-10-05","65.74","65.74","63.58","64.66","60500","2007","10","40","Friday"
"SCJ","2007-10-08","66.17","66.17","64.01","64.88","83800","2007","10","41","Monday"
"SCJ","2007-10-09","65.74","67.43","64.79","67.43","86200","2007","10","41","Tuesday"
"SCJ","2007-10-10","67.91","71.15","67.91","70.89","31100","2007","10","41","Wednesday"
"SCJ","2007-10-11","73.53","73.53","71.37","72.88","1600","2007","10","41","Thursday"
"SCJ","2007-10-12","73.1","73.53","71.37","72.71","45800","2007","10","41","Friday"
"SCJ","2007-10-15","72.66","79.97","72.66","79.97","176800","2007","10","42","Monday"
"SCJ","2007-10-16","82.35","82.35","81.75","82.35","93200","2007","10","42","Tuesday"
"SCJ","2007-10-17","90.35","90.4","76.99","76.99","50600","2007","10","42","Wednesday"
"SCJ","2007-10-18","76.12","77.85","74.87","75.69","60400","2007","10","42","Thursday"
"SCJ","2007-10-19","77.85","82.96","73.53","81.75","103800","2007","10","42","Friday"
"SCJ","2007-10-22","83.91","84.99","80.88","83.48","93200","2007","10","43","Monday"
"SCJ","2007-10-23","86.5","91.17","83.26","91.17","153500","2007","10","43","Tuesday"
"SCJ","2007-10-24","99.74","99.74","99.74","99.74","35500","2007","10","43","Wednesday"
"SCJ","2007-10-25","109.69","109.69","109.69","109.69","20700","2007","10","43","Thursday"
"SCJ","2007-10-26","120.63","120.63","103.8","112.45","105000","2007","10","43","Friday"
"SCJ","2007-10-29","109.43","115.4","104.32","104.32","54100","2007","10","44","Monday"
"SCJ","2007-10-30","95.24","105.97","95.15","96.11","184900","2007","10","44","Tuesday"
"SCJ","2007-10-31","92.99","104.67","92.99","103.8","71800","2007","10","44","Wednesday"
"SCJ","2007-11-01","110.08","110.29","104.06","110.29","45000","2007","11","44","Thursday"
"SCJ","2007-11-02","116.35","116.35","101.64","107.27","45700","2007","11","44","Friday"
"SCJ","2007-11-05","103.8","103.8","99.48","102.94","37000","2007","11","45","Monday"
"SCJ","2007-11-06","102.51","103.37","99.48","101.64","34100","2007","11","45","Tuesday"
"SCJ","2007-11-07","111.89","111.89","103.8","103.8","57900","2007","11","45","Wednesday"
"SCJ","2007-11-08","105.97","107.14","103.8","105.1","24800","2007","11","45","Thursday"
"SCJ","2007-11-09","103.8","103.8","99.44","102.94","45300","2007","11","45","Friday"
"SCJ","2007-11-12","102.94","104.45","101.64","102.42","31800","2007","11","46","Monday"
"SCJ","2007-11-13","102.07","102.07","92.34","95.59","41200","2007","11","46","Tuesday"
"SCJ","2007-11-14","96.45","104.37","96.45","102.94","79300","2007","11","46","Wednesday"
"SCJ","2007-11-15","105.97","105.97","96.67","97.53","21100","2007","11","46","Thursday"
"SCJ","2007-11-16","101.86","105.97","99.48","103.8","76400","2007","11","46","Friday"
"SCJ","2007-11-19","103.37","103.8","102.94","103.59","25100","2007","11","47","Monday"
"SCJ","2007-11-20","103.8","103.8","103.8","101.86","1100","2007","11","47","Tuesday"
"SCJ","2007-11-21","100.6","101.17","95.59","99.48","24700","2007","11","47","Wednesday"
"SCJ","2007-11-22","102.9","102.9","99.48","100.78","8200","2007","11","47","Thursday"
"SCJ","2007-11-23","101.21","101.21","98.61","99.48","22100","2007","11","47","Friday"
"SCJ","2007-11-26","99.48","102.51","99.48","101.64","25000","2007","11","48","Monday"
"SCJ","2007-11-27","103.8","103.8","100.86","102.07","24200","2007","11","48","Tuesday"
"SCJ","2007-11-28","101.99","102.07","99.39","100.86","21700","2007","11","48","Wednesday"
