symbol,date,open,high,low,close,volume,year,month,week,weekday
"SCL","2010-09-15","16.75","17","15.27","15.52","80100","2010","09","38","Wednesday"
"SCL","2010-09-16","15.76","17.09","15.76","17.09","106300","2010","09","38","Thursday"
"SCL","2010-09-17","17","17.49","17","17.49","60800","2010","09","38","Friday"
"SCL","2010-09-20","17.98","18.47","17.24","17.24","25200","2010","09","39","Monday"
"SCL","2010-09-21","17.54","17.73","16.45","16.45","72600","2010","09","39","Tuesday"
"SCL","2010-09-22","16.9","17.19","16.21","16.26","72900","2010","09","39","Wednesday"
"SCL","2010-09-23","15.81","15.86","15.22","15.32","191800","2010","09","39","Thursday"
"SCL","2010-09-24","16.16","16.16","15.32","15.76","46300","2010","09","39","Friday"
"SCL","2010-09-27","16.4","16.6","15.71","15.76","46700","2010","09","40","Monday"
"SCL","2010-09-28","15.76","16.01","15.27","15.27","19400","2010","09","40","Tuesday"
"SCL","2010-09-29","14.58","15.03","14.58","14.68","75400","2010","09","40","Wednesday"
"SCL","2010-09-30","14.19","14.78","14.19","14.43","58800","2010","09","40","Thursday"
"SCL","2010-10-01","14.43","14.43","14.04","14.24","67900","2010","10","40","Friday"
"SCL","2010-10-04","14.29","14.29","13.3","13.3","72500","2010","10","41","Monday"
"SCL","2010-10-05","13.05","13.55","13.05","13.4","24500","2010","10","41","Tuesday"
"SCL","2010-10-06","13.35","14.24","13.3","14.24","63800","2010","10","41","Wednesday"
"SCL","2010-10-07","14.29","14.68","13.99","14.29","76800","2010","10","41","Thursday"
"SCL","2010-10-08","14.34","14.53","14.14","14.38","77200","2010","10","41","Friday"
"SCL","2010-10-11","14.34","14.43","14.29","14.38","63100","2010","10","42","Monday"
"SCL","2010-10-12","14.29","14.29","13.45","13.45","38900","2010","10","42","Tuesday"
"SCL","2010-10-13","14.09","14.09","13.7","13.79","53900","2010","10","42","Wednesday"
"SCL","2010-10-14","13.89","13.99","13.79","13.79","43100","2010","10","42","Thursday"
"SCL","2010-10-15","13.6","13.6","13.05","13.2","43200","2010","10","42","Friday"
"SCL","2010-10-18","13.3","13.35","13.05","13.15","12600","2010","10","43","Monday"
"SCL","2010-10-19","12.56","13.2","12.56","12.66","49200","2010","10","43","Tuesday"
"SCL","2010-10-20","12.32","12.32","11.97","12.02","58400","2010","10","43","Wednesday"
