symbol,date,open,high,low,close,volume
"SCS","2017-07-12","31.04","31.04","31.04","31.04","200"
"SCS","2017-07-13","35.68","35.68","35.68","35.68","100"
"SCS","2017-07-14","41.01","41.01","41.01","41.01","4470"
"SCS","2017-07-17","47.15","47.15","42.63","47.15","134340"
"SCS","2017-07-18","46.89","47.06","44.76","45.4","59890"
"SCS","2017-07-19","45.4","45.4","40.93","42.2","37590"
"SCS","2017-07-20","42.63","42.63","38.84","39.22","27920"
"SCS","2017-07-21","39.65","39.65","37.94","37.94","38810"
"SCS","2017-07-24","37.94","38.37","37.73","37.73","17320"
"SCS","2017-07-25","36.66","37.17","33.25","34.1","60040"
"SCS","2017-07-26","34.53","38.37","34.53","38.16","32800"
"SCS","2017-07-27","36.75","38.37","36.75","37.09","18022"
"SCS","2017-07-28","37.34","37.34","36.45","36.45","19000"
"SCS","2017-07-31","38.37","38.37","36.75","36.75","54530"
"SCS","2017-08-01","37.09","37.77","36.79","37","35900"
"SCS","2017-08-02","36.28","37.73","36.28","37.69","18500"
"SCS","2017-08-03","37.52","38.37","37.34","38.33","25090"
"SCS","2017-08-04","38.37","38.58","38.33","38.41","48960"
"SCS","2017-08-07","38.45","38.71","38.45","38.62","27600"
"SCS","2017-08-08","38.62","40.93","38.62","39.01","53166"
"SCS","2017-08-09","39.65","40.5","39.65","40.33","27910"
"SCS","2017-08-10","40.5","40.71","40.07","40.29","30410"
"SCS","2017-08-11","40.5","40.5","39.05","39.09","16900"
"SCS","2017-08-14","39.05","39.05","38.37","38.37","9410"
"SCS","2017-08-15","38.37","38.37","37.94","37.94","15060"
"SCS","2017-08-16","38.8","38.8","38.5","38.5","17600"
"SCS","2017-08-17","38.62","38.67","38.37","38.5","25400"
"SCS","2017-08-18","38.37","38.54","38.28","38.5","8900"
"SCS","2017-08-21","38.37","38.41","38.11","38.2","21600"
"SCS","2017-08-22","38.24","38.5","38.24","38.41","3200"
"SCS","2017-08-23","38.33","39.01","38.33","38.37","16810"
"SCS","2017-08-24","38.45","38.58","38.41","38.5","17200"
"SCS","2017-08-25","39.01","39.01","38.58","38.88","30240"
"SCS","2017-08-28","39.22","39.22","38.75","38.84","27500"
"SCS","2017-08-29","38.8","38.8","38.45","38.58","32020"
"SCS","2017-08-30","38.62","38.62","38.28","38.28","18200"
"SCS","2017-08-31","38.41","38.41","38.33","38.37","19910"
"SCS","2017-09-01","38.16","38.16","37.81","37.9","6400"
"SCS","2017-09-05","38.37","38.37","38.28","38.33","4000"
"SCS","2017-09-06","38.24","38.24","38.07","38.07","1050"
"SCS","2017-09-07","38.16","38.16","38.07","38.16","3700"
"SCS","2017-09-08","38.03","38.03","37.94","37.94","9370"
"SCS","2017-09-11","38.37","38.37","37.94","37.94","21900"
"SCS","2017-09-12","38.28","38.37","38.28","38.33","11500"
"SCS","2017-09-13","38.75","38.8","38.37","38.5","14270"
"SCS","2017-09-14","38.58","38.58","37.94","38.37","16100"
"SCS","2017-09-15","37.94","38.58","37.52","38.45","28630"
"SCS","2017-09-18","38.88","38.88","38.5","38.8","37500"
"SCS","2017-09-19","38.58","38.67","38.58","38.62","11610"
"SCS","2017-09-20","38.58","38.67","38.58","38.67","31160"
"SCS","2017-09-21","38.67","38.67","38.58","38.62","20520"
"SCS","2017-09-22","38.62","38.62","38.62","38.62","15670"
"SCS","2017-09-25","38.62","39.26","38.62","38.8","59930"
"SCS","2017-09-26","38.84","38.84","38.58","38.58","50000"
"SCS","2017-09-27","38.62","38.62","38.58","38.62","740"
"SCS","2017-09-28","38.58","38.71","38.58","38.71","80570"
"SCS","2017-09-29","38.62","38.8","38.58","38.8","22601"
"SCS","2017-10-02","38.71","42.63","38.71","39.86","44370"
"SCS","2017-10-03","39.82","39.86","39.65","39.82","11700"
"SCS","2017-10-04","39.69","39.69","39.6","39.6","10140"
"SCS","2017-10-05","39.48","39.48","38.92","38.92","11070"
"SCS","2017-10-06","38.92","39.01","38.5","38.84","7740"
"SCS","2017-10-09","38.62","38.71","38.5","38.71","2020"
"SCS","2017-10-10","38.5","39.22","38.5","39.22","6950"
"SCS","2017-10-11","39.01","39.86","39.01","39.86","217529"
"SCS","2017-10-12","39.86","42.2","39.86","41.35","83581"
"SCS","2017-10-13","41.78","41.78","40.07","41.57","45810"
"SCS","2017-10-16","41.52","43.91","41.52","43.27","71160"
"SCS","2017-10-17","44.34","45.19","43.27","43.27","27640"
"SCS","2017-10-18","42.63","43.48","42.63","42.63","28611"
"SCS","2017-10-19","42.63","43.53","42.63","43.27","21330"
"SCS","2017-10-20","43.27","43.87","43.27","43.31","69440"
"SCS","2017-10-23","43.48","44.34","43.48","43.91","34250"
"SCS","2017-10-24","44.12","44.17","43.78","44","10220"
"SCS","2017-10-25","44.12","44.55","43.91","44.46","21580"
"SCS","2017-10-26","44.55","45.62","44.55","44.93","47890"
"SCS","2017-10-27","45.19","45.4","44.98","45.4","32210"
"SCS","2017-10-30","45.32","45.57","45.27","45.32","33600"
"SCS","2017-10-31","45.4","45.45","45.32","45.4","25040"
"SCS","2017-11-01","45.36","45.45","45.36","45.4","24160"
"SCS","2017-11-02","45.4","45.49","44.42","45.32","18890"
"SCS","2017-11-03","45.62","45.62","44.89","45.27","25500"
"SCS","2017-11-06","45.62","47.53","45.62","46.89","39920"
"SCS","2017-11-07","47.75","48.17","45.62","48.05","51469"
"SCS","2017-11-08","47.75","51.16","47.75","50.73","68740"
"SCS","2017-11-09","51.16","52.22","49.88","49.88","41859"
"SCS","2017-11-10","50.9","51.16","50.73","51.12","51540"
"SCS","2017-11-13","51.58","52.44","51.12","52.44","28760"
"SCS","2017-11-14","51.75","52.22","51.75","52.01","18540"
"SCS","2017-11-15","52.01","52.01","51.8","51.8","19310"
"SCS","2017-11-16","51.92","51.97","51.58","51.88","18818"
"SCS","2017-11-17","51.84","51.84","50.73","51.84","55006"
"SCS","2017-11-20","51.16","52.01","51.16","52.01","41932"
"SCS","2017-11-21","51.2","52.39","51.2","52.01","15130"
"SCS","2017-11-22","51.24","52.01","51.24","51.97","27150"
"SCS","2017-11-23","52.01","52.09","51.58","51.71","31360"
"SCS","2017-11-24","51.58","51.58","51.16","51.16","23530"
"SCS","2017-11-27","51.12","51.58","51.12","51.16","7850"
"SCS","2017-11-28","51.28","51.28","51.16","51.16","2710"
"SCS","2017-11-29","51.54","51.58","50.52","51.16","10970"
"SCS","2017-11-30","51.16","51.16","50.3","50.73","1450"
"SCS","2017-12-01","50.3","50.73","48.17","49.03","41690"
"SCS","2017-12-04","49.45","50.52","49.45","49.45","17060"
"SCS","2017-12-05","49.66","49.88","49.03","49.88","59920"
"SCS","2017-12-06","49.45","49.49","49.03","49.49","49330"
"SCS","2017-12-07","49.45","49.45","49.28","49.45","44610"
"SCS","2017-12-08","49.45","49.45","49.2","49.2","1700"
"SCS","2017-12-11","49.2","50.09","49.2","49.45","3251"
"SCS","2017-12-12","49.54","49.54","49.03","49.03","44750"
"SCS","2017-12-13","49.03","49.45","49.03","49.03","52748"
"SCS","2017-12-14","49.24","49.24","49.03","49.07","37033"
"SCS","2017-12-15","49.28","49.28","49.03","49.03","45220"
"SCS","2017-12-18","49.45","49.45","48.94","48.94","52918"
"SCS","2017-12-19","49.03","49.03","48.81","48.81","6963"
"SCS","2017-12-20","48.98","48.98","48.17","48.43","9970"
"SCS","2017-12-21","48.6","48.6","48.17","48.39","2690"
"SCS","2017-12-22","48.3","48.98","48.17","48.98","8800"
"SCS","2017-12-25","48.56","48.69","48.56","48.69","33393"
"SCS","2017-12-26","49.45","51.71","49.45","50.73","93586"
"SCS","2017-12-27","52.05","52.05","50.73","50.73","195640"
"SCS","2017-12-28","50.94","51.58","50.73","51.58","98933"
"SCS","2017-12-29","51.58","52.44","51.58","52.01","36460"
"SCS","2018-01-02","51.8","52.44","51.54","51.58","26420"
"SCS","2018-01-03","51.5","52.01","51.5","52.01","24918"
"SCS","2018-01-04","51.58","52.18","51.54","52.18","39520"
"SCS","2018-01-05","52.44","52.44","51.88","52.35","16751"
"SCS","2018-01-08","52.27","52.31","52.05","52.22","24379"
"SCS","2018-01-09","52.22","53.29","52.01","53.29","39216"
"SCS","2018-01-10","52.99","54.14","52.99","54.14","21401"
"SCS","2018-01-11","54.14","54.14","53.93","53.93","3610"
"SCS","2018-01-12","54.14","54.14","52.44","53.25","10359"
"SCS","2018-01-15","52.82","53.08","52.01","52.86","16168"
"SCS","2018-01-16","52.44","52.82","52.44","52.65","15920"
"SCS","2018-01-17","52.56","52.73","52.27","52.69","26020"
"SCS","2018-01-18","52.56","52.65","52.44","52.65","24912"
"SCS","2018-01-19","52.82","53.5","52.82","53.25","29800"
"SCS","2018-01-22","53.2","53.5","53.2","53.33","19090"
"SCS","2018-01-23","53.37","53.93","53.37","53.93","11449"
"SCS","2018-01-24","53.93","57.55","53.93","56.87","32950"
"SCS","2018-01-25","56.7","57.55","56.7","57.55","21210"
"SCS","2018-01-26","57.13","59.04","57.13","58.83","27120"
"SCS","2018-01-29","59.04","66.72","59.04","66.08","79603"
"SCS","2018-01-30","64.8","66.67","64.8","66.08","11920"
"SCS","2018-01-31","66.08","69.92","66.08","69.06","42930"
"SCS","2018-02-01","69.06","69.06","63.95","64.16","23329"
"SCS","2018-02-02","63.95","65.86","63.95","65.61","24764"
"SCS","2018-02-05","65.23","65.65","63.09","63.09","20593"
"SCS","2018-02-06","54.4","61.39","54.4","61.39","70741"
"SCS","2018-02-07","60.75","65.48","60.75","63.95","7040"
"SCS","2018-02-08","62.67","62.8","62.03","62.67","14170"
"SCS","2018-02-09","62.24","62.24","60.54","62.24","6440"
"SCS","2018-02-12","63.52","64.8","62.75","64.8","5000"
"SCS","2018-02-13","63.95","66.08","63.95","66.04","7910"
"SCS","2018-02-21","66.04","66.72","65.65","66.72","14240"
"SCS","2018-02-22","66.5","67.36","66.5","67.36","12130"
"SCS","2018-02-23","68.64","68.64","67.78","68.34","12900"
"SCS","2018-02-26","68.38","68.42","66.97","67.02","16370"
"SCS","2018-02-27","67.95","67.95","65.69","67.74","8320"
"SCS","2018-02-28","67.36","68","67.36","68","14950"
"SCS","2018-03-01","66.93","67.78","66.93","67.78","300"
"SCS","2018-03-02","67.1","68.42","66.93","68.21","40830"
"SCS","2018-03-05","68.21","68.85","68.13","68.85","20310"
"SCS","2018-03-06","68.64","70.56","68.64","70.56","40570"
"SCS","2018-03-07","69.49","70.98","69.45","70.98","5458"
"SCS","2018-03-08","70.26","70.34","69.49","69.92","9970"
"SCS","2018-03-09","69.92","69.92","69.49","69.87","4400"
"SCS","2018-03-12","69.11","69.92","68.64","69.49","20495"
"SCS","2018-03-13","69.49","69.62","68.42","68.42","35920"
"SCS","2018-03-14","69.06","69.06","67.78","67.78","3574"
"SCS","2018-03-15","67.36","68.59","67.36","68.3","3490"
"SCS","2018-03-16","67.87","69.06","67.87","69.02","45464"
"SCS","2018-03-19","68.59","68.64","68.34","68.64","10787"
"SCS","2018-03-20","69.06","69.49","69.06","69.19","9140"
"SCS","2018-03-21","69.11","69.49","69.11","69.11","7816"
"SCS","2018-03-22","69.06","69.15","69.06","69.11","13780"
"SCS","2018-03-23","69.06","69.49","69.06","69.4","31194"
"SCS","2018-03-26","69.49","70.77","69.49","70.72","20440"
"SCS","2018-03-27","71.19","75.88","71.19","75.88","54075"
"SCS","2018-03-28","74.82","75.67","74.82","75.46","2720"
"SCS","2018-03-29","74.61","75.88","74.18","75.5","8030"
"SCS","2018-03-30","75.88","75.88","74.61","75.03","7937"
"SCS","2018-04-02","75.58","78.66","75.58","78.44","24527"
"SCS","2018-04-03","77.59","81.85","77.59","81.85","39500"
"SCS","2018-04-04","85.22","85.22","82.28","83.56","12420"
"SCS","2018-04-05","83.22","83.22","78.87","80.57","10808"
"SCS","2018-04-06","78.87","81","78.02","81","8990"
"SCS","2018-04-09","80.87","82.28","80.79","82.28","22130"
"SCS","2018-04-10","82.7","83.56","82.7","83.56","24746"
"SCS","2018-04-11","83.13","83.94","82.28","83.9","25270"
"SCS","2018-04-12","72.9","84.62","72.9","84.41","28770"
"SCS","2018-04-13","79.34","84.84","79.34","84.41","23031"
"SCS","2018-04-16","81.64","83.98","81.43","83.77","5130"
"SCS","2018-04-17","83.13","84.33","82.7","84.33","7185"
"SCS","2018-04-18","82.75","82.75","82.28","82.75","1100"
"SCS","2018-04-20","79","81","79","79.72","2905"
"SCS","2018-04-23","81","81","80.15","80.15","10350"
"SCS","2018-04-24","78.44","80.15","76.74","77.59","7675"
"SCS","2018-04-26","77.97","77.97","76.31","76.31","5172"
"SCS","2018-04-27","76.31","76.31","72.47","72.47","6587"
"SCS","2018-05-02","70.77","73.33","68.21","72.05","4380"
"SCS","2018-05-03","73.75","73.75","73.75","73.75","100"
"SCS","2018-05-04","69.06","73.28","69.06","73.28","2790"
