symbol,date,open,high,low,close,volume
"SD4","2008-06-25","9.03","9.61","6.77","9.03","93900"
"SD4","2008-06-26","8.57","8.57","8.51","8.57","43000"
"SD4","2008-06-27","8.9","8.9","8.83","8.83","5000"
"SD4","2008-06-30","9.15","9.15","8.83","9.15","16300"
"SD4","2008-07-01","8.77","9.41","8.77","9.41","26500"
"SD4","2008-07-02","9.73","9.73","9.09","9.73","56000"
"SD4","2008-07-03","10.06","10.06","10.06","10.06","4500"
"SD4","2008-07-04","10.44","10.44","10.44","10.44","29300"
"SD4","2008-07-07","10.83","10.83","10.06","10.19","48300"
"SD4","2008-07-08","10.12","10.7","10.12","10.7","26700"
"SD4","2008-07-09","10.64","10.64","10.44","10.64","36400"
"SD4","2008-07-10","11.02","11.02","10.83","11.02","17200"
"SD4","2008-07-11","11.41","11.41","11.41","11.41","12800"
"SD4","2008-07-14","11.86","11.86","11.86","11.86","3000"
"SD4","2008-07-15","12.31","12.31","12.31","12.31","22600"
"SD4","2008-07-16","12.76","12.76","11.86","12.76","60000"
"SD4","2008-07-17","13.15","13.15","13.15","13.15","26200"
"SD4","2008-07-18","13.67","13.67","12.63","12.63","59400"
"SD4","2008-07-21","13.54","13.67","12.89","12.89","1400"
"SD4","2008-07-23","12.57","12.57","12.57","12.57","400"
"SD4","2008-07-24","12.12","12.12","12.12","12.12","3300"
"SD4","2008-07-25","11.67","11.67","11.67","11.67","2000"
"SD4","2008-07-28","11.22","11.22","11.22","11.22","2300"
"SD4","2008-07-29","10.83","11.02","10.83","10.83","89600"
"SD4","2008-07-30","10.44","10.44","10.44","10.44","8800"
"SD4","2008-07-31","10.06","10.06","10.06","10.06","100"
"SD4","2008-08-01","9.67","9.67","9.67","9.67","1200"
"SD4","2008-08-05","8.96","8.96","8.96","8.96","100"
"SD4","2008-08-06","8.64","8.96","8.64","8.64","32000"
"SD4","2008-08-07","8.96","8.96","8.32","8.32","15300"
"SD4","2008-08-08","8.06","8.64","8.06","8.38","24000"
"SD4","2008-08-11","8.7","8.7","8.7","8.7","600"
"SD4","2008-08-12","9.03","9.03","8.7","9.03","33700"
"SD4","2008-08-13","9.15","9.28","9.15","9.28","24200"
"SD4","2008-08-14","9.35","9.61","9.35","9.61","48000"
"SD4","2008-08-15","9.93","9.93","9.93","9.93","12400"
"SD4","2008-08-18","10.57","10.57","10.31","10.57","35200"
"SD4","2008-08-19","10.96","11.09","10.12","10.19","19400"
"SD4","2008-08-20","9.8","9.8","9.8","9.8","17500"
"SD4","2008-08-21","9.15","10.44","9.15","10.44","74500"
"SD4","2008-08-22","10.7","10.7","10.51","10.7","62300"
"SD4","2008-08-25","11.28","11.35","11.28","11.35","21800"
"SD4","2008-08-26","12.12","12.12","12.12","12.12","20700"
"SD4","2008-08-27","12.96","12.96","12.89","12.96","49900"
"SD4","2008-08-28","12.89","13.54","12.05","12.05","50700"
"SD4","2008-08-29","11.6","12.38","11.6","12.25","58500"
"SD4","2008-09-03","12.44","12.44","12.44","12.44","3500"
"SD4","2008-09-04","13.28","13.28","12.89","13.28","75700"
"SD4","2008-09-05","13.54","14.12","13.21","14.12","99500"
"SD4","2008-09-08","15.02","15.02","13.09","13.73","47900"
"SD4","2008-09-09","13.54","14.31","13.41","14.31","82900"
"SD4","2008-09-10","15.21","15.21","13.28","13.41","77800"
"SD4","2008-09-11","13.54","13.54","13.41","13.41","6600"
"SD4","2008-09-12","12.51","12.51","12.51","12.51","8700"
"SD4","2008-09-15","11.67","13.34","11.67","12.25","99800"
"SD4","2008-09-16","11.28","11.67","11.22","11.22","21400"
"SD4","2008-09-17","10.44","10.44","10.44","10.44","10600"
"SD4","2008-09-18","9.73","9.73","9.73","9.73","5900"
"SD4","2008-09-19","9.09","10.38","9.09","10.38","24600"
"SD4","2008-09-22","10.31","10.31","10.31","10.31","6500"
"SD4","2008-09-23","10.96","10.96","9.61","10.31","60400"
"SD4","2008-09-24","9.61","10.31","9.54","9.54","39700"
"SD4","2008-09-25","9.86","10.51","9.86","10.51","41800"
"SD4","2008-09-26","11.02","11.02","10.31","10.31","15800"
"SD4","2008-09-29","11.47","11.47","10.12","10.31","23400"
"SD4","2008-09-30","9.67","9.67","9.67","9.67","10300"
"SD4","2008-10-01","10.25","10.25","9.61","9.67","12400"
"SD4","2008-10-02","9.67","10.19","9.67","9.99","19900"
"SD4","2008-10-03","9.8","9.8","9.67","9.73","10800"
"SD4","2008-10-06","9.73","9.73","9.09","9.15","21200"
"SD4","2008-10-07","8.51","8.51","8.51","8.51","8300"
"SD4","2008-10-08","7.93","8.51","7.93","7.99","26900"
"SD4","2008-10-09","8.32","8.51","8.32","8.51","20100"
"SD4","2008-10-10","8.51","8.51","7.93","8.06","15600"
"SD4","2008-10-13","8.9","8.9","8.32","8.38","7200"
"SD4","2008-10-14","8.96","8.96","8.96","8.96","300"
"SD4","2008-10-15","9.54","9.54","9.03","9.41","10000"
"SD4","2008-10-16","8.64","9.03","8.64","8.64","17700"
"SD4","2008-10-17","8.77","9.03","8.77","8.83","2800"
"SD4","2008-10-20","9.03","9.03","8.64","8.96","5500"
"SD4","2008-10-21","9.35","9.35","9.03","9.09","8800"
"SD4","2008-10-22","8.57","8.83","8.51","8.64","4900"
"SD4","2008-10-23","8.12","8.38","8.12","8.12","7300"
"SD4","2008-10-24","8.06","8.06","8.06","8.06","2600"
"SD4","2008-10-27","7.74","7.8","7.54","7.54","19900"
"SD4","2008-10-28","7.16","7.22","7.16","7.22","22500"
"SD4","2008-10-29","7.61","7.61","7.28","7.61","23200"
"SD4","2008-10-30","8.12","8.12","7.86","8.12","10600"
"SD4","2008-10-31","8.57","8.57","8.44","8.57","14200"
"SD4","2008-11-03","8.57","8.64","8.06","8.06","7000"
"SD4","2008-11-04","8.7","9.03","8.7","9.03","37400"
"SD4","2008-11-05","9.54","9.54","9.35","9.54","24300"
"SD4","2008-11-06","8.9","9.41","8.9","8.9","20600"
"SD4","2008-11-07","8.38","8.7","8.38","8.38","12200"
"SD4","2008-11-10","8.7","8.7","8.06","8.12","7700"
"SD4","2008-11-11","7.74","7.93","7.74","7.74","22500"
"SD4","2008-11-12","7.28","7.99","7.28","7.8","4600"
"SD4","2008-11-13","7.22","8.06","7.22","8.06","9000"
"SD4","2008-11-14","8.32","8.38","7.74","8.06","4700"
"SD4","2008-11-17","7.8","7.93","7.74","7.74","7100"
"SD4","2008-11-18","7.41","7.74","7.41","7.61","5500"
"SD4","2008-11-19","7.8","7.8","7.48","7.67","8800"
"SD4","2008-11-20","7.28","7.74","7.28","7.41","6100"
"SD4","2008-11-21","7.67","7.67","7.54","7.61","1500"
"SD4","2008-11-24","7.61","7.93","7.22","7.74","9800"
"SD4","2008-11-25","7.22","7.35","7.22","7.35","2500"
"SD4","2008-11-26","7.09","7.09","7.03","7.03","5200"
"SD4","2008-11-27","6.83","6.83","6.58","6.58","10100"
"SD4","2008-11-28","6.58","7.09","6.58","7.09","9900"
"SD4","2008-12-01","6.58","7.09","6.58","6.83","500"
"SD4","2008-12-02","6.51","6.58","6.58","6.51","5200"
"SD4","2008-12-03","6.45","6.9","7.03","6.9","4500"
"SD4","2008-12-04","6.64","6.7","6.77","6.77","2900"
"SD4","2008-12-05","6.7","6.38","6.7","6.32","11800"
"SD4","2008-12-08","6.19","6.06","6.19","6","5800"
"SD4","2008-12-09","6.19","6.06","6.19","6","3400"
"SD4","2008-12-10","5.8","5.8","5.93","5.74","8600"
"SD4","2008-12-11","5.8","5.8","5.8","5.8","3700"
"SD4","2008-12-12","5.8","6.12","6.19","6.19","14900"
"SD4","2008-12-15","6.25","6.19","6.45","6.45","9500"
"SD4","2008-12-16","6.12","6.06","6.12","6.06","2800"
"SD4","2008-12-17","6.25","6.45","6.06","6.45","5800"
"SD4","2008-12-18","6.64","6.64","6.64","6.64","100"
"SD4","2008-12-19","6.58","6.64","6.32","6.45","7500"
"SD4","2008-12-22","6.64","6.64","6.64","6.64","100"
"SD4","2008-12-23","6.51","6.51","6.19","6.19","9600"
"SD4","2008-12-24","6.45","6.45","6.12","6.19","3200"
"SD4","2008-12-25","6.12","6.19","6.12","6.12","1400"
"SD4","2008-12-26","6.12","6.12","5.93","6.06","7400"
"SD4","2008-12-29","6.45","6.45","5.8","5.8","1300"
"SD4","2008-12-30","6.38","6.38","6.12","6.19","3300"
"SD4","2008-12-31","6.12","6.45","6.12","6.45","1200"
"SD4","2009-01-02","6.32","6.32","6.19","6.32","2000"
"SD4","2009-01-05","6.25","6.25","6.25","6.25","600"
"SD4","2009-01-06","6.12","6.32","6.12","6.32","5000"
"SD4","2009-01-07","6.45","6.64","6.19","6.25","11400"
"SD4","2009-01-08","6.12","6.45","6.12","6.25","7100"
"SD4","2009-01-09","6.19","6.19","6.12","6.12","1400"
"SD4","2009-01-12","5.87","5.93","5.87","5.93","3200"
"SD4","2009-01-13","6.06","6.06","6.06","6.06","100"
"SD4","2009-01-14","6.12","6.12","6.12","6.12","2700"
"SD4","2009-01-15","5.87","5.87","5.87","5.87","1900"
"SD4","2009-01-16","5.8","6","5.8","6","1200"
"SD4","2009-01-19","5.8","5.8","5.67","5.67","1500"
"SD4","2009-01-20","5.8","5.87","5.8","5.8","1600"
"SD4","2009-01-21","5.67","5.67","5.67","5.67","100"
"SD4","2009-01-22","6","6.06","5.93","6.06","5800"
"SD4","2009-01-23","6.38","6.38","6.19","6.32","1400"
"SD4","2009-02-02","6.32","6.32","6.12","6.12","2600"
"SD4","2009-02-05","6.12","6.12","5.8","5.8","500"
