symbol,date,open,high,low,close,volume
"SDB","2010-03-10","38.5","49.5","38.5","45.8","203900"
"SDB","2010-03-11","48","48","44.9","44.9","47300"
"SDB","2010-03-12","45","45","42.5","42.5","26800"
"SDB","2010-03-15","40","41","39.9","39.9","71300"
"SDB","2010-03-16","37.5","38","37.2","37.2","93300"
"SDB","2010-03-17","35.7","38.5","34.8","38.5","72700"
"SDB","2010-03-18","39.3","39.5","39","39.5","19400"
"SDB","2010-03-19","42.1","42.1","40.1","40.9","73700"
"SDB","2010-03-22","42.7","42.7","39.1","39.1","19200"
"SDB","2010-03-23","37.3","38.1","36.8","36.8","46300"
"SDB","2010-03-24","37.6","38.3","37.6","38","26700"
"SDB","2010-03-25","37","37.1","35.4","35.6","14200"
"SDB","2010-03-26","36","36.8","35.9","35.9","23300"
"SDB","2010-03-29","36","36.9","35","36","15100"
"SDB","2010-03-30","36.3","36.4","35.9","35.9","20400"
"SDB","2010-03-31","36.2","36.2","34.5","35","4800"
"SDB","2010-04-01","34","35","33.8","33.8","17600"
"SDB","2010-04-02","35","35","33.5","33.9","28200"
"SDB","2010-04-05","34.3","35","34.1","34.4","13200"
"SDB","2010-04-06","35.8","36","34.3","34.4","21500"
"SDB","2010-04-07","32.6","35","32.6","34","29100"
"SDB","2010-04-08","34.5","36","33.2","35.5","37000"
"SDB","2010-04-09","36.8","36.8","35.5","35.9","53100"
"SDB","2010-04-12","36","37.5","35.8","36.6","72600"
"SDB","2010-04-13","36.6","36.6","35.2","35.5","35500"
"SDB","2010-04-14","34.1","36","34.1","35.5","29000"
"SDB","2010-04-15","35","36.4","35","35.2","35300"
"SDB","2010-04-16","35.5","36","35.3","35.6","54700"
"SDB","2010-04-19","34.7","34.7","33.4","34.2","60100"
"SDB","2010-04-20","35.5","35.5","34.3","34.9","42900"
"SDB","2010-04-21","34","37.4","34","37.4","149600"
"SDB","2010-04-22","37.5","38.9","35.2","35.5","46400"
"SDB","2010-04-26","36","36.7","35.1","35.6","27000"
"SDB","2010-04-27","35.2","35.6","35","35.3","24500"
"SDB","2010-04-28","35","35.5","34.8","35.2","38000"
"SDB","2010-04-29","36","37.5","35.7","37.5","78900"
"SDB","2010-05-04","38","38","36.8","37.1","114000"
"SDB","2010-05-05","36.1","37.2","36","36","38300"
"SDB","2010-05-06","36.8","36.8","35.6","36.1","39100"
"SDB","2010-05-07","36","36.5","35.5","36.1","75300"
"SDB","2010-05-10","36","36.5","35","36","62700"
"SDB","2010-05-11","37","38.5","37","38.5","159500"
"SDB","2010-05-12","39.5","40.7","39.5","40.7","257200"
"SDB","2010-05-13","43.2","43.2","38.1","40","53100"
"SDB","2010-05-14","40.5","40.8","37.7","37.7","42000"
"SDB","2010-05-17","38.1","38.5","35.8","36","38400"
"SDB","2010-05-18","35.5","35.5","34.4","35","41700"
"SDB","2010-05-19","34.7","34.7","32.3","32.3","49200"
"SDB","2010-05-20","33.5","34.8","31.5","34","36900"
"SDB","2010-05-21","34","34","31.3","31.3","50300"
"SDB","2010-05-24","32","32","30","31","22700"
"SDB","2010-05-25","30","30","28.8","29","54700"
"SDB","2010-05-26","30","31.4","29.4","31.4","37000"
"SDB","2010-05-27","31","31","30","30.5","14300"
"SDB","2010-05-28","32","32.5","31.2","32.5","60200"
"SDB","2010-05-31","30.5","30.8","30.1","30.1","11500"
"SDB","2010-06-01","29","30.3","28.8","29.1","18500"
"SDB","2010-06-02","30","31.1","29.8","30.9","21300"
"SDB","2010-06-03","31.9","32.2","30.4","30.6","12800"
"SDB","2010-06-04","31.9","31.9","30","30","20200"
"SDB","2010-06-07","28.8","28.8","28.4","28.5","40000"
"SDB","2010-06-08","29.5","29.5","28.9","29.4","7100"
"SDB","2010-06-09","30","30.2","28.9","28.9","6900"
"SDB","2010-06-10","30.3","30.3","29","29","8700"
"SDB","2010-06-11","30.5","30.8","29.5","30","19800"
"SDB","2010-06-14","30.1","31","30","30.6","23800"
"SDB","2010-06-15","31.4","31.4","30.3","30.6","9900"
"SDB","2010-06-16","31.6","32.5","31","31","34500"
"SDB","2010-06-17","30.6","31.9","30.6","31.3","16400"
"SDB","2010-06-18","31.5","31.5","31","31.3","20600"
"SDB","2010-06-21","30.7","32","30.5","31.6","35500"
"SDB","2010-06-22","31.7","32","31.1","32","73400"
"SDB","2010-06-23","31.7","33","31.7","33","67700"
"SDB","2010-06-24","33","34.6","33","34.6","82900"
"SDB","2010-06-25","33.5","34.5","33","33.4","26600"
"SDB","2010-06-28","33.8","33.8","32.4","33.7","26500"
"SDB","2010-06-29","34","34.2","33.3","34","35200"
"SDB","2010-06-30","31.3","33.5","31.3","32.8","27500"
"SDB","2010-07-01","33.5","33.6","32.5","32.5","32100"
"SDB","2010-07-02","34","34","32.1","32.5","12800"
"SDB","2010-07-05","32.9","32.9","31.7","32.7","16300"
"SDB","2010-07-06","32.4","32.4","31.4","31.4","5900"
"SDB","2010-07-07","32","32.3","31","31.8","5700"
"SDB","2010-07-08","33","33","30.2","30.6","7600"
"SDB","2010-07-09","31.8","31.8","31","31","2500"
"SDB","2010-07-12","31.8","31.8","31.1","31.1","14700"
"SDB","2010-07-13","33","33","31.4","33","32900"
"SDB","2010-07-14","34","34","32","32","8700"
"SDB","2010-07-15","31.5","32.7","31","32.5","20600"
"SDB","2010-07-16","32.6","32.6","31.3","32.1","25400"
"SDB","2010-07-19","32.4","32.4","31.2","31.2","35900"
"SDB","2010-07-20","31.3","31.7","31","31.4","36900"
"SDB","2010-07-21","32.4","32.4","31","31","7900"
"SDB","2010-07-22","30","31.7","30","31.7","7000"
"SDB","2010-07-23","30.9","31.5","30.7","31","14000"
"SDB","2010-07-26","31.1","31.1","31","31","13800"
"SDB","2010-07-27","31","31","31","31","15400"
"SDB","2010-07-28","32","32","29","29.4","26900"
"SDB","2010-07-29","30.5","30.5","28.5","30.5","10000"
"SDB","2010-07-30","30","30.8","29.5","30","13900"
"SDB","2010-08-02","30.3","30.3","30.3","30.3","100"
"SDB","2010-08-03","30.5","30.5","29","29","6900"
"SDB","2010-08-04","28.8","29","28.8","29","4200"
"SDB","2010-08-05","28.5","28.9","28.5","28.5","6600"
"SDB","2010-08-06","28.5","29","28.3","28.3","5500"
"SDB","2010-08-09","28.3","28.3","26.6","26.6","7300"
"SDB","2010-08-10","29.1","29.1","25.3","25.3","31800"
"SDB","2010-08-11","26.5","26.5","26","26.4","4400"
"SDB","2010-08-12","24.6","24.7","24.6","24.6","8500"
"SDB","2010-08-13","25","25","23","24.5","14700"
"SDB","2010-08-16","24","25.2","24","25.2","12500"
"SDB","2010-08-17","25.2","25.2","24.2","25","6800"
"SDB","2010-08-18","25","25.8","25","25.5","2800"
"SDB","2010-08-19","26.4","26.4","25","25.5","900"
"SDB","2010-08-20","26","26","25.4","25.4","1200"
"SDB","2010-08-23","24.5","24.5","24.1","24.1","900"
"SDB","2010-08-24","22.7","22.7","22.6","22.6","4500"
"SDB","2010-08-25","21.5","21.5","21.1","21.1","8000"
"SDB","2010-08-26","22.3","22.3","19.7","19.7","11500"
"SDB","2010-08-27","20.1","20.1","19.2","19.2","1700"
"SDB","2010-08-30","20.6","20.6","20.6","20.6","2700"
"SDB","2010-08-31","21.5","22","21.5","22","26600"
"SDB","2010-09-01","23.3","23.4","23","23.4","30600"
"SDB","2010-09-06","24.8","24.9","24.8","24.9","20700"
"SDB","2010-09-07","26.4","26.4","26.4","26.4","100"
"SDB","2010-09-08","24.6","24.6","24.6","24.6","3000"
"SDB","2010-09-09","24.5","24.7","22.9","22.9","22300"
"SDB","2010-09-10","24.5","24.5","21.9","21.9","5900"
"SDB","2010-09-13","21","21","20.6","20.6","19200"
"SDB","2010-09-14","20.2","22","20","22","8100"
"SDB","2010-09-15","20.1","20.1","19.3","19.3","6500"
"SDB","2010-09-16","20.4","20.9","20","20.5","4800"
"SDB","2010-09-17","21.9","22","21.8","21.9","47900"
"SDB","2010-09-20","22","22.8","21.4","21.4","9100"
"SDB","2010-09-21","21.3","21.3","21","21","14300"
"SDB","2010-09-22","22","22.4","22","22.4","14200"
"SDB","2010-09-23","23","23.7","22.2","23.5","72600"
"SDB","2010-09-24","24.2","24.2","23.6","23.6","300"
"SDB","2010-09-27","22.2","25","22.2","24","22100"
"SDB","2010-09-28","23.8","23.9","22.6","22.6","7100"
"SDB","2010-09-29","22.2","22.2","21.7","21.7","18600"
"SDB","2010-09-30","20.8","22.2","20.8","22.2","12100"
"SDB","2010-10-01","21.7","21.7","21.7","21.7","100"
"SDB","2010-10-04","20.5","20.5","20.2","20.2","35100"
"SDB","2010-10-05","19.1","20.2","19","20.2","13600"
"SDB","2010-10-06","20","20.6","19.5","20.3","8500"
"SDB","2010-10-07","19.5","19.5","18.6","19.1","5800"
"SDB","2010-10-08","19","19","19","19","700"
"SDB","2010-10-11","19.8","19.8","19.8","19.8","100"
"SDB","2010-10-12","18.8","19","18.8","19","1300"
"SDB","2010-10-13","19.4","19.5","19.4","19.5","3200"
"SDB","2010-10-14","20","20","19.4","19.4","2900"
"SDB","2010-10-15","19","19","19","19","1000"
"SDB","2010-10-18","20.2","20.2","20.2","20.2","200"
"SDB","2010-10-19","18.8","18.8","18.8","18.8","5000"
"SDB","2010-10-20","17.5","17.8","17.5","17.5","5900"
"SDB","2010-10-21","18.5","18.5","18.5","18.5","100"
"SDB","2010-10-25","17.3","18","17.3","18","6800"
"SDB","2010-10-26","18.5","18.8","18.5","18.8","2300"
"SDB","2010-10-27","17.4","18.6","17.4","18.6","2800"
"SDB","2010-10-28","16.5","16.5","16.5","16.5","6900"
"SDB","2010-10-29","16.6","17.5","16.6","17.5","5900"
"SDB","2010-11-01","16.9","17.9","16.9","17.9","6600"
"SDB","2010-11-02","17.4","18.4","17.4","17.5","12300"
"SDB","2010-11-03","18","18","17.2","17.2","5500"
"SDB","2010-11-04","17.5","17.5","16.5","16.5","1100"
"SDB","2010-11-05","17.5","17.5","16.6","16.6","5800"
"SDB","2010-11-10","17.3","17.3","17.3","17.3","100"
"SDB","2010-11-11","16.1","16.1","16.1","16.1","3600"
"SDB","2010-11-12","17","17","15.2","15.2","6100"
"SDB","2010-11-15","16.3","16.3","14.9","14.9","3000"
"SDB","2010-11-16","14.2","14.2","14.1","14.1","20000"
"SDB","2010-11-17","13.2","14","13.2","14","9300"
"SDB","2010-11-18","14.3","14.4","14.3","14.4","2300"
