symbol,date,open,high,low,close,volume
"SDC","2006-12-25","11.47","11.47","10.26","15.3","4029"
"SDC","2006-12-27","9.96","10.56","9.96","14.18","5756"
"SDC","2007-01-04","9.96","9.96","9.96","14.49","2015"
"SDC","2007-01-09","9.96","9.96","9.96","14.18","5037"
"SDC","2007-01-10","9.96","9.96","9.96","14.49","4317"
"SDC","2007-01-11","9.96","9.96","9.96","14.46","3166"
"SDC","2007-01-12","9.96","9.96","9.96","14.52","3885"
"SDC","2007-01-15","9.96","9.96","9.96","14.46","3310"
"SDC","2007-01-16","9.96","10.26","9.96","14.55","6188"
"SDC","2007-01-17","10.26","10.26","10.26","14.79","144"
"SDC","2007-01-18","10.26","10.56","10.26","15.09","2878"
"SDC","2007-01-19","10.56","10.56","10.56","15.39","720"
"SDC","2007-01-22","10.86","10.86","10.86","15.69","5612"
"SDC","2007-01-23","10.86","11.17","10.86","15.72","8922"
"SDC","2007-01-24","11.17","11.17","10.86","15.99","4893"
"SDC","2007-01-25","11.47","11.47","11.17","16.45","1871"
"SDC","2007-01-29","11.47","11.47","11.47","16.6","144"
"SDC","2007-01-30","12.68","12.68","12.68","18.26","576"
"SDC","2007-01-31","13.88","13.88","13.88","20.07","20290"
"SDC","2007-02-01","15.39","15.39","15.39","22.06","288"
"SDC","2007-02-02","16.9","16.9","16.9","24.26","1727"
"SDC","2007-02-05","18.41","18.41","18.41","26.68","720"
"SDC","2007-02-06","20.52","20.52","20.52","29.33","8922"
"SDC","2007-02-07","22.03","22.33","22.03","32.26","16980"
"SDC","2007-02-08","24.45","24.45","24.45","35.31","3166"
"SDC","2007-02-09","24.45","24.45","24.45","35.31","4317"
"SDC","2007-02-12","24.45","24.45","22.03","31.78","2878"
"SDC","2007-02-13","22.63","22.63","21.43","30.78","7195"
"SDC","2007-02-14","22.03","22.33","22.03","32.26","432"
"SDC","2007-02-15","23.84","23.84","23.84","34.4","288"
"SDC","2007-02-26","24.75","26.26","24.75","37.12","7627"
"SDC","2007-02-27","28.07","28.07","26.86","39.23","1871"
"SDC","2007-02-28","29.88","29.88","27.16","39.23","863"
"SDC","2007-03-01","26.56","26.56","26.56","38.33","720"
"SDC","2007-03-02","26.56","28.97","26.56","40.74","2878"
"SDC","2007-03-05","29.27","29.27","27.77","40.14","1151"
"SDC","2007-03-06","27.16","27.77","27.16","40.14","1727"
"SDC","2007-03-07","27.16","27.16","27.16","39.08","720"
"SDC","2007-03-08","25.05","25.05","25.05","36.22","2302"
"SDC","2007-03-09","24.75","24.75","24.45","35.31","1007"
"SDC","2007-03-12","24.45","24.45","22.03","31.9","1583"
"SDC","2007-03-13","22.03","22.03","20.52","29.61","3166"
"SDC","2007-03-14","20.52","21.13","20.52","30.48","6044"
"SDC","2007-03-15","23.24","23.24","19.62","30.48","4461"
"SDC","2007-03-16","22.33","22.33","22.33","32.32","1439"
"SDC","2007-03-19","23.84","23.84","23.84","34.1","2734"
"SDC","2007-03-20","21.43","21.43","21.43","30.78","576"
"SDC","2007-03-21","23.54","23.54","22.03","31.69","3454"
"SDC","2007-03-22","21.73","21.73","20.82","30","3166"
"SDC","2007-03-23","20.82","22.33","19.62","28.16","8059"
"SDC","2007-03-26","22.94","22.94","20.82","30.18","7195"
"SDC","2007-03-27","19.92","19.92","19.92","28.7","3310"
"SDC","2007-03-28","19.01","19.01","19.01","27.16","720"
"SDC","2007-03-29","20.82","20.82","20.82","29.88","288"
"SDC","2007-03-30","22.94","22.94","20.82","30.18","3166"
