symbol,date,open,high,low,close,volume
"SEA","2016-12-23","13.16","13.16","13.16","13.16","164300"
"SEA","2016-12-26","15.07","15.07","14.82","15.07","74100"
"SEA","2016-12-27","17.3","17.3","17.3","17.3","62200"
"SEA","2016-12-28","19.46","19.71","14.74","14.74","148920"
"SEA","2016-12-29","14.08","14.08","13.66","13.66","42560"
"SEA","2016-12-30","11.68","13.25","11.68","12.17","59516"
"SEA","2017-01-03","10.76","12.59","10.6","11.18","36004"
"SEA","2017-01-04","11.76","11.92","10.1","10.6","66500"
"SEA","2017-01-05","10.6","12.17","10.35","10.35","197100"
"SEA","2017-01-06","11.18","12.01","10.43","11.1","76800"
"SEA","2017-01-09","10.68","11.59","10.6","10.93","51200"
"SEA","2017-01-10","10.68","11.1","10.6","10.93","94500"
"SEA","2017-01-11","10.76","10.93","10.52","10.85","44720"
"SEA","2017-01-12","10.85","11.01","10.6","10.6","75700"
"SEA","2017-01-13","10.76","10.76","10.1","10.35","143100"
"SEA","2017-01-16","10.27","10.52","9.94","9.94","69000"
"SEA","2017-01-17","10.1","10.43","9.77","10.18","79300"
"SEA","2017-01-18","10.1","10.18","9.77","10.02","57100"
"SEA","2017-01-19","9.85","10.43","9.77","10.35","36600"
"SEA","2017-01-20","10.35","10.76","9.85","10.76","83500"
"SEA","2017-01-23","10.27","10.6","10.1","10.18","32300"
"SEA","2017-01-24","10.02","11.18","9.94","10.76","81500"
"SEA","2017-01-25","10.35","11.18","10.27","11.01","63200"
"SEA","2017-02-02","11.1","11.76","10.6","10.6","57610"
"SEA","2017-02-03","10.6","10.68","10.43","10.68","91200"
"SEA","2017-02-06","11.34","11.34","10.52","11.01","61500"
"SEA","2017-02-07","11.1","11.18","10.85","11.1","37100"
"SEA","2017-02-08","11.18","11.18","10.85","11.01","25400"
"SEA","2017-02-09","11.34","12.01","11.01","12.01","62000"
"SEA","2017-02-10","11.43","11.51","10.76","11.51","126000"
"SEA","2017-02-13","11.1","11.43","10.93","11.34","68900"
"SEA","2017-02-14","11.01","11.43","11.01","11.18","68600"
"SEA","2017-02-15","11.26","11.51","11.26","11.34","68600"
"SEA","2017-02-16","11.18","11.26","11.18","11.26","41500"
"SEA","2017-02-17","11.18","11.18","11.01","11.01","65300"
"SEA","2017-02-20","11.18","11.34","10.76","11.34","42110"
"SEA","2017-02-21","11.01","11.34","11.01","11.26","36000"
"SEA","2017-02-22","11.34","11.51","11.18","11.34","22100"
"SEA","2017-02-23","11.01","11.34","9.77","11.01","95700"
"SEA","2017-02-24","11.01","11.51","10.93","11.43","137500"
"SEA","2017-02-27","11.26","11.43","11.01","11.1","202334"
"SEA","2017-02-28","11.1","11.51","11.1","11.18","39400"
"SEA","2017-03-01","11.1","11.18","11.01","11.1","117200"
"SEA","2017-03-02","11.1","11.18","11.1","11.18","66600"
"SEA","2017-03-03","11.1","11.1","9.77","10.93","93402"
"SEA","2017-03-06","11.01","11.01","10.35","11.01","94706"
"SEA","2017-03-07","11.18","11.26","11.01","11.26","62700"
"SEA","2017-03-08","10.43","11.59","10.43","11.51","80500"
"SEA","2017-03-09","10.76","11.43","10.52","11.43","52400"
"SEA","2017-03-10","10.85","12.83","10.85","12.83","254041"
"SEA","2017-03-13","13.74","13.74","13.74","13.74","36700"
"SEA","2017-03-14","15.73","15.73","11.84","15.73","257400"
"SEA","2017-03-15","17.47","17.47","13.5","17.47","325821"
"SEA","2017-03-16","18.22","18.88","17.47","18.88","99020"
"SEA","2017-03-17","19.13","21.28","19.04","21.28","125610"
"SEA","2017-03-20","21.53","24.26","21.53","24.26","155000"
"SEA","2017-03-22","23.18","23.85","23.02","23.02","38869"
"SEA","2017-03-23","19.87","20.7","19.62","19.62","383175"
"SEA","2017-03-24","17.47","20.53","16.81","16.89","474891"
"SEA","2017-03-27","18.96","19.54","14.99","18.22","211120"
"SEA","2017-03-28","17.06","18.22","14.74","17.39","292101"
"SEA","2017-03-29","15.48","15.98","13.5","15.07","322000"
"SEA","2017-03-30","15.07","16.73","14.08","16.73","144520"
"SEA","2017-03-31","17.8","17.97","17.8","17.97","18950"
"SEA","2017-04-03","19.46","20.53","17.89","20.53","350221"
"SEA","2017-04-04","21.45","22.19","18.71","19.46","129160"
"SEA","2017-04-05","19.04","19.87","17.47","17.55","312626"
"SEA","2017-04-07","18.22","18.22","16.73","16.89","224230"
"SEA","2017-04-10","17.22","18.13","16.15","16.89","132200"
"SEA","2017-04-11","16.64","18.22","16.31","17.39","88300"
"SEA","2017-04-12","17.22","17.22","15.81","16.06","178300"
"SEA","2017-04-13","15.98","16.56","15.81","16.15","68710"
"SEA","2017-04-14","16.06","16.15","15.15","15.9","165500"
"SEA","2017-04-17","16.15","16.15","15.32","15.4","32302"
"SEA","2017-04-18","15.4","15.81","14.49","15.65","63410"
"SEA","2017-04-19","15.15","17.39","14.65","17.39","225000"
"SEA","2017-04-20","16.56","18.63","15.73","16.81","141050"
"SEA","2017-04-21","17.06","17.06","15.81","16.06","70700"
"SEA","2017-04-24","15.98","16.23","15.73","16.06","26300"
"SEA","2017-04-25","15.81","15.98","15.65","15.73","70400"
"SEA","2017-04-26","15.73","17.22","15.57","16.97","91000"
"SEA","2017-04-27","15.9","16.89","13.83","15.65","133200"
"SEA","2017-04-28","15.07","16.06","14.99","15.73","29900"
"SEA","2017-05-03","15.4","15.73","14.74","15.4","76100"
"SEA","2017-05-04","15.32","15.65","14.99","15.4","50300"
"SEA","2017-05-05","15.4","15.48","14.9","15.32","54600"
"SEA","2017-05-08","15.32","15.4","14.74","15.15","68300"
"SEA","2017-05-09","14.9","15.15","14.49","14.74","75300"
"SEA","2017-05-10","14.74","14.82","14.32","14.57","49006"
"SEA","2017-05-11","14.49","14.65","14.24","14.24","29300"
"SEA","2017-05-12","14.32","14.99","14.08","14.32","93600"
"SEA","2017-05-15","14.08","14.32","13.66","13.99","65000"
"SEA","2017-05-16","13.83","13.99","13.5","13.58","88300"
"SEA","2017-05-17","13.74","15.4","13.33","14.74","141600"
"SEA","2017-05-18","14.74","14.74","14.08","14.24","30806"
"SEA","2017-05-19","14.32","14.32","13.99","13.99","33300"
"SEA","2017-05-22","14.08","14.16","13.74","13.83","80200"
"SEA","2017-05-23","13.83","14.08","13.74","13.74","44685"
"SEA","2017-05-24","13.83","14.24","13.83","14.24","38700"
"SEA","2017-05-25","13.99","14.08","13.91","13.91","19400"
"SEA","2017-05-26","13.99","14.16","13.66","14.16","45700"
"SEA","2017-05-29","13.99","14.08","13.66","13.74","39500"
"SEA","2017-05-30","13.99","14.08","13.83","13.83","45000"
"SEA","2017-05-31","13.99","13.99","13.66","13.74","50705"
"SEA","2017-06-01","13.83","13.83","13.74","13.74","26100"
"SEA","2017-06-02","13.83","13.99","13.74","13.99","14200"
"SEA","2017-06-05","13.91","14.08","13.83","14.08","14100"
"SEA","2017-06-06","13.91","13.91","13.83","13.91","9900"
"SEA","2017-06-07","13.91","13.91","13.66","13.74","29900"
"SEA","2017-06-08","13.83","13.83","13.66","13.74","17000"
"SEA","2017-06-09","13.74","14.82","13.66","13.74","39500"
"SEA","2017-06-12","13.99","14.08","13.91","14.08","22600"
"SEA","2017-06-13","14.08","14.24","13.91","13.99","20500"
"SEA","2017-06-14","14.08","14.08","13.83","13.91","29100"
"SEA","2017-06-15","13.91","14.16","13.83","14.16","43400"
"SEA","2017-06-16","13.99","14.08","13.91","13.91","37200"
"SEA","2017-06-19","13.99","14.24","13.91","14.08","26000"
"SEA","2017-06-20","13.99","14.08","13.99","14.08","18400"
"SEA","2017-06-21","13.99","14.08","13.83","13.91","38100"
"SEA","2017-06-22","13.91","13.99","13.83","13.83","23200"
"SEA","2017-06-23","13.83","13.91","13.83","13.91","16600"
"SEA","2017-06-26","15.98","15.98","14.49","15.98","128800"
"SEA","2017-06-27","16.06","17.3","15.57","15.65","82012"
"SEA","2017-06-28","16.15","16.15","14.99","15.32","23200"
