symbol,date,open,high,low,close,volume,year,month,week,weekday
"SGP","2016-04-25","13.58","15.63","12.02","15.53","148100","2016","04","18","Monday"
"SGP","2016-04-26","15.73","16.02","15.63","16.02","169000","2016","04","18","Tuesday"
"SGP","2016-04-27","18.37","18.37","16.61","18.27","363000","2016","04","18","Wednesday"
"SGP","2016-04-28","20.03","20.03","16.61","17.29","83700","2016","04","18","Thursday"
"SGP","2016-04-29","16.71","17","15.34","16.61","139700","2016","04","18","Friday"
"SGP","2016-05-04","15.63","16.61","14.65","15.34","72300","2016","05","19","Wednesday"
"SGP","2016-05-05","14.46","15.53","13.38","13.38","238700","2016","05","19","Thursday"
"SGP","2016-05-06","12.7","13.68","12.7","13.19","73400","2016","05","19","Friday"
"SGP","2016-05-09","13.19","13.68","12.99","12.99","28700","2016","05","20","Monday"
"SGP","2016-05-10","12.12","13.19","12.12","12.99","20200","2016","05","20","Tuesday"
"SGP","2016-05-11","12.99","12.99","11.72","12.41","24700","2016","05","20","Wednesday"
"SGP","2016-05-12","12.41","13.78","12.41","13.48","45820","2016","05","20","Thursday"
"SGP","2016-05-13","13.19","13.29","12.99","13.29","15500","2016","05","20","Friday"
"SGP","2016-05-16","12.7","13.19","12.7","13.09","18900","2016","05","21","Monday"
"SGP","2016-05-17","12.9","13.19","12.6","12.9","52500","2016","05","21","Tuesday"
"SGP","2016-05-18","12.9","13.19","12.7","13.09","47100","2016","05","21","Wednesday"
"SGP","2016-05-19","12.7","12.9","12.7","12.7","30500","2016","05","21","Thursday"
"SGP","2016-05-20","12.6","12.7","12.6","12.7","5000","2016","05","21","Friday"
"SGP","2016-05-23","12.7","12.8","12.6","12.7","25800","2016","05","22","Monday"
"SGP","2016-05-24","12.6","12.7","12.6","12.6","33700","2016","05","22","Tuesday"
"SGP","2016-05-25","12.6","12.6","12.6","12.6","20100","2016","05","22","Wednesday"
"SGP","2016-05-26","12.41","12.6","11.82","12.41","11510","2016","05","22","Thursday"
"SGP","2016-05-27","12.21","12.6","12.21","12.21","6100","2016","05","22","Friday"
"SGP","2016-05-30","12.31","12.31","12.21","12.31","47100","2016","05","23","Monday"
"SGP","2016-05-31","12.31","12.41","11.92","12.31","50900","2016","05","23","Tuesday"
"SGP","2016-06-01","12.31","12.31","12.21","12.31","2300","2016","06","23","Wednesday"
