symbol,date,open,high,low,close,volume,year,month,week,weekday
"SHC","2006-08-15","30","30","30","30","6790","2006","08","33","Tuesday"
"SHC","2006-08-16","29.5","31.5","29.5","31.5","48010","2006","08","33","Wednesday"
"SHC","2006-08-17","33","33","32.5","32.5","39600","2006","08","33","Thursday"
"SHC","2006-08-18","31.5","31.5","31.5","31.5","17940","2006","08","33","Friday"
"SHC","2006-08-21","31","31","30.5","30.5","9600","2006","08","34","Monday"
"SHC","2006-08-22","29.2","29.2","29.2","29.2","11640","2006","08","34","Tuesday"
"SHC","2006-08-23","28.1","29","28.1","29","17820","2006","08","34","Wednesday"
"SHC","2006-08-24","30","30","29.7","30","11800","2006","08","34","Thursday"
"SHC","2006-08-25","30.5","30.5","29.6","29.6","7650","2006","08","34","Friday"
"SHC","2006-08-28","30.5","31","30.5","31","10000","2006","08","35","Monday"
"SHC","2006-08-29","32.5","32.5","32.2","32.5","34230","2006","08","35","Tuesday"
"SHC","2006-08-30","33.8","34.1","33.8","34.1","36650","2006","08","35","Wednesday"
"SHC","2006-08-31","35","35","34.1","34.2","28430","2006","08","35","Thursday"
"SHC","2006-09-01","34.8","35.5","34.8","35.5","40910","2006","09","35","Friday"
"SHC","2006-09-05","36","37.2","36","37.2","26190","2006","09","36","Tuesday"
"SHC","2006-09-06","38.5","38.5","36.2","36.2","19600","2006","09","36","Wednesday"
"SHC","2006-09-07","36.2","36.2","35.2","35.2","22520","2006","09","36","Thursday"
"SHC","2006-09-08","34.7","35.6","34.7","35.6","21960","2006","09","36","Friday"
"SHC","2006-09-11","37.3","37.3","35.4","35.4","16300","2006","09","37","Monday"
"SHC","2006-09-12","37.1","37.1","36.5","36.5","74600","2006","09","37","Tuesday"
"SHC","2006-09-13","37","37.1","36.9","37.1","18510","2006","09","37","Wednesday"
"SHC","2006-09-14","37.5","37.5","37","37","32930","2006","09","37","Thursday"
"SHC","2006-09-15","37","37.4","37","37.4","19490","2006","09","37","Friday"
"SHC","2006-09-18","37","37","36.6","36.6","16400","2006","09","38","Monday"
"SHC","2006-09-19","36.6","37","36.6","37","31190","2006","09","38","Tuesday"
"SHC","2006-09-20","37.2","37.5","37.2","37.2","24700","2006","09","38","Wednesday"
"SHC","2006-09-21","37","37","36.5","37","18790","2006","09","38","Thursday"
"SHC","2006-09-22","37.1","37.5","37.1","37.5","26800","2006","09","38","Friday"
"SHC","2006-09-25","37.5","38","37.5","37.8","20020","2006","09","39","Monday"
"SHC","2006-09-26","38.2","38.5","38.2","38.5","19230","2006","09","39","Tuesday"
"SHC","2006-09-27","39.2","39.5","39.2","39.5","31640","2006","09","39","Wednesday"
"SHC","2006-09-28","39","39","38.6","38.8","14720","2006","09","39","Thursday"
"SHC","2006-09-29","38.8","38.8","38.6","38.6","18400","2006","09","39","Friday"
"SHC","2006-10-02","38.6","38.6","38.4","38.4","8060","2006","10","40","Monday"
"SHC","2006-10-03","38","38.4","38","38.4","13600","2006","10","40","Tuesday"
"SHC","2006-10-04","38","38.3","38","38","8300","2006","10","40","Wednesday"
"SHC","2006-10-05","37.9","37.9","37.5","37.5","15660","2006","10","40","Thursday"
"SHC","2006-10-06","37","37.5","37","37.5","10040","2006","10","40","Friday"
"SHC","2006-10-09","37.4","37.4","37.2","37.2","9200","2006","10","41","Monday"
"SHC","2006-10-10","35.6","37","35.6","36.5","950","2006","10","41","Tuesday"
"SHC","2006-10-11","36.5","36.5","36.5","36.5","1600","2006","10","41","Wednesday"
"SHC","2006-10-12","36.5","37","36.5","37","5380","2006","10","41","Thursday"
"SHC","2006-10-13","37","37","36.8","36.8","12850","2006","10","41","Friday"
"SHC","2006-10-16","36.8","36.9","36.8","36.8","8590","2006","10","42","Monday"
"SHC","2006-10-17","36.5","36.5","35.5","35.5","3620","2006","10","42","Tuesday"
"SHC","2006-10-18","35","35","34.6","35","19580","2006","10","42","Wednesday"
"SHC","2006-10-19","35","36.5","35","36.5","1070","2006","10","42","Thursday"
"SHC","2006-10-20","37.3","37.3","37.3","37.3","9030","2006","10","42","Friday"
"SHC","2006-10-23","37.3","37.3","36","36.2","13430","2006","10","43","Monday"
"SHC","2006-10-24","36.5","36.5","36","36","4650","2006","10","43","Tuesday"
"SHC","2006-10-25","36","36","35.9","35.9","7800","2006","10","43","Wednesday"
"SHC","2006-10-26","35.8","36","35.8","35.9","2430","2006","10","43","Thursday"
"SHC","2006-10-27","34.7","35.4","34.7","35.1","9320","2006","10","43","Friday"
"SHC","2006-10-30","34","34","33.5","33.5","6600","2006","10","44","Monday"
"SHC","2006-10-31","33","33.5","33","33.5","6200","2006","10","44","Tuesday"
"SHC","2006-11-01","33.5","34.7","33.5","34.7","6900","2006","11","44","Wednesday"
"SHC","2006-11-02","34.7","34.7","33.8","33.8","6210","2006","11","44","Thursday"
"SHC","2006-11-03","32.7","33.5","32.7","33.5","6700","2006","11","44","Friday"
"SHC","2006-11-06","33.5","34.2","33.5","34.2","10","2006","11","45","Monday"
"SHC","2006-11-07","33.5","33.7","33.5","33.7","6910","2006","11","45","Tuesday"
"SHC","2006-11-08","33.5","33.5","33.4","33.4","7770","2006","11","45","Wednesday"
"SHC","2006-11-09","33.2","33.2","33","33","14100","2006","11","45","Thursday"
"SHC","2006-11-10","32.8","32.8","32","32","13450","2006","11","45","Friday"
"SHC","2006-11-13","31.5","31.5","31.5","31.5","10600","2006","11","46","Monday"
"SHC","2006-11-14","32.5","33","32.5","33","10330","2006","11","46","Tuesday"
"SHC","2006-11-15","34.6","34.6","34.5","34.5","18860","2006","11","46","Wednesday"
"SHC","2006-11-16","34.5","34.5","33.2","33.2","2810","2006","11","46","Thursday"
"SHC","2006-11-17","34.5","34.5","34.5","34.5","13630","2006","11","46","Friday"
"SHC","2006-11-20","34.5","34.5","33","33","10700","2006","11","47","Monday"
"SHC","2006-11-21","34.5","34.5","34","34","19520","2006","11","47","Tuesday"
"SHC","2006-11-22","34.3","34.3","34","34","14700","2006","11","47","Wednesday"
"SHC","2006-11-23","34","35.5","34","35.5","35570","2006","11","47","Thursday"
"SHC","2006-11-24","36","36.8","36","36","28060","2006","11","47","Friday"
"SHC","2006-11-27","36.5","36.5","36","36","14300","2006","11","48","Monday"
"SHC","2006-11-28","36","36","34.6","36","24000","2006","11","48","Tuesday"
"SHC","2006-11-29","36","36","34.5","34.5","2900","2006","11","48","Wednesday"
"SHC","2006-11-30","34.5","34.5","33.7","33.7","10620","2006","11","48","Thursday"
"SHC","2006-12-01","33.6","34","33.6","34","4400","2006","12","48","Friday"
"SHC","2006-12-04","34","34","34","34","4530","2006","12","49","Monday"
"SHC","2006-12-05","34","34","34","34","5130","2006","12","49","Tuesday"
"SHC","2006-12-06","34","34","33.9","33.9","4200","2006","12","49","Wednesday"
"SHC","2006-12-07","34.5","34.5","34","34","14030","2006","12","49","Thursday"
"SHC","2006-12-08","34","34","34","34","1500","2006","12","49","Friday"
"SHC","2006-12-11","34","35.7","34","35.7","36640","2006","12","50","Monday"
"SHC","2006-12-12","35.7","35.7","35.7","35.7","2500","2006","12","50","Tuesday"
"SHC","2006-12-13","35.7","35.7","34.5","34.5","1110","2006","12","50","Wednesday"
"SHC","2006-12-14","34.5","34.5","33","33","2390","2006","12","50","Thursday"
"SHC","2006-12-15","33","34.6","33","34.6","8970","2006","12","50","Friday"
"SHC","2006-12-18","36.3","36.3","36.3","36.3","11340","2006","12","51","Monday"
"SHC","2006-12-19","38.1","38.1","38","38","38460","2006","12","51","Tuesday"
"SHC","2006-12-20","38","38","36.1","36.1","18300","2006","12","51","Wednesday"
"SHC","2006-12-21","36.1","36.1","28.6","28.6","6320","2006","12","51","Thursday"
"SHC","2006-12-22","27.5","28.6","27.5","28.6","8780","2006","12","51","Friday"
"SHC","2006-12-25","28.6","29.5","28.6","29.5","2400","2006","12","52","Monday"
"SHC","2006-12-26","30","30","29.6","29.6","9470","2006","12","52","Tuesday"
"SHC","2006-12-27","29.6","29.6","29.6","29.6","3400","2006","12","52","Wednesday"
"SHC","2006-12-28","29.6","29.6","29.6","29.6","3220","2006","12","52","Thursday"
"SHC","2006-12-29","29.6","29.6","28.2","29","3470","2006","12","52","Friday"
"SHC","2007-01-02","29","29","28","29","1040","2007","01","1","Tuesday"
"SHC","2007-01-03","29","29","29","29","1250","2007","01","1","Wednesday"
"SHC","2007-01-04","28","28.9","28","28.9","9300","2007","01","1","Thursday"
"SHC","2007-01-05","28.9","28.9","28.9","28.9","5450","2007","01","1","Friday"
"SHC","2007-01-08","28.6","28.9","27.7","28.9","7400","2007","01","2","Monday"
"SHC","2007-01-09","29","29","29","29","9510","2007","01","2","Tuesday"
"SHC","2007-01-10","30.4","30.4","30.4","30.4","20640","2007","01","2","Wednesday"
"SHC","2007-01-11","31.9","31.9","31.9","31.9","14480","2007","01","2","Thursday"
"SHC","2007-01-12","33.4","33.4","33.4","33.4","14700","2007","01","2","Friday"
"SHC","2007-01-15","35","35","35","35","28980","2007","01","3","Monday"
"SHC","2007-01-16","36.7","36.7","36.7","36.7","19930","2007","01","3","Tuesday"
"SHC","2007-01-17","38.5","38.5","38.5","38.5","44200","2007","01","3","Wednesday"
"SHC","2007-01-18","37","37","36.6","36.6","26730","2007","01","3","Thursday"
"SHC","2007-01-19","36.6","36.6","34.8","36.5","18600","2007","01","3","Friday"
"SHC","2007-01-22","36.5","36.5","36","36","19980","2007","01","4","Monday"
"SHC","2007-01-23","35","35.9","35","35","27220","2007","01","4","Tuesday"
"SHC","2007-01-24","33.3","34.5","33.3","34","8050","2007","01","4","Wednesday"
"SHC","2007-01-25","34","34","33","33","2360","2007","01","4","Thursday"
"SHC","2007-01-26","33","33","31.4","31.4","2900","2007","01","4","Friday"
"SHC","2007-01-29","31","31.3","30","30","20240","2007","01","5","Monday"
"SHC","2007-01-30","30","31.5","30","31.5","1300","2007","01","5","Tuesday"
"SHC","2007-01-31","33","33","33","33","3750","2007","01","5","Wednesday"
"SHC","2007-02-01","34.6","34.6","34.6","34.6","3260","2007","02","5","Thursday"
"SHC","2007-02-02","32.9","32.9","32.9","32.9","12860","2007","02","5","Friday"
"SHC","2007-02-05","33","34.5","33","33","16680","2007","02","6","Monday"
"SHC","2007-02-06","33","34","33","33","13830","2007","02","6","Tuesday"
"SHC","2007-02-07","34.5","34.6","34.5","34.5","54230","2007","02","6","Wednesday"
"SHC","2007-02-08","36.2","36.2","36","36","61060","2007","02","6","Thursday"
"SHC","2007-02-09","36","36","36","36","9980","2007","02","6","Friday"
"SHC","2007-02-12","36","36","34.5","34.5","7950","2007","02","7","Monday"
"SHC","2007-02-13","34.5","35.8","34.5","35.8","14850","2007","02","7","Tuesday"
"SHC","2007-02-14","35.8","35.8","35.8","35.8","9200","2007","02","7","Wednesday"
"SHC","2007-02-15","35.8","35.8","35.1","35.2","3500","2007","02","7","Thursday"
"SHC","2007-02-26","33.5","36.5","33.5","36.5","14080","2007","02","9","Monday"
"SHC","2007-02-27","38","38.1","36.5","36.5","42330","2007","02","9","Tuesday"
"SHC","2007-02-28","36.5","36.5","36.5","36.5","23720","2007","02","9","Wednesday"
"SHC","2007-03-01","38","38.3","38","38.3","51280","2007","03","9","Thursday"
"SHC","2007-03-02","40.2","40.2","40.2","40.2","51920","2007","03","9","Friday"
"SHC","2007-03-05","42.2","42.2","42.2","42.2","16110","2007","03","10","Monday"
"SHC","2007-03-06","42.2","44.3","42.2","44.3","17830","2007","03","10","Tuesday"
"SHC","2007-03-07","46.5","46.5","46.5","46.5","9620","2007","03","10","Wednesday"
"SHC","2007-03-08","46.5","48.8","46.5","48.8","5310","2007","03","10","Thursday"
"SHC","2007-03-09","51","51","51","51","8760","2007","03","10","Friday"
"SHC","2007-03-12","53.5","53.5","53.5","53.5","26730","2007","03","11","Monday"
"SHC","2007-03-13","53.5","56","51","51","56330","2007","03","11","Tuesday"
"SHC","2007-03-14","48.5","48.5","48.5","48.5","29540","2007","03","11","Wednesday"
"SHC","2007-03-15","46.1","46.1","46.1","46.1","18550","2007","03","11","Thursday"
"SHC","2007-03-16","43.8","43.8","43.8","43.8","46150","2007","03","11","Friday"
"SHC","2007-03-19","45.9","45.9","45.9","45.9","18000","2007","03","12","Monday"
"SHC","2007-03-20","48.1","48.1","47","47","91530","2007","03","12","Tuesday"
"SHC","2007-03-21","49","49","44.7","44.7","35830","2007","03","12","Wednesday"
"SHC","2007-03-22","43","43","42.5","42.5","32890","2007","03","12","Thursday"
"SHC","2007-03-23","44.5","44.5","40.4","40.4","31610","2007","03","12","Friday"
"SHC","2007-03-26","38.4","38.4","38.4","38.4","26440","2007","03","13","Monday"
"SHC","2007-03-27","36.5","36.5","36.5","36.5","12410","2007","03","13","Tuesday"
"SHC","2007-03-28","34.7","34.7","34.7","34.7","27330","2007","03","13","Wednesday"
"SHC","2007-03-29","36.4","36.4","36.4","36.4","65940","2007","03","13","Thursday"
"SHC","2007-03-30","38.2","38.2","38.2","38.2","30230","2007","03","13","Friday"
"SHC","2007-04-02","40.1","40.1","40","40","44490","2007","04","14","Monday"
"SHC","2007-04-03","40","40","38","38","10250","2007","04","14","Tuesday"
"SHC","2007-04-04","36.1","38","36.1","38","20410","2007","04","14","Wednesday"
"SHC","2007-04-05","38","38","37.7","37.7","19070","2007","04","14","Thursday"
"SHC","2007-04-06","37","37","36.5","37","10090","2007","04","14","Friday"
"SHC","2007-04-09","35.4","37","35.4","37","7200","2007","04","15","Monday"
"SHC","2007-04-10","37","37","37","37","2960","2007","04","15","Tuesday"
"SHC","2007-04-11","35.8","36.9","35.8","36.9","11680","2007","04","15","Wednesday"
"SHC","2007-04-12","36.5","36.5","36","36","13260","2007","04","15","Thursday"
"SHC","2007-04-13","35","35","34.2","34.2","12390","2007","04","15","Friday"
"SHC","2007-04-16","32.7","32.7","32.5","32.7","13930","2007","04","16","Monday"
"SHC","2007-04-17","31.1","31.1","31.1","31.1","11720","2007","04","16","Tuesday"
"SHC","2007-04-18","31.1","32.6","31.1","32.6","17000","2007","04","16","Wednesday"
"SHC","2007-04-19","34.2","34.2","33.5","33.5","30920","2007","04","16","Thursday"
"SHC","2007-04-20","32","32","32","32","7270","2007","04","16","Friday"
"SHC","2007-04-23","30.4","31","30.4","31","10250","2007","04","17","Monday"
"SHC","2007-04-24","30.1","31","30.1","31","7580","2007","04","17","Tuesday"
"SHC","2007-04-25","31","32.5","31","32.5","4030","2007","04","17","Wednesday"
"SHC","2007-05-02","32.5","32.5","32","32","5430","2007","05","18","Wednesday"
"SHC","2007-05-03","32","32","31.1","31.1","2180","2007","05","18","Thursday"
"SHC","2007-05-04","31.3","31.3","31","31.1","3230","2007","05","18","Friday"
"SHC","2007-05-07","31.1","31.1","31.1","31.1","12390","2007","05","19","Monday"
"SHC","2007-05-08","32.6","32.6","32","32","11400","2007","05","19","Tuesday"
"SHC","2007-05-09","32.5","32.5","32","32","15790","2007","05","19","Wednesday"
"SHC","2007-05-10","32","32","31","31.5","5260","2007","05","19","Thursday"
"SHC","2007-05-11","31","31","31","31","4960","2007","05","19","Friday"
"SHC","2007-05-14","31.5","31.5","31.2","31.2","12480","2007","05","20","Monday"
"SHC","2007-05-15","32.3","32.3","32","32","21820","2007","05","20","Tuesday"
"SHC","2007-05-16","32","32","31.2","31.2","4650","2007","05","20","Wednesday"
"SHC","2007-05-17","30.3","31.2","30.3","31.2","6150","2007","05","20","Thursday"
"SHC","2007-05-18","31.2","31.2","31.2","31.2","9050","2007","05","20","Friday"
"SHC","2007-05-21","31","31","31","31","9350","2007","05","21","Monday"
"SHC","2007-05-22","31.5","32","31.5","32","23830","2007","05","21","Tuesday"
"SHC","2007-05-23","33.6","33.6","33.5","33.5","23520","2007","05","21","Wednesday"
"SHC","2007-05-24","32","32","32","32","9900","2007","05","21","Thursday"
"SHC","2007-05-25","32.2","32.2","32","32.2","7180","2007","05","21","Friday"
"SHC","2007-05-28","30.8","32","30.8","31.5","10200","2007","05","22","Monday"
"SHC","2007-05-29","32.5","32.5","32","32","12420","2007","05","22","Tuesday"
"SHC","2007-05-30","31.6","32","31.2","31.2","15120","2007","05","22","Wednesday"
"SHC","2007-05-31","32","32","31.5","31.5","11470","2007","05","22","Thursday"
"SHC","2007-06-01","31.5","31.5","31.4","31.4","5240","2007","06","22","Friday"
"SHC","2007-06-04","31.4","32","31.4","31.6","20620","2007","06","23","Monday"
"SHC","2007-06-05","31.5","31.6","31.5","31.6","48730","2007","06","23","Tuesday"
"SHC","2007-06-06","33","33.1","33","33.1","116900","2007","06","23","Wednesday"
"SHC","2007-06-07","34.7","34.7","34.7","34.7","38290","2007","06","23","Thursday"
"SHC","2007-06-08","36.4","36.4","36.4","36.4","15240","2007","06","23","Friday"
"SHC","2007-06-11","38.2","38.2","38.2","38.2","33490","2007","06","24","Monday"
"SHC","2007-06-12","40.1","40.1","40.1","40.1","56340","2007","06","24","Tuesday"
"SHC","2007-06-13","42.1","42.1","42.1","42.1","29110","2007","06","24","Wednesday"
"SHC","2007-06-14","42.1","42.1","40","40","342270","2007","06","24","Thursday"
"SHC","2007-06-15","38","38","38","38","18110","2007","06","24","Friday"
"SHC","2007-06-18","36.1","36.1","36.1","36.1","21310","2007","06","25","Monday"
"SHC","2007-06-19","37.5","37.9","37.5","37.9","50280","2007","06","25","Tuesday"
"SHC","2007-06-20","39.7","39.7","38.5","38.5","131550","2007","06","25","Wednesday"
"SHC","2007-06-21","37","38","37","37.1","39520","2007","06","25","Thursday"
"SHC","2007-06-22","37.1","38","37.1","38","32250","2007","06","25","Friday"
