symbol,date,open,high,low,close,volume,year,month,week,weekday
"SHX","2016-10-11","8.2","8.2","8.2","8.2","2500","2016","10","42","Tuesday"
"SHX","2017-03-08","5","5","5","5","900","2017","03","10","Wednesday"
"SHX","2017-06-14","4.5","4.5","4.5","4.5","1600","2017","06","24","Wednesday"
"SHX","2017-07-04","5","5","5","5","1610","2017","07","27","Tuesday"
"SHX","2018-01-23","5","5","5","5","300","2018","01","4","Tuesday"
"SHX","2018-11-20","5","5","5","5","100","2018","11","47","Tuesday"
"SHX","2018-11-21","5","5","5","5","10","2018","11","47","Wednesday"
"SHX","2018-12-25","5.7","5.7","5.7","5.7","100","2018","12","52","Tuesday"
"SHX","2018-12-26","6.5","6.5","6.5","6.5","100","2018","12","52","Wednesday"
"SHX","2018-12-27","6.5","6.5","6.5","6.5","100","2018","12","52","Thursday"
"SHX","2019-01-02","7.4","7.4","7.4","7.4","100","2019","01","1","Wednesday"
"SHX","2019-01-03","8.5","8.5","8.5","8.5","100","2019","01","1","Thursday"
"SHX","2019-01-07","9.7","9.7","9.7","9.7","100","2019","01","2","Monday"
"SHX","2019-01-14","11.1","11.1","11.1","11.1","100","2019","01","3","Monday"
"SHX","2019-01-15","12.7","12.7","12.7","12.7","100","2019","01","3","Tuesday"
"SHX","2019-01-21","14.6","14.6","14.6","14.6","100","2019","01","4","Monday"
"SHX","2019-09-10","20","20","20","20","1300","2019","09","37","Tuesday"
"SHX","2020-09-30","12","12","12","12","100","2020","09","40","Wednesday"
"SHX","2022-11-15","7.3","7.3","7.3","7.3","100","2022","11","46","Tuesday"
"SHX","2022-11-16","6.3","6.3","6.3","6.3","100","2022","11","46","Wednesday"
"SHX","2022-11-17","5.4","5.4","5.4","5.4","100","2022","11","46","Thursday"
"SHX","2022-11-18","4.6","4.6","4.6","4.6","100","2022","11","46","Friday"
"SHX","2022-11-22","4","4","4","4","100","2022","11","47","Tuesday"
"SHX","2022-12-12","3.4","3.4","3.4","3.4","100","2022","12","50","Monday"
"SHX","2022-12-19","2.9","2.9","2.9","2.9","100","2022","12","51","Monday"
"SHX","2023-02-02","1.8","1.8","1.8","1.8","100","2023","02","5","Thursday"
