symbol,date,open,high,low,close,volume,year,month,week,weekday
"SJM","2008-01-10","81.5","81.5","70","70","3500","2008","01","2","Thursday"
"SJM","2008-01-11","72","73","70","71","14800","2008","01","2","Friday"
"SJM","2008-01-14","75","75","64.6","64.6","10300","2008","01","3","Monday"
"SJM","2008-01-15","59","59","58.9","58.9","8500","2008","01","3","Tuesday"
"SJM","2008-01-16","58.9","64.7","58.9","64.7","4200","2008","01","3","Wednesday"
"SJM","2008-01-17","68","68","61.9","68","27500","2008","01","3","Thursday"
"SJM","2008-01-18","74.2","74.2","74","74.2","27600","2008","01","3","Friday"
"SJM","2008-01-21","80","81.6","80","80.5","48700","2008","01","4","Monday"
"SJM","2008-01-22","73.2","75.5","73.2","75.5","19000","2008","01","4","Tuesday"
"SJM","2008-01-23","71","71","67.5","70.3","17300","2008","01","4","Wednesday"
"SJM","2008-01-24","75","75","68","68","2100","2008","01","4","Thursday"
"SJM","2008-01-25","68","70","66.5","66.5","11100","2008","01","4","Friday"
"SJM","2008-01-28","62.2","66","62","66","11100","2008","01","5","Monday"
"SJM","2008-01-29","58","70.1","58","69","14300","2008","01","5","Tuesday"
"SJM","2008-01-30","68","70.1","68","70.1","14800","2008","01","5","Wednesday"
"SJM","2008-01-31","75","76","65","71","12300","2008","01","5","Thursday"
"SJM","2008-02-01","74","74","68","70","19500","2008","02","5","Friday"
"SJM","2008-02-12","66.3","66.5","66","66.5","1600","2008","02","7","Tuesday"
"SJM","2008-02-13","66","66","60","64","7000","2008","02","7","Wednesday"
"SJM","2008-02-14","66.4","66.9","65","65","5000","2008","02","7","Thursday"
"SJM","2008-02-15","65.1","65.2","65","65","9000","2008","02","7","Friday"
"SJM","2008-02-18","59.1","61.5","58.6","61","6500","2008","02","8","Monday"
"SJM","2008-02-19","60","62","60","61","5800","2008","02","8","Tuesday"
"SJM","2008-02-20","61.9","61.9","54.9","54.9","6500","2008","02","8","Wednesday"
"SJM","2008-02-21","51","51","50.5","50.5","6000","2008","02","8","Thursday"
"SJM","2008-02-22","45.9","55.6","45.6","48","45400","2008","02","8","Friday"
"SJM","2008-02-25","49.9","50.3","49.9","50.3","10000","2008","02","9","Monday"
"SJM","2008-02-26","52.5","52.5","45.1","45.1","9300","2008","02","9","Tuesday"
"SJM","2008-02-27","43.6","47","42.9","43.1","12000","2008","02","9","Wednesday"
"SJM","2008-02-28","40.2","40.2","39.4","40","2100","2008","02","9","Thursday"
"SJM","2008-02-29","36.6","40","36.5","37","5900","2008","02","9","Friday"
"SJM","2008-03-03","40.9","40.9","33.5","33.5","12800","2008","03","10","Monday"
"SJM","2008-03-04","31.3","31.3","31.3","31.3","6500","2008","03","10","Tuesday"
"SJM","2008-03-05","28.2","28.5","28.2","28.5","18700","2008","03","10","Wednesday"
"SJM","2008-03-06","26","31","26","31","2200","2008","03","10","Thursday"
"SJM","2008-03-07","33.8","33.8","33.8","33.8","6500","2008","03","10","Friday"
"SJM","2008-03-10","37.1","37.1","33","34","27500","2008","03","11","Monday"
"SJM","2008-03-11","35.7","35.7","32.2","32.2","5800","2008","03","11","Tuesday"
"SJM","2008-03-12","34","36","32.8","33","10600","2008","03","11","Wednesday"
"SJM","2008-03-13","34.6","35.5","32.2","35.5","4300","2008","03","11","Thursday"
"SJM","2008-03-14","33","33","33","33","1200","2008","03","11","Friday"
"SJM","2008-03-17","31","31","29.7","29.7","11600","2008","03","12","Monday"
"SJM","2008-03-18","30","30","27","27","2400","2008","03","12","Tuesday"
