symbol,date,open,high,low,close,volume,year,month,week,weekday
"SJS","2006-07-06","77.99","77.99","77.99","77.99","43790","2006","07","27","Thursday"
"SJS","2006-07-07","78.77","81.89","78.77","81.89","161010","2006","07","27","Friday"
"SJS","2006-07-10","85.79","85.79","85.79","85.79","24380","2006","07","28","Monday"
"SJS","2006-07-11","89.69","89.69","89.69","89.69","11700","2006","07","28","Tuesday"
"SJS","2006-07-12","93.59","93.59","93.59","93.59","26180","2006","07","28","Wednesday"
"SJS","2006-07-13","98.27","98.27","98.27","98.27","13960","2006","07","28","Thursday"
"SJS","2006-07-14","102.95","102.95","98.27","98.27","103080","2006","07","28","Friday"
"SJS","2006-07-17","102.95","102.95","98.27","99.05","102730","2006","07","29","Monday"
"SJS","2006-07-18","99.05","99.05","96.71","96.71","36450","2006","07","29","Tuesday"
"SJS","2006-07-19","92.03","92.81","92.03","92.81","87770","2006","07","29","Wednesday"
"SJS","2006-07-20","93.59","96.71","93.59","96.71","50890","2006","07","29","Thursday"
"SJS","2006-07-21","97.49","97.49","95.93","95.93","39150","2006","07","29","Friday"
"SJS","2006-07-24","95.93","95.93","95.15","95.15","36670","2006","07","30","Monday"
"SJS","2006-07-25","92.03","92.03","91.25","91.25","39630","2006","07","30","Tuesday"
"SJS","2006-07-26","89.69","90.47","89.69","89.69","73210","2006","07","30","Wednesday"
"SJS","2006-07-27","92.03","93.59","92.03","92.81","40540","2006","07","30","Thursday"
"SJS","2006-07-28","94.37","94.37","92.03","92.03","23270","2006","07","30","Friday"
"SJS","2006-07-31","89.69","90.47","89.69","89.69","33530","2006","07","31","Monday"
"SJS","2006-08-01","89.69","89.69","85.79","85.79","53820","2006","08","31","Tuesday"
"SJS","2006-08-02","85.79","88.91","85.79","88.91","53900","2006","08","31","Wednesday"
"SJS","2006-08-03","91.25","92.81","91.25","92.81","56770","2006","08","31","Thursday"
"SJS","2006-08-04","95.93","96.71","94.37","94.37","56810","2006","08","31","Friday"
"SJS","2006-08-07","92.03","92.03","92.03","92.03","58840","2006","08","32","Monday"
"SJS","2006-08-08","92.81","92.81","92.81","92.81","48260","2006","08","32","Tuesday"
"SJS","2006-08-09","93.59","93.59","92.81","92.81","42050","2006","08","32","Wednesday"
"SJS","2006-08-10","92.03","92.81","92.03","92.81","4900","2006","08","32","Thursday"
"SJS","2006-08-11","94.37","95.15","94.37","95.15","63830","2006","08","32","Friday"
"SJS","2006-08-14","99.83","99.83","99.83","99.83","60710","2006","08","33","Monday"
"SJS","2006-08-15","99.83","99.83","96.71","99.05","48460","2006","08","33","Tuesday"
"SJS","2006-08-16","99.83","103.73","99.83","103.73","74470","2006","08","33","Wednesday"
"SJS","2006-08-17","104.51","105.29","103.73","103.73","27050","2006","08","33","Thursday"
"SJS","2006-08-18","102.17","102.17","102.17","102.17","15530","2006","08","33","Friday"
"SJS","2006-08-21","102.17","102.17","101.39","101.39","33360","2006","08","34","Monday"
"SJS","2006-08-22","99.05","99.83","98.27","99.83","31100","2006","08","34","Tuesday"
"SJS","2006-08-23","99.83","101.39","99.83","101.39","23750","2006","08","34","Wednesday"
