symbol,date,open,high,low,close,volume,year,month,week,weekday
"SMA","2010-10-19","5.67","6.94","5.67","6.54","146020","2010","10","43","Tuesday"
"SMA","2010-10-20","6.24","6.33","6.24","6.24","11060","2010","10","43","Wednesday"
"SMA","2010-10-21","5.93","5.93","5.93","5.93","25350","2010","10","43","Thursday"
"SMA","2010-10-22","5.67","5.93","5.67","5.93","127930","2010","10","43","Friday"
"SMA","2010-10-25","5.93","5.98","5.76","5.98","45460","2010","10","44","Monday"
"SMA","2010-10-26","6.06","6.11","5.85","6.06","68810","2010","10","44","Tuesday"
"SMA","2010-10-27","6.06","6.06","5.8","5.8","30300","2010","10","44","Wednesday"
"SMA","2010-10-28","5.8","5.89","5.8","5.89","2720","2010","10","44","Thursday"
"SMA","2010-10-29","5.93","6.11","5.93","6.02","35260","2010","10","44","Friday"
"SMA","2010-11-01","5.93","6.02","5.76","5.89","38460","2010","11","45","Monday"
"SMA","2010-11-02","5.85","5.85","5.71","5.71","7800","2010","11","45","Tuesday"
"SMA","2010-11-03","5.71","5.71","5.45","5.45","46990","2010","11","45","Wednesday"
"SMA","2010-11-04","5.45","5.58","5.45","5.54","33740","2010","11","45","Thursday"
"SMA","2010-11-05","5.67","5.76","5.67","5.76","10540","2010","11","45","Friday"
"SMA","2010-11-08","5.71","5.71","5.5","5.54","37330","2010","11","46","Monday"
"SMA","2010-11-09","5.32","5.37","5.32","5.32","6750","2010","11","46","Tuesday"
"SMA","2010-11-10","5.32","5.45","5.28","5.41","17040","2010","11","46","Wednesday"
"SMA","2010-11-11","5.63","5.63","5.19","5.19","24860","2010","11","46","Thursday"
"SMA","2010-11-12","5.37","5.37","5.06","5.15","46570","2010","11","46","Friday"
"SMA","2010-11-15","5.02","5.02","4.93","5.02","9000","2010","11","47","Monday"
"SMA","2010-11-16","5.06","5.06","4.84","4.84","15980","2010","11","47","Tuesday"
"SMA","2010-11-17","4.97","4.97","4.62","4.8","29740","2010","11","47","Wednesday"
"SMA","2010-11-18","4.8","4.89","4.8","4.89","19030","2010","11","47","Thursday"
"SMA","2010-11-19","4.75","4.89","4.67","4.89","3180","2010","11","47","Friday"
"SMA","2010-11-22","4.8","4.8","4.67","4.67","43650","2010","11","48","Monday"
"SMA","2010-11-23","4.67","4.67","4.58","4.67","7920","2010","11","48","Tuesday"
"SMA","2010-11-24","4.62","4.62","4.45","4.58","30750","2010","11","48","Wednesday"
"SMA","2010-11-25","4.62","4.8","4.62","4.75","44500","2010","11","48","Thursday"
"SMA","2010-11-26","4.67","4.67","4.54","4.62","22010","2010","11","48","Friday"
"SMA","2010-11-29","4.58","4.58","4.54","4.58","29000","2010","11","49","Monday"
"SMA","2010-11-30","4.67","4.8","4.67","4.8","93580","2010","11","49","Tuesday"
"SMA","2010-12-01","4.75","5.02","4.75","5.02","113900","2010","12","49","Wednesday"
"SMA","2010-12-02","5.19","5.24","5.19","5.24","25670","2010","12","49","Thursday"
"SMA","2010-12-03","5.5","5.5","5.45","5.5","29820","2010","12","49","Friday"
"SMA","2010-12-06","5.71","5.71","5.5","5.5","34800","2010","12","50","Monday"
"SMA","2010-12-07","5.5","5.54","5.24","5.24","17790","2010","12","50","Tuesday"
"SMA","2010-12-08","5.24","5.24","4.97","4.97","105250","2010","12","50","Wednesday"
"SMA","2010-12-09","4.97","4.97","4.75","4.75","84770","2010","12","50","Thursday"
"SMA","2010-12-10","4.97","4.97","4.8","4.97","105750","2010","12","50","Friday"
"SMA","2010-12-13","5.19","5.19","5.19","5.19","2200","2010","12","51","Monday"
"SMA","2010-12-14","5.41","5.41","5.24","5.32","222150","2010","12","51","Tuesday"
"SMA","2010-12-15","5.54","5.54","5.28","5.37","52600","2010","12","51","Wednesday"
"SMA","2010-12-16","5.15","5.24","5.1","5.1","36500","2010","12","51","Thursday"
"SMA","2010-12-17","4.97","5.1","4.89","5.1","23050","2010","12","51","Friday"
"SMA","2010-12-20","5.15","5.19","4.89","4.89","90210","2010","12","52","Monday"
"SMA","2010-12-21","4.89","5.1","4.8","5.1","58950","2010","12","52","Tuesday"
"SMA","2010-12-22","5.02","5.15","4.97","5.06","26470","2010","12","52","Wednesday"
"SMA","2010-12-23","5.15","5.15","4.89","5.06","2730","2010","12","52","Thursday"
"SMA","2010-12-24","5.06","5.06","4.89","5.02","14390","2010","12","52","Friday"
"SMA","2010-12-27","4.97","4.97","4.84","4.93","55070","2010","12","53","Monday"
"SMA","2010-12-28","4.93","5.02","4.8","5.02","36240","2010","12","53","Tuesday"
"SMA","2010-12-29","5.02","5.06","4.89","4.93","31230","2010","12","53","Wednesday"
"SMA","2010-12-30","4.93","5.02","4.8","4.93","29100","2010","12","53","Thursday"
"SMA","2010-12-31","4.93","4.93","4.89","4.93","6320","2010","12","53","Friday"
"SMA","2011-01-04","4.93","5.15","4.93","5.1","21120","2011","01","1","Tuesday"
"SMA","2011-01-05","5.1","5.24","5.06","5.1","42200","2011","01","1","Wednesday"
"SMA","2011-01-06","5.1","5.19","5.1","5.15","25790","2011","01","1","Thursday"
"SMA","2011-01-07","5.28","5.28","5.06","5.15","12180","2011","01","1","Friday"
"SMA","2011-01-10","5.1","5.1","4.97","5.02","18940","2011","01","2","Monday"
"SMA","2011-01-11","4.97","5.06","4.93","4.97","2780","2011","01","2","Tuesday"
"SMA","2011-01-12","5.1","5.1","4.97","4.97","33010","2011","01","2","Wednesday"
"SMA","2011-01-13","4.97","4.97","4.97","4.97","6610","2011","01","2","Thursday"
"SMA","2011-01-14","4.97","5.06","4.97","4.97","10100","2011","01","2","Friday"
"SMA","2011-01-17","4.97","4.97","4.89","4.93","21190","2011","01","3","Monday"
"SMA","2011-01-18","4.97","5.02","4.93","4.97","11110","2011","01","3","Tuesday"
"SMA","2011-01-19","4.97","5.06","4.97","4.97","23770","2011","01","3","Wednesday"
"SMA","2011-01-20","4.93","5.19","4.93","5.19","74650","2011","01","3","Thursday"
"SMA","2011-01-21","5.32","5.41","5.24","5.24","53960","2011","01","3","Friday"
"SMA","2011-01-24","5.32","5.32","5.06","5.24","8490","2011","01","4","Monday"
"SMA","2011-01-25","5.02","5.19","5.02","5.19","13200","2011","01","4","Tuesday"
"SMA","2011-01-26","5.37","5.37","5.19","5.24","6800","2011","01","4","Wednesday"
"SMA","2011-01-27","5.28","5.28","5.15","5.19","21790","2011","01","4","Thursday"
"SMA","2011-01-28","5.15","5.28","5.1","5.24","17520","2011","01","4","Friday"
"SMA","2011-02-08","5.41","5.41","5.24","5.28","25110","2011","02","6","Tuesday"
"SMA","2011-02-09","5.28","5.28","5.15","5.24","11090","2011","02","6","Wednesday"
"SMA","2011-02-10","5.19","5.19","5.06","5.19","13250","2011","02","6","Thursday"
"SMA","2011-02-11","5.1","5.19","5.1","5.19","17420","2011","02","6","Friday"
"SMA","2011-02-14","5.1","5.19","5.1","5.19","15030","2011","02","7","Monday"
"SMA","2011-02-15","5.19","5.24","5.1","5.1","15520","2011","02","7","Tuesday"
"SMA","2011-02-16","5.15","5.15","5.1","5.15","8030","2011","02","7","Wednesday"
"SMA","2011-02-17","5.15","5.15","4.97","5.15","29080","2011","02","7","Thursday"
"SMA","2011-02-18","4.97","5.15","4.97","5.1","6860","2011","02","7","Friday"
"SMA","2011-02-21","4.97","5.06","4.89","4.89","8150","2011","02","8","Monday"
"SMA","2011-02-22","4.89","4.97","4.67","4.67","9000","2011","02","8","Tuesday"
"SMA","2011-02-23","4.75","4.8","4.49","4.49","103180","2011","02","8","Wednesday"
"SMA","2011-02-24","4.58","4.58","4.36","4.49","14260","2011","02","8","Thursday"
"SMA","2011-02-28","4.58","4.62","4.41","4.41","23910","2011","02","9","Monday"
"SMA","2011-03-01","4.41","4.58","4.41","4.45","21870","2011","03","9","Tuesday"
"SMA","2011-03-02","4.54","4.54","4.32","4.36","24700","2011","03","9","Wednesday"
"SMA","2011-03-04","4.41","4.45","4.36","4.45","9460","2011","03","9","Friday"
"SMA","2011-03-07","4.31","4.45","4.31","4.45","25890","2011","03","10","Monday"
"SMA","2011-03-08","4.45","4.45","4.26","4.26","8500","2011","03","10","Tuesday"
"SMA","2011-03-09","4.31","4.31","4.16","4.21","7270","2011","03","10","Wednesday"
"SMA","2011-03-10","4.26","4.31","4.21","4.31","33910","2011","03","10","Thursday"
"SMA","2011-03-11","4.45","4.5","4.4","4.4","17770","2011","03","10","Friday"
"SMA","2011-03-14","4.35","4.55","4.35","4.35","24780","2011","03","11","Monday"
"SMA","2011-03-15","4.35","4.45","4.26","4.31","35230","2011","03","11","Tuesday"
"SMA","2011-03-16","4.31","4.31","4.31","4.31","4830","2011","03","11","Wednesday"
"SMA","2011-03-17","4.35","4.35","4.31","4.31","600","2011","03","11","Thursday"
"SMA","2011-03-18","4.31","4.45","4.31","4.45","9540","2011","03","11","Friday"
"SMA","2011-03-21","4.55","4.59","4.35","4.45","7130","2011","03","12","Monday"
"SMA","2011-03-22","4.5","4.5","4.35","4.45","28010","2011","03","12","Tuesday"
"SMA","2011-03-23","4.45","4.45","4.31","4.45","23020","2011","03","12","Wednesday"
"SMA","2011-03-24","4.35","4.35","4.31","4.31","12890","2011","03","12","Thursday"
"SMA","2011-03-25","4.45","4.45","4.31","4.45","5040","2011","03","12","Friday"
"SMA","2011-03-28","4.45","4.45","4.45","4.45","1820","2011","03","13","Monday"
"SMA","2011-03-29","4.4","4.4","4.35","4.4","1900","2011","03","13","Tuesday"
"SMA","2011-03-30","4.35","4.35","4.31","4.31","2610","2011","03","13","Wednesday"
"SMA","2011-03-31","4.35","4.35","4.21","4.26","1150","2011","03","13","Thursday"
"SMA","2011-04-01","4.31","4.31","4.31","4.31","110","2011","04","13","Friday"
"SMA","2011-04-04","4.35","4.35","4.31","4.31","22100","2011","04","14","Monday"
"SMA","2011-04-05","4.31","4.31","4.26","4.26","1870","2011","04","14","Tuesday"
"SMA","2011-04-06","4.31","4.31","4.16","4.31","6740","2011","04","14","Wednesday"
"SMA","2011-04-07","4.26","4.26","4.21","4.26","9530","2011","04","14","Thursday"
"SMA","2011-04-08","4.21","4.31","4.16","4.31","27610","2011","04","14","Friday"
"SMA","2011-04-13","4.26","4.31","4.26","4.26","1570","2011","04","15","Wednesday"
"SMA","2011-04-14","4.26","4.26","4.26","4.26","20460","2011","04","15","Thursday"
"SMA","2011-04-15","4.26","4.26","4.12","4.26","31120","2011","04","15","Friday"
"SMA","2011-04-19","4.16","4.16","4.16","4.16","12100","2011","04","16","Tuesday"
"SMA","2011-04-20","4.12","4.16","4.12","4.16","5150","2011","04","16","Wednesday"
"SMA","2011-04-21","4.12","4.12","4.02","4.02","15580","2011","04","16","Thursday"
"SMA","2011-04-22","3.88","4.07","3.88","4.07","12820","2011","04","16","Friday"
"SMA","2011-04-25","4.07","4.26","4.07","4.07","20420","2011","04","17","Monday"
"SMA","2011-04-26","4.07","4.16","3.97","4.12","15350","2011","04","17","Tuesday"
"SMA","2011-04-27","4.12","4.16","4.07","4.12","64540","2011","04","17","Wednesday"
"SMA","2011-04-28","4.07","4.16","4.07","4.16","19250","2011","04","17","Thursday"
"SMA","2011-04-29","4.12","4.16","4.07","4.07","30740","2011","04","17","Friday"
"SMA","2011-05-04","4.07","4.12","4.02","4.12","42500","2011","05","18","Wednesday"
"SMA","2011-05-05","4.02","4.02","3.97","3.97","9970","2011","05","18","Thursday"
"SMA","2011-05-06","3.97","3.97","3.97","3.97","2800","2011","05","18","Friday"
"SMA","2011-05-09","4.12","4.16","3.97","4.07","32520","2011","05","19","Monday"
"SMA","2011-05-10","4.16","4.16","3.97","3.97","30400","2011","05","19","Tuesday"
"SMA","2011-05-11","3.97","4.02","3.97","4.02","22000","2011","05","19","Wednesday"
"SMA","2011-05-12","4.02","4.02","3.92","3.92","9300","2011","05","19","Thursday"
"SMA","2011-05-13","3.92","3.97","3.92","3.97","6040","2011","05","19","Friday"
"SMA","2011-05-16","3.92","3.92","3.83","3.83","9630","2011","05","20","Monday"
"SMA","2011-05-17","3.83","3.83","3.73","3.73","2750","2011","05","20","Tuesday"
"SMA","2011-05-18","3.68","3.73","3.59","3.59","1940","2011","05","20","Wednesday"
"SMA","2011-05-19","3.44","3.68","3.44","3.68","1120","2011","05","20","Thursday"
"SMA","2011-05-20","3.59","3.59","3.54","3.59","2010","2011","05","20","Friday"
"SMA","2011-05-24","3.44","3.44","3.4","3.4","1010","2011","05","21","Tuesday"
"SMA","2011-05-25","3.54","3.54","3.25","3.25","5730","2011","05","21","Wednesday"
"SMA","2011-05-26","3.16","3.35","3.11","3.35","8450","2011","05","21","Thursday"
"SMA","2011-05-27","3.4","3.49","3.4","3.4","31100","2011","05","21","Friday"
"SMA","2011-05-30","3.49","3.49","3.35","3.35","11020","2011","05","22","Monday"
"SMA","2011-05-31","3.25","3.35","3.25","3.35","910","2011","05","22","Tuesday"
"SMA","2011-06-01","3.35","3.44","3.35","3.44","108620","2011","06","22","Wednesday"
"SMA","2011-06-02","3.44","3.54","3.44","3.54","78300","2011","06","22","Thursday"
"SMA","2011-06-03","3.68","3.68","3.4","3.4","71880","2011","06","22","Friday"
"SMA","2011-06-06","3.35","3.44","3.35","3.44","180","2011","06","23","Monday"
"SMA","2011-06-07","3.44","3.54","3.44","3.54","4410","2011","06","23","Tuesday"
"SMA","2011-06-08","3.44","3.49","3.4","3.4","12210","2011","06","23","Wednesday"
"SMA","2011-06-09","3.35","3.4","3.25","3.25","21100","2011","06","23","Thursday"
"SMA","2011-06-10","3.35","3.4","3.35","3.4","38770","2011","06","23","Friday"
"SMA","2011-06-13","3.49","3.54","3.44","3.54","21770","2011","06","24","Monday"
"SMA","2011-06-14","3.54","3.68","3.54","3.64","14260","2011","06","24","Tuesday"
"SMA","2011-06-15","3.49","3.49","3.49","3.49","11500","2011","06","24","Wednesday"
"SMA","2011-06-16","3.49","3.49","3.4","3.44","11550","2011","06","24","Thursday"
"SMA","2011-06-17","3.44","3.44","3.35","3.35","15750","2011","06","24","Friday"
"SMA","2011-06-20","3.35","3.44","3.3","3.44","2020","2011","06","25","Monday"
"SMA","2011-06-21","3.4","3.54","3.4","3.54","1780","2011","06","25","Tuesday"
"SMA","2011-06-22","3.59","3.59","3.4","3.4","2920","2011","06","25","Wednesday"
"SMA","2011-06-23","3.35","3.35","3.25","3.25","15300","2011","06","25","Thursday"
"SMA","2011-06-24","3.3","3.35","3.3","3.35","650","2011","06","25","Friday"
"SMA","2011-06-28","3.3","3.3","3.25","3.3","2160","2011","06","26","Tuesday"
"SMA","2011-06-30","3.44","3.44","3.44","3.44","120","2011","06","26","Thursday"
"SMA","2011-07-01","3.44","3.44","3.3","3.4","2200","2011","07","26","Friday"
"SMA","2011-07-05","3.4","3.4","3.4","3.4","110","2011","07","27","Tuesday"
"SMA","2011-07-06","3.35","3.35","3.25","3.25","7210","2011","07","27","Wednesday"
"SMA","2011-07-07","3.25","3.25","3.25","3.25","11200","2011","07","27","Thursday"
"SMA","2011-07-08","3.25","3.25","3.25","3.25","210","2011","07","27","Friday"
"SMA","2011-07-11","3.25","3.25","3.16","3.16","1010","2011","07","28","Monday"
"SMA","2011-07-12","3.16","3.16","3.01","3.01","17280","2011","07","28","Tuesday"
"SMA","2011-07-13","3.11","3.11","2.97","2.97","180","2011","07","28","Wednesday"
"SMA","2011-07-14","3.01","3.01","3.01","3.01","1530","2011","07","28","Thursday"
"SMA","2011-07-15","2.97","2.97","2.97","2.97","2810","2011","07","28","Friday"
"SMA","2011-07-18","2.87","2.87","2.87","2.87","1510","2011","07","29","Monday"
"SMA","2011-07-19","2.73","2.73","2.73","2.73","2100","2011","07","29","Tuesday"
"SMA","2011-07-20","2.82","2.82","2.77","2.77","2140","2011","07","29","Wednesday"
"SMA","2011-07-21","2.77","2.82","2.68","2.68","15250","2011","07","29","Thursday"
"SMA","2011-07-22","2.68","2.73","2.68","2.68","3110","2011","07","29","Friday"
"SMA","2011-07-25","2.63","2.77","2.58","2.77","2010","2011","07","30","Monday"
"SMA","2011-07-26","2.68","2.77","2.68","2.77","1570","2011","07","30","Tuesday"
"SMA","2011-07-27","2.68","2.77","2.68","2.73","1890","2011","07","30","Wednesday"
"SMA","2011-07-28","2.73","2.73","2.73","2.73","710","2011","07","30","Thursday"
"SMA","2011-07-29","2.77","2.82","2.77","2.82","1090","2011","07","30","Friday"
"SMA","2011-08-01","2.73","2.73","2.73","2.73","1100","2011","08","31","Monday"
"SMA","2011-08-02","2.73","2.73","2.63","2.73","520","2011","08","31","Tuesday"
"SMA","2011-08-03","2.77","2.77","2.63","2.73","9410","2011","08","31","Wednesday"
"SMA","2011-08-04","2.77","2.82","2.77","2.82","1030","2011","08","31","Thursday"
"SMA","2011-08-05","2.77","2.77","2.73","2.73","700","2011","08","31","Friday"
"SMA","2011-08-08","2.77","2.77","2.77","2.77","50","2011","08","32","Monday"
"SMA","2011-08-09","2.68","2.73","2.68","2.68","16670","2011","08","32","Tuesday"
"SMA","2011-08-10","2.68","2.68","2.63","2.63","1910","2011","08","32","Wednesday"
"SMA","2011-08-11","2.68","2.68","2.63","2.63","2090","2011","08","32","Thursday"
"SMA","2011-08-15","2.73","2.73","2.68","2.73","17760","2011","08","33","Monday"
"SMA","2011-08-16","2.82","2.82","2.73","2.73","1190","2011","08","33","Tuesday"
"SMA","2011-08-17","2.77","2.82","2.77","2.82","2040","2011","08","33","Wednesday"
"SMA","2011-08-18","2.92","2.92","2.82","2.87","13450","2011","08","33","Thursday"
"SMA","2011-08-19","2.87","2.92","2.77","2.77","10470","2011","08","33","Friday"
"SMA","2011-08-22","2.77","2.87","2.68","2.87","7520","2011","08","34","Monday"
"SMA","2011-08-23","2.87","3.01","2.73","2.73","16810","2011","08","34","Tuesday"
"SMA","2011-08-24","2.73","2.73","2.73","2.73","1500","2011","08","34","Wednesday"
"SMA","2011-08-25","2.68","2.68","2.68","2.68","2200","2011","08","34","Thursday"
"SMA","2011-08-26","2.68","2.77","2.68","2.77","118590","2011","08","34","Friday"
"SMA","2011-08-29","2.77","2.87","2.77","2.87","5540","2011","08","35","Monday"
"SMA","2011-08-30","2.87","3.01","2.87","2.92","2890","2011","08","35","Tuesday"
"SMA","2011-08-31","2.92","3.01","2.92","3.01","104050","2011","08","35","Wednesday"
"SMA","2011-09-01","3.06","3.11","3.01","3.01","80600","2011","09","35","Thursday"
"SMA","2011-09-05","2.97","2.97","2.92","2.97","77200","2011","09","36","Monday"
"SMA","2011-09-06","2.97","3.01","2.97","3.01","3620","2011","09","36","Tuesday"
"SMA","2011-09-07","3.01","3.01","2.97","2.97","65490","2011","09","36","Wednesday"
"SMA","2011-09-08","3.06","3.06","3.01","3.01","3580","2011","09","36","Thursday"
"SMA","2011-09-09","3.01","3.06","2.92","3.01","11860","2011","09","36","Friday"
"SMA","2011-09-12","3.01","3.06","3.01","3.06","12860","2011","09","37","Monday"
"SMA","2011-09-13","3.11","3.21","3.06","3.21","50700","2011","09","37","Tuesday"
"SMA","2011-09-14","3.3","3.35","3.21","3.35","23790","2011","09","37","Wednesday"
"SMA","2011-09-15","3.4","3.44","3.3","3.3","34530","2011","09","37","Thursday"
"SMA","2011-09-16","3.4","3.4","3.21","3.3","4440","2011","09","37","Friday"
"SMA","2011-09-19","3.25","3.25","3.16","3.16","13770","2011","09","38","Monday"
"SMA","2011-09-20","3.06","3.21","3.06","3.06","3900","2011","09","38","Tuesday"
"SMA","2011-09-21","3.06","3.16","3.06","3.16","3160","2011","09","38","Wednesday"
"SMA","2011-09-22","3.21","3.25","3.21","3.25","10410","2011","09","38","Thursday"
"SMA","2011-09-23","3.25","3.25","3.25","3.25","70","2011","09","38","Friday"
"SMA","2011-09-26","3.25","3.25","3.21","3.21","110","2011","09","39","Monday"
"SMA","2011-09-27","3.16","3.16","3.16","3.16","100","2011","09","39","Tuesday"
"SMA","2011-09-28","3.11","3.21","3.11","3.11","410","2011","09","39","Wednesday"
"SMA","2011-09-29","3.11","3.21","3.11","3.21","460","2011","09","39","Thursday"
"SMA","2011-09-30","3.11","3.11","3.06","3.06","560","2011","09","39","Friday"
"SMA","2011-10-03","3.16","3.16","3.16","3.16","130","2011","10","40","Monday"
"SMA","2011-10-04","3.01","3.01","3.01","3.01","10960","2011","10","40","Tuesday"
"SMA","2011-10-05","3.16","3.16","2.97","2.97","1820","2011","10","40","Wednesday"
"SMA","2011-10-06","2.92","3.11","2.92","2.97","3840","2011","10","40","Thursday"
"SMA","2011-10-07","2.97","2.97","2.92","2.97","8380","2011","10","40","Friday"
"SMA","2011-10-10","2.97","2.97","2.92","2.92","120","2011","10","41","Monday"
"SMA","2011-10-11","3.01","3.01","2.97","2.97","3000","2011","10","41","Tuesday"
"SMA","2011-10-12","2.87","2.87","2.82","2.82","10070","2011","10","41","Wednesday"
"SMA","2011-10-13","2.87","2.87","2.87","2.87","1020","2011","10","41","Thursday"
"SMA","2011-10-14","2.92","2.97","2.92","2.97","5010","2011","10","41","Friday"
"SMA","2011-10-17","2.97","2.97","2.87","2.87","3000","2011","10","42","Monday"
"SMA","2011-10-18","2.87","2.87","2.82","2.82","550","2011","10","42","Tuesday"
"SMA","2011-10-19","2.82","2.92","2.82","2.92","5250","2011","10","42","Wednesday"
"SMA","2011-10-20","2.87","2.92","2.87","2.92","1020","2011","10","42","Thursday"
"SMA","2011-10-21","2.92","2.97","2.92","2.97","2560","2011","10","42","Friday"
"SMA","2011-10-24","3.01","3.06","2.97","3.06","2110","2011","10","43","Monday"
"SMA","2011-10-25","3.01","3.01","2.92","2.97","9880","2011","10","43","Tuesday"
"SMA","2011-10-26","2.87","2.87","2.82","2.87","6070","2011","10","43","Wednesday"
"SMA","2011-10-27","2.87","2.87","2.87","2.87","8090","2011","10","43","Thursday"
"SMA","2011-10-28","2.92","2.92","2.92","2.92","6330","2011","10","43","Friday"
"SMA","2011-10-31","2.97","2.97","2.97","2.97","10","2011","10","44","Monday"
"SMA","2011-11-01","2.87","2.87","2.82","2.82","4600","2011","11","44","Tuesday"
"SMA","2011-11-02","2.87","2.87","2.73","2.73","5100","2011","11","44","Wednesday"
"SMA","2011-11-03","2.73","2.73","2.63","2.63","20730","2011","11","44","Thursday"
"SMA","2011-11-04","2.63","2.63","2.58","2.58","6260","2011","11","44","Friday"
"SMA","2011-11-07","2.54","2.63","2.49","2.63","7750","2011","11","45","Monday"
"SMA","2011-11-08","2.54","2.68","2.54","2.68","11390","2011","11","45","Tuesday"
"SMA","2011-11-09","2.58","2.68","2.58","2.58","5590","2011","11","45","Wednesday"
"SMA","2011-11-10","2.49","2.58","2.49","2.58","3070","2011","11","45","Thursday"
"SMA","2011-11-11","2.49","2.54","2.49","2.49","6790","2011","11","45","Friday"
"SMA","2011-11-14","2.39","2.39","2.39","2.39","3600","2011","11","46","Monday"
"SMA","2011-11-15","2.49","2.49","2.49","2.49","1430","2011","11","46","Tuesday"
"SMA","2011-11-16","2.49","2.54","2.39","2.39","940","2011","11","46","Wednesday"
"SMA","2011-11-17","2.49","2.49","2.39","2.49","1450","2011","11","46","Thursday"
"SMA","2011-11-18","2.39","2.39","2.39","2.39","4720","2011","11","46","Friday"
"SMA","2011-11-21","2.49","2.49","2.3","2.3","240","2011","11","47","Monday"
"SMA","2011-11-22","2.25","2.39","2.25","2.39","6560","2011","11","47","Tuesday"
"SMA","2011-11-23","2.35","2.39","2.35","2.35","5630","2011","11","47","Wednesday"
"SMA","2011-11-24","2.25","2.3","2.25","2.25","12500","2011","11","47","Thursday"
