symbol,date,open,high,low,close,volume,year,month,week,weekday
"SNZ","2017-11-20","13.07","13.07","13.07","13.07","3000","2017","11","47","Monday"
"SNZ","2017-11-21","14.96","14.96","14.96","14.96","200","2017","11","47","Tuesday"
"SNZ","2017-11-22","17.2","17.2","17.2","17.2","14200","2017","11","47","Wednesday"
"SNZ","2017-11-23","19.78","19.78","17.2","19.78","21000","2017","11","47","Thursday"
"SNZ","2017-11-24","22.62","22.62","22.62","22.62","24100","2017","11","47","Friday"
"SNZ","2017-11-27","25.97","25.97","22.53","22.96","28600","2017","11","48","Monday"
"SNZ","2017-11-28","21.76","22.79","20.47","22.36","10300","2017","11","48","Tuesday"
"SNZ","2017-11-29","20.64","20.64","18.92","20.47","10500","2017","11","48","Wednesday"
"SNZ","2017-11-30","18.92","19.01","16.77","16.86","39900","2017","11","48","Thursday"
"SNZ","2017-12-01","15.31","17.2","15.31","16.25","27300","2017","12","48","Friday"
"SNZ","2017-12-04","17.11","17.2","15.91","17.11","6800","2017","12","49","Monday"
"SNZ","2017-12-05","16.34","16.34","16.34","16.34","2100","2017","12","49","Tuesday"
"SNZ","2017-12-06","16.34","16.94","15.48","15.74","7300","2017","12","49","Wednesday"
"SNZ","2017-12-07","15.48","16.34","15.48","16.25","3500","2017","12","49","Thursday"
"SNZ","2017-12-08","15.91","15.91","15.48","15.48","6000","2017","12","49","Friday"
"SNZ","2017-12-11","15.65","15.65","15.48","15.48","3900","2017","12","50","Monday"
"SNZ","2017-12-12","15.05","15.14","14.62","14.71","6000","2017","12","50","Tuesday"
"SNZ","2017-12-13","14.79","14.79","14.19","14.19","2400","2017","12","50","Wednesday"
"SNZ","2017-12-14","14.45","14.54","13.93","13.93","6900","2017","12","50","Thursday"
"SNZ","2017-12-15","15.39","15.39","14.19","14.96","2900","2017","12","50","Friday"
"SNZ","2017-12-18","14.54","14.62","14.28","14.28","4700","2017","12","51","Monday"
"SNZ","2017-12-19","14.45","14.45","14.19","14.19","2700","2017","12","51","Tuesday"
"SNZ","2017-12-20","14.02","14.28","13.76","14.28","1700","2017","12","51","Wednesday"
"SNZ","2017-12-21","13.59","13.93","13.59","13.76","2600","2017","12","51","Thursday"
"SNZ","2017-12-22","13.33","13.42","13.33","13.33","2400","2017","12","51","Friday"
"SNZ","2017-12-25","13.33","13.33","12.99","12.99","3000","2017","12","52","Monday"
"SNZ","2017-12-26","14.62","14.62","13.76","13.76","6600","2017","12","52","Tuesday"
"SNZ","2017-12-27","13.42","13.76","13.16","13.16","6000","2017","12","52","Wednesday"
"SNZ","2017-12-28","13.76","13.76","12.99","13.16","2000","2017","12","52","Thursday"
"SNZ","2017-12-29","14.62","14.62","13.16","13.24","3800","2017","12","52","Friday"
"SNZ","2018-01-02","13.76","13.76","13.59","13.59","500","2018","01","1","Tuesday"
"SNZ","2018-01-03","13.76","13.76","13.76","13.76","4400","2018","01","1","Wednesday"
"SNZ","2018-01-04","13.5","13.68","12.04","12.04","26700","2018","01","1","Thursday"
"SNZ","2018-01-05","12.99","14.19","12.47","12.56","24000","2018","01","1","Friday"
"SNZ","2018-01-08","12.56","12.56","12.21","12.21","1700","2018","01","2","Monday"
