symbol,date,open,high,low,close,volume
"SRC","2009-10-07","9.43","9.43","9.43","9.43","20"
"SRC","2009-10-08","9.9","9.9","9.9","9.9","20"
"SRC","2009-10-09","10.37","10.37","10.37","10.37","10"
"SRC","2009-10-12","10.84","10.84","10.84","10.84","20"
"SRC","2009-10-13","11.32","11.32","11.32","11.32","20"
"SRC","2009-10-14","11.88","11.88","11.88","11.88","120"
"SRC","2009-10-15","12.45","12.45","12.45","12.45","10"
"SRC","2009-10-16","13.01","13.01","13.01","13.01","210"
"SRC","2009-10-19","13.58","13.58","13.58","13.58","180"
"SRC","2009-10-20","14.24","14.24","14.24","14.24","10810"
"SRC","2009-10-21","14.9","14.9","14.9","14.9","9810"
"SRC","2009-10-22","15.56","15.56","15.56","15.56","28590"
"SRC","2009-10-23","16.31","16.31","16.31","16.31","199950"
"SRC","2009-10-26","16.97","16.97","15.65","15.65","488170"
"SRC","2009-10-27","14.9","15.09","14.9","14.9","124500"
"SRC","2009-10-28","14.24","15.56","14.24","14.52","285800"
"SRC","2009-10-29","13.96","14.33","13.86","13.86","217230"
"SRC","2009-10-30","14.52","14.52","14.24","14.52","264810"
"SRC","2009-11-02","13.86","13.96","13.86","13.86","76050"
"SRC","2009-11-03","13.58","13.96","13.2","13.2","98470"
"SRC","2009-11-04","12.73","13.3","12.54","12.54","226440"
"SRC","2009-11-05","12.82","13.11","12.45","13.11","144590"
"SRC","2009-11-06","13.67","13.67","13.58","13.58","166150"
"SRC","2009-11-09","13.01","13.58","12.92","12.92","54830"
"SRC","2009-11-10","13.01","13.01","12.35","12.45","121220"
"SRC","2009-11-11","12.45","12.92","12.45","12.73","66150"
"SRC","2009-11-12","13.01","13.3","12.92","13.11","83510"
"SRC","2009-11-13","12.92","13.2","12.82","13.11","64940"
"SRC","2009-11-16","13.01","13.2","12.73","12.73","32730"
"SRC","2009-11-17","12.82","12.82","12.73","12.73","41690"
"SRC","2009-11-18","12.64","13.3","12.54","13.3","111430"
"SRC","2009-11-19","13.58","13.67","13.3","13.58","125600"
"SRC","2009-11-20","13.58","13.58","13.01","13.01","75250"
"SRC","2009-11-23","12.82","12.82","12.45","12.45","132320"
"SRC","2009-11-24","12.35","12.45","11.88","11.88","113240"
"SRC","2009-11-25","11.32","11.88","11.32","11.32","93310"
"SRC","2009-11-26","10.75","10.75","10.75","10.75","38190"
"SRC","2009-11-27","10.28","11.22","10.28","10.56","115550"
"SRC","2009-11-30","10.37","11.03","10.37","11.03","126430"
"SRC","2009-12-01","11.5","11.5","11.5","11.5","28510"
"SRC","2009-12-02","11.22","11.88","11.03","11.03","108610"
"SRC","2009-12-03","11.03","11.5","11.03","11.5","92970"
"SRC","2009-12-04","11.69","12.07","11.69","12.07","211630"
"SRC","2009-12-07","12.45","12.54","12.07","12.45","89430"
"SRC","2009-12-08","12.26","12.26","11.88","11.88","38350"
"SRC","2009-12-09","11.32","11.32","11.32","11.32","68890"
"SRC","2009-12-10","11.32","11.32","10.75","10.75","117060"
"SRC","2009-12-11","10.47","10.56","10.28","10.28","78110"
"SRC","2009-12-14","10.37","10.75","10.37","10.66","37620"
"SRC","2009-12-15","10.66","10.75","10.37","10.66","18600"
"SRC","2009-12-16","10.18","10.56","10.18","10.18","8750"
"SRC","2009-12-17","9.71","9.71","9.71","9.71","24620"
"SRC","2009-12-18","9.71","10.18","9.71","10.18","59090"
"SRC","2009-12-21","10.66","10.66","10.37","10.66","31030"
"SRC","2009-12-22","10.94","10.94","10.18","10.28","25450"
"SRC","2009-12-23","10.28","10.56","10.28","10.37","28400"
"SRC","2009-12-24","10.56","10.56","10.18","10.56","33020"
"SRC","2009-12-25","10.75","11.03","10.56","11.03","71280"
"SRC","2009-12-28","10.75","11.13","10.75","10.75","34590"
"SRC","2009-12-29","10.56","11.13","10.56","10.94","63450"
"SRC","2009-12-30","11.32","11.41","11.32","11.41","54550"
"SRC","2009-12-31","11.98","11.98","11.88","11.98","197830"
"SRC","2010-01-04","12.54","12.54","12.54","12.54","45480"
"SRC","2010-01-05","13.11","13.11","13.11","13.11","11370"
"SRC","2010-01-06","13.67","13.67","13.67","13.67","255470"
"SRC","2010-01-07","14.24","14.24","13.2","13.2","243610"
"SRC","2010-01-08","13.2","13.58","12.64","12.64","115110"
"SRC","2010-01-11","12.92","13.01","12.26","12.82","114310"
"SRC","2010-01-12","12.82","13.01","12.26","12.26","101050"
"SRC","2010-01-13","11.98","12.73","11.79","12.64","96510"
"SRC","2010-01-14","13.11","13.2","12.73","13.2","146430"
"SRC","2010-01-15","13.01","13.39","13.01","13.01","66950"
"SRC","2010-01-18","12.73","12.82","12.45","12.45","137200"
"SRC","2010-01-19","12.45","12.82","12.35","12.64","63520"
"SRC","2010-01-20","12.07","12.64","12.07","12.07","53310"
"SRC","2010-01-21","11.6","12.07","11.5","11.5","74380"
"SRC","2010-01-22","11.03","11.69","11.03","11.22","75380"
"SRC","2010-01-25","10.94","11.32","10.94","11.32","26510"
"SRC","2010-01-26","11.5","11.88","11.5","11.88","86870"
"SRC","2010-01-27","11.88","11.98","11.41","11.41","34450"
"SRC","2010-01-28","11.6","11.6","11.22","11.22","28360"
"SRC","2010-01-29","11.03","11.32","10.94","11.32","36660"
"SRC","2010-02-01","11.41","11.5","11.32","11.32","10220"
"SRC","2010-02-02","11.32","11.6","11.32","11.5","36660"
"SRC","2010-02-03","11.6","11.79","11.41","11.79","31640"
"SRC","2010-02-04","11.5","12.07","11.5","12.07","37880"
"SRC","2010-02-05","11.69","11.98","11.5","11.79","57770"
"SRC","2010-02-08","12.11","12.11","11.44","11.73","5480"
"SRC","2010-02-09","11.54","11.54","11.15","11.15","20150"
"SRC","2010-02-10","11.15","11.63","11.15","11.63","5910"
"SRC","2010-02-11","11.92","11.92","11.35","11.63","10820"
"SRC","2010-02-12","11.92","11.92","11.73","11.83","16290"
"SRC","2010-02-22","11.83","12.11","11.83","11.83","3930"
"SRC","2010-02-23","11.83","11.83","11.25","11.25","16240"
"SRC","2010-02-24","11.25","11.54","11.15","11.44","6030"
"SRC","2010-02-25","11.73","11.73","11.25","11.25","11800"
"SRC","2010-02-26","11.35","11.35","10.96","11.35","13880"
"SRC","2010-03-01","11.35","11.35","11.25","11.35","10770"
"SRC","2010-03-02","11.54","11.63","11.35","11.35","22560"
"SRC","2010-03-03","11.54","11.54","11.35","11.44","11440"
"SRC","2010-03-04","11.63","11.92","11.54","11.83","77810"
"SRC","2010-03-05","11.83","11.83","11.63","11.73","28220"
"SRC","2010-03-08","11.83","12.31","11.73","12.31","117240"
"SRC","2010-03-09","12.69","12.79","12.5","12.5","153940"
"SRC","2010-03-10","12.31","12.5","12.21","12.21","87840"
"SRC","2010-03-11","12.21","12.4","12.11","12.11","32520"
"SRC","2010-03-12","12.21","12.21","12.02","12.02","34880"
"SRC","2010-03-15","12.21","12.4","12.11","12.21","64590"
"SRC","2010-03-16","12.21","12.21","11.83","11.83","70140"
"SRC","2010-03-17","11.73","12.02","11.73","11.73","26710"
"SRC","2010-03-18","12.11","12.11","11.73","12.11","16640"
"SRC","2010-03-19","11.83","11.92","11.83","11.83","24160"
"SRC","2010-03-22","11.83","11.92","11.73","11.73","23500"
"SRC","2010-03-23","11.35","11.73","11.35","11.35","68400"
"SRC","2010-03-24","11.63","11.83","11.63","11.83","198800"
"SRC","2010-03-25","11.83","11.83","11.35","11.73","15280"
"SRC","2010-03-26","11.73","11.73","11.35","11.54","18440"
"SRC","2010-03-29","11.54","11.54","11.35","11.54","21230"
"SRC","2010-03-30","11.35","11.44","11.15","11.15","42210"
"SRC","2010-03-31","11.35","11.35","11.15","11.15","38540"
"SRC","2010-04-01","11.15","11.35","11.15","11.25","35700"
"SRC","2010-04-02","11.44","11.63","11.35","11.54","76080"
"SRC","2010-04-05","11.54","11.54","11.35","11.35","15340"
"SRC","2010-04-06","11.35","11.54","11.35","11.44","38980"
"SRC","2010-04-07","11.25","11.63","11.25","11.63","86880"
"SRC","2010-04-08","11.73","11.92","11.63","11.73","65880"
"SRC","2010-04-09","11.63","11.83","11.63","11.83","75320"
"SRC","2010-04-12","12.02","12.4","12.02","12.4","320860"
"SRC","2010-04-13","12.4","12.4","11.92","11.92","66400"
"SRC","2010-04-14","11.63","11.92","11.63","11.83","45320"
"SRC","2010-04-15","11.83","12.4","11.83","12.4","289880"
"SRC","2010-04-16","12.69","12.98","12.4","12.98","432940"
"SRC","2010-04-19","12.98","13.56","12.88","13.56","330100"
"SRC","2010-04-20","13.65","13.65","12.98","12.98","157080"
"SRC","2010-04-21","12.88","12.98","12.69","12.98","160310"
"SRC","2010-04-22","12.98","13.56","12.88","13.07","243230"
"SRC","2010-04-26","12.6","13.07","12.6","12.6","158700"
"SRC","2010-04-27","12.6","12.6","12.31","12.5","85480"
"SRC","2010-04-28","12.31","12.6","12.31","12.31","87630"
"SRC","2010-04-29","12.31","12.5","12.21","12.31","108620"
"SRC","2010-05-04","12.69","12.88","12.4","12.88","166060"
"SRC","2010-05-05","12.88","13.17","12.5","12.6","125300"
"SRC","2010-05-06","12.88","12.88","12.6","12.88","218700"
"SRC","2010-05-07","13.53","13.53","13.27","13.53","204110"
"SRC","2010-05-10","13.56","13.56","12.89","12.89","116500"
"SRC","2010-05-11","13.12","13.12","12.69","12.89","55030"
"SRC","2010-05-12","12.4","12.75","12.26","12.26","132240"
"SRC","2010-05-13","12.78","12.78","12.11","12.55","65310"
"SRC","2010-05-14","12.43","12.55","12.26","12.4","13060"
"SRC","2010-05-17","12.4","12.4","11.8","11.8","63300"
"SRC","2010-05-18","11.54","11.68","11.39","11.51","33590"
"SRC","2010-05-19","10.96","11.31","10.96","10.96","154070"
"SRC","2010-05-20","10.41","10.96","10.41","10.96","36180"
"SRC","2010-05-21","10.41","10.41","10.41","10.41","94360"
"SRC","2010-05-24","10.38","10.47","10.1","10.38","15560"
"SRC","2010-05-25","10.01","10.35","10.01","10.35","35530"
"SRC","2010-05-26","10.35","10.84","10.27","10.84","64130"
"SRC","2010-05-27","10.84","10.84","10.64","10.84","21100"
"SRC","2010-05-28","10.96","11.1","10.84","11.05","111170"
"SRC","2010-05-31","10.96","11.07","10.59","10.59","12460"
"SRC","2010-06-01","11.1","11.1","10.38","11.1","93470"
"SRC","2010-06-02","10.73","11.65","10.73","10.82","47570"
"SRC","2010-06-03","10.87","11.22","10.87","10.87","35980"
"SRC","2010-06-04","11.25","11.25","10.73","10.73","28170"
"SRC","2010-06-07","10.38","10.61","10.21","10.24","72840"
"SRC","2010-06-08","10.12","10.67","10.1","10.67","24670"
"SRC","2010-06-09","10.61","10.82","10.61","10.61","8100"
"SRC","2010-06-10","10.38","10.76","10.38","10.61","13800"
"SRC","2010-06-11","10.67","10.73","10.67","10.59","16530"
"SRC","2010-06-14","10.56","10.87","10.56","10.67","82400"
"SRC","2010-06-15","10.87","10.87","10.56","10.56","20010"
"SRC","2010-06-16","10.56","10.76","10.56","10.67","30500"
"SRC","2010-06-17","10.67","10.76","10.61","10.61","13900"
"SRC","2010-06-18","10.64","10.73","10.59","10.61","66220"
"SRC","2010-06-21","10.82","10.82","10.64","10.64","40840"
"SRC","2010-06-22","10.67","10.73","10.61","10.64","55950"
"SRC","2010-06-23","10.64","11.16","10.64","11.16","128290"
"SRC","2010-06-24","11.71","11.71","11.71","11.71","55530"
"SRC","2010-06-25","12.29","12.29","12.29","12.29","345370"
"SRC","2010-06-28","12.29","12.29","11.77","11.77","144610"
"SRC","2010-06-29","11.42","11.82","11.42","11.42","70170"
"SRC","2010-06-30","10.93","11.31","10.93","11.31","68850"
"SRC","2010-07-01","11.05","11.85","11.05","11.85","103110"
"SRC","2010-07-02","11.97","12.4","11.85","11.85","142330"
"SRC","2010-07-05","12.26","12.31","11.85","11.85","65190"
"SRC","2010-07-06","12.11","12.11","11.48","11.48","31750"
"SRC","2010-07-07","11.51","11.51","11.13","11.13","36930"
"SRC","2010-07-08","11.13","11.54","11.13","11.13","53190"
"SRC","2010-07-09","11.13","11.22","10.99","11.13","22000"
"SRC","2010-07-12","11.1","11.1","10.9","11.1","46380"
"SRC","2010-07-13","11.51","11.62","11.31","11.62","28760"
"SRC","2010-07-14","11.19","11.82","11.19","11.19","29970"
"SRC","2010-07-15","11.19","11.48","11.1","11.19","13210"
"SRC","2010-07-16","11.1","11.34","11.1","11.34","23680"
"SRC","2010-07-19","11.25","11.28","11.1","11.13","11810"
"SRC","2010-07-20","11.22","11.25","11.1","11.13","35720"
"SRC","2010-07-21","11.1","11.48","11.05","11.05","27290"
"SRC","2010-07-22","10.96","11.07","10.96","11.02","24000"
"SRC","2010-07-23","11.02","11.07","11.02","11.02","18740"
"SRC","2010-07-26","11.05","11.05","10.9","10.9","10280"
"SRC","2010-07-27","11.19","11.19","10.67","10.82","12600"
"SRC","2010-07-28","10.82","10.82","10.44","10.44","33820"
"SRC","2010-07-29","10.44","10.47","10.24","10.24","29470"
"SRC","2010-07-30","10.53","10.53","10.3","10.3","15120"
"SRC","2010-08-02","10.15","10.53","10.15","10.24","16910"
"SRC","2010-08-03","10.24","10.73","10.24","10.67","67460"
"SRC","2010-08-04","10.21","10.53","10.21","10.47","13370"
"SRC","2010-08-05","10.5","10.5","10.24","10.24","24430"
"SRC","2010-08-06","10.38","10.38","10.15","10.18","11290"
"SRC","2010-08-09","10.1","10.18","9.69","9.69","30570"
"SRC","2010-08-10","9.4","9.4","9.23","9.26","37560"
"SRC","2010-08-11","9.37","9.37","8.8","9.26","22950"
"SRC","2010-08-12","9.26","9.26","8.8","8.83","29310"
"SRC","2010-08-13","8.45","8.65","8.39","8.65","43750"
"SRC","2010-08-16","8.8","9.06","8.8","9.06","19400"
"SRC","2010-08-17","9.46","9.49","9.11","9.49","131270"
"SRC","2010-08-18","9.92","9.95","9.81","9.95","268780"
"SRC","2010-08-19","10.07","10.07","9.66","9.81","39360"
"SRC","2010-08-20","9.37","9.81","9.37","9.81","19450"
"SRC","2010-08-23","9.81","9.81","9.32","9.32","18610"
"SRC","2010-08-24","8.94","8.94","8.85","8.85","41760"
"SRC","2010-08-25","8.48","8.48","8.42","8.42","41290"
"SRC","2010-08-26","8.19","8.36","8.02","8.02","80600"
"SRC","2010-08-27","8.08","8.08","7.64","8.08","31240"
"SRC","2010-08-30","8.48","8.48","7.82","8.48","51670"
"SRC","2010-08-31","8.77","8.85","8.45","8.77","25420"
"SRC","2010-09-01","8.8","8.8","8.39","8.8","55020"
"SRC","2010-09-06","8.8","9.23","8.8","9.23","124000"
"SRC","2010-09-07","8.88","9.23","8.77","8.83","71870"
"SRC","2010-09-08","8.42","8.74","8.42","8.74","50770"
"SRC","2010-09-09","8.74","9.03","8.65","8.8","68370"
"SRC","2010-09-10","8.8","8.8","8.36","8.36","60080"
"SRC","2010-09-13","8.05","8.65","7.96","7.96","107030"
"SRC","2010-09-14","8.25","8.25","7.93","8.08","59460"
"SRC","2010-09-15","7.84","8.08","7.84","8.08","34920"
"SRC","2010-09-16","8.36","8.36","8.08","8.1","14530"
"SRC","2010-09-17","8.31","8.51","8.13","8.51","66930"
"SRC","2010-09-20","8.85","8.85","8.51","8.51","22190"
"SRC","2010-09-21","8.51","8.51","8.31","8.36","43640"
"SRC","2010-09-22","8.13","8.36","8.13","8.31","26240"
"SRC","2010-09-23","8.31","8.31","7.99","8.08","31270"
"SRC","2010-09-24","8.19","8.19","7.84","8.16","20930"
"SRC","2010-09-27","8.45","8.45","8.08","8.16","22940"
"SRC","2010-09-28","8.39","8.39","8.16","8.25","11490"
"SRC","2010-09-29","8.36","8.36","8.05","8.05","13870"
"SRC","2010-09-30","7.96","8.13","7.96","8.13","17210"
"SRC","2010-10-01","8.08","8.34","7.99","7.99","8080"
"SRC","2010-10-04","7.96","7.96","7.61","7.61","62920"
"SRC","2010-10-05","7.27","7.84","7.27","7.73","42000"
"SRC","2010-10-06","7.73","7.87","7.61","7.76","28220"
"SRC","2010-10-07","7.79","7.87","7.7","7.73","53270"
"SRC","2010-10-08","7.67","7.79","7.5","7.64","11500"
"SRC","2010-10-11","7.38","7.7","7.38","7.7","7950"
"SRC","2010-10-12","7.64","7.64","7.5","7.53","16170"
"SRC","2010-10-13","7.3","7.61","7.24","7.61","12330"
"SRC","2010-10-14","7.67","7.67","7.41","7.47","3530"
"SRC","2010-10-15","7.41","7.47","7.36","7.41","18460"
"SRC","2010-10-18","7.36","7.5","7.36","7.36","14870"
"SRC","2010-10-19","7.36","7.36","7.01","7.01","27160"
"SRC","2010-10-20","7.07","7.07","6.66","6.66","58700"
"SRC","2010-10-21","6.83","6.83","6.34","6.37","61750"
"SRC","2010-10-22","6.2","6.43","6.06","6.14","54640"
"SRC","2010-10-25","6.37","6.37","5.88","6.32","20460"
"SRC","2010-10-26","6.61","6.61","6.34","6.61","47660"
"SRC","2010-10-27","6.61","6.61","6.4","6.4","33520"
"SRC","2010-10-28","6.17","6.29","6.14","6.17","29360"
"SRC","2010-10-29","6.17","6.2","6.06","6.06","62670"
"SRC","2010-11-01","6.09","6.2","6.06","6.06","13370"
"SRC","2010-11-02","6.06","6.06","5.83","5.94","37930"
"SRC","2010-11-03","5.91","5.91","5.74","5.77","34660"
"SRC","2010-11-04","5.68","5.91","5.68","5.77","9920"
"SRC","2010-11-05","6.03","6.03","5.8","5.97","14710"
"SRC","2010-11-08","5.97","6.06","5.83","5.83","3000"
"SRC","2010-11-09","5.71","5.8","5.68","5.68","31040"
"SRC","2010-11-10","5.59","5.8","5.59","5.68","26450"
"SRC","2010-11-11","5.68","5.68","5.42","5.42","32910"
"SRC","2010-11-12","5.34","5.34","5.16","5.16","111820"
"SRC","2010-11-15","4.96","5.34","4.93","4.93","55960"
"SRC","2010-11-16","4.9","4.9","4.7","4.7","50020"
"SRC","2010-11-17","4.53","4.79","4.47","4.47","76560"
"SRC","2010-11-18","4.62","4.67","4.62","4.67","42140"
"SRC","2010-11-19","4.79","4.79","4.64","4.7","38380"
"SRC","2010-11-22","4.7","4.82","4.62","4.73","173820"
"SRC","2010-11-23","4.9","4.96","4.76","4.96","120120"
"SRC","2010-11-24","5.02","5.19","4.96","5.19","87520"
"SRC","2010-11-25","5.45","5.45","5.45","5.45","18250"
"SRC","2010-11-26","5.71","5.71","5.71","5.71","99230"
"SRC","2010-11-29","5.97","5.97","5.97","5.97","4470"
"SRC","2010-11-30","6.26","6.26","6.26","6.26","8100"
"SRC","2010-12-01","6.55","6.55","6.52","6.55","162270"
"SRC","2010-12-02","6.86","6.86","6.86","6.86","3370"
"SRC","2010-12-03","7.18","7.18","7.18","7.18","4660"
"SRC","2010-12-06","7.53","7.53","7.53","7.53","89680"
"SRC","2010-12-07","7.79","7.9","7.73","7.73","543340"
"SRC","2010-12-08","7.5","7.99","7.36","7.36","213410"
"SRC","2010-12-09","7.36","7.7","7.01","7.58","227710"
"SRC","2010-12-10","7.58","7.79","7.36","7.79","102950"
"SRC","2010-12-13","8.13","8.16","7.5","8.08","194600"
"SRC","2010-12-14","7.7","7.99","7.67","7.67","106160"
"SRC","2010-12-15","7.41","7.73","7.3","7.3","79520"
"SRC","2010-12-16","6.98","6.98","6.95","6.95","62900"
"SRC","2010-12-17","7.07","7.18","6.61","7.18","122150"
"SRC","2010-12-20","7.38","7.38","6.83","6.83","62680"
"SRC","2010-12-21","6.66","7.15","6.52","7.07","103050"
"SRC","2010-12-22","7.38","7.38","7.07","7.07","106170"
"SRC","2010-12-23","6.98","7.07","6.72","6.72","60000"
"SRC","2010-12-24","6.72","6.92","6.66","6.78","55280"
"SRC","2010-12-27","6.81","7.09","6.78","7.09","185910"
"SRC","2010-12-28","7.44","7.44","7.44","7.44","104190"
"SRC","2010-12-29","7.79","7.79","7.5","7.79","350800"
"SRC","2010-12-30","7.56","7.82","7.56","7.56","77720"
"SRC","2010-12-31","7.36","7.64","7.36","7.56","62060"
"SRC","2011-01-04","7.93","7.93","7.79","7.93","377910"
"SRC","2011-01-05","7.87","8.02","7.58","7.58","180820"
"SRC","2011-01-06","7.64","7.82","7.47","7.82","102360"
"SRC","2011-01-07","7.7","8.19","7.7","8.19","509760"
"SRC","2011-01-10","8.34","8.6","8.08","8.6","361770"
"SRC","2011-01-11","8.77","8.94","8.6","8.77","192530"
"SRC","2011-01-12","8.88","9.2","8.36","9.2","231740"
"SRC","2011-01-13","9.35","9.63","9.26","9.63","132230"
"SRC","2011-01-14","10.04","10.1","9.81","10.01","604890"
"SRC","2011-01-17","10.01","10.35","9.52","9.52","421530"
"SRC","2011-01-18","9.52","9.98","9.14","9.75","407190"
"SRC","2011-01-19","9.98","9.98","9.29","9.29","106160"
"SRC","2011-01-20","8.94","9.37","8.83","8.94","333980"
"SRC","2011-01-21","8.94","9.2","8.54","8.54","161130"
"SRC","2011-01-24","8.36","8.65","8.13","8.39","325330"
"SRC","2011-01-25","8.36","8.8","8.36","8.8","237540"
"SRC","2011-01-26","9.11","9.14","8.57","8.57","135960"
"SRC","2011-01-27","8.74","8.8","8.42","8.77","55680"
"SRC","2011-01-28","8.88","8.88","8.51","8.51","129390"
"SRC","2011-02-08","8.22","8.57","8.22","8.51","47260"
"SRC","2011-02-09","8.62","8.62","8.1","8.1","185370"
